contestant_id,season_idx,weeks_participated,placement,celebrity_name,week_str,judge_score,week_idx,obs_id,estimated_strength
14,1,8,1,27,week7_percentage,0.269607843,6,74,67.24862652
10,1,8,3,100,week8_percentage,0.339920719,7,75,99.71382548
11,1,8,2,49,week8_percentage,0.316206368,7,76,94.60706136
14,1,8,1,27,week8_percentage,0.343872913,7,77,110.772024
16,2,8,7,64,week1_percentage,0.076142132,0,78,20.56500197
17,2,10,5,42,week1_percentage,0.106598985,0,79,27.10289905
18,2,11,2,65,week1_percentage,0.081218274,0,80,31.84168093
19,2,2,11,90,week1_percentage,0.076142132,0,81,13.4533232
20,2,4,10,69,week1_percentage,0.055837563,0,82,14.92425555
21,2,6,9,93,week1_percentage,0.091370558,0,83,17.4378197
22,2,9,6,96,week1_percentage,0.060913706,0,84,26.78677761
23,2,2,12,75,week1_percentage,0.086294416,0,85,10.6182006
24,2,11,4,70,week1_percentage,0.096446701,0,86,45.23863545
25,2,11,3,3,week1_percentage,0.081218274,0,87,36.38886524
26,2,7,8,63,week1_percentage,0.086294416,0,88,24.25831691
27,2,11,1,36,week1_percentage,0.101522843,0,89,69.01079644
16,2,8,7,64,week2_percentage,0.095890411,1,90,22.39899711
17,2,10,5,42,week2_percentage,0.091324201,1,91,22.38706022
18,2,11,2,65,week2_percentage,0.091324201,1,92,29.95872594
19,2,2,11,90,week2_percentage,0.068493151,1,93,8.260744564
20,2,4,10,69,week2_percentage,0.054794521,1,94,14.72602815
21,2,6,9,93,week2_percentage,0.082191781,1,95,15.70832971
22,2,9,6,96,week2_percentage,0.073059361,1,96,26.05555595
23,2,2,12,75,week2_percentage,0.068493151,1,97,7.1041938
24,2,11,4,70,week2_percentage,0.086757991,1,98,36.62778373
25,2,11,3,3,week2_percentage,0.091324201,1,99,35.44527142
26,2,7,8,63,week2_percentage,0.086757991,1,100,22.32364635
27,2,11,1,36,week2_percentage,0.109589041,1,101,64.8122676
16,2,8,7,64,week3_percentage,0.121212121,2,102,24.04016353
17,2,10,5,42,week3_percentage,0.116161616,2,103,23.49951875
18,2,11,2,65,week3_percentage,0.101010101,2,104,28.12559794
20,2,4,10,69,week3_percentage,0.060606061,2,105,12.54351857
21,2,6,9,93,week3_percentage,0.116161616,2,106,16.66389586
22,2,9,6,96,week3_percentage,0.075757576,2,107,23.85727567
24,2,11,4,70,week3_percentage,0.101010101,2,108,37.0525947
25,2,11,3,3,week3_percentage,0.121212121,2,109,39.29101405
26,2,7,8,63,week3_percentage,0.080808081,2,110,18.44574879
27,2,11,1,36,week3_percentage,0.106060606,2,111,55.01395871
16,2,8,7,64,week4_percentage,0.092198582,3,112,17.96502843
17,2,10,5,42,week4_percentage,0.09929078,3,113,19.55886092
18,2,11,2,65,week4_percentage,0.113475177,3,114,27.86890022
20,2,4,10,69,week4_percentage,0.070921986,3,115,8.642625828
21,2,6,9,93,week4_percentage,0.109929078,3,116,15.78649894
22,2,9,6,96,week4_percentage,0.074468085,3,117,21.93951906
24,2,11,4,70,week4_percentage,0.113475177,3,118,37.12713549
25,2,11,3,3,week4_percentage,0.113475177,3,119,33.42494051
26,2,7,8,63,week4_percentage,0.09929078,3,120,20.21649625
27,2,11,1,36,week4_percentage,0.113475177,3,121,53.29668426
16,2,8,7,64,week5_percentage,0.111627907,4,122,18.73252058
17,2,10,5,42,week5_percentage,0.120930233,4,123,20.20579215
18,2,11,2,65,week5_percentage,0.120930233,4,124,26.40374651
21,2,6,9,93,week5_percentage,0.111627907,4,125,13.71563085
22,2,9,6,96,week5_percentage,0.088372093,4,126,22.07767833
24,2,11,4,70,week5_percentage,0.106976744,4,127,32.24800135
25,2,11,3,3,week5_percentage,0.125581395,4,128,32.7834551
26,2,7,8,63,week5_percentage,0.097674419,4,129,17.48371022
27,2,11,1,36,week5_percentage,0.11627907,4,130,48.25537936
16,2,8,7,64,week6_percentage,0.118421053,5,131,18.70993484
17,2,10,5,42,week6_percentage,0.118421053,5,132,19.15324983
18,2,11,2,65,week6_percentage,0.114035088,5,133,23.44667711
21,2,6,9,93,week6_percentage,0.118421053,5,134,9.083196448
22,2,9,6,96,week6_percentage,0.092105263,5,135,21.15991862
24,2,11,4,70,week6_percentage,0.114035088,5,136,31.11932199
25,2,11,3,3,week6_percentage,0.109649123,5,137,27.32434814
26,2,7,8,63,week6_percentage,0.109649123,5,138,18.75031418
27,2,11,1,36,week6_percentage,0.105263158,5,139,40.20560511
16,2,8,7,64,week7_percentage,0.118811881,6,140,18.22903651
17,2,10,5,42,week7_percentage,0.133663366,6,141,20.16864034
18,2,11,2,65,week7_percentage,0.126237624,6,142,24.6366116
22,2,9,6,96,week7_percentage,0.103960396,6,143,21.89330441
24,2,11,4,70,week7_percentage,0.133663366,6,144,33.2915532
25,2,11,3,3,week7_percentage,0.133663366,6,145,29.44165826
26,2,7,8,63,week7_percentage,0.121287129,6,146,10.86103066
27,2,11,1,36,week7_percentage,0.128712871,6,147,44.31917139
16,2,8,7,64,week8_percentage,0.134714548,7,148,12.01298573
17,2,10,5,42,week8_percentage,0.16580276,7,149,23.34849931
18,2,11,2,65,week8_percentage,0.155440023,7,150,27.49067398
22,2,9,6,96,week8_percentage,0.103627373,7,151,21.01682471
24,2,11,4,70,week8_percentage,0.124352847,7,152,29.4751862
25,2,11,3,3,week8_percentage,0.155441059,7,153,32.1530134
27,2,11,1,36,week8_percentage,0.160621391,7,154,50.29516478
17,2,10,5,42,week9_percentage,0.172661871,8,155,24.38496617
18,2,11,2,65,week9_percentage,0.177458034,8,156,30.11151745
22,2,9,6,96,week9_percentage,0.119904077,8,157,14.594451
24,2,11,4,70,week9_percentage,0.167865707,8,158,38.53212039
25,2,11,3,3,week9_percentage,0.191846523,8,159,39.64101932
27,2,11,1,36,week9_percentage,0.170263789,8,160,50.41808547
17,2,10,5,42,week10_percentage,0.185454545,9,161,18.47447539
18,2,11,2,65,week10_percentage,0.207272727,9,162,35.37664607
24,2,11,4,70,week10_percentage,0.196363636,9,163,45.11407551
25,2,11,3,3,week10_percentage,0.214545455,9,164,44.06691508
27,2,11,1,36,week10_percentage,0.196363636,9,165,56.95588353
18,2,11,2,65,week11_percentage,0.252136752,10,166,53.21529575
24,2,11,4,70,week11_percentage,0.243589744,10,167,35.44354079
25,2,11,3,3,week11_percentage,0.256410256,10,168,61.84903378
27,2,11,1,36,week11_percentage,0.247863248,10,169,81.81753201
28,3,4,13,8,week1_percentage,0.069230769,0,170,14.7814422
29,3,5,12,50,week1_percentage,0.069230769,0,171,15.16306283
30,3,8,8,20,week1_percentage,0.05,0,172,19.18016611
31,3,10,5,99,week1_percentage,0.080769231,0,173,41.12309758
32,3,11,4,61,week1_percentage,0.080769231,0,174,24.71200697
33,3,2,15,17,week1_percentage,0.046153846,0,175,8.895179257
34,3,6,11,110,week1_percentage,0.065384615,0,176,18.07485478
35,3,10,6,57,week1_percentage,0.069230769,0,177,25.40926706
36,3,11,2,86,week1_percentage,0.076923077,0,178,99.69515855
37,3,9,7,0,week1_percentage,0.069230769,0,179,19.97989869
38,3,11,3,85,week1_percentage,0.061538462,0,180,45.46421036
39,3,11,1,62,week1_percentage,0.076923077,0,181,46.25695663
40,3,3,14,14,week1_percentage,0.042307692,0,182,10.13135968
41,3,7,10,84,week1_percentage,0.073076923,0,183,17.57455053
42,3,7,9,46,week1_percentage,0.069230769,0,184,17.3609264
28,3,4,13,8,week2_percentage,0.065934066,1,185,13.22518638
29,3,5,12,50,week2_percentage,0.073260073,1,186,14.56007662
30,3,8,8,20,week2_percentage,0.065934066,1,187,19.54029734
31,3,10,5,99,week2_percentage,0.054945055,1,188,30.95196579
32,3,11,4,61,week2_percentage,0.076923077,1,189,21.93103668
33,3,2,15,17,week2_percentage,0.054945055,1,190,6.097615328
34,3,6,11,110,week2_percentage,0.065934066,1,191,16.54460783
35,3,10,6,57,week2_percentage,0.065934066,1,192,22.6641034
36,3,11,2,86,week2_percentage,0.076923077,1,193,85.24807047
37,3,9,7,0,week2_percentage,0.06959707,1,194,17.89523466
38,3,11,3,85,week2_percentage,0.065934066,1,195,39.31053863
39,3,11,1,62,week2_percentage,0.080586081,1,196,40.0194154
40,3,3,14,14,week2_percentage,0.058608059,1,197,11.12974327
41,3,7,10,84,week2_percentage,0.058608059,1,198,14.71319018
42,3,7,9,46,week2_percentage,0.065934066,1,199,15.61883897
28,3,4,13,8,week3_percentage,0.053380783,2,200,11.38914038
29,3,5,12,50,week3_percentage,0.071174377,2,201,12.82186859
30,3,8,8,20,week3_percentage,0.078291815,2,202,19.1520167
31,3,10,5,99,week3_percentage,0.06405694,2,203,29.27223596
32,3,11,4,61,week3_percentage,0.067615658,2,204,18.41043164
34,3,6,11,110,week3_percentage,0.078291815,2,205,16.53355904
35,3,10,6,57,week3_percentage,0.085409253,2,206,23.5124659
36,3,11,2,86,week3_percentage,0.085409253,2,207,80.02704647
37,3,9,7,0,week3_percentage,0.074733096,2,208,16.80847939
38,3,11,3,85,week3_percentage,0.06405694,2,209,35.32136081
39,3,11,1,62,week3_percentage,0.081850534,2,210,36.57199116
40,3,3,14,14,week3_percentage,0.042704626,2,211,6.173741743
41,3,7,10,84,week3_percentage,0.074733096,2,212,14.98025193
42,3,7,9,46,week3_percentage,0.078291815,2,213,15.47094402
28,3,4,13,8,week4_percentage,0.069767442,3,214,6.830208775
29,3,5,12,50,week4_percentage,0.069767442,3,215,12.12167978
30,3,8,8,20,week4_percentage,0.073089701,3,216,17.07692646
31,3,10,5,99,week4_percentage,0.093023256,3,217,32.01271373
32,3,11,4,61,week4_percentage,0.079734219,3,218,18.03589627
34,3,6,11,110,week4_percentage,0.073089701,3,219,14.69957369
35,3,10,6,57,week4_percentage,0.079734219,3,220,20.33374477
36,3,11,2,86,week4_percentage,0.079734219,3,221,69.94818448
37,3,9,7,0,week4_percentage,0.079734219,3,222,16.1252407
38,3,11,3,85,week4_percentage,0.069767442,3,223,33.33633995
39,3,11,1,62,week4_percentage,0.083056478,3,224,32.78598733
41,3,7,10,84,week4_percentage,0.079734219,3,225,14.30096757
42,3,7,9,46,week4_percentage,0.069767442,3,226,13.5155928
29,3,5,12,50,week5_percentage,0.066202091,4,227,6.930831657
30,3,8,8,20,week5_percentage,0.066202091,4,228,14.65615966
31,3,10,5,99,week5_percentage,0.083623693,4,229,28.08861954
32,3,11,4,61,week5_percentage,0.083623693,4,230,16.77671364
34,3,6,11,110,week5_percentage,0.073170732,4,231,13.87655069
35,3,10,6,57,week5_percentage,0.101045296,4,232,21.40053587
36,3,11,2,86,week5_percentage,0.090592334,4,233,67.58672917
37,3,9,7,0,week5_percentage,0.083623693,4,234,15.33468823
38,3,11,3,85,week5_percentage,0.083623693,4,235,31.88287017
39,3,11,1,62,week5_percentage,0.094076655,4,236,31.86165115
41,3,7,10,84,week5_percentage,0.090592334,4,237,14.16404769
42,3,7,9,46,week5_percentage,0.083623693,4,238,13.47012092
30,3,8,8,20,week6_percentage,0.089552239,5,239,16.06563137
31,3,10,5,99,week6_percentage,0.067164179,5,240,23.07309385
32,3,11,4,61,week6_percentage,0.100746269,5,241,17.57074212
34,3,6,11,110,week6_percentage,0.078358209,5,242,7.812705654
35,3,10,6,57,week6_percentage,0.082089552,5,243,17.3514446
36,3,11,2,86,week6_percentage,0.097014925,5,244,61.72622609
37,3,9,7,0,week6_percentage,0.100746269,5,245,16.26548972
38,3,11,3,85,week6_percentage,0.089552239,5,246,30.91279022
39,3,11,1,62,week6_percentage,0.100746269,5,247,30.2388689
41,3,7,10,84,week6_percentage,0.100746269,5,248,14.69736654
42,3,7,9,46,week6_percentage,0.093283582,5,249,13.79203057
30,3,8,8,20,week7_percentage,0.1,6,250,17.0089766
31,3,10,5,99,week7_percentage,0.103846154,6,251,27.48730804
32,3,11,4,61,week7_percentage,0.1,6,252,17.18788127
35,3,10,6,57,week7_percentage,0.103846154,6,253,19.47070741
36,3,11,2,86,week7_percentage,0.115384615,6,254,65.20191914
37,3,9,7,0,week7_percentage,0.1,6,255,15.65055886
38,3,11,3,85,week7_percentage,0.103846154,6,256,30.94314055
39,3,11,1,62,week7_percentage,0.092307692,6,257,26.70495359
41,3,7,10,84,week7_percentage,0.084615385,6,258,8.577572254
42,3,7,9,46,week7_percentage,0.096153846,6,259,8.786142224
30,3,8,8,20,week8_percentage,0.121621841,7,260,10.7569841
31,3,10,5,99,week8_percentage,0.12162094,7,261,29.02322463
32,3,11,4,61,week8_percentage,0.130629965,7,262,19.79816058
35,3,10,6,57,week8_percentage,0.135135379,7,263,21.99688433
36,3,11,2,86,week8_percentage,0.135135379,7,264,68.38939788
37,3,9,7,0,week8_percentage,0.121621841,7,265,17.40034894
38,3,11,3,85,week8_percentage,0.108108303,7,266,29.84312096
39,3,11,1,62,week8_percentage,0.126126353,7,267,30.52305508
31,3,10,5,99,week9_percentage,0.150258654,8,268,33.11193301
32,3,11,4,61,week9_percentage,0.134714548,8,269,19.1179399
35,3,10,6,57,week9_percentage,0.155441059,8,270,24.61367166
36,3,11,2,86,week9_percentage,0.150258654,8,271,70.64642871
37,3,9,7,0,week9_percentage,0.129533179,8,272,11.46010649
38,3,11,3,85,week9_percentage,0.124352847,8,273,31.47412349
39,3,11,1,62,week9_percentage,0.155441059,8,274,35.49437116
31,3,10,5,99,week10_percentage,0.163793103,9,275,20.23015343
32,3,11,4,61,week10_percentage,0.166666667,9,276,27.72048203
35,3,10,6,57,week10_percentage,0.163793103,9,277,18.02924323
36,3,11,2,86,week10_percentage,0.172413793,9,278,78.56760126
38,3,11,3,85,week10_percentage,0.16091954,9,279,40.21253313
39,3,11,1,62,week10_percentage,0.172413793,9,280,39.49839143
32,3,11,4,61,week11_percentage,0.253164557,10,281,32.91508573
36,3,11,2,86,week11_percentage,0.253164557,10,282,132.7173549
38,3,11,3,85,week11_percentage,0.240506329,10,283,66.00323101
39,3,11,1,62,week11_percentage,0.253164557,10,284,66.36387324
43,4,2,15,74,week1_percentage,0.035519126,0,285,7.070113658
44,4,4,13,12,week1_percentage,0.06557377,0,286,15.22547573
45,4,9,6,81,week1_percentage,0.071038251,0,287,22.23935345
46,4,4,12,77,week1_percentage,0.06557377,0,288,17.31972774
47,4,7,9,82,week1_percentage,0.06557377,0,289,19.45585056
48,4,9,5,102,week1_percentage,0.076502732,0,290,26.70881392
49,4,10,1,41,week1_percentage,0.057377049,0,291,48.87175615
50,4,10,3,22,week1_percentage,0.06557377,0,292,101.7846363
51,4,5,11,80,week1_percentage,0.073770492,0,293,15.48302764
52,4,8,7,52,week1_percentage,0.06010929,0,294,19.61393941
53,4,8,8,87,week1_percentage,0.068306011,0,295,26.18348727
54,4,10,2,53,week1_percentage,0.079234973,0,296,48.60313353
55,4,3,14,21,week1_percentage,0.068306011,0,297,14.84132336
56,4,6,10,68,week1_percentage,0.071038251,0,298,16.36178171
57,4,10,4,5,week1_percentage,0.076502732,0,299,25.73140961
43,4,2,15,74,week2_percentage,0.038961039,1,300,5.395984173
44,4,4,13,12,week2_percentage,0.05974026,1,301,13.3598339
45,4,9,6,81,week2_percentage,0.07012987,1,302,19.80054697
46,4,4,12,77,week2_percentage,0.057142857,1,303,14.68884102
47,4,7,9,82,week2_percentage,0.067532468,1,304,17.82001078
48,4,9,5,102,week2_percentage,0.072727273,1,305,22.85381194
49,4,10,1,41,week2_percentage,0.064935065,1,306,43.32203245
50,4,10,3,22,week2_percentage,0.062337662,1,307,87.63645885
51,4,5,11,80,week2_percentage,0.077922078,1,308,14.63947519
52,4,8,7,52,week2_percentage,0.07012987,1,309,18.88900753
53,4,8,8,87,week2_percentage,0.07012987,1,310,23.43929821
54,4,10,2,53,week2_percentage,0.080519481,1,311,42.30516002
55,4,3,14,21,week2_percentage,0.062337662,1,312,13.25316257
56,4,6,10,68,week2_percentage,0.062337662,1,313,13.70538787
57,4,10,4,5,week2_percentage,0.083116883,1,314,24.14897423
44,4,4,13,12,week3_percentage,0.063758389,2,315,13.04372783
45,4,9,6,81,week3_percentage,0.077181208,2,316,18.91782599
46,4,4,12,77,week3_percentage,0.067114094,2,317,14.661395
47,4,7,9,82,week3_percentage,0.073825503,2,318,17.24650057
48,4,9,5,102,week3_percentage,0.070469799,2,319,20.66067019
49,4,10,1,41,week3_percentage,0.063758389,2,320,37.83533256
50,4,10,3,22,week3_percentage,0.060402685,2,321,79.93585563
51,4,5,11,80,week3_percentage,0.073825503,2,322,13.74748556
52,4,8,7,52,week3_percentage,0.067114094,2,323,17.26402398
53,4,8,8,87,week3_percentage,0.080536913,2,324,23.47132161
54,4,10,2,53,week3_percentage,0.080536913,2,325,38.93699301
55,4,3,14,21,week3_percentage,0.070469799,2,326,7.203492448
56,4,6,10,68,week3_percentage,0.070469799,2,327,13.69365344
57,4,10,4,5,week3_percentage,0.080536913,2,328,21.20035262
44,4,4,13,12,week4_percentage,0.06235012,3,329,7.796898324
45,4,9,6,81,week4_percentage,0.087529976,3,330,18.64825629
46,4,4,12,77,week4_percentage,0.068345324,3,331,7.990020891
47,4,7,9,82,week4_percentage,0.07793765,3,332,16.47680145
48,4,9,5,102,week4_percentage,0.081534772,3,333,20.5869683
49,4,10,1,41,week4_percentage,0.075539568,3,334,37.20913467
50,4,10,3,22,week4_percentage,0.069544365,3,335,70.94717585
51,4,5,11,80,week4_percentage,0.079136691,3,336,13.42160451
52,4,8,7,52,week4_percentage,0.07793765,3,337,17.23153984
53,4,8,8,87,week4_percentage,0.083932854,3,338,21.89848268
54,4,10,2,53,week4_percentage,0.083932854,3,339,36.37798892
56,4,6,10,68,week4_percentage,0.070743405,3,340,13.41394893
57,4,10,4,5,week4_percentage,0.081534772,3,341,19.94403269
45,4,9,6,81,week5_percentage,0.093506494,4,342,17.75449559
47,4,7,9,82,week5_percentage,0.083116883,4,343,15.57445508
48,4,9,5,102,week5_percentage,0.093506494,4,344,20.18563433
49,4,10,1,41,week5_percentage,0.072727273,4,345,32.64008089
50,4,10,3,22,week5_percentage,0.083116883,4,346,73.57964876
51,4,5,11,80,week5_percentage,0.093506494,4,347,7.982354701
52,4,8,7,52,week5_percentage,0.088311688,4,348,16.54475115
53,4,8,8,87,week5_percentage,0.093506494,4,349,21.1939749
54,4,10,2,53,week5_percentage,0.103896104,4,350,37.01255349
56,4,6,10,68,week5_percentage,0.093506494,4,351,13.96168856
57,4,10,4,5,week5_percentage,0.101298701,4,352,20.76397123
45,4,9,6,81,week6_percentage,0.093406593,5,353,16.49758625
47,4,7,9,82,week6_percentage,0.093406593,5,354,15.76737356
48,4,9,5,102,week6_percentage,0.098901099,5,355,19.56316159
49,4,10,1,41,week6_percentage,0.10989011,5,356,37.8129072
50,4,10,3,22,week6_percentage,0.098901099,5,357,73.52399997
52,4,8,7,52,week6_percentage,0.104395604,5,358,17.38932719
53,4,8,8,87,week6_percentage,0.098901099,5,359,20.53606423
54,4,10,2,53,week6_percentage,0.10989011,5,360,36.08210704
56,4,6,10,68,week6_percentage,0.087912088,5,361,8.113299181
57,4,10,4,5,week6_percentage,0.104395604,5,362,19.67338656
45,4,9,6,81,week7_percentage,0.116207951,6,363,18.4155356
47,4,7,9,82,week7_percentage,0.097859327,6,364,9.479582344
48,4,9,5,102,week7_percentage,0.103975535,6,365,18.95342654
49,4,10,1,41,week7_percentage,0.103975535,6,366,32.45436896
50,4,10,3,22,week7_percentage,0.110091743,6,367,73.07421686
52,4,8,7,52,week7_percentage,0.116207951,6,368,17.79565519
53,4,8,8,87,week7_percentage,0.128440367,6,369,23.55988886
54,4,10,2,53,week7_percentage,0.119266055,6,370,35.00328566
57,4,10,4,5,week7_percentage,0.103975535,6,371,18.72360453
45,4,9,6,81,week8_percentage,0.136363636,7,372,21.46608507
48,4,9,5,102,week8_percentage,0.136363636,7,373,23.42052737
49,4,10,1,41,week8_percentage,0.113636364,7,374,32.14242585
50,4,10,3,22,week8_percentage,0.123376623,7,375,75.08067554
52,4,8,7,52,week8_percentage,0.103896104,7,376,11.45996845
53,4,8,8,87,week8_percentage,0.116883117,7,377,12.73604901
54,4,10,2,53,week8_percentage,0.133116883,7,378,36.45418837
57,4,10,4,5,week8_percentage,0.136363636,7,379,23.06457615
45,4,9,6,81,week9_percentage,0.159292035,8,380,17.49596248
48,4,9,5,102,week9_percentage,0.165929204,8,381,19.2135703
49,4,10,1,41,week9_percentage,0.165929204,8,382,44.05726704
50,4,10,3,22,week9_percentage,0.157079646,8,383,89.71600578
54,4,10,2,53,week9_percentage,0.17699115,8,384,47.7821798
57,4,10,4,5,week9_percentage,0.174778761,8,385,31.16737476
49,4,10,1,41,week10_percentage,0.25477707,9,386,78.31140096
50,4,10,3,22,week10_percentage,0.242038217,9,387,154.8715384
54,4,10,2,53,week10_percentage,0.25477707,9,388,79.66553116
57,4,10,4,5,week10_percentage,0.248407643,9,389,36.27307448
58,5,1,16,44,week1_percentage,0.047120419,0,390,6.216469893
59,5,3,14,19,week1_percentage,0.054973822,0,391,10.76025362
60,5,5,12,97,week1_percentage,0.073298429,0,392,15.0179292
61,5,5,11,60,week1_percentage,0.060209424,0,393,22.06706325
62,5,9,6,107,week1_percentage,0.054973822,0,394,23.67871321
63,5,9,5,24,week1_percentage,0.070680628,0,395,27.96542667
64,5,10,3,112,week1_percentage,0.07591623,0,396,38.76444632
65,5,4,13,94,week1_percentage,0.052356021,0,397,11.14350568
66,5,6,10,51,week1_percentage,0.052356021,0,398,18.39528865
67,5,7,9,59,week1_percentage,0.068062827,0,399,19.71692222
68,5,8,8,38,week1_percentage,0.062827225,0,400,18.55135163
69,5,10,1,18,week1_percentage,0.083769634,0,401,49.38441792
70,5,2,15,104,week1_percentage,0.052356021,0,402,11.82775185
71,5,8,7,111,week1_percentage,0.044502618,0,403,23.65800528
72,5,10,4,98,week1_percentage,0.073298429,0,404,24.19809984
73,5,10,2,33,week1_percentage,0.073298429,0,405,35.01464804
59,5,3,14,19,week2_percentage,0.050970874,1,406,9.837725392
60,5,5,12,97,week2_percentage,0.067961165,1,407,12.9640011
61,5,5,11,60,week2_percentage,0.058252427,1,408,19.62886785
62,5,9,6,107,week2_percentage,0.072815534,1,409,24.26050929
63,5,9,5,24,week2_percentage,0.07038835,1,410,25.06405583
64,5,10,3,112,week2_percentage,0.077669903,1,411,34.4274059
65,5,4,13,94,week2_percentage,0.063106796,1,412,11.12385266
66,5,6,10,51,week2_percentage,0.060679612,1,413,17.74170036
67,5,7,9,59,week2_percentage,0.065533981,1,414,17.32947786
68,5,8,8,38,week2_percentage,0.067961165,1,415,17.45228066
69,5,10,1,18,week2_percentage,0.077669903,1,416,43.12160597
70,5,2,15,104,week2_percentage,0.055825243,1,417,6.287164191
71,5,8,7,111,week2_percentage,0.065533981,1,418,24.5957646
72,5,10,4,98,week2_percentage,0.067961165,1,419,20.90695433
73,5,10,2,33,week2_percentage,0.077669903,1,420,32.04830846
