contestant_id,season_idx,weeks_participated,placement,celebrity_name,week_str,judge_score,week_idx,obs_id,estimated_strength,fan_votes
12,1,9,4,108,week4_percentage,0.126315789,3,97,19.19959933,1.882251417
13,1,5,8,59,week4_percentage,0.078947368,3,98,13.89390231,1.961051356
14,1,10,3,159,week4_percentage,0.110526316,3,99,17.68366445,1.934083062
15,1,10,1,17,week4_percentage,0.136842105,3,100,22.26333388,1.940916598
18,1,6,7,102,week4_percentage,0.121052632,3,101,15.5883409,1.718578519
19,1,8,5,29,week4_percentage,0.110526316,3,102,16.53231748,1.866758865
20,1,10,2,132,week4_percentage,0.147368421,3,103,22.78951865,1.874889708
21,1,4,9,165,week4_percentage,0.084210526,3,104,10.39625979,1.626354171
11,1,7,6,134,week5_percentage,0.102272727,4,105,13.55790387,1.738498616
12,1,9,4,108,week5_percentage,0.136363636,4,106,18.11512176,1.738785573
13,1,5,8,59,week5_percentage,0.073863636,4,107,9.25908761,1.598376462
14,1,10,3,159,week5_percentage,0.159090909,4,108,23.08672423,1.788302668
15,1,10,1,17,week5_percentage,0.170454545,4,109,25.69793091,1.798958608
18,1,6,7,102,week5_percentage,0.119318182,4,110,13.5054572,1.589877573
19,1,8,5,29,week5_percentage,0.096590909,4,111,13.07274645,1.750306966
20,1,10,2,132,week5_percentage,0.142045455,4,112,19.00813705,1.738657274
11,1,7,6,134,week6_percentage,0.111764706,5,113,13.64646318,1.664406099
12,1,9,4,108,week6_percentage,0.141176471,5,114,16.86291777,1.626286291
14,1,10,3,159,week6_percentage,0.164705882,5,115,21.31680448,1.660859866
15,1,10,1,17,week6_percentage,0.164705882,5,116,21.52828079,1.670731617
18,1,6,7,102,week6_percentage,0.135294118,5,117,10.60713032,1.212647058
19,1,8,5,29,week6_percentage,0.123529412,5,118,14.55686265,1.629085693
20,1,10,2,132,week6_percentage,0.158823529,5,119,19.310584,1.611968788
11,1,7,6,134,week7_percentage,0.145631068,6,120,11.84843038,1.23553754
12,1,9,4,108,week7_percentage,0.174757282,6,121,19.79834309,1.501608763
14,1,10,3,159,week7_percentage,0.190938511,6,122,23.65301935,1.542094847
15,1,10,1,17,week7_percentage,0.174757282,6,123,20.96882814,1.55904747
19,1,8,5,29,week7_percentage,0.122977346,6,124,14.20464563,1.609280209
20,1,10,2,132,week7_percentage,0.190938511,6,125,22.50628816,1.492398818
12,1,9,4,108,week8_percentage,0.187250996,7,126,20.17864068,1.414542069
14,1,10,3,159,week8_percentage,0.211155378,7,127,25.32932186,1.438890829
15,1,10,1,17,week8_percentage,0.231075697,7,128,30.18808745,1.445217793
19,1,8,5,29,week8_percentage,0.151394422,7,129,13.28943146,1.301370445
20,1,10,2,132,week8_percentage,0.219123506,7,130,25.70424825,1.385921322
12,1,9,4,108,week9_percentage,0.244725738,8,131,24.22185109,1.109113276
14,1,10,3,159,week9_percentage,0.253164557,8,132,34.25410581,1.384004465
15,1,10,1,17,week9_percentage,0.248945148,8,133,33.69193598,1.403286582
20,1,10,2,132,week9_percentage,0.253164557,8,134,33.06072702,1.348544114
14,1,10,3,159,week10_percentage,0.328185431,9,135,57.5251562,1.265364271
15,1,10,1,17,week10_percentage,0.339768501,9,136,64.19404576,1.276692217
20,1,10,2,132,week10_percentage,0.332046068,9,137,56.36520245,1.21221047
22,2,8,5,39,week1_percentage,0.081712062,0,138,21.49516888,2.373952474
23,2,7,6,121,week1_percentage,0.093385214,0,139,22.6709981,2.328085642
24,2,6,7,246,week1_percentage,0.101167315,0,140,25.92404935,2.396086824
25,2,9,4,126,week1_percentage,0.081712062,0,141,21.64187863,2.38075453
26,2,4,9,92,week1_percentage,0.070038911,0,142,20.09967645,2.405953094
27,2,1,12,140,week1_percentage,0.062256809,0,143,12.59218483,2.00440919
28,2,2,11,4,week1_percentage,0.081712062,0,144,18.63167879,2.230987567
29,2,10,1,104,week1_percentage,0.097276265,0,145,27.76576741,2.497761309
30,2,10,2,187,week1_percentage,0.093385214,0,146,23.18866631,2.350662788
31,2,3,10,288,week1_percentage,0.073929961,0,147,18.53071807,2.291637473
32,2,10,3,174,week1_percentage,0.081712062,0,148,20.70123968,2.336317856
33,2,5,8,179,week1_percentage,0.081712062,0,149,21.54099707,2.376082227
22,2,8,5,39,week2_percentage,0.088235294,1,150,19.21273838,2.206304343
23,2,7,6,121,week2_percentage,0.088235294,1,151,18.58683314,2.173184263
24,2,6,7,246,week2_percentage,0.109243697,1,152,23.43119205,2.226401514
25,2,9,4,126,week2_percentage,0.088235294,1,153,19.3852779,2.215244733
26,2,4,9,92,week2_percentage,0.088235294,1,154,19.64239423,2.228421027
28,2,2,11,4,week2_percentage,0.088235294,1,155,12.06552009,1.741082664
29,2,10,1,104,week2_percentage,0.113445378,1,156,26.89154289,2.328465737
30,2,10,2,187,week2_percentage,0.096638655,1,157,20.26328965,2.188182711
31,2,3,10,288,week2_percentage,0.06302521,1,158,15.24447502,2.189024906
32,2,10,3,174,week2_percentage,0.100840336,1,159,20.50363773,2.164294684
33,2,5,8,179,week2_percentage,0.075630252,1,160,17.73254272,2.233170815
22,2,8,5,39,week3_percentage,0.09623431,2,161,17.67970336,2.055222723
23,2,7,6,121,week3_percentage,0.112970711,2,162,19.27523372,1.999505689
24,2,6,7,246,week3_percentage,0.112970711,2,163,20.62531762,2.067203972
25,2,9,4,126,week3_percentage,0.108786611,2,164,19.48502312,2.045860965
26,2,4,9,92,week3_percentage,0.087866109,2,165,16.90936099,2.081733222
29,2,10,1,104,week3_percentage,0.10041841,2,166,20.650431,2.17501143
30,2,10,2,187,week3_percentage,0.112970711,2,167,19.77202688,2.024952797
31,2,3,10,288,week3_percentage,0.075313808,2,168,11.12304792,1.769475824
32,2,10,3,174,week3_percentage,0.108786611,2,169,18.73717691,2.006724462
33,2,5,8,179,week3_percentage,0.083682008,2,170,16.18017796,2.073182967
22,2,8,5,39,week4_percentage,0.115384615,3,171,17.88358735,1.90406984
23,2,7,6,121,week4_percentage,0.111111111,3,172,16.84502739,1.880531353
24,2,6,7,246,week4_percentage,0.128205128,3,173,20.26174098,1.920052696
25,2,9,4,126,week4_percentage,0.115384615,3,174,18.09460263,1.915800152
26,2,4,9,92,week4_percentage,0.098290598,3,175,11.61876817,1.617965792
29,2,10,1,104,week4_percentage,0.115384615,3,176,20.27990549,2.029816968
30,2,10,2,187,week4_percentage,0.111111111,3,177,17.14492373,1.898177986
32,2,10,3,174,week4_percentage,0.111111111,3,178,16.8638343,1.881647197
33,2,5,8,179,week4_percentage,0.094017094,3,179,15.5963922,1.948673042
22,2,8,5,39,week5_percentage,0.130653266,4,180,17.73081678,1.765833566
23,2,7,6,121,week5_percentage,0.130653266,4,181,17.02924805,1.725461721
24,2,6,7,246,week5_percentage,0.140703518,4,182,19.5464227,1.777977757
25,2,9,4,126,week5_percentage,0.125628141,4,183,17.20706578,1.778521425
29,2,10,1,104,week5_percentage,0.115577889,4,184,17.93648508,1.905382138
30,2,10,2,187,week5_percentage,0.145728643,4,185,19.51484551,1.733689009
32,2,10,3,174,week5_percentage,0.105527638,4,186,14.63404735,1.78723996
33,2,5,8,179,week5_percentage,0.105527638,4,187,11.19626382,1.519469293
22,2,8,5,39,week6_percentage,0.138888889,5,188,17.0435459,1.656366387
23,2,7,6,121,week6_percentage,0.122222222,5,189,15.09170572,1.676268739
24,2,6,7,246,week6_percentage,0.138888889,5,190,12.00475624,1.305897744
25,2,9,4,126,week6_percentage,0.15,5,191,18.53629416,1.645973027
29,2,10,1,104,week6_percentage,0.155555556,5,192,21.78590519,1.760329357
30,2,10,2,187,week6_percentage,0.166666667,5,193,20.59031305,1.609534455
32,2,10,3,174,week6_percentage,0.127777778,5,194,15.59038929,1.661601874
22,2,8,5,39,week7_percentage,0.163461538,6,195,18.79040715,1.545277267
23,2,7,6,121,week7_percentage,0.16025641,6,196,13.41158177,1.235266494
25,2,9,4,126,week7_percentage,0.169871795,6,197,19.82442119,1.54441126
29,2,10,1,104,week7_percentage,0.166666667,6,198,21.61235508,1.657978873
30,2,10,2,187,week7_percentage,0.173076923,6,199,19.86764061,1.519371954
32,2,10,3,174,week7_percentage,0.166666667,6,200,18.63862229,1.50994963
22,2,8,5,39,week8_percentage,0.19391635,7,201,16.33799313,1.146810384
25,2,9,4,126,week8_percentage,0.190114068,7,202,21.85179487,1.469888075
29,2,10,1,104,week8_percentage,0.216730038,7,203,29.43410364,1.541743681
30,2,10,2,187,week8_percentage,0.212927757,7,204,24.78271812,1.402024156
32,2,10,3,174,week8_percentage,0.186311787,7,205,20.83641174,1.454594933
25,2,9,4,126,week9_percentage,0.247863248,8,206,24.18267033,1.080851537
29,2,10,1,104,week9_percentage,0.256410256,8,207,38.13971876,1.463892693
30,2,10,2,187,week9_percentage,0.256410256,8,208,33.51713897,1.334693389
32,2,10,3,174,week9_percentage,0.239316239,8,209,30.07840066,1.371601372
29,2,10,1,104,week10_percentage,0.352940954,9,210,78.6023116,1.367326106
30,2,10,2,187,week10_percentage,0.357142227,9,211,69.41598792,1.207366189
32,2,10,3,174,week10_percentage,0.289916819,9,212,38.22459565,1.18158736
34,3,10,3,63,week1_percentage,0.086419753,0,213,22.50679246,2.379965032
35,3,3,10,259,week1_percentage,0.074074074,0,214,19.27673048,2.329882606
36,3,5,8,230,week1_percentage,0.098765432,0,215,23.09586897,2.300965626
37,3,6,7,182,week1_percentage,0.090534979,0,216,22.56052221,2.347404117
38,3,7,6,255,week1_percentage,0.086419753,0,217,22.17393555,2.365065407
39,3,9,4,178,week1_percentage,0.074074074,0,218,20.11510963,2.372455166
40,3,10,2,123,week1_percentage,0.090534979,0,219,23.75287216,2.398905997
41,3,10,1,155,week1_percentage,0.111111111,0,220,27.84483888,2.383123457
42,3,2,11,202,week1_percentage,0.061728395,0,221,18.12911392,2.373339089
43,3,2,12,228,week1_percentage,0.065843621,0,222,10.60754676,1.802440346
44,3,4,9,1,week1_percentage,0.061728395,0,223,17.35051115,2.329441908
45,3,8,5,176,week1_percentage,0.098765432,0,224,24.56430145,2.362606083
34,3,10,3,63,week2_percentage,0.077821012,1,225,18.19729375,2.240438862
35,3,3,10,259,week2_percentage,0.062256809,1,226,15.84787196,2.234368034
36,3,5,8,230,week2_percentage,0.081712062,1,227,17.46278042,2.166196061
37,3,6,7,182,week2_percentage,0.093385214,1,228,19.89443918,2.197439412
38,3,7,6,255,week2_percentage,0.093385214,1,229,20.0719861,2.206324273
39,3,9,4,178,week2_percentage,0.081712062,1,230,18.49284656,2.22350826
40,3,10,2,123,week2_percentage,0.105058366,1,231,22.76059299,2.2329047
41,3,10,1,155,week2_percentage,0.105058366,1,232,22.51475172,2.222044764
42,3,2,11,202,week2_percentage,0.058365759,1,233,11.79010729,1.971635339
43,3,2,12,228,week2_percentage,0.06614786,1,234,8.303266337,1.554940126
44,3,4,9,1,week2_percentage,0.073929961,1,235,17.08538127,2.210430887
45,3,8,5,176,week2_percentage,0.101167315,1,236,21.26958399,2.198193818
34,3,10,3,63,week3_percentage,0.109649123,2,237,20.0122995,2.06523769
35,3,3,10,259,week3_percentage,0.092105263,2,238,11.96955952,1.700234894
36,3,5,8,230,week3_percentage,0.114035088,2,239,19.2222179,1.987713047
37,3,6,7,182,week3_percentage,0.092105263,2,240,17.16921907,2.06098634
38,3,7,6,255,week3_percentage,0.105263158,2,241,19.05059953,2.053233583
39,3,9,4,178,week3_percentage,0.083333333,2,242,16.50352273,2.095930763
40,3,10,2,123,week3_percentage,0.100877193,2,243,18.9388056,2.084592411
41,3,10,1,155,week3_percentage,0.118421053,2,244,21.52841069,2.063775362
44,3,4,9,1,week3_percentage,0.092105263,2,245,16.92950146,2.046925897
45,3,8,5,176,week3_percentage,0.092105263,2,246,17.32093341,2.069783941
34,3,10,3,63,week4_percentage,0.115555556,3,247,18.12855532,1.91622321
36,3,5,8,230,week4_percentage,0.097777778,3,248,14.99493863,1.877411479
37,3,6,7,182,week4_percentage,0.106666667,3,249,16.59651017,1.903409258
38,3,7,6,255,week4_percentage,0.124444444,3,250,19.13458972,1.894750617
39,3,9,4,178,week4_percentage,0.106666667,3,251,16.81811567,1.916673433
40,3,10,2,123,week4_percentage,0.128888889,3,252,20.41724752,1.921891974
41,3,10,1,155,week4_percentage,0.128888889,3,253,20.14378317,1.908407678
44,3,4,9,1,week4_percentage,0.084444444,3,254,10.82022412,1.664338683
45,3,8,5,176,week4_percentage,0.106666667,3,255,16.62792052,1.905300056
34,3,10,3,63,week5_percentage,0.117346939,4,256,16.31705313,1.795733725
36,3,5,8,230,week5_percentage,0.107142857,4,257,11.01932036,1.489823303
37,3,6,7,182,week5_percentage,0.112244898,4,258,15.43032792,1.783182974
38,3,7,6,255,week5_percentage,0.117346939,4,259,16.13894115,1.784758017
39,3,9,4,178,week5_percentage,0.12244898,4,260,16.78977428,1.780967892
40,3,10,2,123,week5_percentage,0.137755102,4,261,19.19106179,1.784667226
41,3,10,1,155,week5_percentage,0.147959184,4,262,20.69318116,1.773376631
45,3,8,5,176,week5_percentage,0.137755102,4,263,18.69077159,1.758252493
34,3,10,3,63,week6_percentage,0.15,5,264,18.59201839,1.648974739
37,3,6,7,182,week6_percentage,0.116666667,5,265,11.43708138,1.446160493
38,3,7,6,255,week6_percentage,0.133333333,5,266,16.40448097,1.665325539
39,3,9,4,178,week6_percentage,0.144444444,5,267,17.73005947,1.648680061
40,3,10,2,123,week6_percentage,0.133333333,5,268,16.69176271,1.682686357
41,3,10,1,155,week6_percentage,0.166666667,5,269,21.28688845,1.642805045
45,3,8,5,176,week6_percentage,0.155555556,5,270,19.0915516,1.628312066
34,3,10,3,63,week7_percentage,0.148867314,6,271,17.64810273,1.606489106
38,3,7,6,255,week7_percentage,0.165048544,6,272,13.78187888,1.221809003
39,3,9,4,178,week7_percentage,0.16828479,6,273,19.67780218,1.550464296
40,3,10,2,123,week7_percentage,0.177993528,6,274,21.41342771,1.552547408
41,3,10,1,155,week7_percentage,0.174757282,6,275,20.62278279,1.542406935
45,3,8,5,176,week7_percentage,0.165048544,6,276,19.11973569,1.549175461
34,3,10,3,63,week8_percentage,0.213483146,7,277,25.80924904,1.437894305
39,3,9,4,178,week8_percentage,0.187265918,7,278,21.91127881,1.496792217
40,3,10,2,123,week8_percentage,0.194756554,7,279,23.04236328,1.483516732
41,3,10,1,155,week8_percentage,0.205992509,7,280,24.57781555,1.452613995
45,3,8,5,176,week8_percentage,0.198501873,7,281,16.87833702,1.140409118
34,3,10,3,63,week9_percentage,0.254545455,8,282,33.94464449,1.363202929
39,3,9,4,178,week9_percentage,0.236363636,8,283,23.82444499,1.163578878
40,3,10,2,123,week9_percentage,0.25,8,284,33.29904036,1.382599135
41,3,10,1,155,week9_percentage,0.259090909,8,285,35.10896478,1.358329625
34,3,10,3,63,week10_percentage,0.307692308,9,286,47.07319336,1.238867439
40,3,10,2,123,week10_percentage,0.337278107,9,287,61.47589703,1.254574659
41,3,10,1,155,week10_percentage,0.355029586,9,288,70.90815641,1.246574393
46,4,1,12,267,week1_percentage,0.073412698,0,289,14.19868454,2.029749471
47,4,6,7,58,week1_percentage,0.063492063,0,290,18.51233142,2.37928044
48,4,7,6,263,week1_percentage,0.073412698,0,291,19.86354564,2.365486303
49,4,9,4,60,week1_percentage,0.081349206,0,292,22.79704783,2.435836582
50,4,2,10,201,week1_percentage,0.083333333,0,293,22.42258588,2.402425639
51,4,8,5,186,week1_percentage,0.077380952,0,294,21.60412069,2.415786901
52,4,10,2,287,week1_percentage,0.08531746,0,295,23.12365868,2.41636452
53,4,1,13,124,week1_percentage,0.047619048,0,296,13.64642253,2.209109953
54,4,5,8,274,week1_percentage,0.089285714,0,297,22.14952178,2.339626856
55,4,10,3,160,week1_percentage,0.08531746,0,298,22.36949403,2.3832064
56,4,2,11,152,week1_percentage,0.073412698,0,299,21.47596406,2.443534484
57,4,4,9,241,week1_percentage,0.069444444,0,300,20.56204349,2.433744248
58,4,10,1,36,week1_percentage,0.097222222,0,301,25.34658822,2.407060491
47,4,6,7,58,week2_percentage,0.067873303,1,302,17.30296605,2.274517051
48,4,7,6,263,week2_percentage,0.095022624,1,303,19.97175649,2.187413834
49,4,9,4,60,week2_percentage,0.095022624,1,304,21.72183608,2.271412755
50,4,2,10,201,week2_percentage,0.095022624,1,305,14.03420955,1.834592643
51,4,8,5,186,week2_percentage,0.085972851,1,306,19.99099899,2.265224975
52,4,10,2,287,week2_percentage,0.108597285,1,307,23.54296148,2.236649434
54,4,5,8,274,week2_percentage,0.104072398,1,308,21.34347495,2.176992672
55,4,10,3,160,week2_percentage,0.090497738,1,309,20.12760931,2.233611258
56,4,2,11,152,week2_percentage,0.076923077,1,310,13.7124005,1.965091573
57,4,4,9,241,week2_percentage,0.07239819,1,311,18.61473614,2.309168581
58,4,10,1,36,week2_percentage,0.108597285,1,312,23.74817931,2.245328401
47,4,6,7,58,week3_percentage,0.08040201,2,313,13.77021197,1.939756592
48,4,7,6,263,week3_percentage,0.105527638,2,314,17.71228125,1.978147379
49,4,9,4,60,week3_percentage,0.105527638,2,315,19.62080271,2.080479485
51,4,8,5,186,week3_percentage,0.120603015,2,316,21.72207934,2.05420249
52,4,10,2,287,week3_percentage,0.125628141,2,317,22.82658189,2.06112704
54,4,5,8,274,week3_percentage,0.110552764,2,318,18.58466308,1.983553844
55,4,10,3,160,week3_percentage,0.110552764,2,319,19.47434572,2.030315162
57,4,4,9,241,week3_percentage,0.100502513,2,320,18.35482326,2.056453454
58,4,10,1,36,week3_percentage,0.140703518,2,321,26.12128337,2.067935894
47,4,6,7,58,week4_percentage,0.108374384,3,322,15.7741356,1.838086979
48,4,7,6,263,week4_percentage,0.118226601,3,323,17.35704561,1.850051625
49,4,9,4,60,week4_percentage,0.113300493,3,324,18.42745629,1.951725972
51,4,8,5,186,week4_percentage,0.098522167,3,325,16.15331539,1.945502929
52,4,10,2,287,week4_percentage,0.108374384,3,326,17.36208026,1.934003894
54,4,5,8,274,week4_percentage,0.108374384,3,327,16.2826381,1.869814758
55,4,10,3,160,week4_percentage,0.128078818,3,328,19.49930401,1.882769634
57,4,4,9,241,week4_percentage,0.088669951,3,329,11.25123526,1.667517802
58,4,10,1,36,week4_percentage,0.128078818,3,330,20.3768242,1.926789045
47,4,6,7,58,week5_percentage,0.107692308,4,331,14.10360785,1.731938012
48,4,7,6,263,week5_percentage,0.112820513,4,332,14.89022708,1.742665195
49,4,9,4,60,week5_percentage,0.143589744,4,333,20.42242916,1.797310216
51,4,8,5,186,week5_percentage,0.138461538,4,334,19.11772799,1.774839804
52,4,10,2,287,week5_percentage,0.128205128,4,335,17.70371848,1.785092978
54,4,5,8,274,week5_percentage,0.112820513,4,336,10.86351319,1.427369883
55,4,10,3,160,week5_percentage,0.107692308,4,337,14.96533625,1.791243978
58,4,10,1,36,week5_percentage,0.148717949,4,338,21.02308095,1.782750106
47,4,6,7,58,week6_percentage,0.09375,5,339,9.680642763,1.474029851
48,4,7,6,263,week6_percentage,0.14375,5,340,16.38220527,1.575511315
49,4,9,4,60,week6_percentage,0.14375,5,341,18.10429407,1.675464759
51,4,8,5,186,week6_percentage,0.13125,5,342,15.91994299,1.653034688
52,4,10,2,287,week6_percentage,0.15625,5,343,19.53654467,1.645455927
55,4,10,3,160,week6_percentage,0.16875,5,344,21.01052664,1.612046234
58,4,10,1,36,week6_percentage,0.1625,5,345,20.71440678,1.650925328
48,4,7,6,263,week7_percentage,0.163265306,6,346,13.07886223,1.184594512
49,4,9,4,60,week7_percentage,0.149659864,6,347,17.82222424,1.609576942
51,4,8,5,186,week7_percentage,0.170068027,6,348,19.86230597,1.544654105
52,4,10,2,287,week7_percentage,0.142857143,6,349,16.92655181,1.615781004
55,4,10,3,160,week7_percentage,0.170068027,6,350,19.46232929,1.524311109
58,4,10,1,36,week7_percentage,0.204081633,6,351,26.29124532,1.536232389
49,4,9,4,60,week8_percentage,0.188235294,7,352,22.32750661,1.507378429
51,4,8,5,186,week8_percentage,0.188235294,7,353,16.62432971,1.212426313
52,4,10,2,287,week8_percentage,0.211764706,7,354,25.58273608,1.443671648
55,4,10,3,160,week8_percentage,0.196078431,7,355,22.49297602,1.448160407
