celebrity_name,appearances,first_season,last_season,gender
Joey Lawrence,1,3,3,1
Joey Graziadei,1,33,33,1
Joe Amabile,1,27,27,1
James Hinchcliffe,1,23,23,1
Jake T. Austin,1,23,23,1
Donald Driver,1,14,14,1
George Hamilton,1,2,2,1
Gary Busey,1,21,21,1
Gabby Windey,1,31,31,0
Frankie Muniz,1,25,25,1
Floyd Mayweather Jr.,1,5,5,1
Florence Henderson,1,11,11,0
Evanna Lynch,1,27,27,0
Evander Holyfield,1,1,1,1
Evan Lysacek,1,10,10,1
Erin Andrews,1,10,10,0
Erika Jayne,1,24,24,0
Eric Roberts,1,33,33,1
Elizabeth Berkley Lauren,1,17,17,0
Elisabetta Canalis,1,13,13,0
Elaine Hendrix,1,34,34,0
Dylan Efron,1,34,34,1
Dwight Howard?,1,33,33,1
Drew Scott,1,25,25,1
Drew Carey,1,18,18,1
Doug Flutie,1,22,22,1
Dorothy Hamill,1,16,16,0
Donny Osmond,1,9,9,1
Gavin DeGraw,1,14,14,1
Geraldo Rivera,1,22,22,1
Jake Pavelka,1,10,10,1
Ginger Zee,1,22,22,0
Jacoby Jones,1,16,16,1
Jack Wagner,1,14,14,1
Jack Osbourne,1,17,17,1
J.R. Martinez,1,13,13,1
Ingo Rademacher,1,16,16,1
Iman Shumpert,1,30,30,1
Ilona Maher,1,33,33,0
Ian Ziering,1,4,4,1
Hope Solo,1,13,13,0
Holly Madison,1,8,8,0
Hines Ward,1,12,12,1
Hilaria Baldwin,1,34,34,0
Heidi D'Amelio,1,31,31,0
Heather Morris,1,24,24,0
Heather Mills,1,4,4,0
Hayes Grier,1,21,21,1
Harry Jowsey,1,32,32,1
Harry Hamlin,1,3,3,1
Hannah Brown,1,28,28,0
Gladys Knight,1,14,14,0
Giselle Fernandez,1,2,2,0
Zendaya,1,16,16,0
