season,contestant,eliminated_week,judge_total,week,eliminated_actual,vote_mean,judge_share,fan_share,combined_share,pos_share,judge_rank,fan_rank,rank_sum,pos_rank
5,Floyd Mayweather Jr.,4.0,18.0,1,0,0.0747420486388543,0.07003891050583658,0.0747420486388543,0.07239047957234543,11.0,11.0,12.0,23.0,12.0
5,Josie Maran,1.0,16.0,1,1,0.0798552963826417,0.0622568093385214,0.0798552963826417,0.07105605286058156,12.0,12.0,8.0,20.0,11.0
5,Albert Reed,2.0,21.0,1,0,0.0779872911810688,0.08171206225680934,0.0779872911810688,0.07984967671893907,9.0,7.0,10.0,17.0,9.0
5,Helio Castroneves,,25.0,1,0,0.0963910157859994,0.09727626459143969,0.0963910157859994,0.09683364018871954,1.0,2.0,1.0,3.0,1.0
5,Mel B,,24.0,1,0,0.081733449479168,0.0933852140077821,0.081733449479168,0.08755933174347505,3.0,3.5,6.0,9.5,3.0
5,Wayne Newton,3.0,19.0,1,0,0.0935894352267193,0.07392996108949416,0.0935894352267193,0.08375969815810673,6.0,10.0,2.0,12.0,6.5
5,Marie Osmond,,21.0,1,0,0.082071048868127,0.08171206225680934,0.082071048868127,0.08189155556246816,8.0,7.0,5.0,12.0,6.5
5,Mark Cuban,5.0,21.0,1,0,0.0922485028178573,0.08171206225680934,0.0922485028178573,0.08698028253733332,4.0,7.0,3.0,10.0,4.0
6,Cristian de la Fuente,,21.0,1,0,0.0840891768266281,0.08641975308641975,0.0840891768266281,0.08525446495652392,6.0,6.5,4.0,10.5,4.0
6,Steve Guttenberg,3.0,18.0,1,0,0.0804204874976148,0.07407407407407407,0.0804204874976148,0.07724728078584443,9.0,8.5,8.0,16.5,9.0
6,Priscilla Presley,5.0,24.0,1,0,0.0837020245541591,0.09876543209876543,0.0837020245541591,0.09123372832646226,3.0,2.5,6.0,8.5,3.0
6,Marlee Matlin,6.0,22.0,1,0,0.0820255192168232,0.09053497942386832,0.0820255192168232,0.08628024932034575,4.0,4.5,7.0,11.5,5.0
6,Shannon Elizabeth,7.0,21.0,1,0,0.0797998003455976,0.08641975308641975,0.0797998003455976,0.08310977671600867,7.0,6.5,11.0,17.5,10.5
6,Marissa Jaret Winokur,9.0,18.0,1,0,0.0803853080639261,0.07407407407407407,0.0803853080639261,0.07722969106900009,10.0,8.5,9.0,17.5,10.5
6,Jason Taylor,,22.0,1,0,0.0801154685321561,0.09053497942386832,0.0801154685321561,0.0853252239780122,5.0,4.5,10.0,14.5,8.0
6,Kristi Yamaguchi,,27.0,1,0,0.0849604592140706,0.1111111111111111,0.0849604592140706,0.09803578516259084,1.0,1.0,3.0,4.0,1.0
6,Monica Seles,2.0,15.0,1,0,0.0931864249085322,0.06172839506172839,0.0931864249085322,0.07745740998513029,8.0,11.5,1.0,12.5,6.0
6,Penn Jillette,2.0,16.0,1,0,0.0763923670498227,0.06584362139917696,0.0763923670498227,0.07111799422449983,12.0,10.0,12.0,22.0,12.0
6,Adam Carolla,4.0,15.0,1,0,0.0909895071700006,0.06172839506172839,0.0909895071700006,0.07635895111586449,11.0,11.5,2.0,13.5,7.0
6,Mario,8.0,24.0,1,0,0.0839334566206684,0.09876543209876543,0.0839334566206684,0.09134944435971691,2.0,2.5,5.0,7.5,2.0
7,Ted McGinley,1.0,18.5,1,1,0.0780316510781731,0.07341269841269842,0.0780316510781731,0.07572217474543576,8.0,9.0,3.0,12.0,5.0
7,Cloris Leachman,6.0,16.0,1,0,0.0738919896522029,0.06349206349206349,0.0738919896522029,0.06869202657213319,12.0,12.0,13.0,25.0,13.0
7,Susan Lucci,7.0,18.5,1,0,0.0758810865043483,0.07341269841269842,0.0758810865043483,0.07464689245852335,10.0,9.0,7.0,16.0,11.0
7,Cody Linley,9.0,20.5,1,0,0.0753612294486607,0.08134920634920635,0.0753612294486607,0.07835521789893352,6.0,6.0,11.0,17.0,12.0
7,Misty May-Treanor,,21.0,1,0,0.0767734924665804,0.08333333333333333,0.0767734924665804,0.08005341289995686,4.0,5.0,5.0,10.0,2.0
7,Maurice Greene,8.0,19.5,1,0,0.0756919323792742,0.07738095238095238,0.0756919323792742,0.07653644238011328,7.0,7.0,8.0,15.0,8.0
7,Warren Sapp,,21.5,1,0,0.0739195950271554,0.08531746031746032,0.0739195950271554,0.07961852767230786,5.0,3.5,12.0,15.5,10.0
7,Jeffrey Ross,1.0,12.0,1,1,0.0859533576115651,0.047619047619047616,0.0859533576115651,0.06678620261530635,13.0,13.0,1.0,14.0,6.0
7,Toni Braxton,5.0,22.5,1,0,0.0756244487681206,0.08928571428571429,0.0756244487681206,0.08245508152691744,2.0,2.0,9.0,11.0,3.5
7,Lance Bass,,21.5,1,0,0.0795513501451047,0.08531746031746032,0.0795513501451047,0.08243440523128251,3.0,3.5,2.0,5.5,1.0
7,Kim Kardashian,2.0,18.5,1,0,0.0765065494802803,0.07341269841269842,0.0765065494802803,0.07495962394648936,9.0,9.0,6.0,15.0,8.0
7,Rocco DiSpirito,4.0,17.5,1,0,0.077352639593884,0.06944444444444445,0.077352639593884,0.07339854201916422,11.0,11.0,4.0,15.0,8.0
7,Brooke Burke,,24.5,1,0,0.0754606778446495,0.09722222222222222,0.0754606778446495,0.08634145003343587,1.0,1.0,10.0,11.0,3.5
8,Gilles Marini,,24.0,1,0,0.0766510428854359,0.09876543209876543,0.0766510428854359,0.08770823749210066,3.0,1.0,9.0,10.0,3.0
8,Denise Richards,3.0,18.0,1,0,0.0775864169060933,0.07407407407407407,0.0775864169060933,0.07583024549008369,6.0,7.5,7.0,14.5,6.5
8,David Alan Grier,5.0,19.0,1,0,0.0699527782345649,0.07818930041152264,0.0699527782345649,0.07407103932304376,10.0,6.0,12.0,18.0,12.0
8,Lawrence Taylor,7.0,16.0,1,0,0.0819036771832239,0.06584362139917696,0.0819036771832239,0.07387364929120044,11.0,11.0,4.0,15.0,8.0
8,Ty Murray,10.0,14.0,1,0,0.0820194830312087,0.05761316872427984,0.0820194830312087,0.06981632587774428,12.0,12.0,2.0,14.0,4.5
8,Shawn Johnson,,23.0,1,0,0.0824625150954271,0.09465020576131687,0.0824625150954271,0.08855636042837198,1.0,2.5,1.0,3.5,1.0
8,Steve Wozniak,4.0,13.0,1,0,0.0662048469523964,0.053497942386831275,0.0662048469523964,0.05985139466961384,13.0,13.0,13.0,26.0,13.0
8,Belinda Carlisle,2.0,17.0,1,0,0.0783816122268361,0.06995884773662552,0.0783816122268361,0.07417022998173081,9.0,9.5,6.0,15.5,9.5
8,Chuck Wicks,8.0,20.0,1,0,0.0718625881531659,0.0823045267489712,0.0718625881531659,0.07708355745106854,5.0,5.0,11.0,16.0,11.0
8,Lil' Kim,9.0,21.0,1,0,0.0734069240357119,0.08641975308641975,0.0734069240357119,0.07991333856106583,4.0,4.0,10.0,14.0,4.5
8,Steve-O,6.0,17.0,1,0,0.0807444946537502,0.06995884773662552,0.0807444946537502,0.07535167119518786,8.0,9.5,5.0,14.5,6.5
8,Holly Madison,4.0,18.0,1,0,0.0768358898337843,0.07407407407407407,0.0768358898337843,0.07545498195392919,7.0,7.5,8.0,15.5,9.5
8,Melissa Rycroft,,23.0,1,0,0.0819877308084009,0.09465020576131687,0.0819877308084009,0.08831896828485888,2.0,2.5,3.0,5.5,2.0
9,Ashley Hamiliton,1.0,18.9999,1,1,0.0616753815019097,0.046797967676719905,0.0616753815019097,0.054236674589314804,15.0,15.5,9.0,24.5,14.0
9,Debi Mazar,3.0,22.0,1,0,0.0672886821966488,0.05418740566465287,0.0672886821966488,0.06073804393065083,10.0,10.5,3.0,13.5,5.0
9,Melissa Joan Hart,6.0,24.0,1,0,0.0630223710702173,0.05911353345234858,0.0630223710702173,0.061067952261282935,9.0,9.0,6.0,15.0,6.0
9,Mark Dacascos,7.0,28.9998,1,0,0.0575874213283068,0.0714283603088091,0.0575874213283068,0.06450789081855796,6.0,6.0,16.0,22.0,12.0
9,Chuck Liddell,4.0,22.0,1,0,0.0580996892275873,0.05418740566465287,0.0580996892275873,0.05614354744612009,12.0,10.5,15.0,25.5,15.0
9,Natalie Coughlin,5.0,26.9998,1,0,0.0608586965378099,0.06650223252111338,0.0608586965378099,0.06368046452946163,7.0,7.5,11.0,18.5,9.0
9,Louie Vito,6.0,26.9998,1,0,0.0592001257667156,0.06650223252111338,0.0592001257667156,0.0628511791439145,8.0,7.5,12.0,19.5,10.0
9,Michael Irvin,7.0,19.0,1,0,0.0584083198166671,0.046798213983109294,0.0584083198166671,0.0526032668998882,16.0,14.0,13.0,27.0,16.0
9,Joanna Krupa,9.0,33.9999,1,0,0.0694788897807253,0.08374392608443776,0.0694788897807253,0.07661140793258153,1.0,1.0,1.0,2.0,1.0
9,Kathy Ireland,2.0,19.9999,1,0,0.0617609241715774,0.04926103157056776,0.0617609241715774,0.05551097787107258,13.0,12.5,8.0,20.5,11.0
9,Tom DeLay,,19.9999,1,0,0.0652954143853567,0.04926103157056776,0.0652954143853567,0.05727822297796223,11.0,12.5,5.0,17.5,7.0
9,Macy Gray,1.0,18.9999,1,1,0.0629265471426966,0.046797967676719905,0.0629265471426966,0.05486225740970825,14.0,15.5,7.0,22.5,13.0
9,Aaron Carter,8.0,31.9999,1,0,0.0613065101003698,0.07881779829674206,0.0613065101003698,0.07006215419855592,4.0,2.0,10.0,12.0,4.0
9,Mya,,30.9999,1,0,0.0668496353997265,0.0763547344028942,0.0668496353997265,0.07160218490131035,2.0,3.0,4.0,7.0,2.5
9,Donny Osmond,,29.9999,1,0,0.0679766757041107,0.07389167050904634,0.0679766757041107,0.07093417310657851,3.0,5.0,2.0,7.0,2.5
9,Kelly Osbourne,,30.9998,1,0,0.0582647158695736,0.07635448809650482,0.0582647158695736,0.0673096019830392,5.0,4.0,14.0,18.0,8.0
10,Aiden Turner,4.0,15.0,1,0,0.0848812197721264,0.07177033492822966,0.0848812197721264,0.07832577735017804,11.0,10.0,11.0,21.0,11.0
10,Shannen Doherty,2.0,18.0,1,0,0.0952279885082762,0.0861244019138756,0.0952279885082762,0.0906761952110759,6.0,7.0,2.0,9.0,3.5
10,Niecy Nash,8.0,18.0,1,0,0.0896402899889762,0.0861244019138756,0.0896402899889762,0.08788234595142591,8.0,7.0,7.0,14.0,8.5
10,Buzz Aldrin,3.0,14.0,1,0,0.0936492684603893,0.06698564593301436,0.0936492684603893,0.08031745719670183,10.0,11.0,3.0,14.0,8.5
10,Chad Ochocinco,9.0,18.0,1,0,0.0909799980279941,0.0861244019138756,0.0909799980279941,0.08855219997093486,7.0,7.0,5.0,12.0,6.5
10,Evan Lysacek,,23.0,1,0,0.0873077871212241,0.11004784688995216,0.0873077871212241,0.09867781700558813,2.0,2.0,10.0,12.0,6.5
10,Pamela Anderson,7.0,21.0,1,0,0.0917832366099996,0.10047846889952153,0.0917832366099996,0.09613085275476056,4.0,3.5,4.0,7.5,2.0
10,Nicole Scherzinger,,25.0,1,0,0.0895926791486223,0.11961722488038277,0.0895926791486223,0.10460495201450254,1.0,1.0,8.0,9.0,3.5
10,Erin Andrews,,21.0,1,0,0.0903125723834644,0.10047846889952153,0.0903125723834644,0.09539552064149297,5.0,3.5,6.0,9.5,5.0
10,Kate Gosselin,5.0,16.0,1,0,0.0875098899075999,0.07655502392344497,0.0875098899075999,0.08203245691552244,9.0,9.0,9.0,18.0,10.0
10,Jake Pavelka,6.0,20.0,1,0,0.0991150700713268,0.09569377990430622,0.0991150700713268,0.09740442498781651,3.0,5.0,1.0,6.0,1.0
11,David Hasselhoff,1.0,15.0,1,1,0.0803704870165864,0.06607929515418502,0.0803704870165864,0.07322489108538571,12.0,11.0,10.0,21.0,12.0
11,Florence Henderson,5.0,18.0,1,0,0.0836196814780194,0.07929515418502203,0.0836196814780194,0.08145741783152072,8.0,7.5,6.0,13.5,6.5
11,Kyle Massey,,23.0,1,0,0.0788836627337691,0.1013215859030837,0.0788836627337691,0.09010262431842639,4.0,2.5,12.0,14.5,9.0
11,Jennifer Grey,,24.0,1,0,0.0824552105830842,0.10572687224669604,0.0824552105830842,0.09409104141489012,2.0,1.0,7.0,8.0,3.0
11,Rick Fox,7.0,22.0,1,0,0.0862576425322649,0.09691629955947137,0.0862576425322649,0.09158697104586813,3.0,4.0,2.0,6.0,2.0
11,Kurt Warner,8.0,19.0,1,0,0.0848909051298821,0.08370044052863436,0.0848909051298821,0.08429567282925823,5.0,5.5,4.0,9.5,4.0
11,Margaret Cho,3.0,15.0,1,0,0.0850473941761867,0.06607929515418502,0.0850473941761867,0.07556334466518586,9.0,11.0,3.0,14.0,8.0
11,Michael Bolton,2.0,16.0,1,0,0.079678857553893,0.07048458149779736,0.079678857553893,0.07508171952584519,10.0,9.0,11.0,20.0,10.5
11,Brandy,9.0,23.0,1,0,0.0915151644433106,0.1013215859030837,0.0915151644433106,0.09641837517319715,1.0,2.5,1.0,3.5,1.0
11,The Situation,4.0,15.0,1,0,0.0810484407659255,0.06607929515418502,0.0810484407659255,0.07356386796005526,11.0,11.0,9.0,20.0,10.5
11,Audrina Patridge,6.0,19.0,1,0,0.0816223860631653,0.08370044052863436,0.0816223860631653,0.08266141329589982,6.0,5.5,8.0,13.5,6.5
11,Bristol Palin,,18.0,1,0,0.0846101675239123,0.07929515418502203,0.0846101675239123,0.08195266085446717,7.0,7.5,5.0,12.5,5.0
12,Ralph Macchio,9.0,24.0,1,0,0.0870305065687474,0.11594202898550725,0.0870305065687474,0.10148626777712733,2.0,1.0,9.0,10.0,5.0
12,Chelsea Kane,,21.0,1,0,0.0874590771487226,0.10144927536231885,0.0874590771487226,0.09445417625552072,4.0,3.5,8.0,11.5,6.0
12,Kirstie Alley,,23.0,1,0,0.0946985535496066,0.1111111111111111,0.0946985535496066,0.10290483233035885,1.0,2.0,3.0,5.0,1.0
12,Hines Ward,,21.0,1,0,0.0923687495650253,0.10144927536231885,0.0923687495650253,0.09690901246367208,3.0,3.5,5.0,8.5,3.0
12,Sugar Ray Leonard,4.0,17.0,1,0,0.0933946566577415,0.0821256038647343,0.0933946566577415,0.08776013026123791,9.0,9.0,4.0,13.0,7.0
12,Chris Jericho,6.0,19.0,1,0,0.0965684718179087,0.09178743961352658,0.0965684718179087,0.09417795571571763,5.0,5.5,1.0,6.5,2.0
12,Petra Nemcova,5.0,18.0,1,0,0.0960335054098801,0.08695652173913043,0.0960335054098801,0.09149501357450526,6.0,7.5,2.0,9.5,4.0
12,Mike Catherwood,2.0,13.0,1,0,0.0913401044769005,0.06280193236714976,0.0913401044769005,0.07707101842202513,10.0,11.0,6.0,17.0,10.0
12,Romeo,8.0,19.0,1,0,0.0857678176910671,0.09178743961352658,0.0857678176910671,0.08877762865229684,7.0,5.5,10.0,15.5,9.0
12,Wendy Williams,3.0,14.0,1,0,0.0856798204043787,0.06763285024154589,0.0856798204043787,0.07665633532296229,11.0,10.0,11.0,21.0,11.0
12,Kendra Wilkinson,7.0,18.0,1,0,0.0896587367100211,0.08695652173913043,0.0896587367100211,0.08830762922457577,8.0,7.5,7.0,14.5,8.0
13,Elisabetta Canalis,2.0,15.0,1,0,0.0785568022626201,0.06912442396313365,0.0785568022626201,0.07384061311287687,12.0,11.0,10.0,21.0,12.0
13,David Arquette,7.0,18.0,1,0,0.0762988678889971,0.08294930875576037,0.0762988678889971,0.07962408832237874,9.0,6.0,12.0,18.0,10.0
13,Ricki Lake,,20.0,1,0,0.0810195896119896,0.09216589861751152,0.0810195896119896,0.08659274411475057,5.0,4.0,9.0,13.0,7.0
13,J.R. Martinez,,22.0,1,0,0.0827578020109267,0.10138248847926268,0.0827578020109267,0.09207014524509469,1.0,1.5,7.0,8.5,2.0
13,Metta World Peace (Ron),1.0,14.0,1,1,0.0856904467742293,0.06451612903225806,0.0856904467742293,0.07510328790324368,11.0,12.0,5.0,17.0,9.0
13,Hope Solo,9.0,21.0,1,0,0.0855723035822895,0.0967741935483871,0.0855723035822895,0.09117324856533829,3.0,3.0,6.0,9.0,3.0
13,Chynna Phillips,4.0,22.0,1,0,0.0825132063973836,0.10138248847926268,0.0825132063973836,0.09194784743832314,2.0,1.5,8.0,9.5,4.5
13,Kristin Cavallari,3.0,19.0,1,0,0.0870375599347829,0.08755760368663594,0.0870375599347829,0.08729758181070943,4.0,5.0,3.0,8.0,1.0
13,Carson Kressley,5.0,17.0,1,0,0.0871352728596427,0.07834101382488479,0.0871352728596427,0.08273814334226375,6.0,7.5,2.0,9.5,4.5
13,Chaz Bono,6.0,17.0,1,0,0.0781337067160332,0.07834101382488479,0.0781337067160332,0.078237360270459,10.0,7.5,11.0,18.5,11.0
13,Nancy Grace,8.0,16.0,1,0,0.0863460019517166,0.07373271889400922,0.0863460019517166,0.08003936042286292,8.0,9.5,4.0,13.5,8.0
13,Rob Kardashian,,16.0,1,0,0.0889384400093884,0.07373271889400922,0.0889384400093884,0.08133557945169881,7.0,9.5,1.0,10.5,6.0
14,William Levy,,24.0,1,0,0.0815296993823446,0.08888888888888889,0.0815296993823446,0.08520929413561674,4.0,3.0,8.0,11.0,4.0
14,Jack Wagner,3.0,23.0,1,0,0.0768032494924851,0.08518518518518518,0.0768032494924851,0.08099421733883513,9.0,5.5,12.0,17.5,10.0
14,Sherri Sheperd,4.0,23.0,1,0,0.0832147178946647,0.08518518518518518,0.0832147178946647,0.08419995153992493,5.0,5.5,4.0,9.5,3.0
14,Jaleel White,7.0,26.0,1,0,0.0790849589854571,0.0962962962962963,0.0790849589854571,0.0876906276408767,2.0,1.5,11.0,12.5,7.0
14,Roshon Fegan,8.0,23.0,1,0,0.0830111788468195,0.08518518518518518,0.0830111788468195,0.08409818201600233,6.0,5.5,6.0,11.5,5.0
14,Melissa Gilbert,8.0,20.0,1,0,0.0811541404597562,0.07407407407407407,0.0811541404597562,0.07761410726691514,12.0,11.0,9.0,20.0,12.0
14,Martina Navratilova,2.0,20.0,1,0,0.0940883980788038,0.07407407407407407,0.0940883980788038,0.08408123607643894,7.0,11.0,1.0,12.0,6.0
14,Donald Driver,,21.0,1,0,0.083054648444269,0.07777777777777778,0.083054648444269,0.0804162131110234,10.0,8.5,5.0,13.5,9.0
14,Gavin DeGraw,5.0,20.0,1,0,0.0905523959215986,0.07407407407407407,0.0905523959215986,0.08231323499783633,8.0,11.0,2.0,13.0,8.0
14,Gladys Knight,6.0,23.0,1,0,0.085617720749073,0.08518518518518518,0.085617720749073,0.08540145296712909,3.0,5.5,3.0,8.5,1.5
14,Katherine Jenkins,,26.0,1,0,0.0822345227697267,0.0962962962962963,0.0822345227697267,0.0892654095330115,1.0,1.5,7.0,8.5,1.5
14,Maria Menounos,9.0,21.0,1,0,0.0796543689750012,0.07777777777777778,0.0796543689750012,0.07871607337638949,11.0,8.5,10.0,18.5,11.0
15,Gilles Marini,8.0,24.0,1,0,0.0799019461618093,0.0867992766726944,0.0799019461618093,0.08335061141725185,2.0,2.0,3.0,5.0,2.0
15,Sabrina Bryan,6.0,22.5,1,0,0.0696209200180225,0.081374321880651,0.0696209200180225,0.07549762094933675,9.0,3.0,13.0,16.0,8.0
15,Kirstie Alley,8.0,19.0,1,0,0.0764564649422182,0.06871609403254973,0.0764564649422182,0.07258627948738397,12.0,12.0,8.0,20.0,11.5
15,Kelly Monaco,,21.5,1,0,0.0840784004135514,0.07775768535262206,0.0840784004135514,0.08091804288308674,3.0,7.0,1.0,8.0,3.0
15,Apolo Anton Ohno,9.0,22.0,1,0,0.0741212293873951,0.07956600361663653,0.0741212293873951,0.07684361650201582,8.0,4.5,12.0,16.5,9.0
15,Emmitt Smith,9.0,24.5,1,0,0.0800564126508003,0.08860759493670886,0.0800564126508003,0.08433200379375458,1.0,1.0,2.0,3.0,1.0
15,Shawn Johnson,,22.0,1,0,0.0742743633801097,0.07956600361663653,0.0742743633801097,0.07692018349837312,7.0,4.5,11.0,15.5,7.0
15,Pamela Anderson,1.0,17.0,1,1,0.0756968728016383,0.06148282097649186,0.0756968728016383,0.06858984688906508,13.0,13.0,9.0,22.0,13.0
15,Helio Castroneves,3.0,21.5,1,0,0.0791641935953549,0.07775768535262206,0.0791641935953549,0.07846093947398848,4.0,7.0,4.0,11.0,4.0
15,Joey Fatone,2.0,20.5,1,0,0.0745447586072122,0.07414104882459313,0.0745447586072122,0.07434290371590266,10.0,10.0,10.0,20.0,11.5
15,Drew Lachey,3.0,21.5,1,0,0.0764888498211006,0.07775768535262206,0.0764888498211006,0.07712326758686133,6.0,7.0,7.0,14.0,5.5
15,Bristol Palin,4.0,19.5,1,0,0.0769995735863713,0.0705244122965642,0.0769995735863713,0.07376199294146775,11.0,11.0,6.0,17.0,10.0
15,Melissa Rycroft,,21.0,1,0,0.0785960146344158,0.0759493670886076,0.0785960146344158,0.0772726908615117,5.0,9.0,5.0,14.0,5.5
16,Ingo Rademacher,9.0,20.0,1,0,0.0799548354238482,0.08733624454148471,0.0799548354238482,0.08364553998266645,7.0,5.5,9.0,14.5,8.0
16,Zendaya,,24.0,1,0,0.0834690834490533,0.10480349344978165,0.0834690834490533,0.09413628844941747,1.0,1.0,7.0,8.0,3.0
16,Dorothy Hamill,,21.0,1,0,0.0780308322776117,0.09170305676855896,0.0780308322776117,0.08486694452308532,5.0,3.0,10.0,13.0,6.0
