contestant_id,season,celebrity_name,weeks_participated,placement,week1_fan_votes,week2_fan_votes,week3_fan_votes,week4_fan_votes,week5_fan_votes,week6_fan_votes,week7_fan_votes,week8_fan_votes,week9_fan_votes,week10_fan_votes,week11_fan_votes
27,5,140,1,12,2.00440919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,5,4,2,11,2.230987567,1.741082664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,5,104,10,1,2.497761309,2.328465737,2.17501143,2.029816968,1.905382138,1.760329357,1.657978873,1.541743681,1.463892693,1.367326106,0.0
30,5,187,10,2,2.350662788,2.188182711,2.024952797,1.898177986,1.733689009,1.609534455,1.519371954,1.402024156,1.334693389,1.207366189,0.0
31,5,288,3,10,2.291637473,2.189024906,1.769475824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,5,174,10,3,2.336317856,2.164294684,2.006724462,1.881647197,1.78723996,1.661601874,1.50994963,1.454594933,1.371601372,1.18158736,0.0
33,5,179,5,8,2.376082227,2.233170815,2.073182967,1.948673042,1.519469293,0.0,0.0,0.0,0.0,0.0,0.0
34,6,63,10,3,2.379965032,2.240438862,2.06523769,1.91622321,1.795733725,1.648974739,1.606489106,1.437894305,1.363202929,1.238867439,0.0
35,6,259,3,10,2.329882606,2.234368034,1.700234894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,6,230,5,8,2.300965626,2.166196061,1.987713047,1.877411479,1.489823303,0.0,0.0,0.0,0.0,0.0,0.0
37,6,182,6,7,2.347404117,2.197439412,2.06098634,1.903409258,1.783182974,1.446160493,0.0,0.0,0.0,0.0,0.0
38,6,255,7,6,2.365065407,2.206324273,2.053233583,1.894750617,1.784758017,1.665325539,1.221809003,0.0,0.0,0.0,0.0
39,6,178,9,4,2.372455166,2.22350826,2.095930763,1.916673433,1.780967892,1.648680061,1.550464296,1.496792217,1.163578878,0.0,0.0
40,6,123,10,2,2.398905997,2.2329047,2.084592411,1.921891974,1.784667226,1.682686357,1.552547408,1.483516732,1.382599135,1.254574659,0.0
41,6,155,10,1,2.383123457,2.222044764,2.063775362,1.908407678,1.773376631,1.642805045,1.542406935,1.452613995,1.358329625,1.246574393,0.0
42,6,202,2,11,2.373339089,1.971635339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,6,228,2,12,1.802440346,1.554940126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,6,1,4,9,2.329441908,2.210430887,2.046925897,1.664338683,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,6,176,8,5,2.362606083,2.198193818,2.069783941,1.905300056,1.758252493,1.628312066,1.549175461,1.140409118,0.0,0.0,0.0
46,7,267,1,12,2.029749471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,7,58,6,7,2.37928044,2.274517051,1.939756592,1.838086979,1.731938012,1.474029851,0.0,0.0,0.0,0.0,0.0
48,7,263,7,6,2.365486303,2.187413834,1.978147379,1.850051625,1.742665195,1.575511315,1.184594512,0.0,0.0,0.0,0.0
49,7,60,9,4,2.435836582,2.271412755,2.080479485,1.951725972,1.797310216,1.675464759,1.609576942,1.507378429,1.198466126,0.0,0.0
50,7,201,2,10,2.402425639,1.834592643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,7,186,8,5,2.415786901,2.265224975,2.05420249,1.945502929,1.774839804,1.653034688,1.544654105,1.212426313,0.0,0.0,0.0
52,7,287,10,2,2.41636452,2.236649434,2.06112704,1.934003894,1.785092978,1.645455927,1.615781004,1.443671648,1.387085704,1.248026612,0.0
53,7,124,1,13,2.209109953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,7,274,5,8,2.339626856,2.176992672,1.983553844,1.869814758,1.427369883,0.0,0.0,0.0,0.0,0.0,0.0
55,7,160,10,3,2.3832064,2.233611258,2.030315162,1.882769634,1.791243978,1.612046234,1.524311109,1.448160407,1.301795917,1.213140793,0.0
56,7,152,2,11,2.443534484,1.965091573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,7,241,4,9,2.433744248,2.309168581,2.056453454,1.667517802,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,7,36,10,1,2.407060491,2.245328401,2.067935894,1.926789045,1.782750106,1.650925328,1.536232389,1.448519228,1.394896258,1.261998689,0.0
59,8,97,11,2,2.387555451,2.22002315,2.057383343,1.90858143,1.767483028,1.639253634,1.535810219,1.438614972,1.335817742,1.243653588,1.170751692
60,8,74,3,12,2.357684376,2.199889237,1.733381167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,8,67,5,9,2.326578227,2.20410196,2.006980095,1.889437162,1.408314706,0.0,0.0,0.0,0.0,0.0,0.0
62,8,162,7,7,2.348289142,2.200943459,2.045942831,1.940349468,1.793802109,1.632812671,1.337974448,0.0,0.0,0.0,0.0
63,8,277,10,4,2.388131961,2.234985571,2.059982417,1.922439823,1.805652384,1.702916447,1.558927648,1.453565196,1.447010706,1.159929439,0.0
64,8,256,11,1,2.437027111,2.270625154,2.105519522,1.96539503,1.816601381,1.685756769,1.574789973,1.491149369,1.382588103,1.308378028,1.213788236
65,8,260,4,10,2.410745206,2.270950161,2.181147823,1.796781863,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,8,23,2,13,2.287849737,1.826229201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,8,56,8,6,2.34770283,2.200010307,2.027684126,1.906241949,1.762563004,1.621734745,1.503561114,1.1309761,0.0,0.0,0.0
68,8,166,9,5,2.332921813,2.179226594,2.011974529,1.870480231,1.729385621,1.59112677,1.500658285,1.392266957,1.039871616,0.0,0.0
69,8,261,6,8,2.412240276,2.288160338,2.125487052,2.02980143,1.861904404,1.498986903,0.0,0.0,0.0,0.0,0.0
70,8,106,4,11,2.410847694,2.262264209,2.107020697,1.715598296,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,8,190,11,3,2.435470624,2.268174129,2.104150274,1.957450848,1.821397494,1.686002819,1.57060658,1.538024447,1.377885261,1.312488788,1.215257947
72,9,19,1,16,2.051604836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,9,73,3,12,2.38403155,2.189485012,1.734641312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,9,189,6,9,2.40596221,2.225682953,2.08161439,1.902267381,1.7921119,1.436488882,0.0,0.0,0.0,0.0,0.0
75,9,180,7,6,2.373864765,2.196132157,2.069907559,1.896373543,1.752835843,1.630372938,1.350763358,0.0,0.0,0.0,0.0
76,9,55,4,11,2.407622961,2.218588138,2.096284088,1.617666793,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,9,210,5,10,2.415290066,2.240299792,2.073919136,1.930264662,1.441850675,0.0,0.0,0.0,0.0,0.0,0.0
78,9,170,6,8,2.436412233,2.263587477,2.111751309,1.989694923,1.833077795,1.446818713,0.0,0.0,0.0,0.0,0.0
79,9,194,7,7,2.429494714,2.221061541,2.132746846,1.959011074,1.807277424,1.767341833,1.297890119,0.0,0.0,0.0,0.0
80,9,129,9,4,2.224868023,2.075396405,1.919655803,1.746064075,1.656372874,1.489483107,1.417289799,1.325811249,0.947187362,0.0,0.0
81,9,145,2,14,2.278282014,1.753081829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,9,272,3,13,2.310484207,2.085452393,1.724251123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,9,171,1,15,2.038088224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,9,0,8,5,2.385896896,2.208818788,2.066369852,1.938862385,1.780392797,1.647154353,1.547498954,1.136231712,0.0,0.0,0.0
85,9,205,10,2,2.373470122,2.194421918,2.037012212,1.885903829,1.754980846,1.632326054,1.565950947,1.392910135,1.304846976,1.213074339,0.0
86,9,78,10,1,2.333382015,2.152563344,2.020997803,1.851505805,1.705950094,1.612017233,1.515086881,1.414878991,1.363215302,1.172750275,0.0
87,9,148,10,3,2.450727884,2.287103802,2.130484731,1.971346857,1.838942943,1.76160045,1.604387296,1.498958841,1.408488393,1.29304634,0.0
88,10,3,4,9,2.38370612,2.239057012,2.068811287,1.669184095,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,10,254,2,11,2.365489444,1.763787089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,10,217,8,5,2.376893646,2.217179034,2.055922088,1.94077767,1.803935063,1.686398816,1.555007668,1.282113602,0.0,0.0,0.0
91,10,37,3,10,2.357013851,2.306986152,1.839556494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,10,43,9,4,2.412989356,2.276771903,2.092386172,1.937711176,1.824313718,1.669746862,1.560954935,1.503959707,1.232489977,0.0,0.0
93,10,89,10,2,2.428771062,2.259567123,2.096129319,1.94408208,1.804306278,1.711803314,1.567156179,1.462556445,1.381158526,1.268242125,0.0
94,10,224,7,6,2.179224723,2.048307322,1.889602396,1.729854939,1.61865153,1.502012079,1.164762267,0.0,0.0,0.0,0.0
95,10,216,10,1,2.362300729,2.190113676,2.036816171,1.884766636,1.735067496,1.61095978,1.509393625,1.384799399,1.331011148,1.206040545,0.0
96,10,88,10,3,3.195783822,3.026955909,2.871583903,2.724571386,2.576982342,2.453474182,2.336539467,2.232421087,2.143082995,2.052978413,0.0
97,10,143,5,8,2.412376799,2.289902884,2.13013943,1.996185434,1.601426439,0.0,0.0,0.0,0.0,0.0,0.0
98,10,114,6,7,2.418116401,2.25633304,2.094441273,1.963842452,1.803015991,1.426086887,0.0,0.0,0.0,0.0,0.0
99,11,69,1,12,2.070744639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,11,91,5,8,2.329181227,2.150005406,2.030364555,1.873170947,1.455873478,0.0,0.0,0.0,0.0,0.0,0.0
101,11,158,10,2,2.448365831,2.281295939,2.12226968,1.967339283,1.855972118,1.711469309,1.616402955,1.473972674,1.40275323,1.281380424,0.0
102,11,127,10,1,2.36858128,2.195300173,2.051071791,1.882582893,1.753728181,1.661013268,1.52646697,1.404705035,1.330198955,1.207674451,0.0
103,11,235,7,6,2.395591382,2.229332904,2.067118373,1.921135576,1.779563593,1.667490891,1.244021096,0.0,0.0,0.0,0.0
104,11,157,8,5,2.413385909,2.239854841,2.088263209,1.959825817,1.791314359,1.814234446,1.569249371,1.249653641,0.0,0.0,0.0
105,11,172,3,10,2.47061241,2.280800733,1.82194653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,11,193,2,11,2.352236887,2.008998146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,11,33,9,4,2.372890279,2.205552948,2.051220485,1.884180798,1.746316732,1.615205634,1.52548706,1.403323289,1.078848878,0.0,0.0
108,11,270,4,9,2.466534416,2.281470893,2.134149354,1.736425124,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,11,20,6,7,2.449875902,2.268675852,2.108827849,1.956321456,1.827874895,1.232153277,0.0,0.0,0.0,0.0,0.0
110,11,35,10,3,2.489022089,2.307523682,2.178838829,2.027034976,1.911997397,1.759206296,1.650947969,1.565760648,1.487137011,1.315655027,0.0
111,12,231,9,4,2.370255894,2.211199441,2.057039765,1.899813588,1.78544828,1.664125238,1.527161589,1.513599853,1.212967648,0.0,0.0
112,12,49,10,3,2.431167188,2.282071518,2.102707689,1.952287121,1.811704098,1.677805007,1.582101145,1.463080117,1.353000381,1.266637371,0.0
113,12,154,10,2,2.3482428,2.194900033,2.035687368,1.897525122,1.750970314,1.622553872,1.54885275,1.411674694,1.322610439,1.181511167,0.0
114,12,105,10,1,2.410896744,2.243654595,2.079206612,1.933506174,1.789185837,1.66629197,1.55723076,1.447986322,1.334987759,1.245288472,0.0
115,12,262,4,9,2.349512199,2.225218651,2.050379538,1.575038537,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,12,50,6,7,2.387631565,2.225839313,2.070757817,1.927177231,1.769583394,1.439676644,0.0,0.0,0.0,0.0,0.0
117,12,229,5,8,2.207495726,2.111892948,1.899429735,1.790741778,1.419397262,0.0,0.0,0.0,0.0,0.0,0.0
118,12,197,2,11,2.375464364,1.879422264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,12,242,8,5,2.385107057,2.22247675,2.075970542,1.920205851,1.77148054,1.64611968,1.571956513,1.114149391,0.0,0.0,0.0
120,12,289,3,10,2.39023834,2.255470273,1.860384977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,12,149,7,6,2.441399249,2.287887481,2.119680518,2.014266818,1.84450869,1.714215216,1.260421406,0.0,0.0,0.0,0.0
122,13,84,2,11,2.428164587,1.825393731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,13,68,7,6,2.401258792,2.255873291,2.077484358,1.922659581,1.768745408,1.65201296,1.256091084,0.0,0.0,0.0,0.0
124,13,237,10,3,2.388813314,2.223501369,2.060600425,1.900175677,1.778382643,1.620168139,1.522914981,1.423083388,1.301977889,1.216433873,0.0
125,13,110,10,1,2.421143185,2.258806226,2.097151554,1.936357939,1.791650784,1.655916354,1.578310469,1.42926287,1.37761951,1.244833459,0.0
126,13,192,1,12,2.128898743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127,13,107,9,4,2.42724894,2.283127054,2.112589447,1.95025755,1.812890338,1.723350936,1.571021361,1.46021476,1.271805691,0.0,0.0
128,13,57,4,9,2.341700162,2.192381731,2.022714199,1.600248683,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,13,156,3,10,2.44806939,2.276164182,1.698748002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,13,42,5,8,2.431653235,2.278922026,2.105815735,1.9694963,1.581253475,0.0,0.0,0.0,0.0,0.0,0.0
131,13,48,6,7,2.432297383,2.288362415,2.160017864,1.963599667,1.831970872,1.468667542,0.0,0.0,0.0,0.0,0.0
132,13,206,8,5,2.425319057,2.245571684,2.113961252,1.948810748,1.806269961,1.656935203,1.599712732,1.295922659,0.0,0.0,0.0
133,13,239,10,2,2.474387045,2.296400144,2.138279667,1.979227017,1.84069714,1.723579282,1.590079786,1.493152517,1.371258973,1.290134272,0.0
134,14,291,10,3,2.409665573,2.243914606,2.087481276,1.950258444,1.783309282,1.653363665,1.564176205,1.480512859,1.385246842,1.241647429,0.0
135,14,112,3,11,2.338894542,2.195956051,1.692029571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136,14,257,4,10,2.360887236,2.206013597,2.061447365,1.574486765,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137,14,116,7,7,2.381877488,2.229821806,2.078051952,1.92969095,1.782426588,1.63354296,1.221795002,0.0,0.0,0.0,0.0
138,14,243,8,6,2.423677064,2.256880137,2.111517197,1.945248424,1.806096299,1.698954204,1.576595028,1.174316669,0.0,0.0,0.0
139,14,188,8,5,2.365197077,2.227553211,2.069006792,1.91770878,1.790712025,1.638706241,1.574527198,1.242550068,0.0,0.0,0.0
140,14,183,2,12,2.343367935,1.917657268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141,14,77,10,1,2.404962056,2.242669269,2.092692569,1.929729298,1.788492437,1.656504437,1.559839596,1.499469947,1.400027279,1.242145771,0.0
142,14,95,5,9,2.345427116,2.203475291,2.054075054,1.891526809,1.524857362,0.0,0.0,0.0,0.0,0.0,0.0
143,14,99,6,8,2.278400046,2.167909142,2.003463971,1.875243189,1.718199095,1.414002006,0.0,0.0,0.0,0.0,0.0
144,14,144,10,2,2.372569448,2.209315104,2.049521189,1.907478262,1.751280856,1.613220708,1.528887674,1.481003029,1.3897983,1.206639225,0.0
145,14,173,9,4,2.423997478,2.260727467,2.099089186,1.948036252,1.805985528,1.686441445,1.560232344,1.532908446,1.039762878,0.0,0.0
146,15,97,8,6,2.393146388,2.23533519,2.112440962,1.919682833,1.759260999,1.680811405,1.512091128,1.149546244,0.0,0.0,0.0
147,15,246,6,8,2.412680251,2.24199188,2.124187924,1.949660567,1.775338918,1.263786416,0.0,0.0,0.0,0.0,0.0
148,15,154,8,7,2.36723283,2.213758291,2.095598571,1.949192409,1.711967031,1.645978301,1.461462381,1.237868619,0.0,0.0,0.0
149,15,147,10,3,2.413296181,2.260463122,2.109977811,1.939797956,1.776055379,1.698738793,1.526106485,1.492005729,1.46290007,1.242085061,0.0
150,15,17,9,5,2.425955218,2.263080239,2.136985309,1.96736442,1.788454547,1.68423289,1.539325368,1.485240154,1.12902213,0.0,0.0
151,15,86,9,4,2.392584254,2.246780127,2.121609103,1.939481924,1.761300208,1.691092217,1.511215523,1.473520266,1.18017271,0.0,0.0
152,15,256,10,2,2.456910218,2.29198351,2.150151923,1.976351631,1.822672331,1.72342912,1.57138437,1.527552857,1.423330245,1.281832893,0.0
153,15,224,1,13,2.010763298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
154,15,104,3,10,2.500621903,2.33550771,1.776370027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
155,15,132,2,12,2.363214108,1.844727147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
156,15,82,3,11,2.362964463,2.214412375,1.782918471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157,15,35,4,9,2.464293936,2.326418966,2.188334706,1.649682331,0.0,0.0,0.0,0.0,0.0,0.0,0.0
158,15,190,10,1,2.45939668,2.291420826,2.145346112,1.97908625,1.820150888,1.708662034,1.569234003,1.503532845,1.441044243,1.282356212,0.0
159,16,109,9,5,2.392522202,2.234605831,2.070402513,1.925644144,1.803635425,1.670688967,1.537515292,1.462392718,1.161337413,0.0,0.0
160,16,294,10,2,2.44689581,2.279669572,2.118918153,1.968371204,1.823525974,1.700139002,1.571104794,1.465246768,1.402114401,1.274689806,0.0
161,16,79,2,12,2.35090279,1.946207026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
162,16,282,6,8,2.432330392,2.283501486,2.100243255,1.99695051,1.837045402,1.449507343,0.0,0.0,0.0,0.0,0.0
163,16,7,10,4,2.454149446,2.288790815,2.1265098,1.973510942,1.837724771,1.707651555,1.573599411,1.473653842,1.387988072,1.280711042,0.0
164,16,113,10,3,2.431545332,2.268451993,2.100962998,1.957218722,1.813259849,1.709160676,1.560845773,1.46923995,1.36852825,1.260834911,0.0
165,16,64,5,9,2.421196957,2.289162682,2.137140136,1.969381565,1.573266804,0.0,0.0,0.0,0.0,0.0,0.0
166,16,13,7,7,2.431973681,2.278597257,2.132576394,1.980158219,1.872786886,1.724108069,1.469662429,0.0,0.0,0.0,0.0
167,16,293,3,11,2.325989711,2.194878771,1.821553728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
168,16,146,10,1,2.387298069,2.21925824,2.061675224,1.911957022,1.768186618,1.63939567,1.513469243,1.416046765,1.334863367,1.212603613,0.0
169,16,168,4,10,2.378095633,2.238288818,2.064545479,1.670412026,0.0,0.0,0.0,0.0,0.0,0.0,0.0
170,16,251,8,6,2.444607987,2.286978024,2.124387144,1.988423976,1.832781093,1.716884064,1.591841189,1.313234066,0.0,0.0,0.0
171,17,278,4,10,2.308292517,2.201429939,2.07190489,1.66629397,0.0,0.0,0.0,0.0,0.0,0.0,0.0
172,17,34,8,7,2.418080674,2.255752891,2.085631191,1.961552953,1.817296645,1.65413572,1.564859493,1.118037624,0.0,0.0,0.0
173,17,85,9,6,2.386738098,2.229952631,2.067386482,1.915053893,1.803552451,1.630507406,1.558922003,1.472152678,0.933137501,0.0,0.0
174,17,164,10,5,2.390546429,2.230408568,2.069686719,1.918290727,1.849290507,1.628150866,1.563812064,1.432818632,1.341164344,1.023624809,0.0
175,17,62,11,2,2.433012645,2.271873969,2.104472884,1.954797737,1.831280679,1.676237045,1.578323439,1.458926897,1.359471422,1.274352003,1.189761769
176,17,10,11,1,2.429375222,2.269571305,2.103566644,1.950743512,1.835271191,1.66926974,1.569623999,1.469460256,1.391962267,1.261070884,1.178178484
177,17,150,2,12,2.388256716,1.926916304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178,17,26,11,4,2.435264592,2.286533986,2.111884365,1.97718055,1.857936649,1.673841977,1.614904752,1.5211992,1.494405149,1.368478844,1.185556246
179,17,54,5,9,2.365858497,2.204729995,2.039927778,1.902652404,1.372639283,0.0,0.0,0.0,0.0,0.0,0.0
180,17,215,7,8,2.446282341,2.296243657,2.119648758,1.974337009,1.842984105,1.687014782,1.234099782,0.0,0.0,0.0,0.0
181,17,111,11,3,2.455642722,2.295370703,2.137169698,1.980295291,1.853319375,1.69535708,1.600583752,1.477379874,1.395576989,1.309607319,1.210161677
182,17,27,3,11,2.373856491,2.267485352,1.827936319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
183,18,28,2,10,2.398312465,2.045257382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
184,18,66,8,6,2.400572041,2.252772774,2.056153155,1.90255418,1.782237304,1.664099038,1.556566425,1.117439064,0.0,0.0,0.0
185,18,118,10,4,2.452291863,2.286231428,2.104133881,1.955514994,1.824855899,1.706577611,1.598789201,1.504197136,1.400299757,1.26534653,0.0
186,18,40,10,3,2.416651537,2.292442239,2.074462288,1.924306612,1.815206511,1.709441229,1.561886258,1.486411209,1.416131203,1.237631306,0.0
187,18,250,2,11,2.431152815,1.946604544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
188,18,76,1,12,2.059010362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
189,18,45,9,5,2.434824589,2.278954657,2.101349026,1.946453427,1.825850968,1.700194663,1.590921025,1.464571845,1.077671545,0.0,0.0
190,18,12,10,2,2.426548676,2.274489054,2.089714479,1.940845359,1.816550426,1.679932741,1.569671573,1.457986888,1.38536973,1.251131381,0.0
191,18,191,10,1,2.446860102,2.287471464,2.109663879,1.953474596,1.837106201,1.690919663,1.579276513,1.504551388,1.383227822,1.268042056,0.0
192,18,81,6,8,2.432626962,2.295795995,2.079579134,1.928108259,1.875991004,1.391623624,0.0,0.0,0.0,0.0,0.0
193,18,61,5,9,2.414225939,2.272096286,2.065966941,1.91547,1.464498257,0.0,0.0,0.0,0.0,0.0,0.0
194,18,211,7,7,2.418314975,2.286351564,2.069215527,1.917166785,1.804887187,1.695983224,1.304804151,0.0,0.0,0.0,0.0
195,19,16,7,8,2.415876904,2.237615188,2.091054793,1.941491401,1.763008741,1.703492806,1.262722338,0.0,0.0,0.0,0.0
196,19,137,6,9,2.416668777,2.252869906,2.095424606,1.990630574,1.781745096,1.305269797,0.0,0.0,0.0,0.0,0.0
197,19,163,9,6,2.371142939,2.198941284,2.056792171,1.886363281,1.736736392,1.646269803,1.509243544,1.426296067,1.002988867,0.0,0.0
198,19,122,11,3,2.44704645,2.27139299,2.111772247,1.957634239,1.811191168,1.703686394,1.575716418,1.451415167,1.365167824,1.277692866,1.189209914
199,19,9,11,1,2.396737292,2.238391951,2.083036414,1.912230497,1.768010238,1.648212982,1.541145684,1.41247783,1.328239541,1.249274925,1.150706732
200,19,169,1,13,2.092748727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201,19,232,3,11,2.387554455,2.236611415,1.779846969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202,19,273,10,5,2.410975569,2.24472275,2.073537566,1.946008015,1.75871635,1.701747521,1.563668435,1.478980394,1.453197766,1.127575225,0.0
203,19,25,4,10,2.419411216,2.209337062,2.052975231,1.559212661,0.0,0.0,0.0,0.0,0.0,0.0,0.0
204,19,196,8,7,2.500635686,2.349585461,2.177589847,2.046162387,1.863088446,1.768243521,1.659173969,1.332043895,0.0,0.0,0.0
