celebrity_name,season,week,judge_score,placement,weeks_participated,judge_rank,n_contestants,is_bottom_two,is_last_week,is_abnormal
George Hamilton,2,6,23.0,5,6,1.0,5,1,1,False
Lisa Rinna,2,1,19.0,4,7,4.0,10,0,0,False
Lisa Rinna,2,2,20.0,4,7,3.0,9,0,0,False
Lisa Rinna,2,3,25.0,4,7,5.0,8,0,0,False
Lisa Rinna,2,4,26.0,4,7,5.0,7,0,0,False
Lisa Rinna,2,5,25.0,4,7,4.0,6,0,0,False
Lisa Rinna,2,6,27.0,4,7,3.0,5,0,0,False
Lisa Rinna,2,7,26.5,4,7,2.0,4,1,1,False
Stacy Keibler,2,1,22.0,3,8,7.0,10,0,0,False
Stacy Keibler,2,2,29.0,3,8,9.0,9,0,0,False
Stacy Keibler,2,3,27.0,3,8,7.0,8,0,0,False
Stacy Keibler,2,4,26.0,3,8,5.0,7,0,0,False
Stacy Keibler,2,5,30.0,3,8,6.0,6,0,0,False
Stacy Keibler,2,6,30.0,3,8,4.0,5,0,0,False
Stacy Keibler,2,7,27.5,3,8,3.0,4,0,0,False
Stacy Keibler,2,8,28.6665,3,8,2.0,3,1,1,False
Jerry Rice,2,1,21.0,2,8,6.0,10,0,0,False
Jerry Rice,2,2,23.0,2,8,6.0,9,0,0,False
Jerry Rice,2,3,19.0,2,8,2.0,8,1,0,True
Jerry Rice,2,4,24.0,2,8,3.0,7,0,0,False
Jerry Rice,2,5,23.0,2,8,2.0,6,1,0,True
Jerry Rice,2,6,23.0,2,8,1.0,5,1,0,True
Jerry Rice,2,7,20.5,2,8,1.0,4,1,0,True
Jerry Rice,2,8,26.666600000000003,2,8,1.0,3,1,1,False
Giselle Fernandez,2,1,23.0,8,3,8.0,10,0,0,False
Giselle Fernandez,2,2,24.0,8,3,7.0,9,0,0,False
Giselle Fernandez,2,3,22.0,8,3,3.0,8,0,1,False
Master P,2,1,12.0,7,4,1.0,10,1,0,True
Master P,2,2,16.0,7,4,1.0,9,1,0,True
Master P,2,3,14.0,7,4,1.0,8,1,0,True
Master P,2,4,8.0,7,4,1.0,7,1,1,False
Drew Lachey,2,1,24.0,1,8,10.0,10,0,0,False
Drew Lachey,2,2,27.0,1,8,8.0,9,0,0,False
Drew Lachey,2,3,27.0,1,8,7.0,8,0,0,False
Drew Lachey,2,4,28.0,1,8,7.0,7,0,0,False
Drew Lachey,2,5,27.0,1,8,5.0,6,0,0,False
Drew Lachey,2,6,30.0,1,8,4.0,5,0,0,False
Drew Lachey,2,7,27.5,1,8,3.0,4,0,0,False
Drew Lachey,2,8,28.9998,1,8,3.0,3,0,1,False
Kenny Mayne,2,1,13.0,10,1,2.0,10,1,1,False
Harry Hamlin,3,1,17.0,9,3,4.0,11,0,0,False
Harry Hamlin,3,2,21.0,9,3,2.0,10,1,0,True
Harry Hamlin,3,3,22.0,9,3,3.0,9,0,1,False
Vivica A. Fox,3,1,22.0,8,4,8.0,11,0,0,False
Vivica A. Fox,3,2,24.0,8,4,7.0,10,0,0,False
Vivica A. Fox,3,3,27.0,8,4,8.0,9,0,0,False
Vivica A. Fox,3,4,24.0,8,4,3.0,8,0,1,False
Monique Coleman,3,1,19.0,4,8,6.0,11,0,0,False
Monique Coleman,3,2,26.0,4,8,9.0,10,0,0,False
Monique Coleman,3,3,27.0,4,8,8.0,9,0,0,False
Monique Coleman,3,4,24.0,4,8,3.0,8,0,0,False
Monique Coleman,3,5,27.0,4,8,4.0,7,0,0,False
Monique Coleman,3,6,23.0,4,8,2.0,5,1,0,True
Monique Coleman,3,7,27.0,4,8,2.0,5,1,0,True
Monique Coleman,3,8,26.5,4,8,1.0,4,1,1,False
Joey Lawrence,3,1,21.0,3,9,7.0,11,0,0,False
Joey Lawrence,3,2,29.0,3,9,10.0,10,0,0,False
Joey Lawrence,3,3,22.0,3,9,3.0,9,0,0,False
Joey Lawrence,3,4,27.0,3,9,6.0,8,0,0,False
Joey Lawrence,3,5,25.0,3,9,3.0,7,0,0,False
Joey Lawrence,3,6,24.0,3,9,3.0,5,0,0,False
Joey Lawrence,3,7,28.5,3,9,4.0,5,0,0,False
Joey Lawrence,3,8,27.0,3,9,2.0,4,1,0,True
Joey Lawrence,3,9,29.5,3,9,1.0,3,1,1,False
Mario Lopez,3,1,26.0,2,10,11.0,11,0,0,False
Mario Lopez,3,2,21.0,2,10,2.0,10,1,0,True
Mario Lopez,3,3,22.0,2,10,3.0,9,0,0,False
Mario Lopez,3,4,29.0,2,10,8.0,8,0,0,False
Mario Lopez,3,5,27.0,2,10,4.0,7,0,0,False
Mario Lopez,3,6,28.0,2,10,5.0,5,0,0,False
Mario Lopez,3,7,28.0,2,10,3.0,5,0,0,False
Mario Lopez,3,8,28.5,2,10,4.0,4,0,0,False
Mario Lopez,3,9,29.5,2,10,1.0,3,1,0,True
Mario Lopez,3,10,29.666600000000003,2,10,1.0,2,1,1,False
Emmitt Smith,3,1,24.0,1,10,10.0,11,0,0,False
Emmitt Smith,3,2,24.0,1,10,7.0,10,0,0,False
Emmitt Smith,3,3,19.0,1,10,1.0,9,1,0,True
Emmitt Smith,3,4,24.0,1,10,3.0,8,0,0,False
Emmitt Smith,3,5,27.0,1,10,4.0,7,0,0,False
Emmitt Smith,3,6,25.0,1,10,4.0,5,0,0,False
Emmitt Smith,3,7,28.5,1,10,4.0,5,0,0,False
Emmitt Smith,3,8,27.0,1,10,2.0,4,1,0,True
Emmitt Smith,3,9,29.5,1,10,1.0,3,1,0,True
Emmitt Smith,3,10,29.666600000000003,1,10,1.0,2,1,1,False
Shanna Moakler,3,1,18.0,10,2,5.0,11,0,0,False
Shanna Moakler,3,2,22.0,10,2,5.0,10,0,1,False
Willa Ford,3,1,22.0,7,5,8.0,11,0,0,False
Willa Ford,3,2,23.0,7,5,6.0,10,0,0,False
Willa Ford,3,3,22.0,7,5,3.0,9,0,0,False
Willa Ford,3,4,28.0,7,5,7.0,8,0,0,False
Willa Ford,3,5,27.0,7,5,4.0,7,0,1,False
Sara Evans,3,1,15.0,6,5,2.0,11,1,0,True
Sara Evans,3,2,21.0,6,5,2.0,10,1,0,True
Sara Evans,3,3,25.0,6,5,7.0,9,0,0,False
Sara Evans,3,4,20.0,6,5,1.0,8,1,0,True
Sara Evans,3,5,24.0,6,5,1.0,7,1,1,False
Jerry Springer,3,1,16.0,5,7,3.0,11,0,0,False
Jerry Springer,3,2,19.0,5,7,1.0,10,1,0,True
Jerry Springer,3,3,21.0,5,7,2.0,9,1,0,True
Jerry Springer,3,4,22.0,5,7,2.0,8,1,0,True
Jerry Springer,3,5,24.0,5,7,1.0,7,1,0,True
Jerry Springer,3,6,18.0,5,7,1.0,5,1,0,True
Jerry Springer,3,7,23.0,5,7,1.0,5,1,1,False
Tucker Carlson,3,1,12.0,11,1,1.0,11,1,1,False
John Ratzenberger,4,1,17.0,6,7,4.0,11,0,0,False
John Ratzenberger,4,2,21.0,6,7,3.0,11,0,0,False
John Ratzenberger,4,3,20.0,6,7,2.0,10,1,0,True
John Ratzenberger,4,4,16.0,6,7,2.0,9,1,0,True
John Ratzenberger,4,5,18.0,6,7,3.0,8,0,0,False
John Ratzenberger,4,6,19.0,6,7,1.0,7,1,0,True
John Ratzenberger,4,7,22.5,6,7,2.0,6,1,1,False
Ian Ziering,4,1,21.0,4,9,8.0,11,0,0,False
Ian Ziering,4,2,22.0,4,9,7.0,11,0,0,False
Ian Ziering,4,3,24.0,4,9,7.0,10,0,0,False
Ian Ziering,4,4,24.0,4,9,7.0,9,0,0,False
Ian Ziering,4,5,24.0,4,9,5.0,8,0,0,False
Ian Ziering,4,6,24.0,4,9,4.0,7,0,0,False
Ian Ziering,4,7,27.0,4,9,3.0,6,0,0,False
Ian Ziering,4,8,23.5,4,9,2.0,5,1,0,True
Ian Ziering,4,9,29.0,4,9,1.0,4,1,1,False
Clyde Drexler,4,1,16.0,8,5,3.0,11,0,0,False
Clyde Drexler,4,2,18.0,8,5,1.0,11,1,0,True
Clyde Drexler,4,3,16.0,8,5,1.0,10,1,0,True
Clyde Drexler,4,4,15.0,8,5,1.0,9,1,0,True
Clyde Drexler,4,5,13.0,8,5,1.0,8,1,1,False
Laila Ali,4,1,23.0,3,10,10.0,11,0,0,False
Laila Ali,4,2,27.0,3,10,11.0,11,0,0,False
Laila Ali,4,3,21.0,3,10,3.0,10,0,0,False
Laila Ali,4,4,21.0,3,10,4.0,9,0,0,False
Laila Ali,4,5,28.0,3,10,7.0,8,0,0,False
Laila Ali,4,6,28.0,3,10,6.0,7,0,0,False
Laila Ali,4,7,29.5,3,10,5.0,6,0,0,False
Laila Ali,4,8,26.5,3,10,3.0,5,0,0,False
Laila Ali,4,9,30.0,3,10,3.0,4,0,0,False
Laila Ali,4,10,28.333200000000005,3,10,1.0,3,1,1,False
Apolo Anton Ohno,4,1,21.0,1,10,8.0,11,0,0,False
Apolo Anton Ohno,4,2,26.0,1,10,10.0,11,0,0,False
Apolo Anton Ohno,4,3,23.0,1,10,6.0,10,0,0,False
Apolo Anton Ohno,4,4,26.0,1,10,8.0,9,0,0,False
Apolo Anton Ohno,4,5,30.0,1,10,8.0,8,0,0,False
Apolo Anton Ohno,4,6,28.0,1,10,6.0,7,0,0,False
Apolo Anton Ohno,4,7,27.0,1,10,3.0,6,0,0,False
Apolo Anton Ohno,4,8,29.0,1,10,5.0,5,0,0,False
Apolo Anton Ohno,4,9,29.5,1,10,2.0,4,1,0,True
Apolo Anton Ohno,4,10,29.3332,1,10,3.0,3,0,1,False
Shandi Finnessey,4,1,19.0,10,3,6.0,11,0,0,False
Shandi Finnessey,4,2,20.0,10,3,2.0,11,1,0,True
Shandi Finnessey,4,3,21.0,10,3,3.0,10,0,1,False
Paulina Porizkova,4,1,19.0,11,2,6.0,11,0,0,False
Paulina Porizkova,4,2,21.0,11,2,3.0,11,0,1,False
Heather Mills,4,1,18.0,7,6,5.0,11,0,0,False
Heather Mills,4,2,24.0,7,6,8.0,11,0,0,False
Heather Mills,4,3,24.0,7,6,7.0,10,0,0,False
Heather Mills,4,4,23.0,7,6,6.0,9,0,0,False
Heather Mills,4,5,21.0,7,6,4.0,8,0,0,False
Heather Mills,4,6,23.0,7,6,3.0,7,0,1,False
Billy Ray Cyrus,4,1,13.0,5,8,1.0,11,1,0,True
Billy Ray Cyrus,4,2,21.0,5,8,3.0,11,0,0,False
Billy Ray Cyrus,4,3,21.0,5,8,3.0,10,0,0,False
Billy Ray Cyrus,4,4,21.0,5,8,4.0,9,0,0,False
Billy Ray Cyrus,4,5,17.0,5,8,2.0,8,1,0,True
Billy Ray Cyrus,4,6,21.0,5,8,2.0,7,1,0,True
Billy Ray Cyrus,4,7,19.0,5,8,1.0,6,1,0,True
Billy Ray Cyrus,4,8,19.0,5,8,1.0,5,1,1,False
Joey Fatone,4,1,24.0,2,10,11.0,11,0,0,False
Joey Fatone,4,2,24.0,2,10,8.0,11,0,0,False
Joey Fatone,4,3,24.0,2,10,7.0,10,0,0,False
Joey Fatone,4,4,28.0,2,10,9.0,9,0,0,False
Joey Fatone,4,5,25.0,2,10,6.0,8,0,0,False
Joey Fatone,4,6,27.0,2,10,5.0,7,0,0,False
Joey Fatone,4,7,29.5,2,10,5.0,6,0,0,False
Joey Fatone,4,8,27.5,2,10,4.0,5,0,0,False
Joey Fatone,4,9,30.0,2,10,3.0,4,0,0,False
Joey Fatone,4,10,28.6665,2,10,2.0,3,1,1,False
Leeza Gibbons,4,1,15.0,9,4,2.0,11,1,0,True
Leeza Gibbons,4,2,21.0,9,4,3.0,11,0,0,False
Leeza Gibbons,4,3,24.0,9,4,7.0,10,0,0,False
Leeza Gibbons,4,4,16.0,9,4,2.0,9,1,1,False
Cameron Mathison,5,1,21.0,5,8,4.0,12,0,0,False
Cameron Mathison,5,2,21.0,5,8,3.0,11,0,0,False
Cameron Mathison,5,3,23.0,5,8,4.0,10,0,0,False
Cameron Mathison,5,4,27.0,5,8,6.0,9,0,0,False
Cameron Mathison,5,5,26.0,5,8,5.0,8,0,0,False
Cameron Mathison,5,6,25.0,5,8,3.0,7,0,0,False
Cameron Mathison,5,7,25.5,5,8,2.0,6,1,0,True
Cameron Mathison,5,8,25.5,5,8,3.0,5,0,1,False
Jane Seymour,5,1,24.0,6,7,9.0,12,0,0,False
Jane Seymour,5,2,21.0,6,7,3.0,11,0,0,False
Jane Seymour,5,3,27.0,6,7,8.0,10,0,0,False
Jane Seymour,5,4,26.0,6,7,3.0,9,0,0,False
Jane Seymour,5,5,26.0,6,7,5.0,8,0,0,False
Jane Seymour,5,6,22.0,6,7,1.0,7,1,0,True
Jane Seymour,5,7,25.0,6,7,1.0,6,1,1,False
Sabrina Bryan,5,1,26.0,7,6,12.0,12,0,0,False
Sabrina Bryan,5,2,26.0,7,6,10.0,11,0,0,False
Sabrina Bryan,5,3,27.0,7,6,8.0,10,0,0,False
Sabrina Bryan,5,4,30.0,7,6,9.0,9,0,0,False
Sabrina Bryan,5,5,28.0,7,6,7.0,8,0,0,False
Sabrina Bryan,5,6,25.0,7,6,3.0,7,0,1,False
Jennie Garth,5,1,21.0,4,9,4.0,12,0,0,False
Jennie Garth,5,2,21.0,4,9,3.0,11,0,0,False
Jennie Garth,5,3,26.0,4,9,6.0,10,0,0,False
Jennie Garth,5,4,27.0,4,9,6.0,9,0,0,False
Jennie Garth,5,5,25.0,4,9,4.0,8,0,0,False
Jennie Garth,5,6,27.0,4,9,5.0,7,0,0,False
Jennie Garth,5,7,26.5,4,9,5.0,6,0,0,False
Jennie Garth,5,8,25.0,4,9,2.0,5,1,0,True
Jennie Garth,5,9,29.0,4,9,2.0,4,1,1,False
Floyd Mayweather Jr. ,5,1,18.0,9,4,2.0,12,1,0,True
Floyd Mayweather Jr. ,5,2,21.0,9,4,3.0,11,0,0,False
Floyd Mayweather Jr. ,5,3,21.0,9,4,3.0,10,0,0,False
Floyd Mayweather Jr. ,5,4,23.0,9,4,2.0,9,1,1,False
Josie Maran,5,1,16.0,12,1,1.0,12,1,1,False
Albert Reed,5,1,21.0,11,2,4.0,12,0,0,False
Albert Reed,5,2,21.0,11,2,3.0,11,0,1,False
Helio Castroneves,5,1,25.0,1,10,11.0,12,0,0,False
Helio Castroneves,5,2,27.0,1,10,11.0,11,0,0,False
Helio Castroneves,5,3,24.0,1,10,5.0,10,0,0,False
Helio Castroneves,5,4,27.0,1,10,6.0,9,0,0,False
Helio Castroneves,5,5,23.0,1,10,3.0,8,0,0,False
Helio Castroneves,5,6,28.0,1,10,6.0,7,0,0,False
Helio Castroneves,5,7,26.0,1,10,3.0,6,0,0,False
Helio Castroneves,5,8,28.5,1,10,5.0,5,0,0,False
Helio Castroneves,5,9,30.0,1,10,3.0,4,0,0,False
Helio Castroneves,5,10,27.999900000000004,1,10,2.0,3,1,1,False
Mel B,5,1,24.0,2,10,9.0,12,0,0,False
Mel B,5,2,23.0,2,10,8.0,11,0,0,False
Mel B,5,3,27.0,2,10,8.0,10,0,0,False
Mel B,5,4,26.0,2,10,3.0,9,0,0,False
Mel B,5,5,29.0,2,10,8.0,8,0,0,False
Mel B,5,6,30.0,2,10,7.0,7,0,0,False
Mel B,5,7,27.0,2,10,6.0,6,0,0,False
Mel B,5,8,28.0,2,10,4.0,5,0,0,False
Mel B,5,9,30.0,2,10,3.0,4,0,0,False
Mel B,5,10,28.3332,2,10,3.0,3,0,1,False
Wayne Newton,5,1,19.0,10,3,3.0,12,0,0,False
Wayne Newton,5,2,15.0,10,3,1.0,11,1,0,True
Wayne Newton,5,3,18.0,10,3,1.0,10,1,1,False
Marie Osmond,5,1,21.0,3,10,4.0,12,0,0,False
Marie Osmond,5,2,24.0,3,10,9.0,11,0,0,False
Marie Osmond,5,3,26.0,3,10,6.0,10,0,0,False
Marie Osmond,5,4,26.0,3,10,3.0,9,0,0,False
Marie Osmond,5,5,21.0,3,10,1.0,8,1,0,True
Marie Osmond,5,6,23.0,3,10,2.0,7,1,0,True
Marie Osmond,5,7,26.0,3,10,3.0,6,0,0,False
Marie Osmond,5,8,24.5,3,10,1.0,5,1,0,True
Marie Osmond,5,9,28.0,3,10,1.0,4,1,0,True
Marie Osmond,5,10,23.0,3,10,1.0,3,1,1,False
Mark Cuban,5,1,21.0,8,5,4.0,12,0,0,False
Mark Cuban,5,2,18.0,8,5,2.0,11,1,0,True
Mark Cuban,5,3,20.0,8,5,2.0,10,1,0,True
Mark Cuban,5,4,22.0,8,5,1.0,9,1,0,True
Mark Cuban,5,5,21.0,8,5,1.0,8,1,1,False
Cristian de la Fuente,6,1,21.0,3,10,6.0,12,0,0,False
Cristian de la Fuente,6,2,20.0,3,10,5.0,12,0,0,False
Cristian de la Fuente,6,3,25.0,3,10,8.0,10,0,0,False
Cristian de la Fuente,6,4,26.0,3,10,6.0,9,0,0,False
Cristian de la Fuente,6,5,23.0,3,10,3.0,8,0,0,False
Cristian de la Fuente,6,6,27.0,3,10,5.0,7,0,0,False
Cristian de la Fuente,6,7,23.0,3,10,1.0,6,1,0,True
Cristian de la Fuente,6,8,28.5,3,10,5.0,5,0,0,False
Cristian de la Fuente,6,9,28.0,3,10,3.0,4,0,0,False
Cristian de la Fuente,6,10,26.0,3,10,1.0,3,1,1,False
Steve Guttenberg,6,1,18.0,10,3,4.0,12,0,0,False
Steve Guttenberg,6,2,16.0,10,3,2.0,12,1,0,True
Steve Guttenberg,6,3,21.0,10,3,2.0,10,1,1,False
Priscilla Presley,6,1,24.0,8,5,10.0,12,0,0,False
Priscilla Presley,6,2,21.0,8,5,6.0,12,0,0,False
Priscilla Presley,6,3,26.0,8,5,9.0,10,0,0,False
Priscilla Presley,6,4,22.0,8,5,2.0,9,1,0,True
Priscilla Presley,6,5,21.0,8,5,1.0,8,1,1,False
Marlee Matlin,6,1,22.0,7,6,8.0,12,0,0,False
Marlee Matlin,6,2,24.0,7,6,8.0,12,0,0,False
Marlee Matlin,6,3,21.0,7,6,2.0,10,1,0,True
Marlee Matlin,6,4,24.0,7,6,3.0,9,0,0,False
Marlee Matlin,6,5,22.0,7,6,2.0,8,1,0,True
Marlee Matlin,6,6,21.0,7,6,1.0,7,1,1,False
Shannon Elizabeth,6,1,21.0,6,7,6.0,12,0,0,False
Shannon Elizabeth,6,2,24.0,6,7,8.0,12,0,0,False
Shannon Elizabeth,6,3,24.0,6,7,7.0,10,0,0,False
Shannon Elizabeth,6,4,28.0,6,7,7.0,9,0,0,False
Shannon Elizabeth,6,5,23.0,6,7,3.0,8,0,0,False
Shannon Elizabeth,6,6,24.0,6,7,2.0,7,1,0,True
Shannon Elizabeth,6,7,25.5,6,7,2.0,6,1,1,False
Marissa Jaret Winokur,6,1,18.0,4,9,4.0,12,0,0,False
Marissa Jaret Winokur,6,2,21.0,4,9,6.0,12,0,0,False
Marissa Jaret Winokur,6,3,19.0,4,9,1.0,10,1,0,True
Marissa Jaret Winokur,6,4,24.0,4,9,3.0,9,0,0,False
Marissa Jaret Winokur,6,5,24.0,4,9,5.0,8,0,0,False
Marissa Jaret Winokur,6,6,26.0,4,9,4.0,7,0,0,False
Marissa Jaret Winokur,6,7,26.0,4,9,4.0,6,0,0,False
Marissa Jaret Winokur,6,8,25.0,4,9,1.0,5,1,0,True
Marissa Jaret Winokur,6,9,26.0,4,9,1.0,4,1,1,False
Jason Taylor,6,1,22.0,2,10,8.0,12,0,0,False
Jason Taylor,6,2,27.0,2,10,11.0,12,0,0,False
Jason Taylor,6,3,23.0,2,10,6.0,10,0,0,False
Jason Taylor,6,4,29.0,2,10,8.0,9,0,0,False
Jason Taylor,6,5,27.0,2,10,6.0,8,0,0,False
Jason Taylor,6,6,24.0,2,10,2.0,7,1,0,True
Jason Taylor,6,7,27.5,2,10,6.0,6,0,0,False
Jason Taylor,6,8,26.0,2,10,2.0,5,1,0,True
Jason Taylor,6,9,27.5,2,10,2.0,4,1,0,True
Jason Taylor,6,10,28.5,2,10,2.0,3,1,1,False
Kristi Yamaguchi,6,1,27.0,1,10,12.0,12,0,0,False
Kristi Yamaguchi,6,2,27.0,1,10,11.0,12,0,0,False
Kristi Yamaguchi,6,3,27.0,1,10,10.0,10,0,0,False
Kristi Yamaguchi,6,4,29.0,1,10,8.0,9,0,0,False
Kristi Yamaguchi,6,5,29.0,1,10,8.0,8,0,0,False
Kristi Yamaguchi,6,6,30.0,1,10,7.0,7,0,0,False
Kristi Yamaguchi,6,7,27.0,1,10,5.0,6,0,0,False
Kristi Yamaguchi,6,8,27.5,1,10,4.0,5,0,0,False
Kristi Yamaguchi,6,9,28.5,1,10,4.0,4,0,0,False
Kristi Yamaguchi,6,10,30.0,1,10,3.0,3,0,1,False
Monica Seles,6,1,15.0,11,2,1.0,12,1,0,True
Monica Seles,6,2,15.0,11,2,1.0,12,1,1,False
Penn Jillette,6,1,16.0,12,2,3.0,12,0,0,False
Penn Jillette,6,2,17.0,12,2,3.0,12,0,1,False
Adam Carolla,6,1,15.0,9,4,1.0,12,1,0,True
Adam Carolla,6,2,19.0,9,4,4.0,12,0,0,False
Adam Carolla,6,3,21.0,9,4,2.0,10,1,0,True
Adam Carolla,6,4,19.0,9,4,1.0,9,1,1,False
Mario,6,1,24.0,5,8,10.0,12,0,0,False
Mario,6,2,26.0,5,8,10.0,12,0,0,False
Mario,6,3,21.0,5,8,2.0,10,1,0,True
Mario,6,4,24.0,5,8,3.0,9,0,0,False
Mario,6,5,27.0,5,8,6.0,8,0,0,False
Mario,6,6,28.0,5,8,6.0,7,0,0,False
Mario,6,7,25.5,5,8,2.0,6,1,0,True
Mario,6,8,26.5,5,8,3.0,5,0,1,False
Ted McGinley,7,1,18.5,12,1,4.0,13,0,1,False
Cloris Leachman,7,1,16.0,7,6,2.0,13,1,0,True
Cloris Leachman,7,2,15.0,7,6,1.0,11,1,0,True
Cloris Leachman,7,3,16.0,7,6,1.0,9,1,0,True
Cloris Leachman,7,4,22.0,7,6,3.0,9,0,0,False
Cloris Leachman,7,5,21.0,7,6,1.0,8,1,0,True
Cloris Leachman,7,6,15.0,7,6,1.0,7,1,1,False
Susan Lucci,7,1,18.5,6,7,4.0,13,0,0,False
Susan Lucci,7,2,21.0,6,7,6.0,11,0,0,False
Susan Lucci,7,3,21.0,6,7,3.0,9,0,0,False
Susan Lucci,7,4,24.0,6,7,7.0,9,0,0,False
Susan Lucci,7,5,22.0,6,7,3.0,8,0,0,False
Susan Lucci,7,6,23.0,6,7,3.0,7,0,0,False
Susan Lucci,7,7,24.0,6,7,3.0,6,0,1,False
Cody Linley,7,1,20.5,4,9,8.0,13,0,0,False
Cody Linley,7,2,21.0,4,9,6.0,11,0,0,False
Cody Linley,7,3,21.0,4,9,3.0,9,0,0,False
Cody Linley,7,4,23.0,4,9,6.0,9,0,0,False
Cody Linley,7,5,28.0,4,9,7.0,8,0,0,False
Cody Linley,7,6,23.0,4,9,3.0,7,0,0,False
Cody Linley,7,7,22.0,4,9,2.0,6,1,0,True
Cody Linley,7,8,24.0,4,9,1.0,5,1,0,True
Cody Linley,7,9,23.0,4,9,1.0,4,1,1,False
Misty May-Treanor,7,1,21.0,10,2,9.0,13,0,0,False
Misty May-Treanor,7,2,21.0,10,2,6.0,11,0,1,False
Maurice Greene,7,1,19.5,5,8,7.0,13,0,0,False
Maurice Greene,7,2,19.0,5,8,4.0,11,0,0,False
Maurice Greene,7,3,24.0,5,8,7.0,9,0,0,False
Maurice Greene,7,4,20.0,5,8,2.0,9,1,0,True
Maurice Greene,7,5,27.0,5,8,6.0,8,0,0,False
Maurice Greene,7,6,21.0,5,8,2.0,7,1,0,True
Maurice Greene,7,7,25.0,5,8,4.0,6,0,0,False
Maurice Greene,7,8,24.0,5,8,1.0,5,1,1,False
Warren Sapp,7,1,21.5,2,10,10.0,13,0,0,False
Warren Sapp,7,2,24.0,2,10,10.0,11,0,0,False
Warren Sapp,7,3,25.0,2,10,8.0,9,0,0,False
Warren Sapp,7,4,22.0,2,10,3.0,9,0,0,False
Warren Sapp,7,5,25.0,2,10,5.0,8,0,0,False
Warren Sapp,7,6,25.0,2,10,5.0,7,0,0,False
Warren Sapp,7,7,21.0,2,10,1.0,6,1,0,True
Warren Sapp,7,8,27.0,2,10,4.0,5,0,0,False
Warren Sapp,7,9,24.5,2,10,2.0,4,1,0,True
Warren Sapp,7,10,27.5,2,10,1.0,3,1,1,False
Jeffrey Ross,7,1,12.0,13,1,1.0,13,1,1,False
Toni Braxton,7,1,22.5,8,5,12.0,13,0,0,False
Toni Braxton,7,2,23.0,8,5,9.0,11,0,0,False
Toni Braxton,7,3,22.0,8,5,5.0,9,0,0,False
Toni Braxton,7,4,22.0,8,5,3.0,9,0,0,False
Toni Braxton,7,5,22.0,8,5,3.0,8,0,1,False
Lance Bass,7,1,21.5,3,10,10.0,13,0,0,False
Lance Bass,7,2,20.0,3,10,5.0,11,0,0,False
Lance Bass,7,3,22.0,3,10,5.0,9,0,0,False
Lance Bass,7,4,26.0,3,10,8.0,9,0,0,False
Lance Bass,7,5,21.0,3,10,1.0,8,1,0,True
Lance Bass,7,6,27.0,3,10,7.0,7,0,0,False
Lance Bass,7,7,25.0,3,10,4.0,6,0,0,False
Lance Bass,7,8,25.0,3,10,3.0,5,0,0,False
