celebrity_name,season,week,judge_score,placement,weeks_participated,method1_combined_rank,method2_combined_pct,method1_pos,method2_pos,n_contestants,eliminated_week,is_eliminated
Tia Carrere,2,5,22.0,6,5,12.0,0.2113909424882621,6.0,6.0,6,5.0,1
George Hamilton,2,1,18.0,5,6,16.0,0.1511251453065381,8.0,8.0,10,6.0,0
George Hamilton,2,2,22.0,5,6,12.5,0.1845699686224522,6.0,5.0,9,6.0,0
George Hamilton,2,3,22.0,5,6,12.5,0.198979031595495,6.0,6.0,8,6.0,0
George Hamilton,2,4,21.0,5,6,12.0,0.2206630479128696,6.0,6.0,7,6.0,0
George Hamilton,2,5,24.0,5,6,9.0,0.2651896746646824,5.0,5.0,6,6.0,0
George Hamilton,2,6,23.0,5,6,9.5,0.2406612110724537,5.0,5.0,5,6.0,1
Lisa Rinna,2,1,19.0,4,7,13.0,0.1769709862964371,7.0,6.0,10,7.0,0
Lisa Rinna,2,2,20.0,4,7,13.0,0.1833208655636948,7.0,6.0,9,7.0,0
Lisa Rinna,2,3,25.0,4,7,9.0,0.2414987190378075,4.0,4.0,8,7.0,0
Lisa Rinna,2,4,26.0,4,7,6.5,0.294762643638487,3.0,4.0,7,7.0,0
Lisa Rinna,2,5,25.0,4,7,7.0,0.3041874737311779,3.0,4.0,6,7.0,0
Lisa Rinna,2,6,27.0,4,7,7.0,0.3569533336544195,3.0,4.0,5,7.0,0
Lisa Rinna,2,7,26.5,4,7,7.0,0.3523838301052959,3.5,4.0,4,7.0,1
Stacy Keibler,2,1,22.0,3,8,6.0,0.2801929107632018,2.0,2.0,10,,0
Stacy Keibler,2,2,29.0,3,8,2.0,0.3707143752741614,1.0,1.0,9,,0
Stacy Keibler,2,3,27.0,3,8,2.5,0.3780778324624518,1.0,1.0,8,,0
Stacy Keibler,2,4,26.0,3,8,4.5,0.3815692269642177,2.0,2.0,7,,0
Stacy Keibler,2,5,30.0,3,8,2.0,0.4613460012688192,1.0,1.0,6,,0
Stacy Keibler,2,6,30.0,3,8,2.5,0.5054214027517183,1.0,1.0,5,,0
Stacy Keibler,2,7,27.5,3,8,2.5,0.5933381994647726,1.0,1.0,4,,0
Stacy Keibler,2,8,28.6665,3,8,4.0,0.6794547352366164,2.0,2.0,3,,0
Jerry Rice,2,1,21.0,2,8,8.0,0.2515603839518771,4.0,3.0,10,,0
Jerry Rice,2,2,23.0,2,8,7.0,0.2710234102432273,3.0,3.0,9,,0
Jerry Rice,2,3,19.0,2,8,10.0,0.2374941930247014,5.0,5.0,8,,0
Jerry Rice,2,4,24.0,2,8,8.0,0.3160901291681048,4.0,3.0,7,,0
Jerry Rice,2,5,23.0,2,8,8.0,0.3415930094749244,4.0,3.0,6,,0
Jerry Rice,2,6,23.0,2,8,7.5,0.3930581870843853,4.0,3.0,5,,0
Jerry Rice,2,7,20.5,2,8,7.0,0.4671179169700911,3.5,3.0,4,,0
Jerry Rice,2,8,26.666600000000003,2,8,6.0,0.6113725464459111,3.0,3.0,3,,0
Giselle Fernandez,2,1,23.0,8,3,11.5,0.1731289490174572,6.0,7.0,10,3.0,0
Giselle Fernandez,2,2,24.0,8,3,11.0,0.1733433519440772,5.0,7.0,9,3.0,0
Giselle Fernandez,2,3,22.0,8,3,13.5,0.1443986477669451,7.0,8.0,8,3.0,1
Master P,2,1,12.0,7,4,17.0,0.1371017009844548,9.0,9.0,10,4.0,0
Master P,2,2,16.0,7,4,14.0,0.168448163199379,8.0,8.0,9,4.0,0
Master P,2,3,14.0,7,4,14.0,0.1713321317323044,8.0,7.0,8,4.0,0
Master P,2,4,8.0,7,4,14.0,0.1044719241939502,7.0,7.0,7,4.0,1
Drew Lachey,2,1,24.0,1,8,2.0,0.3590913470766862,1.0,1.0,10,,0
Drew Lachey,2,2,27.0,1,8,4.0,0.3338735517563009,2.0,2.0,9,,0
Drew Lachey,2,3,27.0,1,8,3.5,0.3776254350816554,2.0,2.0,8,,0
Drew Lachey,2,4,28.0,1,8,2.0,0.4168579623076818,1.0,1.0,7,,0
Drew Lachey,2,5,27.0,1,8,4.0,0.4162928983721338,2.0,2.0,6,,0
Drew Lachey,2,6,30.0,1,8,3.5,0.5039058654370232,2.0,2.0,5,,0
Drew Lachey,2,7,27.5,1,8,3.5,0.5871600534598402,2.0,2.0,4,,0
Drew Lachey,2,8,28.9998,1,8,2.0,0.7091727183174726,1.0,1.0,3,,0
Kenny Mayne,2,1,13.0,10,1,19.0,0.0821878900812563,10.0,10.0,10,1.0,1
Harry Hamlin,3,1,17.0,9,3,13.0,0.188860885557589,7.5,8.0,11,3.0,0
Harry Hamlin,3,2,21.0,9,3,14.0,0.2108840270485897,8.0,8.0,9,3.0,0
Harry Hamlin,3,3,22.0,9,3,14.5,0.1160207161543226,9.0,9.0,9,3.0,1
Vivica A. Fox,3,1,22.0,8,4,12.5,0.2047421698775613,6.0,4.0,11,4.0,0
Vivica A. Fox,3,2,24.0,8,4,10.5,0.2183864347434459,5.0,6.0,9,4.0,0
Vivica A. Fox,3,3,27.0,8,4,9.5,0.2390732071258812,4.5,2.0,9,4.0,0
Vivica A. Fox,3,4,24.0,8,4,13.0,0.1335783491189612,8.0,8.0,8,4.0,1
Monique Coleman,3,1,19.0,4,8,12.0,0.1975073244896062,5.0,5.0,11,8.0,0
Monique Coleman,3,2,26.0,4,8,10.0,0.2263828852133104,3.5,3.0,9,8.0,0
Monique Coleman,3,3,27.0,4,8,8.5,0.2433155519034964,2.5,1.0,9,8.0,0
Monique Coleman,3,4,24.0,4,8,10.0,0.2605808075649589,6.5,5.0,8,8.0,0
Monique Coleman,3,5,27.0,4,8,7.5,0.3217913697085811,4.5,5.0,7,8.0,0
Monique Coleman,3,6,23.0,4,8,9.0,0.2272720782973615,5.0,5.0,5,8.0,0
Monique Coleman,3,8,26.5,4,8,8.0,0.4774931885013818,4.0,4.0,4,8.0,1
Joey Lawrence,3,1,21.0,3,9,7.0,0.2134749744175676,2.0,3.0,11,,0
Joey Lawrence,3,2,29.0,3,9,6.0,0.2481615459311281,1.0,1.0,9,,0
Joey Lawrence,3,3,22.0,3,9,8.5,0.2387383327700548,2.5,3.0,9,,0
Joey Lawrence,3,4,27.0,3,9,7.0,0.2790688259897496,1.5,2.0,8,,0
Joey Lawrence,3,5,25.0,3,9,7.0,0.3417342585639816,3.0,1.0,7,,0
Joey Lawrence,3,6,24.0,3,9,5.0,0.4456021690344195,2.0,3.0,5,,0
Joey Lawrence,3,7,28.5,3,9,4.5,0.5225151039370197,3.0,3.0,4,,0
Joey Lawrence,3,8,27.0,3,9,3.5,0.5074925022731964,1.0,2.0,4,,0
Mario Lopez,3,1,26.0,2,10,9.0,0.22710276044071,3.0,1.0,11,,0
Mario Lopez,3,2,21.0,2,10,10.0,0.2235514231964493,3.5,4.0,9,,0
Mario Lopez,3,3,22.0,2,10,9.5,0.2373067802349258,4.5,4.0,9,,0
Mario Lopez,3,4,29.0,2,10,7.0,0.2824651335340046,1.5,1.0,8,,0
Mario Lopez,3,5,27.0,2,10,6.5,0.3339670427111007,2.0,4.0,7,,0
Mario Lopez,3,6,28.0,2,10,5.0,0.460734835770048,2.0,1.0,5,,0
Mario Lopez,3,7,28.0,2,10,4.0,0.5235878057998459,2.0,1.0,4,,0
Mario Lopez,3,8,28.5,2,10,4.0,0.5117366523775098,2.0,1.0,4,,0
Emmitt Smith,3,1,24.0,1,10,6.0,0.2231203859193858,1.0,2.0,11,,0
Emmitt Smith,3,2,24.0,1,10,6.5,0.2324216695224744,2.0,2.0,9,,0
Emmitt Smith,3,3,19.0,1,10,10.0,0.2340607285543596,6.5,7.0,9,,0
Emmitt Smith,3,4,24.0,1,10,8.0,0.2702237371882893,3.5,3.0,8,,0
Emmitt Smith,3,5,27.0,1,10,5.5,0.3356858353188915,1.0,3.0,7,,0
Emmitt Smith,3,6,25.0,1,10,5.0,0.4481127150670981,2.0,2.0,5,,0
Emmitt Smith,3,7,28.5,1,10,3.5,0.5229625132941212,1.0,2.0,4,,0
Emmitt Smith,3,8,27.0,1,10,4.5,0.5032776568479121,3.0,3.0,4,,0
Shanna Moakler,3,1,18.0,10,2,14.0,0.191253099688829,9.0,6.0,11,2.0,0
Shanna Moakler,3,2,22.0,10,2,15.0,0.1050681274238845,9.0,9.0,9,2.0,1
Willa Ford,3,1,22.0,7,5,14.5,0.1112707461524822,10.0,10.0,11,5.0,0
Willa Ford,3,3,22.0,7,5,11.5,0.2191881906808432,8.0,8.0,9,5.0,0
Willa Ford,3,4,28.0,7,5,9.0,0.2588419818553943,5.0,6.0,8,5.0,0
Willa Ford,3,5,27.0,7,5,9.5,0.1701905459043192,6.0,6.0,7,5.0,1
Sara Evans,3,1,15.0,6,5,13.0,0.1838392057994664,7.5,9.0,11,5.0,0
Sara Evans,3,2,21.0,6,5,12.0,0.2146026289689942,7.0,7.0,9,5.0,0
Sara Evans,3,3,25.0,6,5,8.0,0.2366021393734559,1.0,5.0,9,5.0,0
Sara Evans,3,4,20.0,6,5,10.0,0.2523264326359568,6.5,7.0,8,5.0,0
Sara Evans,3,5,24.0,6,5,12.5,0.1602159715031288,7.0,7.0,7,5.0,1
Jerry Springer,3,1,16.0,5,7,10.0,0.1912018967381319,4.0,7.0,11,7.0,0
Jerry Springer,3,2,19.0,5,7,11.0,0.2205412579517233,6.0,5.0,9,7.0,0
Jerry Springer,3,3,21.0,5,7,10.0,0.23569435320266,6.5,6.0,9,7.0,0
Jerry Springer,3,4,22.0,5,7,8.0,0.262914732112685,3.5,4.0,8,7.0,0
Jerry Springer,3,5,24.0,5,7,7.5,0.3364149762899969,4.5,2.0,7,7.0,0
Jerry Springer,3,6,18.0,5,7,6.0,0.4182782018310728,4.0,4.0,5,7.0,0
Jerry Springer,3,7,23.0,5,7,9.0,0.2309345769690131,4.0,4.0,4,7.0,1
Tucker Carlson,3,1,12.0,11,1,21.0,0.06762655091867,11.0,11.0,11,1.0,1
John Ratzenberger,4,1,17.0,6,7,13.0,0.1743608845301347,5.0,8.0,11,7.0,0
John Ratzenberger,4,2,21.0,6,7,11.5,0.1871178493513982,5.0,6.0,11,7.0,0
John Ratzenberger,4,3,20.0,6,7,12.0,0.205637536164649,9.0,8.0,10,7.0,0
John Ratzenberger,4,4,16.0,6,7,9.5,0.2140370177124063,4.5,7.0,9,7.0,0
John Ratzenberger,4,5,18.0,6,7,8.0,0.2473042816104506,4.5,6.0,8,7.0,0
John Ratzenberger,4,6,19.0,6,7,8.0,0.2864319112456062,4.5,6.0,7,7.0,0
John Ratzenberger,4,7,22.5,6,7,11.0,0.1701641525195883,6.0,6.0,6,7.0,1
Ian Ziering,4,1,21.0,4,9,9.5,0.1926140990365947,4.0,4.0,11,9.0,0
Ian Ziering,4,2,22.0,4,9,14.0,0.1860593866214665,9.0,7.0,11,9.0,0
Ian Ziering,4,3,24.0,4,9,9.5,0.2131297051467373,3.0,4.0,10,9.0,0
Ian Ziering,4,4,24.0,4,9,10.0,0.2425578273611069,6.0,3.0,9,9.0,0
Ian Ziering,4,5,24.0,4,9,11.0,0.2706819850036372,6.5,4.0,8,9.0,0
Ian Ziering,4,6,24.0,4,9,8.0,0.3021232215693076,4.5,4.0,7,9.0,0
Ian Ziering,4,7,27.0,4,9,8.5,0.357892199092369,5.0,4.0,6,9.0,0
Ian Ziering,4,8,23.5,4,9,6.0,0.42830738688862,3.5,4.0,5,9.0,0
Ian Ziering,4,9,29.0,4,9,8.0,0.3040897207886851,4.0,4.0,4,9.0,1
Clyde Drexler,4,1,16.0,8,5,17.0,0.1661783469214544,10.0,9.0,11,5.0,0
Clyde Drexler,4,2,18.0,8,5,12.0,0.1785394188679068,6.0,10.0,11,5.0,0
Clyde Drexler,4,3,16.0,8,5,11.0,0.1975361643478769,6.5,9.0,10,5.0,0
Clyde Drexler,4,4,15.0,8,5,12.0,0.2066360938004954,7.5,8.0,9,5.0,0
Clyde Drexler,4,5,13.0,8,5,16.0,0.0896742108229874,8.0,8.0,8,5.0,1
Laila Ali,4,1,23.0,3,10,5.0,0.2051348077736726,3.0,2.0,11,,0
Laila Ali,4,2,27.0,3,10,8.0,0.2082643442816029,2.0,1.0,11,,0
Laila Ali,4,3,21.0,3,10,9.0,0.2134834278596998,2.0,3.0,10,,0
Laila Ali,4,4,21.0,3,10,6.5,0.2411551177771095,1.0,4.0,9,,0
Laila Ali,4,5,28.0,3,10,7.0,0.2974682375332959,3.0,2.0,8,,0
Laila Ali,4,6,28.0,3,10,7.5,0.319354219224522,2.0,3.0,7,,0
Laila Ali,4,7,29.5,3,10,4.5,0.3805952889612133,1.0,1.0,6,,0
Laila Ali,4,8,26.5,3,10,6.0,0.450734023489732,3.5,3.0,5,,0
Laila Ali,4,9,30.0,3,10,4.5,0.5587171012716958,3.0,3.0,4,,0
Laila Ali,4,10,28.333200000000005,3,10,4.0,0.6630621802069234,2.0,3.0,3,,0
Apolo Anton Ohno,4,1,21.0,1,10,4.5,0.2009605095695147,2.0,3.0,11,,0
Apolo Anton Ohno,4,2,26.0,1,10,10.0,0.2029727575140452,3.0,2.0,11,,0
Apolo Anton Ohno,4,3,23.0,1,10,10.0,0.2153396844530022,4.0,2.0,10,,0
Apolo Anton Ohno,4,4,26.0,1,10,7.0,0.260544322902628,2.5,2.0,9,,0
Apolo Anton Ohno,4,5,30.0,1,10,5.0,0.3095881051453886,1.0,1.0,8,,0
Apolo Anton Ohno,4,6,28.0,1,10,4.5,0.326531811215541,1.0,1.0,7,,0
Apolo Anton Ohno,4,7,27.0,1,10,5.5,0.3712095257167853,2.5,3.0,6,,0
Apolo Anton Ohno,4,8,29.0,1,10,5.0,0.4682927978324476,2.0,1.0,5,,0
Apolo Anton Ohno,4,9,29.5,1,10,4.0,0.5753677052602524,2.0,1.0,4,,0
Apolo Anton Ohno,4,10,29.3332,1,10,3.0,0.673280010343593,1.0,1.0,3,,0
Shandi Finnessey,4,1,19.0,10,3,15.5,0.1780793026718779,8.0,5.0,11,3.0,0
Shandi Finnessey,4,2,20.0,10,3,16.0,0.1801749115948834,10.0,9.0,11,3.0,0
Shandi Finnessey,4,3,21.0,10,3,17.0,0.1041910781411501,10.0,10.0,10,3.0,1
Paulina Porizkova,4,1,19.0,11,2,16.5,0.1774658843809261,9.0,6.0,11,2.0,0
Paulina Porizkova,4,2,21.0,11,2,18.5,0.0922759308978658,11.0,11.0,11,2.0,1
Heather Mills,4,1,18.0,7,6,14.0,0.1771692691883003,6.0,7.0,11,6.0,0
Heather Mills,4,2,24.0,7,6,13.5,0.1887407536416787,8.0,4.0,11,6.0,0
Heather Mills,4,3,24.0,7,6,10.5,0.2112446800047101,5.0,5.0,10,6.0,0
Heather Mills,4,4,23.0,7,6,12.0,0.2350621824739072,7.5,5.0,9,6.0,0
Heather Mills,4,5,21.0,7,6,11.0,0.2563586444927757,6.5,5.0,8,6.0,0
Heather Mills,4,6,23.0,7,6,12.0,0.1520426746630751,7.0,7.0,7,6.0,1
Billy Ray Cyrus,4,1,13.0,5,8,15.0,0.1551169174330659,7.0,11.0,11,8.0,0
Billy Ray Cyrus,4,2,21.0,5,8,10.5,0.1883682326371629,4.0,5.0,11,8.0,0
Billy Ray Cyrus,4,3,21.0,5,8,11.0,0.2100298115513756,6.5,6.0,10,8.0,0
Billy Ray Cyrus,4,4,21.0,5,8,9.5,0.2347102386771506,4.5,6.0,9,8.0,0
Billy Ray Cyrus,4,5,17.0,5,8,8.0,0.2440277680893678,4.5,7.0,8,8.0,0
Billy Ray Cyrus,4,6,21.0,5,8,8.0,0.2939609148950663,4.5,5.0,7,8.0,0
Billy Ray Cyrus,4,7,19.0,5,8,7.0,0.3396047893273376,4.0,5.0,6,8.0,0
Billy Ray Cyrus,4,8,19.0,5,8,10.0,0.1911863756894507,5.0,5.0,5,8.0,1
Joey Fatone,4,1,24.0,2,10,3.0,0.2125602855272578,1.0,1.0,11,,0
Joey Fatone,4,2,24.0,2,10,5.5,0.2022686609211567,1.0,3.0,11,,0
Joey Fatone,4,3,24.0,2,10,8.5,0.2196536547585178,1.0,1.0,10,,0
Joey Fatone,4,4,28.0,2,10,7.0,0.2698456513861112,2.5,1.0,9,,0
Joey Fatone,4,5,25.0,2,10,6.0,0.2848967673020968,2.0,3.0,8,,0
Joey Fatone,4,6,27.0,2,10,8.0,0.3195552471868815,4.5,2.0,7,,0
Joey Fatone,4,7,29.5,2,10,5.5,0.3805340443827063,2.5,2.0,6,,0
Joey Fatone,4,8,27.5,2,10,3.0,0.4614794160997497,1.0,2.0,5,,0
Joey Fatone,4,9,30.0,2,10,3.5,0.5618254726793668,1.0,2.0,4,,0
Joey Fatone,4,10,28.6665,2,10,5.0,0.6636578094494836,3.0,2.0,3,,0
Leeza Gibbons,4,1,15.0,9,4,19.0,0.1603596929672004,11.0,10.0,11,4.0,0
Leeza Gibbons,4,2,21.0,9,4,12.5,0.1852177536708326,7.0,8.0,11,4.0,0
Leeza Gibbons,4,3,24.0,9,4,11.5,0.209754257572281,8.0,7.0,10,4.0,0
Leeza Gibbons,4,4,16.0,9,4,16.5,0.0954515479090845,9.0,9.0,9,4.0,1
Cameron Mathison,5,1,21.0,5,8,8.0,0.1780057342614392,1.0,5.0,12,8.0,0
Cameron Mathison,5,2,21.0,5,8,11.0,0.1921169085928412,4.0,6.0,11,8.0,0
Cameron Mathison,5,3,23.0,5,8,9.0,0.2530262206570641,3.0,3.0,10,8.0,0
Cameron Mathison,5,4,27.0,5,8,5.0,0.3134040159812479,1.0,1.0,6,8.0,0
Cameron Mathison,5,5,26.0,5,8,7.5,0.2725694848345864,3.0,4.0,8,8.0,0
Cameron Mathison,5,6,25.0,5,8,6.5,0.3673842152996817,3.0,3.0,7,8.0,0
Cameron Mathison,5,7,25.5,5,8,6.0,0.4944615217732547,3.0,1.0,4,8.0,0
Cameron Mathison,5,8,25.5,5,8,8.0,0.2278096727759559,5.0,5.0,5,8.0,1
Jane Seymour,5,1,24.0,6,7,13.5,0.1801851985532107,7.0,4.0,12,7.0,0
Jane Seymour,5,2,21.0,6,7,14.0,0.1842898651598787,10.0,8.0,11,7.0,0
Jane Seymour,5,3,27.0,6,7,12.0,0.1318536494827826,8.0,8.0,10,7.0,0
Jane Seymour,5,5,26.0,6,7,10.5,0.2642737704743489,7.0,5.0,8,7.0,0
Jane Seymour,5,6,22.0,6,7,8.0,0.3537406572745541,4.0,4.0,7,7.0,0
Jane Seymour,5,7,25.0,6,7,10.0,0.2170641798611402,4.0,4.0,4,7.0,1
Sabrina Bryan,5,1,26.0,7,6,12.0,0.1867715798084606,6.0,1.0,12,6.0,0
Sabrina Bryan,5,2,26.0,7,6,12.0,0.2004172616398113,7.0,2.0,11,6.0,0
Sabrina Bryan,5,3,27.0,7,6,8.0,0.2557651751245475,1.0,2.0,10,6.0,0
Sabrina Bryan,5,4,30.0,7,6,6.0,0.3096535040035039,2.5,3.0,6,6.0,0
Sabrina Bryan,5,5,28.0,7,6,7.0,0.2747153883963505,1.5,2.0,8,6.0,0
Sabrina Bryan,5,6,25.0,7,6,10.5,0.1752603722127992,6.0,6.0,7,6.0,1
Jennie Garth,5,1,21.0,4,9,9.0,0.1777350360705392,2.5,6.0,12,9.0,0
Jennie Garth,5,2,21.0,4,9,10.0,0.1930149161153025,2.5,4.0,11,9.0,0
Jennie Garth,5,3,26.0,4,9,8.5,0.2614493187832079,2.0,1.0,10,9.0,0
Jennie Garth,5,4,27.0,4,9,6.0,0.3130917015875875,2.5,2.0,6,9.0,0
Jennie Garth,5,5,25.0,4,9,8.0,0.2727701475364774,4.5,3.0,8,9.0,0
Jennie Garth,5,6,27.0,4,9,6.0,0.3748358110735578,2.0,1.0,7,9.0,0
Jennie Garth,5,7,26.5,4,9,4.0,0.4870338057490448,1.5,2.0,4,9.0,0
Jennie Garth,5,8,25.0,4,9,5.0,0.4511437307555452,2.0,1.0,5,9.0,0
Jennie Garth,5,9,29.0,4,9,7.0,0.301554897849073,4.0,4.0,4,9.0,1
Floyd Mayweather Jr. ,5,1,18.0,9,4,14.0,0.1644101031523832,8.0,11.0,12,4.0,0
Floyd Mayweather Jr. ,5,2,21.0,9,4,12.0,0.1876629898680796,7.0,7.0,11,4.0,0
Floyd Mayweather Jr. ,5,3,21.0,9,4,11.0,0.2439602282621235,6.0,5.0,10,4.0,0
Floyd Mayweather Jr. ,5,4,23.0,9,4,14.0,0.1224471400066828,6.0,6.0,6,4.0,1
Josie Maran,5,1,16.0,12,1,24.0,0.0690240596041982,12.0,12.0,12,1.0,1
Albert Reed,5,1,21.0,11,2,15.0,0.1687751992238638,9.5,8.0,12,2.0,0
Albert Reed,5,2,21.0,11,2,18.0,0.0944981128342386,11.0,11.0,11,2.0,1
Helio Castroneves,5,1,25.0,1,10,9.0,0.185927330751199,2.5,2.0,12,,0
Helio Castroneves,5,2,27.0,1,10,9.0,0.2080022854961118,1.0,1.0,11,,0
Helio Castroneves,5,3,24.0,1,10,11.0,0.2509895985096381,6.0,4.0,10,,0
Helio Castroneves,5,4,27.0,1,10,7.0,0.3052814472627833,4.0,4.0,6,,0
Helio Castroneves,5,5,23.0,1,10,8.0,0.2627407563139232,4.5,6.0,8,,0
Helio Castroneves,5,6,28.0,1,10,9.0,0.1886362485968955,5.0,5.0,7,,0
Helio Castroneves,5,8,28.5,1,10,4.0,0.4455902432943984,1.0,2.0,5,,0
Helio Castroneves,5,9,30.0,1,10,3.5,0.5619184023925803,1.0,2.0,4,,0
Helio Castroneves,5,10,27.999900000000004,1,10,3.0,0.6973845521914108,1.5,1.0,3,,0
Mel B,5,1,24.0,2,10,9.5,0.1830334430898462,4.0,3.0,12,,0
Mel B,5,2,23.0,2,10,10.0,0.1932764975629791,2.5,3.0,11,,0
Mel B,5,3,27.0,2,10,11.0,0.1318856633857313,6.0,7.0,10,,0
Mel B,5,5,29.0,2,10,7.0,0.279723551131825,1.5,1.0,8,,0
Mel B,5,6,30.0,2,10,5.0,0.3739531151924736,1.0,2.0,7,,0
Mel B,5,7,27.0,2,10,4.0,0.4681071592832269,1.5,3.0,4,,0
Mel B,5,8,28.0,2,10,6.0,0.4388739905939534,3.0,3.0,5,,0
Mel B,5,9,30.0,2,10,4.5,0.5592870584033045,2.0,3.0,4,,0
Mel B,5,10,28.3332,2,10,3.0,0.6896328262762524,1.5,2.0,3,,0
Wayne Newton,5,1,19.0,10,3,15.0,0.1645032146785938,9.5,10.0,12,3.0,0
Wayne Newton,5,2,15.0,10,3,12.0,0.1716183577819944,7.0,10.0,11,3.0,0
Wayne Newton,5,3,18.0,10,3,17.0,0.0992399679315263,10.0,10.0,10,3.0,1
Marie Osmond,5,1,21.0,3,10,16.0,0.1685653466615632,11.0,9.0,12,,0
Marie Osmond,5,2,24.0,3,10,12.0,0.1924663223714083,7.0,5.0,11,,0
Marie Osmond,5,3,26.0,3,10,12.5,0.1283492931192834,9.0,9.0,10,,0
Marie Osmond,5,5,21.0,3,10,8.5,0.2529048533956726,6.0,7.0,8,,0
Marie Osmond,5,6,23.0,3,10,11.0,0.1661895803500381,7.0,7.0,7,,0
Marie Osmond,5,8,24.5,3,10,7.0,0.436582362580147,4.0,4.0,5,,0
Marie Osmond,5,9,28.0,3,10,5.0,0.5772396413550421,3.0,1.0,4,,0
Marie Osmond,5,10,23.0,3,10,6.0,0.6129826215323366,3.0,3.0,3,,0
Mark Cuban,5,1,21.0,8,5,11.0,0.1730637541447026,5.0,7.0,12,5.0,0
Mark Cuban,5,2,18.0,8,5,12.0,0.1826364825773541,7.0,9.0,11,5.0,0
Mark Cuban,5,3,20.0,8,5,10.0,0.2434808847440953,4.0,6.0,10,5.0,0
Mark Cuban,5,4,22.0,8,5,10.0,0.3027888578248613,5.0,5.0,6,5.0,0
Mark Cuban,5,5,21.0,8,5,15.5,0.1203020479168157,8.0,8.0,8,5.0,1
Cristian de la Fuente,6,1,21.0,3,10,7.5,0.1777382765338945,3.0,4.0,12,,0
Cristian de la Fuente,6,2,20.0,3,10,9.0,0.1882551668770629,4.0,4.0,12,,0
Cristian de la Fuente,6,3,25.0,3,10,5.0,0.2244919618629782,1.0,2.0,10,,0
Cristian de la Fuente,6,4,26.0,3,10,5.0,0.2463957164995105,1.0,3.0,9,,0
Cristian de la Fuente,6,5,23.0,3,10,6.5,0.2708699556712785,3.0,3.0,8,,0
Cristian de la Fuente,6,6,27.0,3,10,4.0,0.3208407092607688,1.0,2.0,7,,0
Cristian de la Fuente,6,7,23.0,3,10,7.0,0.3819784343871297,4.0,1.0,6,,0
Cristian de la Fuente,6,8,28.5,3,10,4.0,0.4950777196049104,1.5,2.0,5,,0
