celebrity_name,season,week,judge_score,placement,weeks_participated,method1_combined_rank,method2_combined_pct,method1_pos,method2_pos,n_contestants,eliminated_week,is_eliminated,dist_method1,dist_method2
Shannon Elizabeth,6,7,25.5,6,7,10.5,0.1869212274054905,6.0,6.0,6,7.0,1,0.0,0.0
Mario,6,8,26.5,5,8,8.0,0.2506125323244721,4.5,4.0,5,8.0,1,0.5,1.0
Marissa Jaret Winokur,6,9,26.0,4,9,7.0,0.3419762638630932,3.0,3.0,3,9.0,1,0.0,0.0
Jeffrey Ross,7,1,12.0,13,1,25.0,0.0558737069723135,13.0,13.0,13,1.0,1,0.0,0.0
Kim Kardashian,7,2,17.0,11,2,19.0,0.0869651673842228,11.0,11.0,11,2.0,1,0.0,0.0
Rocco DiSpirito,7,4,18.0,9,4,18.0,0.1008712576661966,9.0,9.0,9,4.0,1,0.0,0.0
Toni Braxton,7,5,22.0,8,5,13.5,0.126151524612125,8.0,8.0,8,5.0,1,0.0,0.0
Cloris Leachman,7,6,15.0,7,6,14.0,0.115033667910084,7.0,7.0,7,6.0,1,0.0,0.0
Susan Lucci,7,7,24.0,6,7,10.0,0.1849836233910689,6.0,6.0,6,7.0,1,0.0,0.0
Maurice Greene,7,8,24.0,5,8,9.5,0.2229451263437461,5.0,5.0,5,8.0,1,0.0,0.0
Cody Linley,7,9,23.0,4,9,8.0,0.2829388026883966,4.0,4.0,4,9.0,1,0.0,0.0
Belinda Carlisle,8,2,18.0,13,2,22.5,0.0727006640216136,13.0,13.0,13,2.0,1,0.0,0.0
Denise Richards,8,3,16.0,12,3,20.0,0.0744137467174602,12.0,12.0,12,3.0,1,0.0,0.0
Holly Madison,8,4,16.0,11,4,18.0,0.0809829027384383,8.0,8.0,9,4.0,1,1.0,1.0
David Alan Grier,8,5,22.0,9,5,15.0,0.1146623543348436,9.0,9.0,9,5.0,1,0.0,0.0
Steve-O,8,6,16.0,8,6,15.0,0.1085722438188503,8.0,8.0,8,6.0,1,0.0,0.0
Lawrence Taylor,8,7,21.0,7,7,11.0,0.1727389637409614,5.5,6.0,6,7.0,1,0.5,0.0
Chuck Wicks,8,8,25.5,6,8,9.0,0.2133690079278756,4.0,4.0,4,8.0,1,0.0,0.0
Lil' Kim,8,9,26.0,5,9,9.0,0.2265465453711574,5.0,5.0,5,9.0,1,0.0,0.0
Ty Murray,8,10,24.0,4,10,8.0,0.2783909441834865,4.0,4.0,4,10.0,1,0.0,0.0
Ashley Hamiliton,9,1,18.9999,16,1,28.5,0.0559997608172922,16.0,16.0,16,1.0,1,0.0,0.0
Kathy Ireland,9,2,18.0,14,2,24.5,0.0679879945755218,11.0,11.0,11,2.0,1,0.0,0.0
Debi Mazar,9,3,17.0,12,3,22.5,0.0746264134888541,12.0,12.0,13,3.0,1,1.0,1.0
Chuck Liddell,9,4,17.0,11,4,19.0,0.0790622970000881,10.0,10.0,10,4.0,1,0.0,0.0
Natalie Coughlin,9,5,22.0,10,5,18.5,0.0996306063272263,10.0,10.0,10,5.0,1,0.0,0.0
Louie Vito,9,6,24.0,8,6,16.0,0.1078142084247897,8.5,9.0,9,6.0,1,0.5,0.0
Mark Dacascos,9,7,21.5,6,7,13.0,0.1507344243903277,6.5,7.0,7,7.0,1,0.5,0.0
Aaron Carter,9,8,25.0,5,8,9.5,0.2242689746311207,5.0,5.0,5,8.0,1,0.0,0.0
Joanna Krupa,9,9,27.0,4,9,6.0,0.301639575438767,4.0,4.0,4,9.0,1,0.0,0.0
Buzz Aldrin,10,3,13.0,10,3,20.0,0.0739212281963153,10.0,10.0,10,3.0,1,0.0,0.0
Aiden Turner,10,4,16.5,9,4,17.0,0.099723161353958,9.0,9.0,9,4.0,1,0.0,0.0
Kate Gosselin,10,5,15.0,8,5,16.0,0.1012310557756124,8.0,8.0,8,5.0,1,0.0,0.0
Jake Pavelka,10,6,24.9999,7,6,14.0,0.1378536925033615,7.0,7.0,7,6.0,1,0.0,0.0
Pamela Anderson,10,7,25.5,6,7,10.5,0.1864296561904267,6.0,6.0,6,7.0,1,0.0,0.0
Niecy Nash,10,8,21.5,5,8,10.0,0.2055070914112129,5.0,5.0,5,8.0,1,0.0,0.0
Chad Ochocinco,10,9,26.0,4,9,8.0,0.2881375336007975,4.0,4.0,4,9.0,1,0.0,0.0
David Hasselhoff,11,1,15.0,12,1,23.0,0.0717594489833635,12.0,12.0,12,1.0,1,0.0,0.0
Michael Bolton,11,2,12.0,11,2,22.0,0.0628909890574018,11.0,11.0,11,2.0,1,0.0,0.0
Margaret Cho,11,3,18.0,10,3,20.0,0.0905132834863949,10.0,10.0,10,3.0,1,0.0,0.0
The Situation,11,4,14.0,9,4,18.0,0.089349275712961,9.0,9.0,9,4.0,1,0.0,0.0
Florence Henderson,11,5,21.0,8,5,14.0,0.1281331672799688,8.0,8.0,8,5.0,1,0.0,0.0
Audrina Patridge,11,6,31.9998,7,6,9.0,0.168921261541513,6.0,7.0,7,6.0,1,1.0,0.0
Rick Fox,11,7,34.5,6,7,10.0,0.1867642557020949,6.0,6.0,6,7.0,1,0.0,0.0
Kurt Warner,11,8,24.0,5,8,8.0,0.2349238912538519,5.0,5.0,5,8.0,1,0.0,0.0
Mike Catherwood,12,2,17.0,11,2,21.0,0.0854126065300804,11.0,11.0,11,2.0,1,0.0,0.0
Wendy Williams,12,3,15.0,10,3,20.0,0.0802924522239573,10.0,10.0,10,3.0,1,0.0,0.0
Sugar Ray Leonard,12,4,21.0,9,4,17.0,0.1119103015791999,9.0,9.0,9,4.0,1,0.0,0.0
Petra Nemcova,12,5,22.0,8,5,15.0,0.1267728766095714,8.0,8.0,8,5.0,1,0.0,0.0
Chris Jericho,12,6,22.0,7,6,14.0,0.1419239314976043,7.0,7.0,7,6.0,1,0.0,0.0
Kendra Wilkinson,12,7,30.5,6,7,10.0,0.1973076378651795,5.0,5.0,6,7.0,1,1.0,1.0
Ralph Macchio,12,9,24.0,4,9,8.0,0.2592756419564987,4.0,4.0,4,9.0,1,0.0,0.0
Metta World Peace (Ron),13,1,14.0,12,1,24.0,0.0704356984987692,12.0,12.0,12,1.0,1,0.0,0.0
Elisabetta Canalis,13,2,21.0,11,2,16.5,0.0996309890928277,11.0,11.0,11,2.0,1,0.0,0.0
Kristin Cavallari,13,3,24.0,10,3,15.5,0.1082787160363664,10.0,10.0,10,3.0,1,0.0,0.0
Chynna Phillips,13,4,21.0,9,4,16.0,0.1101516565820192,9.0,9.0,9,4.0,1,0.0,0.0
Carson Kressley,13,5,19.0,8,5,16.0,0.1153992381370509,8.0,8.0,8,5.0,1,0.0,0.0
Chaz Bono,13,6,19.0,7,6,14.0,0.1324002764442598,7.0,7.0,7,6.0,1,0.0,0.0
David Arquette,13,7,23.5,6,7,11.0,0.1830028276762285,6.0,6.0,6,7.0,1,0.0,0.0
Nancy Grace,13,8,22.0,5,8,10.0,0.2059809126823638,5.0,5.0,5,8.0,1,0.0,0.0
Hope Solo,13,9,24.4998,4,9,8.0,0.2622939723911747,4.0,4.0,4,9.0,1,0.0,0.0
Martina Navratilova,14,2,17.0,12,2,24.0,0.0696105073431559,12.0,12.0,12,2.0,1,0.0,0.0
Jack Wagner,14,3,24.0,11,3,20.0,0.0921032901453545,11.0,11.0,11,3.0,1,0.0,0.0
Sherri Sheperd,14,4,21.0,10,4,19.0,0.0984234608857166,10.0,10.0,10,4.0,1,0.0,0.0
Gavin DeGraw,14,5,19.0,9,5,18.0,0.0964027888054562,9.0,9.0,9,5.0,1,0.0,0.0
Gladys Knight,14,6,24.0,8,6,16.0,0.1078374520798556,8.0,8.0,8,6.0,1,0.0,0.0
Jaleel White,14,7,25.5,7,7,13.0,0.1551337722074762,7.0,7.0,7,7.0,1,0.0,0.0
Melissa Gilbert,14,8,25.5,5,8,11.0,0.1946557259316302,6.0,6.0,6,8.0,1,0.0,0.0
Maria Menounos,14,9,29.5,4,9,5.0,0.2993715879039755,2.5,4.0,4,9.0,1,1.5,0.0
Pamela Anderson,15,1,17.0,13,1,25.0,0.0688945002124893,13.0,13.0,13,1.0,1,0.0,0.0
Joey Fatone,15,2,22.5,12,2,19.0,0.0872928987410453,11.0,11.0,11,2.0,1,0.0,0.0
Drew Lachey,15,3,24.0,11,3,19.5,0.0959022457387678,11.0,11.0,11,3.0,1,0.0,0.0
Bristol Palin,15,4,32.0,9,4,17.0,0.1099669154558272,9.0,9.0,9,4.0,1,0.0,0.0
Sabrina Bryan,15,6,30.0,8,6,9.5,0.1426526991627955,5.5,8.0,8,6.0,1,2.5,0.0
Gilles Marini,15,8,29.2777,6,8,9.5,0.1683793308209001,6.0,6.0,7,8.0,1,1.0,1.0
Apolo Anton Ohno,15,9,28.611,5,9,8.0,0.2515294914755601,4.0,4.0,5,9.0,1,1.0,1.0
Dorothy Hamill,16,2,15.0,12,2,24.0,0.0673456014080033,12.0,12.0,12,2.0,1,0.0,0.0
Wynonna Judd,16,3,15.0,11,3,22.0,0.0714783301734482,11.0,11.0,11,3.0,1,0.0,0.0
Lisa Vanderpump,16,4,18.0,10,4,19.5,0.089034641735463,10.0,10.0,10,4.0,1,0.0,0.0
D. L. Hughley,16,5,18.0,9,5,17.5,0.0970756320292178,9.0,9.0,9,5.0,1,0.0,0.0
Victor Ortiz,16,6,20.0,8,6,16.0,0.1204736093683532,8.0,8.0,8,6.0,1,0.0,0.0
Andy Dick,16,7,17.0,7,7,14.0,0.1128803959149614,7.0,7.0,7,7.0,1,0.0,0.0
Sean Lowe,16,8,21.0,6,8,12.0,0.1615321407728987,6.0,6.0,6,8.0,1,0.0,0.0
Ingo Rademacher,16,9,25.5,5,9,10.0,0.2184542345232523,5.0,5.0,5,9.0,1,0.0,0.0
Alexandra Raisman,16,10,29.0,4,10,7.0,0.492462426441096,3.5,3.0,4,10.0,1,0.5,1.0
Keyshawn Johnson,17,2,18.0,12,2,23.0,0.0733994241105076,12.0,12.0,12,2.0,1,0.0,0.0
Bill Nye,17,3,16.0,11,3,21.5,0.0704120033375277,11.0,11.0,11,3.0,1,0.0,0.0
Valerie Harper,17,4,18.0,10,4,20.0,0.0852417793237266,10.0,10.0,10,4.0,1,0.0,0.0
Christina Milian,17,5,28.0,9,5,10.5,0.1269878451918372,5.0,9.0,9,5.0,1,4.0,0.0
"Nicole ""Snooki"" Polizzi",17,7,27.0,8,7,13.5,0.1343220276468956,8.0,8.0,8,7.0,1,0.0,0.0
Brant Daugherty,17,8,27.0,7,8,12.0,0.1561194660823764,7.0,7.0,7,8.0,1,0.0,0.0
Elizabeth Berkley Lauren,17,9,28.0,6,9,8.0,0.1969676492909648,6.0,6.0,6,9.0,1,0.0,0.0
Leah Remini,17,10,32.5,5,10,9.0,0.2184391911742262,5.0,5.0,5,10.0,1,0.0,0.0
Bill Engvall,17,11,25.4999,4,11,5.0,0.4817428225858933,2.0,4.0,4,11.0,1,2.0,0.0
Diana Nyad,18,1,18.0,12,1,23.0,0.0738380549301539,12.0,12.0,12,1.0,1,0.0,0.0
Billy Dee Williams,18,2,15.0,10,2,21.0,0.0718933417994106,11.0,11.0,11,2.0,1,0.0,0.0
Cody Simpson,18,5,34.0,9,5,17.0,0.1149799733404865,9.0,9.0,9,5.0,1,0.0,0.0
Drew Carey,18,6,32.0,8,6,15.5,0.1267038302354319,8.0,8.0,8,6.0,1,0.0,0.0
NeNe Leakes,18,7,33.0,7,7,14.0,0.1490359226170336,7.0,7.0,7,7.0,1,0.0,0.0
Danica McKellar,18,8,38.0,6,8,9.0,0.1878425883226355,6.0,6.0,6,8.0,1,0.0,0.0
Charlie White,18,9,38.0,5,9,8.5,0.2288177149730894,5.0,5.0,5,9.0,1,0.0,0.0
James Maslow,18,10,29.0,4,10,5.0,0.5037834860000518,2.5,3.0,4,10.0,1,1.5,1.0
Lolo Jones,19,1,22.0,13,1,25.0,0.0637668054057329,13.0,13.0,13,1.0,1,0.0,0.0
Tavis Smiley,19,2,28.0,12,2,21.5,0.082257861217192,12.0,12.0,12,2.0,1,0.0,0.0
Randy Couture,19,3,26.0,11,3,22.0,0.0804558552816693,11.0,11.0,11,3.0,1,0.0,0.0
Betsey Johnson,19,4,29.0,10,4,16.5,0.0979774570149775,10.0,10.0,10,4.0,1,0.0,0.0
Jonathan Bennett,19,6,32.0,9,6,14.5,0.11807070434592,9.0,9.0,9,6.0,1,0.0,0.0
Antonio Sabato Jr.,19,7,29.5,8,7,15.0,0.1272108551079882,8.0,8.0,8,7.0,1,0.0,0.0
Michael Waltrip,19,8,25.0,7,8,14.0,0.1195130470902056,7.0,7.0,7,8.0,1,0.0,0.0
Lea Thompson,19,9,35.0,6,9,11.0,0.1843021323061988,6.0,6.0,6,9.0,1,0.0,0.0
Tommy Chong,19,10,31.0,5,10,10.0,0.2071869763585013,5.0,5.0,5,10.0,1,0.0,0.0
Bethany Mota,19,11,38.0,4,11,8.0,0.4879287179521214,4.0,4.0,4,11.0,1,0.0,0.0
Redfoo,20,2,31.0,12,2,17.0,0.0934869591503524,11.0,12.0,12,2.0,1,1.0,0.0
Charlotte McKinney,20,3,22.0,11,3,21.5,0.0770452872660134,11.0,11.0,11,3.0,1,0.0,0.0
Michael Sam,20,4,30.0,10,4,17.5,0.0997705648172909,10.0,10.0,10,4.0,1,0.0,0.0
Suzanne Somers,20,5,28.0,9,5,14.5,0.1083741951956519,9.0,9.0,9,5.0,1,0.0,0.0
Patti LaBelle,20,6,34.0,8,6,14.5,0.1322347281064648,8.0,8.0,8,6.0,1,0.0,0.0
Willow Shields,20,7,39.0,7,7,9.0,0.1672380136408665,6.0,7.0,7,7.0,1,1.0,0.0
Chris Soules,20,8,32.0,5,8,10.0,0.1862550475382092,5.0,5.0,6,8.0,1,1.0,1.0
Nastia Liukin,20,9,40.0,4,9,5.5,0.2991489330510292,4.0,4.0,4,9.0,1,0.0,0.0
Chaka Khan,21,2,15.0,13,2,24.0,0.0644508898101465,13.0,13.0,13,2.0,1,0.0,0.0
Gary Busey,21,4,16.0,10,4,20.0,0.076733040656956,10.0,10.0,10,4.0,1,0.0,0.0
Paula Deen,21,6,24.0,9,6,18.0,0.0882691089009091,9.0,9.0,9,6.0,1,0.0,0.0
Hayes Grier,21,7,28.0,8,7,11.0,0.1371836973076576,8.0,8.0,8,7.0,1,0.0,0.0
Andy Grammer,21,8,23.9998,7,8,14.0,0.1411971644140626,7.0,7.0,7,8.0,1,0.0,0.0
Alexa PenaVega,21,9,30.0,6,9,7.5,0.2121514438446386,5.0,5.0,6,9.0,1,1.0,1.0
Carlos PenaVega,21,11,30.0,4,11,5.0,0.5008988708574045,2.5,2.0,4,11.0,1,1.5,2.0
Geraldo Rivera,22,2,13.0,12,2,24.0,0.06127115513339,12.0,12.0,12,2.0,1,0.0,0.0
Mischa Barton,22,3,18.0,11,3,22.0,0.0828963828510399,11.0,11.0,11,3.0,1,0.0,0.0
Marla Maples,22,4,28.0,10,4,18.0,0.0954607399864989,10.0,10.0,10,4.0,1,0.0,0.0
Doug Flutie,22,6,21.0,9,6,18.0,0.103998835456412,9.0,9.0,9,6.0,1,0.0,0.0
Kim Fields,22,7,26.0,8,7,13.0,0.1395710945612197,7.0,7.0,8,7.0,1,1.0,1.0
Jodie Sweetin,22,8,30.0,6,8,7.5,0.1959582265827103,5.0,6.0,6,8.0,1,1.0,0.0
Antonio Brown,22,9,27.5,5,9,9.0,0.2449701219123055,5.0,5.0,5,9.0,1,0.0,0.0
Jake T. Austin,23,2,24.0,13,2,24.0,0.0725006015175981,13.0,13.0,13,2.0,1,0.0,0.0
Rick Perry,23,3,23.0,12,3,23.5,0.0763779861414011,12.0,12.0,12,3.0,1,0.0,0.0
Babyface,23,4,18.0,11,4,21.0,0.0793034896773789,11.0,11.0,11,4.0,1,0.0,0.0
Amber Rose,23,6,28.0,9,6,18.0,0.1023454806935917,9.0,9.0,9,6.0,1,0.0,0.0
Maureen McCormick,23,7,33.0,8,7,14.5,0.132466132106026,8.0,8.0,8,7.0,1,0.0,0.0
Ryan Lochte,23,8,26.0,7,8,12.0,0.1450291293870546,7.0,7.0,7,8.0,1,0.0,0.0
Marilu Henner,23,9,36.0,6,9,11.5,0.1810107181338205,6.0,6.0,6,9.0,1,0.0,0.0
Terra Jole,23,10,30.0,5,10,6.5,0.2316817510182424,5.0,5.0,5,10.0,1,0.0,0.0
Jana Kramer,23,11,35.5,4,11,6.0,0.484896809932393,4.0,4.0,4,11.0,1,0.0,0.0
Chris Kattan,24,2,22.0,12,2,23.5,0.0725208375368083,12.0,12.0,12,2.0,1,0.0,0.0
Charo,24,3,24.0,11,3,21.0,0.0825475377082766,11.0,11.0,11,3.0,1,0.0,0.0
Mr. T,24,4,28.0,10,4,20.0,0.094015663939626,10.0,10.0,10,4.0,1,0.0,0.0
Erika Jayne,24,5,32.0,9,5,15.5,0.11417003691682,9.0,9.0,9,5.0,1,0.0,0.0
Heather Morris,24,6,37.0,8,6,9.0,0.1469993004290643,4.5,8.0,8,6.0,1,3.5,0.0
Nancy Kerrigan,24,7,36.0,7,7,11.0,0.1647929259911408,6.5,6.0,7,7.0,1,0.5,1.0
Bonner Bolton,24,8,29.0,5,8,10.0,0.2004521975153249,5.0,5.0,5,8.0,1,0.0,0.0
Simone Biles,24,9,40.0,4,9,5.0,0.30763784098369,2.5,4.0,4,9.0,1,1.5,0.0
Barbara Corcoran,25,2,17.0,13,2,25.0,0.0687936821109429,13.0,13.0,13,2.0,1,0.0,0.0
Derek Fisher,25,4,23.0,11,4,21.0,0.091129083447218,11.0,11.0,11,4.0,1,0.0,0.0
Sasha Pieterse,25,5,24.0,10,5,18.5,0.0997266560949863,10.0,10.0,10,5.0,1,0.0,0.0
Nick Lachey,25,6,26.0,9,6,18.0,0.0962709234333078,9.0,9.0,9,6.0,1,0.0,0.0
Nikki Bella,25,7,24.0,8,7,15.0,0.1308290381705105,8.0,8.0,8,7.0,1,0.0,0.0
Terrell Owens,25,8,25.5,6,8,10.0,0.1832605214540063,6.0,6.0,6,8.0,1,0.0,0.0
Victoria Arlen,25,9,28.0,5,9,8.0,0.2354468401449498,5.0,5.0,5,9.0,1,0.0,0.0
Drew Scott,25,10,37.5,4,10,5.0,0.4981292512740856,2.0,2.0,4,10.0,1,2.0,2.0
Jamie Anderson,26,1,19.0,10,1,16.0,0.1054834992756195,7.5,7.0,8,1.0,1,0.5,1.0
Arike Ogunbowale,26,2,35.0,7,2,11.0,0.1446947098217351,7.0,7.0,8,2.0,1,1.0,1.0
Chris Mazdzer,26,3,33.0,5,3,10.0,0.2263924576882313,6.0,5.0,6,3.0,1,0.0,1.0
Nikki Glaser,27,1,17.5,13,1,25.0,0.0724599767662692,13.0,13.0,13,1.0,1,0.0,0.0
Danelle Umstead,27,2,18.5,12,2,23.0,0.0734876332975584,12.0,12.0,12,2.0,1,0.0,0.0
Nancy McKeon,27,3,22.0,11,3,20.0,0.0869689042658345,11.0,11.0,11,3.0,1,0.0,0.0
Tinashe,27,4,26.0,10,4,12.5,0.1183241652384577,7.5,10.0,10,4.0,1,2.5,0.0
Mary Lou Retton,27,6,24.0,9,6,15.0,0.1137322667748641,9.0,9.0,9,6.0,1,0.0,0.0
DeMarcus Ware,27,7,26.5,7,7,13.5,0.1389673158044263,8.0,8.0,8,7.0,1,0.0,0.0
Joe Amabile,27,8,23.0,6,8,10.0,0.1789807006870884,6.0,6.0,6,8.0,1,0.0,0.0
Alexis Ren,27,9,28.5,4,9,6.0,0.4966918833823983,4.0,3.0,4,9.0,1,0.0,1.0
Mary Wilson,28,2,15.0,12,2,22.5,0.0834832541193146,12.0,12.0,12,2.0,1,0.0,0.0
Lamar Odom,28,4,20.0,10,4,20.0,0.0965109964957889,10.0,10.0,10,4.0,1,0.0,0.0
Sailor Brinkley-Cook,28,6,27.0,9,6,11.0,0.1361626097853923,7.0,9.0,9,6.0,1,2.0,0.0
Karamo Brown,28,7,24.5,8,7,14.0,0.1499256432386382,7.5,8.0,8,7.0,1,0.5,0.0
Kate Flannery,28,8,25.9998,7,8,12.0,0.1756881225976583,7.0,7.0,7,8.0,1,0.0,0.0
Sean Spicer,28,9,25.0,6,9,12.0,0.2031669391590689,6.0,6.0,6,9.0,1,0.0,0.0
James Van Der Beek,28,10,25.5,5,10,10.0,0.2623277005469638,5.0,5.0,5,10.0,1,0.0,0.0
Lauren Alaina,28,11,28.5,4,11,6.0,0.5071005028601269,3.0,2.0,4,11.0,1,1.0,2.0
Charles Oakley,29,2,15.0,15,2,29.5,0.0648050988124558,15.0,15.0,15,2.0,1,0.0,0.0
Carole Baskin,29,3,12.0,14,3,28.0,0.0571999219150721,14.0,14.0,14,3.0,1,0.0,0.0
Anne Heche,29,4,21.0,13,4,24.5,0.0836510548919529,13.0,13.0,13,4.0,1,0.0,0.0
Jesse Metcalfe,29,5,19.0,12,5,23.5,0.0848851209731398,12.0,12.0,12,5.0,1,0.0,0.0
Veron Davis,29,6,21.0,11,6,21.0,0.1026220037940889,11.0,11.0,11,6.0,1,0.0,0.0
Jeannie Mai,29,7,25.0,9,7,18.0,0.1235014069887862,9.0,9.0,10,7.0,1,1.0,1.0
Chrishell Stause,29,8,27.0,8,8,13.5,0.1555523140290486,8.0,8.0,8,8.0,1,0.0,0.0
AJ McLean,29,9,24.9998,7,9,13.0,0.1760063836793208,7.0,7.0,7,9.0,1,0.0,0.0
Johnny Weir,29,10,28.5,6,10,10.5,0.2326396196503884,6.0,6.0,6,10.0,1,0.0,0.0
Justina Machado,29,11,30.0,4,11,6.0,0.4591550339826796,3.0,4.0,4,11.0,1,1.0,0.0
Martin Kove,30,2,15.0,15,2,30.0,0.04947999369445,15.0,15.0,15,2.0,1,0.0,0.0
Christine Chiu,30,3,21.0,14,3,22.0,0.0808918932656974,13.0,14.0,14,3.0,1,1.0,0.0
Brian Austin Green,30,4,26.0,13,4,26.0,0.0892247861778229,13.0,13.0,13,4.0,1,0.0,0.0
Melanie C,30,5,36.0,11,5,16.0,0.1082403675632814,9.0,11.0,11,5.0,1,2.0,0.0
Kenya Moore,30,6,32.0,10,6,20.0,0.1091026221847565,10.0,10.0,10,6.0,1,0.0,0.0
"Mike ""The Miz"" Mizanin",30,7,32.0,9,7,18.0,0.1306418877014103,9.0,9.0,9,7.0,1,0.0,0.0
Jimmie Allen,30,8,32.0,7,8,15.0,0.1564860567346251,8.0,8.0,8,8.0,1,0.0,0.0
Melora Hardin,30,9,36.0,6,9,11.0,0.2176885574226264,6.0,6.0,6,9.0,1,0.0,0.0
Amanda Kloots,30,10,39.0,4,10,7.0,0.4015178104643788,4.0,4.0,4,10.0,1,0.0,0.0
Jason Lewis,31,1,18.0,16,1,31.0,0.0560037569848235,16.0,16.0,16,1.0,1,0.0,0.0
Teresa Giudice,31,2,23.0,15,2,29.0,0.0650525081200359,15.0,15.0,15,2.0,1,0.0,0.0
Cheryl Ladd,31,3,24.0,14,3,27.0,0.0713151535732109,14.0,14.0,14,3.0,1,0.0,0.0
Sam Champion,31,4,25.0,13,4,26.0,0.073636842769761,13.0,13.0,13,4.0,1,0.0,0.0
Joseph Baena,31,5,35.0,11,5,21.0,0.1032315227208919,12.0,11.0,12,5.0,1,0.0,1.0
