HomePlanet,CryoSleep,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Transported,HasName,Group,Deck,Num,Side,GroupSize
Earth,False,55 Cancri e,24.0,0,0.0,1.0,0.0,0.0,637.0,False,True,15,F,4,P,1
Mars,True,TRAPPIST-1e,45.0,0,0.0,0.0,0.0,0.0,0.0,True,True,16,F,5,P,1
Earth,False,TRAPPIST-1e,0.0,0,0.0,0.0,0.0,0.0,0.0,True,True,17,G,0,P,2
Earth,False,55 Cancri e,14.0,0,412.0,0.0,1.0,0.0,679.0,False,True,17,F,6,P,2
Earth,True,TRAPPIST-1e,1.0,0,0.0,0.0,0.0,0.0,0.0,False,True,20,E,0,S,6
Earth,True,55 Cancri e,49.0,0,0.0,0.0,0.0,0.0,0.0,False,True,20,E,0,S,6
Earth,True,55 Cancri e,29.0,0,0.0,0.0,,0.0,0.0,False,True,20,E,0,S,6
Earth,False,TRAPPIST-1e,10.0,0,0.0,0.0,0.0,0.0,0.0,True,True,20,E,0,S,6
Earth,True,PSO J318.5-22,1.0,0,,0.0,0.0,0.0,0.0,False,True,20,E,0,S,6
Earth,False,TRAPPIST-1e,7.0,0,0.0,0.0,0.0,0.0,0.0,False,True,20,E,0,S,6
Mars,False,TRAPPIST-1e,21.0,0,980.0,2.0,69.0,0.0,0.0,False,False,22,D,0,P,1
Europa,True,TRAPPIST-1e,62.0,0,0.0,0.0,,0.0,0.0,True,True,24,C,2,S,1
Earth,False,TRAPPIST-1e,15.0,0,0.0,225.0,0.0,998.0,0.0,False,True,25,F,6,S,1
Europa,False,55 Cancri e,34.0,0,22.0,6073.0,0.0,1438.0,328.0,False,True,26,C,0,P,1
Mars,False,TRAPPIST-1e,43.0,0,1125.0,0.0,136.0,48.0,0.0,False,True,28,F,8,P,1
Earth,False,TRAPPIST-1e,32.0,0,0.0,850.0,81.0,437.0,453.0,False,True,30,G,4,S,1
Mars,False,TRAPPIST-1e,47.0,0,214.0,0.0,1411.0,0.0,1229.0,True,True,31,F,9,P,3
Mars,False,TRAPPIST-1e,2.0,0,0.0,0.0,0.0,0.0,0.0,True,True,31,F,9,P,3
Mars,False,TRAPPIST-1e,20.0,0,,0.0,1750.0,990.0,0.0,True,True,31,F,9,P,3
Europa,True,55 Cancri e,28.0,0,0.0,0.0,0.0,0.0,0.0,True,True,34,D,1,S,1
Mars,False,55 Cancri e,23.0,0,784.0,964.0,0.0,951.0,0.0,False,True,35,D,1,P,1
Earth,False,55 Cancri e,15.0,0,0.0,492.0,48.0,20.0,401.0,False,True,36,F,8,S,1
Earth,False,55 Cancri e,20.0,0,554.0,195.0,0.0,2606.0,0.0,False,True,38,F,10,S,1
Earth,True,55 Cancri e,30.0,0,0.0,0.0,,0.0,0.0,False,True,39,G,1,P,1
Earth,True,TRAPPIST-1e,17.0,0,0.0,0.0,0.0,0.0,0.0,True,True,41,G,2,P,1
Europa,False,TRAPPIST-1e,45.0,0,0.0,164.0,45.0,2511.0,855.0,False,True,43,B,3,P,1
Earth,True,TRAPPIST-1e,55.0,0,0.0,0.0,0.0,0.0,0.0,False,True,44,G,3,P,3
Earth,True,55 Cancri e,4.0,0,0.0,0.0,0.0,0.0,0.0,True,True,44,G,3,P,3
Earth,True,PSO J318.5-22,21.0,0,0.0,0.0,0.0,0.0,0.0,True,True,44,G,3,P,3
Mars,False,TRAPPIST-1e,21.0,0,970.0,0.0,180.0,0.0,64.0,False,True,45,F,10,P,2
Mars,True,Unknown,19.0,0,0.0,0.0,0.0,0.0,0.0,True,True,45,F,10,P,2
Earth,False,55 Cancri e,35.0,0,790.0,0.0,0.0,,0.0,False,True,50,E,1,S,1
Earth,False,TRAPPIST-1e,56.0,0,0.0,112.0,0.0,1379.0,127.0,False,True,51,E,2,S,1
Earth,False,TRAPPIST-1e,,0,4.0,0.0,2.0,4683.0,0.0,False,True,52,G,6,S,1
Earth,False,TRAPPIST-1e,25.0,0,0.0,0.0,1938.0,0.0,1.0,True,True,53,F,11,S,1
Europa,False,TRAPPIST-1e,2.0,0,0.0,0.0,0.0,0.0,0.0,True,True,56,A,1,S,3
Europa,True,TRAPPIST-1e,38.0,0,0.0,0.0,0.0,0.0,0.0,True,True,56,A,1,S,3
Europa,False,TRAPPIST-1e,27.0,0,279.0,605.0,3374.0,286.0,3.0,True,True,56,A,1,S,3
Earth,True,PSO J318.5-22,36.0,0,0.0,0.0,0.0,0.0,0.0,False,True,58,G,7,S,1
Earth,False,TRAPPIST-1e,22.0,0,45.0,1096.0,148.0,1377.0,1.0,False,True,61,F,12,S,1
Earth,False,TRAPPIST-1e,62.0,0,0.0,592.0,0.0,17.0,25.0,False,True,62,F,13,S,1
Mars,True,TRAPPIST-1e,15.0,0,0.0,0.0,0.0,0.0,0.0,True,False,64,F,14,S,2
Unknown,True,TRAPPIST-1e,33.0,0,0.0,0.0,,0.0,0.0,True,True,64,E,3,S,2
Earth,False,TRAPPIST-1e,62.0,0,1.0,153.0,197.0,0.0,460.0,False,True,66,G,6,P,1
Earth,True,PSO J318.5-22,0.0,0,0.0,0.0,0.0,0.0,0.0,True,True,67,G,10,S,3
Earth,False,TRAPPIST-1e,18.0,0,1.0,258.0,446.0,0.0,0.0,True,True,67,G,10,S,3
Earth,False,55 Cancri e,21.0,0,1946.0,37.0,0.0,0.0,24.0,False,True,67,F,15,S,3
Mars,False,TRAPPIST-1e,,0,793.0,0.0,2.0,253.0,0.0,False,True,68,E,4,S,1
Earth,False,TRAPPIST-1e,42.0,0,887.0,0.0,9.0,6.0,0.0,True,False,69,F,16,S,1
Earth,False,TRAPPIST-1e,19.0,0,190.0,0.0,5.0,1.0,726.0,False,True,70,F,13,P,1
Earth,False,TRAPPIST-1e,17.0,0,16.0,2165.0,0.0,0.0,52.0,False,True,71,F,14,P,1
Earth,False,TRAPPIST-1e,14.0,0,0.0,1.0,0.0,0.0,1063.0,False,True,72,F,17,S,1
Mars,False,PSO J318.5-22,37.0,0,46.0,83.0,738.0,0.0,12.0,False,True,73,D,3,P,1
Europa,False,TRAPPIST-1e,42.0,0,1.0,8397.0,0.0,0.0,506.0,True,True,74,C,3,S,1
Mars,False,TRAPPIST-1e,27.0,0,147.0,0.0,1018.0,0.0,0.0,True,True,76,F,18,S,1
Mars,False,TRAPPIST-1e,28.0,0,14.0,0.0,1295.0,0.0,0.0,True,True,77,F,15,P,1
Europa,False,TRAPPIST-1e,38.0,0,0.0,5840.0,0.0,321.0,9654.0,False,True,78,C,4,S,1
Earth,True,TRAPPIST-1e,13.0,0,0.0,0.0,0.0,0.0,0.0,False,True,81,G,13,S,1
Mars,False,TRAPPIST-1e,42.0,0,7406.0,0.0,0.0,0.0,0.0,False,True,82,F,16,P,3
Mars,True,TRAPPIST-1e,2.0,0,0.0,0.0,0.0,0.0,0.0,True,True,82,F,16,P,3
Mars,False,TRAPPIST-1e,8.0,0,0.0,0.0,0.0,0.0,0.0,True,False,82,F,16,P,3
Earth,False,TRAPPIST-1e,24.0,0,688.0,0.0,0.0,0.0,17.0,True,True,84,G,14,S,1
Europa,True,TRAPPIST-1e,40.0,0,0.0,0.0,0.0,0.0,0.0,True,True,85,C,5,S,1
Earth,False,TRAPPIST-1e,43.0,0,211.0,0.0,0.0,638.0,513.0,False,True,86,F,17,P,1
Mars,True,PSO J318.5-22,45.0,0,0.0,0.0,0.0,0.0,0.0,True,True,88,E,5,S,1
Earth,True,TRAPPIST-1e,35.0,0,0.0,0.0,0.0,0.0,0.0,True,True,90,G,15,S,1
Earth,True,TRAPPIST-1e,26.0,0,,0.0,0.0,0.0,0.0,True,True,91,G,16,S,2
Earth,False,TRAPPIST-1e,27.0,0,1.0,697.0,31.0,188.0,0.0,False,True,91,F,20,S,2
Earth,False,TRAPPIST-1e,19.0,0,0.0,0.0,670.0,1.0,34.0,False,True,92,G,9,P,3
Earth,True,TRAPPIST-1e,0.0,0,0.0,0.0,,0.0,0.0,True,True,92,G,9,P,3
Earth,True,TRAPPIST-1e,3.0,0,0.0,0.0,0.0,0.0,0.0,True,True,92,G,9,P,3
Europa,False,TRAPPIST-1e,54.0,0,0.0,1208.0,0.0,3.0,637.0,False,True,97,A,2,S,1
Earth,False,TRAPPIST-1e,26.0,0,0.0,856.0,5.0,32.0,0.0,False,True,98,G,11,P,2
Earth,False,TRAPPIST-1e,26.0,0,0.0,2811.0,957.0,0.0,87.0,True,True,98,G,11,P,2
Earth,False,PSO J318.5-22,23.0,0,311.0,427.0,526.0,37.0,0.0,False,True,99,F,19,P,2
Earth,False,TRAPPIST-1e,2.0,0,0.0,0.0,0.0,0.0,0.0,True,True,99,G,12,P,2
Mars,True,TRAPPIST-1e,31.0,0,0.0,0.0,0.0,0.0,0.0,True,True,101,U,-1,U,1
Earth,False,TRAPPIST-1e,18.0,0,0.0,0.0,0.0,830.0,91.0,False,True,102,F,23,S,1
Earth,False,TRAPPIST-1e,24.0,0,0.0,,0.0,0.0,17.0,True,True,103,F,24,S,3
Earth,True,55 Cancri e,9.0,0,0.0,0.0,0.0,0.0,0.0,True,True,103,G,18,S,3
Earth,True,TRAPPIST-1e,6.0,0,0.0,0.0,0.0,0.0,0.0,False,True,103,G,18,S,3
Earth,False,TRAPPIST-1e,27.0,0,0.0,0.0,570.0,2.0,131.0,False,True,105,F,21,P,1
Mars,False,TRAPPIST-1e,21.0,0,1743.0,5.0,17.0,0.0,0.0,False,True,107,D,2,S,1
Earth,True,TRAPPIST-1e,23.0,0,0.0,0.0,0.0,0.0,0.0,False,True,108,G,19,S,3
Earth,False,TRAPPIST-1e,31.0,0,562.0,0.0,326.0,0.0,0.0,False,False,108,G,19,S,3
Earth,False,TRAPPIST-1e,0.0,0,0.0,0.0,0.0,0.0,0.0,True,True,108,G,19,S,3
Europa,False,TRAPPIST-1e,32.0,0,0.0,410.0,6.0,3929.0,764.0,False,True,110,U,-1,U,4
Europa,False,TRAPPIST-1e,40.0,0,0.0,331.0,0.0,0.0,1687.0,False,True,110,B,5,P,4
Europa,False,TRAPPIST-1e,42.0,0,2209.0,11418.0,0.0,1868.0,445.0,True,True,110,B,5,P,4
Europa,True,TRAPPIST-1e,28.0,0,0.0,0.0,0.0,0.0,0.0,True,True,110,B,5,P,4
Europa,True,TRAPPIST-1e,29.0,0,0.0,0.0,0.0,0.0,0.0,True,True,111,E,6,S,1
Europa,False,55 Cancri e,48.0,1,0.0,2537.0,87.0,17.0,13.0,True,True,112,B,1,S,1
Earth,False,TRAPPIST-1e,64.0,0,0.0,0.0,804.0,0.0,0.0,True,True,113,F,23,P,1
Earth,False,TRAPPIST-1e,27.0,0,82.0,157.0,429.0,238.0,1.0,False,True,114,G,20,S,1
Mars,False,TRAPPIST-1e,26.0,0,0.0,0.0,0.0,0.0,,True,True,115,F,24,P,1
Europa,False,TRAPPIST-1e,33.0,0,1.0,2223.0,0.0,12.0,404.0,True,True,116,D,4,P,1
Unknown,False,TRAPPIST-1e,39.0,0,0.0,2344.0,0.0,65.0,6898.0,False,True,119,A,0,P,2
Europa,True,TRAPPIST-1e,13.0,0,0.0,0.0,0.0,0.0,0.0,True,True,119,A,0,P,2
Mars,True,TRAPPIST-1e,24.0,0,0.0,0.0,0.0,0.0,,True,True,120,F,25,P,1
Earth,False,TRAPPIST-1e,29.0,0,0.0,0.0,0.0,699.0,74.0,False,True,122,G,21,S,1
Earth,False,TRAPPIST-1e,18.0,0,55.0,597.0,49.0,0.0,1.0,False,True,123,F,27,P,1
Mars,True,TRAPPIST-1e,67.0,0,0.0,0.0,0.0,0.0,0.0,True,True,126,F,27,S,1
Mars,False,TRAPPIST-1e,35.0,0,701.0,0.0,296.0,0.0,25.0,False,True,127,E,7,S,1
Mars,False,TRAPPIST-1e,61.0,1,2353.0,334.0,9.0,316.0,2.0,False,True,128,D,3,S,2
Mars,False,TRAPPIST-1e,45.0,0,2103.0,6.0,0.0,0.0,0.0,False,True,128,E,8,S,2
Earth,True,PSO J318.5-22,22.0,0,0.0,0.0,,0.0,0.0,True,True,129,G,22,S,1
Mars,True,TRAPPIST-1e,19.0,0,0.0,0.0,0.0,0.0,0.0,True,True,133,F,29,S,2
Mars,False,TRAPPIST-1e,36.0,0,2738.0,0.0,0.0,0.0,0.0,False,True,133,D,5,S,2
Earth,False,TRAPPIST-1e,19.0,0,0.0,14.0,730.0,0.0,0.0,True,True,134,G,17,P,1
Earth,False,PSO J318.5-22,47.0,0,97.0,418.0,126.0,25.0,55.0,False,False,136,G,23,S,1
Earth,True,TRAPPIST-1e,13.0,0,0.0,0.0,0.0,0.0,0.0,True,True,138,G,18,P,2
Earth,False,Unknown,34.0,0,0.0,22.0,0.0,564.0,207.0,False,True,138,E,5,P,2
Europa,True,55 Cancri e,35.0,0,0.0,0.0,0.0,0.0,0.0,True,True,139,C,6,S,1
Earth,True,TRAPPIST-1e,24.0,0,0.0,0.0,0.0,0.0,0.0,True,True,140,G,19,P,2
Earth,False,TRAPPIST-1e,26.0,0,440.0,0.0,0.0,0.0,462.0,False,True,140,F,29,P,2
Mars,False,TRAPPIST-1e,31.0,0,,0.0,97.0,0.0,0.0,False,True,141,F,30,P,1
Earth,False,TRAPPIST-1e,20.0,0,0.0,420.0,210.0,0.0,0.0,True,True,144,F,31,S,1
Earth,False,TRAPPIST-1e,56.0,0,0.0,0.0,0.0,0.0,0.0,False,True,146,G,25,S,1
Earth,True,TRAPPIST-1e,50.0,0,0.0,0.0,0.0,0.0,0.0,True,True,147,G,26,S,1
Mars,False,TRAPPIST-1e,42.0,0,1072.0,0.0,10.0,0.0,76.0,False,True,148,F,31,P,1
Earth,True,55 Cancri e,,0,0.0,0.0,0.0,0.0,0.0,True,True,149,G,27,S,1
Earth,True,55 Cancri e,38.0,0,0.0,0.0,0.0,0.0,0.0,False,True,151,G,20,P,1
Earth,False,Unknown,41.0,0,0.0,0.0,0.0,0.0,607.0,False,True,152,F,32,P,1
Earth,False,TRAPPIST-1e,22.0,0,4119.0,0.0,0.0,0.0,61.0,False,True,160,G,22,P,1
Europa,True,TRAPPIST-1e,26.0,0,0.0,0.0,0.0,0.0,0.0,True,True,163,B,8,P,2
Europa,True,TRAPPIST-1e,17.0,0,0.0,0.0,0.0,0.0,0.0,True,True,163,B,8,P,2
Earth,False,TRAPPIST-1e,57.0,0,50.0,1688.0,0.0,,135.0,True,True,164,G,28,S,2
Earth,True,PSO J318.5-22,17.0,0,0.0,0.0,0.0,0.0,0.0,False,True,164,G,28,S,2
Mars,True,TRAPPIST-1e,35.0,0,0.0,0.0,0.0,0.0,0.0,True,True,165,F,37,P,1
Mars,True,TRAPPIST-1e,13.0,0,0.0,0.0,0.0,0.0,0.0,True,True,167,F,35,S,2
Mars,False,TRAPPIST-1e,27.0,0,1365.0,0.0,48.0,22.0,137.0,False,True,167,F,35,S,2
Earth,True,TRAPPIST-1e,31.0,0,0.0,0.0,0.0,0.0,0.0,False,True,169,G,23,P,1
Earth,False,TRAPPIST-1e,24.0,0,0.0,0.0,0.0,221.0,567.0,False,True,170,E,10,S,1
Earth,True,PSO J318.5-22,19.0,0,0.0,0.0,0.0,0.0,0.0,True,True,171,G,30,S,1
Earth,True,TRAPPIST-1e,32.0,0,0.0,0.0,0.0,0.0,0.0,True,True,172,G,24,P,1
Earth,False,TRAPPIST-1e,58.0,0,0.0,985.0,0.0,5.0,0.0,True,True,173,E,11,S,1
Earth,False,55 Cancri e,21.0,0,287.0,0.0,16.0,115.0,175.0,False,True,174,F,38,P,1
Europa,False,TRAPPIST-1e,38.0,0,0.0,10346.0,1.0,14970.0,2111.0,False,True,177,B,2,S,1
Mars,False,TRAPPIST-1e,38.0,0,3414.0,0.0,161.0,28.0,119.0,False,True,178,D,6,S,1
Earth,False,TRAPPIST-1e,19.0,0,1.0,219.0,673.0,2.0,11.0,True,True,179,G,26,P,3
Earth,False,TRAPPIST-1e,0.0,0,0.0,0.0,0.0,0.0,0.0,False,True,179,G,26,P,3
Earth,False,TRAPPIST-1e,3.0,0,0.0,0.0,0.0,0.0,0.0,True,True,179,G,26,P,3
Earth,False,TRAPPIST-1e,20.0,0,0.0,0.0,3.0,299.0,92.0,False,True,181,G,27,P,1
Europa,True,TRAPPIST-1e,24.0,0,0.0,0.0,0.0,0.0,0.0,True,True,182,C,3,P,1
Earth,False,TRAPPIST-1e,37.0,0,17.0,146.0,426.0,0.0,232.0,True,True,183,F,36,S,1
Earth,False,TRAPPIST-1e,25.0,0,62.0,0.0,0.0,0.0,956.0,False,True,186,G,28,P,1
Earth,True,TRAPPIST-1e,56.0,0,0.0,0.0,0.0,0.0,0.0,True,True,188,G,31,S,1
Earth,False,55 Cancri e,49.0,0,84.0,3.0,401.0,202.0,98.0,False,True,189,E,8,P,1
Earth,True,55 Cancri e,11.0,0,0.0,0.0,0.0,0.0,0.0,False,False,190,G,32,S,1
Earth,True,TRAPPIST-1e,1.0,0,0.0,0.0,0.0,0.0,0.0,True,True,192,G,29,P,3
Earth,False,TRAPPIST-1e,8.0,0,0.0,0.0,0.0,0.0,0.0,False,True,192,G,29,P,3
Earth,False,TRAPPIST-1e,39.0,0,0.0,0.0,10.0,898.0,0.0,False,True,192,G,29,P,3
Mars,True,TRAPPIST-1e,2.0,0,0.0,0.0,0.0,0.0,0.0,True,True,193,F,41,P,3
Mars,False,TRAPPIST-1e,23.0,0,,0.0,8.0,1072.0,0.0,False,True,193,F,41,P,3
Mars,False,TRAPPIST-1e,0.0,0,0.0,0.0,0.0,0.0,0.0,True,True,193,F,41,P,3
Mars,False,TRAPPIST-1e,39.0,0,406.0,0.0,867.0,0.0,0.0,True,True,195,F,42,P,1
Mars,False,PSO J318.5-22,25.0,0,1052.0,0.0,719.0,0.0,7.0,False,True,196,D,5,P,1
Europa,False,TRAPPIST-1e,36.0,0,0.0,972.0,0.0,795.0,575.0,False,True,197,C,5,P,1
Earth,False,PSO J318.5-22,52.0,0,0.0,0.0,0.0,0.0,0.0,True,True,198,G,30,P,1
Earth,True,TRAPPIST-1e,18.0,0,0.0,0.0,0.0,0.0,0.0,False,True,199,G,33,S,1
Earth,True,TRAPPIST-1e,15.0,0,0.0,0.0,0.0,0.0,0.0,True,True,200,G,31,P,1
Europa,True,TRAPPIST-1e,35.0,0,0.0,0.0,0.0,0.0,0.0,True,True,201,B,3,S,2
Europa,True,TRAPPIST-1e,47.0,0,0.0,0.0,0.0,0.0,0.0,True,True,201,B,3,S,2
Europa,True,55 Cancri e,45.0,0,0.0,0.0,0.0,0.0,0.0,True,True,202,B,9,P,2
Europa,False,55 Cancri e,,0,0.0,2433.0,,878.0,443.0,True,True,202,A,2,P,2
Europa,True,TRAPPIST-1e,51.0,0,0.0,0.0,0.0,0.0,0.0,True,True,203,C,8,S,1
Earth,False,TRAPPIST-1e,29.0,0,0.0,2.0,66.0,0.0,705.0,False,True,205,G,34,S,1
Europa,False,55 Cancri e,,0,2.0,1720.0,12.0,1125.0,122.0,True,True,206,C,9,S,1
Earth,True,PSO J318.5-22,19.0,0,0.0,0.0,0.0,0.0,0.0,False,True,207,G,32,P,1
Unknown,True,55 Cancri e,24.0,0,0.0,0.0,,0.0,0.0,True,True,210,D,6,P,1
Mars,False,TRAPPIST-1e,29.0,0,902.0,1.0,137.0,0.0,0.0,True,True,211,F,44,P,3
Mars,True,TRAPPIST-1e,11.0,0,0.0,0.0,0.0,0.0,0.0,True,True,211,F,44,P,3
Mars,False,TRAPPIST-1e,17.0,0,848.0,0.0,307.0,182.0,0.0,False,True,211,F,44,P,3
Earth,False,TRAPPIST-1e,13.0,0,192.0,0.0,0.0,51.0,739.0,False,True,212,E,9,P,2
Earth,False,TRAPPIST-1e,35.0,0,147.0,188.0,0.0,10.0,387.0,False,True,212,F,45,P,2
Earth,False,TRAPPIST-1e,21.0,0,367.0,281.0,0.0,0.0,146.0,False,True,213,F,46,P,1
Earth,False,55 Cancri e,21.0,0,0.0,56.0,0.0,0.0,1918.0,False,True,216,F,40,S,1
Earth,False,TRAPPIST-1e,38.0,0,1517.0,0.0,0.0,27.0,0.0,False,True,217,F,47,P,1
Earth,True,TRAPPIST-1e,19.0,0,0.0,0.0,0.0,0.0,0.0,True,True,219,G,36,P,1
Earth,True,TRAPPIST-1e,2.0,0,0.0,0.0,0.0,0.0,0.0,True,True,220,G,37,P,7
Earth,False,TRAPPIST-1e,0.0,0,0.0,0.0,0.0,0.0,0.0,True,True,220,G,37,P,7
Earth,True,TRAPPIST-1e,13.0,0,0.0,0.0,0.0,0.0,0.0,False,True,220,G,37,P,7
Earth,False,TRAPPIST-1e,25.0,0,122.0,84.0,,0.0,0.0,False,True,220,E,10,P,7
Earth,False,TRAPPIST-1e,16.0,0,0.0,3.0,0.0,0.0,1099.0,False,True,220,F,48,P,7
Earth,False,55 Cancri e,1.0,0,0.0,0.0,0.0,0.0,0.0,False,True,220,G,37,P,7
Earth,True,TRAPPIST-1e,15.0,0,0.0,0.0,0.0,0.0,0.0,True,True,220,G,37,P,7
Mars,False,55 Cancri e,21.0,0,2237.0,0.0,119.0,0.0,0.0,False,True,221,E,13,S,7
Mars,False,TRAPPIST-1e,23.0,0,1215.0,80.0,1.0,2.0,0.0,False,True,221,E,13,S,7
Mars,False,TRAPPIST-1e,33.0,0,1933.0,12.0,188.0,1.0,0.0,False,True,221,E,13,S,7
Mars,True,TRAPPIST-1e,21.0,0,0.0,0.0,0.0,0.0,0.0,True,True,221,E,13,S,7
Mars,False,TRAPPIST-1e,41.0,0,1230.0,0.0,301.0,43.0,1023.0,False,True,221,E,13,S,7
Mars,False,TRAPPIST-1e,16.0,0,915.0,0.0,221.0,234.0,0.0,False,True,221,E,13,S,7
Mars,True,TRAPPIST-1e,42.0,0,0.0,0.0,0.0,0.0,0.0,False,True,221,E,13,S,7
Mars,False,TRAPPIST-1e,20.0,0,1406.0,0.0,0.0,11.0,0.0,False,True,222,F,41,S,3
Mars,True,TRAPPIST-1e,24.0,0,0.0,0.0,0.0,0.0,0.0,True,True,222,F,41,S,3
Mars,True,TRAPPIST-1e,16.0,0,0.0,0.0,0.0,0.0,0.0,True,True,222,E,14,S,3
Earth,False,TRAPPIST-1e,21.0,0,0.0,2.0,665.0,0.0,9.0,False,True,223,G,35,S,1
Mars,False,TRAPPIST-1e,32.0,1,181.0,0.0,5.0,1634.0,0.0,False,True,224,F,42,S,1
Earth,True,PSO J318.5-22,58.0,0,0.0,0.0,0.0,0.0,0.0,True,True,225,G,38,P,1
Earth,False,TRAPPIST-1e,24.0,0,4.0,7.0,0.0,713.0,79.0,False,True,229,F,43,S,1
Mars,False,TRAPPIST-1e,30.0,0,85.0,0.0,1.0,1720.0,0.0,False,True,231,F,44,S,1
Earth,True,PSO J318.5-22,27.0,0,0.0,,0.0,0.0,0.0,False,True,232,G,36,S,1
Mars,False,TRAPPIST-1e,32.0,0,56.0,0.0,256.0,1438.0,0.0,False,True,233,F,45,S,1
Earth,False,TRAPPIST-1e,43.0,0,,888.0,0.0,0.0,0.0,False,True,234,F,50,P,1
Europa,True,TRAPPIST-1e,42.0,0,0.0,0.0,0.0,0.0,0.0,True,True,237,B,11,P,1
Mars,False,TRAPPIST-1e,37.0,0,637.0,0.0,0.0,92.0,319.0,False,True,239,U,-1,U,1
Mars,True,TRAPPIST-1e,35.0,0,0.0,0.0,0.0,0.0,0.0,True,True,240,F,52,P,1
Europa,False,55 Cancri e,33.0,0,0.0,1249.0,0.0,4812.0,1116.0,False,True,241,E,11,P,1
Unknown,False,TRAPPIST-1e,18.0,0,313.0,1.0,691.0,283.0,0.0,False,True,242,F,46,S,1
Earth,True,TRAPPIST-1e,21.0,0,0.0,0.0,0.0,0.0,0.0,False,True,243,G,37,S,1
Mars,True,TRAPPIST-1e,43.0,0,0.0,0.0,0.0,0.0,0.0,True,True,244,U,-1,U,2
Mars,True,55 Cancri e,14.0,0,0.0,0.0,0.0,0.0,0.0,True,True,244,F,47,S,2
Europa,False,55 Cancri e,46.0,0,0.0,3571.0,0.0,0.0,7.0,True,True,245,C,6,P,2
Europa,False,TRAPPIST-1e,33.0,0,0.0,86.0,796.0,584.0,10912.0,False,True,245,C,6,P,2
Mars,False,TRAPPIST-1e,21.0,0,2947.0,0.0,287.0,27.0,0.0,False,True,246,D,8,P,1
Europa,False,TRAPPIST-1e,33.0,0,0.0,1.0,0.0,8620.0,1063.0,False,True,248,C,10,S,1
Earth,True,PSO J318.5-22,47.0,0,,0.0,0.0,0.0,0.0,False,True,250,G,38,S,1
Unknown,True,55 Cancri e,54.0,0,0.0,0.0,0.0,0.0,0.0,True,True,251,C,11,S,1
Earth,False,TRAPPIST-1e,30.0,0,335.0,695.0,541.0,0.0,0.0,False,True,252,F,53,P,1
Earth,False,TRAPPIST-1e,29.0,0,272.0,615.0,0.0,0.0,1.0,False,True,253,G,42,P,1
Earth,False,TRAPPIST-1e,21.0,0,702.0,172.0,408.0,2.0,6.0,True,True,254,F,54,P,1
Europa,True,TRAPPIST-1e,24.0,0,0.0,0.0,0.0,0.0,0.0,True,True,255,A,3,S,1
Mars,False,55 Cancri e,21.0,0,1664.0,0.0,,0.0,0.0,False,True,257,F,49,S,2
Mars,True,TRAPPIST-1e,60.0,0,0.0,0.0,0.0,0.0,0.0,True,True,257,F,49,S,2
Earth,False,TRAPPIST-1e,22.0,0,0.0,0.0,313.0,299.0,92.0,False,True,258,F,50,S,1
Europa,False,TRAPPIST-1e,26.0,0,0.0,4810.0,0.0,981.0,2054.0,False,True,260,E,16,S,1
Earth,False,TRAPPIST-1e,26.0,0,66.0,29.0,0.0,0.0,803.0,False,True,261,F,56,P,1
Earth,True,TRAPPIST-1e,28.0,0,0.0,0.0,0.0,0.0,0.0,True,True,263,G,43,P,1
