celebrity_name,season,week,judge_score,placement,weeks_participated,results,fan_votes,data_source,fan_vote_rank,judge_score_rank,method1_total_rank,method1_pos,judge_share,fan_share,method2_total_share,method2_pos,eliminated_week,is_eliminated,n_week,dist_method1,dist_method2
Harry Hamlin,3,3,22.0,9,3,Eliminated Week 3,1.705963259,pct,9.0,5.5,14.5,9.0,0.10628019323671498,0.09293243863039562,0.19921263186711058,9.0,3.0,1,9,0.0,0.0
Vivica A. Fox,3,4,24.0,8,4,Eliminated Week 4,1.558020298,pct,8.0,5.0,13.0,8.0,0.12121212121212122,0.10289219861669197,0.22410431982881318,8.0,4.0,1,8,0.0,0.0
Sara Evans,3,5,24.0,6,5,Withdrew,1.56194318,pct,6.0,6.5,12.5,7.0,0.13259668508287292,0.12731860625035069,0.2599152913332236,7.0,5.0,1,7,0.0,0.0
Jerry Springer,3,7,23.0,5,7,Eliminated Week 7,1.400107268,pct,5.0,5.0,10.0,5.0,0.17037037037037037,0.1836300909911166,0.354000461361487,5.0,7.0,1,5,0.0,0.0
Monique Coleman,3,8,26.5,4,8,Eliminated Week 8,1.235326105,pct,4.0,4.0,8.0,4.0,0.24311926605504589,0.21687628917604193,0.4599955552310878,4.0,8.0,1,4,0.0,0.0
Paulina Porizkova,4,2,21.0,11,2,Eliminated Week 2,1.693361988,pct,11.0,7.5,18.5,10.0,0.08571428571428572,0.07251946597580868,0.1582337516900944,11.0,2.0,1,11,1.0,0.0
Shandi Finnessey,4,3,21.0,10,3,Eliminated Week 3,1.52596585,pct,10.0,7.0,17.0,10.0,0.0963302752293578,0.07714723962201701,0.1734775148513748,10.0,3.0,1,10,0.0,0.0
Leeza Gibbons,4,4,16.0,9,4,Eliminated Week 4,1.626354171,pct,9.0,7.5,16.5,9.0,0.08421052631578947,0.09727189341470838,0.18148241973049783,9.0,4.0,1,9,0.0,0.0
Clyde Drexler,4,5,13.0,8,5,Eliminated Week 5,1.598376462,pct,7.0,8.0,15.0,8.0,0.07386363636363637,0.11631523378235581,0.19017887014599216,8.0,5.0,1,8,0.0,0.0
Heather Mills,4,6,23.0,7,6,Eliminated Week 6,1.212647058,pct,7.0,5.0,12.0,7.0,0.13529411764705881,0.10948434950863946,0.2447784671556983,7.0,6.0,1,7,0.0,0.0
John Ratzenberger,4,7,22.5,6,7,Eliminated Week 7,1.23553754,pct,6.0,5.0,11.0,6.0,0.14563106796116504,0.13820380439683264,0.28383487235799765,6.0,7.0,1,6,0.0,0.0
Billy Ray Cyrus,4,8,19.0,5,8,Eliminated Week 8,1.301370445,pct,5.0,5.0,10.0,5.0,0.15139442231075698,0.18628416320688795,0.33767858551764496,5.0,8.0,1,5,0.0,0.0
Ian Ziering,4,9,29.0,4,9,Eliminated Week 9,1.109113276,pct,4.0,4.0,8.0,4.0,0.24472573839662448,0.21146314197788177,0.4561888803745062,4.0,9.0,1,4,0.0,0.0
Josie Maran,5,1,16.0,12,1,Eliminated Week 1,2.00440919,pct,12.0,12.0,24.0,12.0,0.0622568093385214,0.07165593013067831,0.1339127394691997,12.0,1.0,1,12,0.0,0.0
Albert Reed,5,2,21.0,11,2,Eliminated Week 2,1.741082664,pct,11.0,7.0,18.0,10.5,0.08823529411764706,0.07286761883948088,0.16110291295712795,10.0,2.0,1,11,0.5,1.0
Wayne Newton,5,3,18.0,10,3,Eliminated Week 3,1.769475824,pct,10.0,10.0,20.0,10.0,0.07531380753138076,0.0871711317363846,0.16248493926776536,10.0,3.0,1,10,0.0,0.0
Floyd Mayweather Jr. ,5,4,23.0,9,4,Eliminated Week 4,1.617965792,pct,9.0,8.0,17.0,9.0,0.09829059829059829,0.0951927408131614,0.1934833391037597,9.0,4.0,1,9,0.0,0.0
Mark Cuban,5,5,21.0,8,5,Eliminated Week 5,1.519469293,pct,8.0,7.5,15.5,8.0,0.10552763819095477,0.10858335394810971,0.21411099213906448,8.0,5.0,1,8,0.0,0.0
Sabrina Bryan,5,6,25.0,7,6,Eliminated Week 6,1.305897744,pct,7.0,4.5,11.5,7.0,0.1388888888888889,0.11540305968617419,0.2542919485750631,7.0,6.0,1,7,0.0,0.0
Jane Seymour,5,7,25.0,6,7,Eliminated Week 7,1.235266494,pct,6.0,6.0,12.0,6.0,0.16025641025641027,0.1370651882889288,0.29732159854533907,6.0,7.0,1,6,0.0,0.0
Cameron Mathison,5,8,25.5,5,8,Eliminated Week 8,1.146810384,pct,5.0,3.0,8.0,4.5,0.19391634980988592,0.16347831423895898,0.3573946640488449,5.0,8.0,1,5,0.5,0.0
Jennie Garth,5,9,29.0,4,9,Eliminated Week 9,1.080851537,pct,4.0,3.0,7.0,4.0,0.24786324786324787,0.20583574771631324,0.4536989955795611,4.0,9.0,1,4,0.0,0.0
Monica Seles,6,2,15.0,11,2,Eliminated Week 2,1.971635339,pct,11.0,12.0,23.0,12.0,0.058365758754863814,0.07684163679783618,0.1352073955527,11.0,2.0,1,12,0.0,1.0
Steve Guttenberg,6,3,21.0,10,3,Eliminated Week 3,1.700234894,pct,10.0,7.5,17.5,10.0,0.09210526315789473,0.08405181444535052,0.17615707760324525,10.0,3.0,1,10,0.0,0.0
Adam Carolla,6,4,19.0,9,4,Eliminated Week 4,1.664338683,pct,9.0,9.0,18.0,9.0,0.08444444444444445,0.09843261658184366,0.1828770610262881,9.0,4.0,1,9,0.0,0.0
Priscilla Presley,6,5,21.0,8,5,Eliminated Week 5,1.489823303,pct,8.0,8.0,16.0,8.0,0.10714285714285714,0.10679153404863545,0.2139343911914926,8.0,5.0,1,8,0.0,0.0
Marlee Matlin,6,6,21.0,7,6,Eliminated Week 6,1.446160493,pct,7.0,7.0,14.0,7.0,0.11666666666666667,0.12726987432297807,0.24393654098964473,7.0,6.0,1,7,0.0,0.0
Shannon Elizabeth,6,7,25.5,6,7,Eliminated Week 7,1.221809003,pct,6.0,4.5,10.5,6.0,0.1650485436893204,0.13541212448280063,0.300460668172121,6.0,7.0,1,6,0.0,0.0
Mario,6,8,26.5,5,8,Eliminated Week 8,1.140409118,pct,5.0,3.0,8.0,5.0,0.19850187265917604,0.16265472804695139,0.36115660070612743,5.0,8.0,1,5,0.0,0.0
Marissa Jaret Winokur,6,9,26.0,4,9,Eliminated Week 9,1.163578878,pct,4.0,4.0,8.0,4.0,0.23636363636363636,0.22088891620001566,0.45725255256365205,4.0,9.0,1,4,0.0,0.0
Jeffrey Ross,7,1,12.0,13,1,Eliminated Week 1,2.209109953,pct,12.0,13.0,25.0,13.0,0.047619047619047616,0.0720490087687951,0.11966805638784271,13.0,1.0,1,13,0.0,0.0
Kim Kardashian,7,2,17.0,11,2,Eliminated Week 2,1.965091573,pct,10.0,9.0,19.0,11.0,0.07692307692307693,0.0818788047029599,0.1588018816260368,11.0,2.0,1,11,0.0,0.0
Rocco DiSpirito,7,4,18.0,9,4,Eliminated Week 4,1.667517802,pct,9.0,9.0,18.0,9.0,0.08866995073891626,0.09886706010631256,0.18753701084522884,9.0,4.0,1,9,0.0,0.0
Toni Braxton,7,5,22.0,8,5,Eliminated Week 5,1.427369883,pct,8.0,5.5,13.5,7.0,0.11282051282051282,0.10318428370944294,0.21600479652995574,8.0,5.0,1,8,1.0,0.0
Cloris Leachman,7,6,15.0,7,6,Eliminated Week 6,1.474029851,pct,7.0,7.0,14.0,7.0,0.09375,0.1306015165841648,0.2243515165841648,7.0,6.0,1,7,0.0,0.0
Susan Lucci,7,7,24.0,6,7,Eliminated Week 7,1.184594512,pct,6.0,4.0,10.0,6.0,0.16326530612244897,0.13140042084541848,0.2946657269678674,6.0,7.0,1,6,0.0,0.0
Maurice Greene,7,8,24.0,5,8,Eliminated Week 8,1.212426313,pct,5.0,4.5,9.5,5.0,0.18823529411764706,0.171727977215631,0.35996327133327805,5.0,8.0,1,5,0.0,0.0
Cody Linley,7,9,23.0,4,9,Eliminated Week 9,1.198466126,pct,4.0,4.0,8.0,4.0,0.22885572139303484,0.22688579415596308,0.4557415155489979,4.0,9.0,1,4,0.0,0.0
Belinda Carlisle,8,2,18.0,13,2,Eliminated Week 2,1.826229201,pct,13.0,9.5,22.5,13.0,0.06792452830188679,0.06379709964388719,0.13172162794577397,13.0,2.0,1,13,0.0,0.0
Denise Richards,8,3,16.0,12,3,Eliminated Week 3,1.733381167,pct,12.0,10.0,22.0,12.0,0.06299212598425197,0.07055829319488231,0.1335504191791343,11.0,3.0,1,12,0.0,1.0
Holly Madison,8,4,16.0,11,4,Eliminated Week 4,1.715598296,pct,11.0,9.0,20.0,10.0,0.06611570247933884,0.08207599924256734,0.14819170172190618,10.0,4.0,1,11,1.0,1.0
David Alan Grier,8,5,22.0,9,5,Eliminated Week 5,1.408314706,pct,9.0,6.0,15.0,9.0,0.10476190476190476,0.08931980751183637,0.19408171227374113,9.0,5.0,1,9,0.0,0.0
Steve-O,8,6,16.0,8,6,Eliminated Week 6,1.498986903,pct,8.0,8.0,16.0,8.0,0.08602150537634409,0.11478933146608376,0.20081083684242784,8.0,6.0,1,8,0.0,0.0
Lawrence Taylor,8,7,21.0,7,7,Eliminated Week 7,1.337974448,pct,7.0,7.0,14.0,7.0,0.11538461538461539,0.12643478960791155,0.24181940499252694,7.0,7.0,1,7,0.0,0.0
Chuck Wicks,8,8,25.5,6,8,Eliminated Week 8,1.1309761,pct,6.0,5.0,11.0,6.0,0.16346153846153846,0.13392896008050031,0.2973904985420388,6.0,8.0,1,6,0.0,0.0
Lil' Kim,8,9,26.0,5,9,Eliminated Week 9,1.039871616,pct,5.0,4.0,9.0,5.0,0.1947565543071161,0.15795901890980837,0.3527155732169245,5.0,9.0,1,5,0.0,0.0
Ty Murray,8,10,24.0,4,10,Eliminated Week 10,1.159929439,pct,4.0,4.0,8.0,4.0,0.2191780821917808,0.23085700429789324,0.45003508648967405,4.0,10.0,1,4,0.0,0.0
Ashley Hamiliton,9,1,18.9999,16,1,Eliminated Week 1,2.051604836,pct,15.0,15.5,30.5,15.0,0.046797967676719905,0.05500357341148671,0.10180154108820662,15.0,1.0,1,16,1.0,1.0
Kathy Ireland,9,2,18.0,14,2,Eliminated Week 2,1.753081829,pct,14.0,13.5,27.5,14.0,0.061224489795918366,0.05783520037241344,0.1190596901683318,14.0,2.0,1,14,0.0,0.0
Debi Mazar,9,3,17.0,12,3,Eliminated Week 3,1.734641312,pct,12.0,10.5,22.5,12.0,0.06589147286821706,0.06620860309440135,0.1321000759626184,12.0,3.0,1,13,1.0,1.0
Chuck Liddell,9,4,17.0,11,4,Eliminated Week 4,1.617666793,pct,11.0,9.0,20.0,11.0,0.07024793388429752,0.07818985049234317,0.14843778437664068,11.0,4.0,1,11,0.0,0.0
Natalie Coughlin,9,5,22.0,10,5,Eliminated Week 5,1.441850675,pct,10.0,8.5,18.5,10.0,0.09090909090909091,0.08303777055737682,0.17394686146646773,10.0,5.0,1,10,0.0,0.0
Louie Vito,9,6,24.0,8,6,Eliminated Week 6,1.446818713,pct,8.0,7.0,15.0,8.0,0.09230801183542559,0.10030910144476217,0.19261711328018777,8.0,6.0,1,9,1.0,1.0
Mark Dacascos,9,7,21.5,6,7,Eliminated Week 7,1.350763358,pct,6.0,7.0,13.0,6.5,0.1225071225071225,0.13115649629911721,0.2536636188062397,7.0,7.0,1,7,0.5,0.0
Aaron Carter,9,8,25.0,5,8,Eliminated Week 8,1.136231712,pct,5.0,4.5,9.5,5.0,0.19083969465648856,0.16786331917858877,0.3587030138350773,5.0,8.0,1,5,0.0,0.0
Joanna Krupa,9,9,27.0,4,9,Eliminated Week 9,0.947187362,pct,4.0,2.0,6.0,3.5,0.2531258701201785,0.18854234750659818,0.44166821762677666,4.0,9.0,1,4,0.5,0.0
Shannen Doherty,10,2,20.0,11,2,Eliminated Week 2,1.763787089,pct,11.0,6.5,17.5,11.0,0.09090909090909091,0.07090612438707011,0.16181521529616102,9.0,2.0,1,11,0.0,2.0
Buzz Aldrin,10,3,13.0,10,3,Eliminated Week 3,1.839556494,pct,10.0,10.0,20.0,10.0,0.06403940886699508,0.08687238447281434,0.15091179333980942,10.0,3.0,1,10,0.0,0.0
Aiden Turner,10,4,16.5,9,4,Eliminated Week 4,1.669184095,pct,9.0,8.0,17.0,9.0,0.0889487870619946,0.09382195262275086,0.18277073968474547,9.0,4.0,1,9,0.0,0.0
Kate Gosselin,10,5,15.0,8,5,Eliminated Week 5,1.601426439,pct,8.0,8.0,16.0,8.0,0.08670520231213873,0.10844116300766195,0.19514636531980067,8.0,5.0,1,8,0.0,0.0
Jake Pavelka,10,6,24.9999,7,6,Eliminated Week 6,1.426086887,pct,7.0,7.0,14.0,7.0,0.11961714704307622,0.11824460220243008,0.2378617492455063,7.0,6.0,1,7,0.0,0.0
Pamela Anderson,10,7,25.5,6,7,Eliminated Week 7,1.164762267,pct,6.0,4.5,10.5,6.0,0.1639871382636656,0.12015520929719875,0.2841423475608643,6.0,7.0,1,6,0.0,0.0
Niecy Nash,10,8,21.5,5,8,Eliminated Week 8,1.282113602,pct,5.0,5.0,10.0,5.0,0.16996047430830039,0.1629974590006941,0.3329579333089945,5.0,8.0,1,5,0.0,0.0
Chad Ochocinco,10,9,26.0,4,9,Eliminated Week 9,1.232489977,pct,4.0,4.0,8.0,4.0,0.23008849557522124,0.20245434944754398,0.4325428450227652,4.0,9.0,1,4,0.0,0.0
David Hasselhoff,11,1,15.0,12,1,Eliminated Week 1,2.070744639,pct,12.0,11.0,23.0,12.0,0.06607929515418502,0.07233531384591231,0.13841460900009733,12.0,1.0,1,12,0.0,0.0
Michael Bolton,11,2,12.0,11,2,Eliminated Week 2,2.008998146,pct,11.0,11.0,22.0,11.0,0.05429864253393665,0.082171607589313,0.13647025012324965,11.0,2.0,1,11,0.0,0.0
Margaret Cho,11,3,18.0,10,3,Eliminated Week 3,1.82194653,pct,10.0,10.0,20.0,10.0,0.08144796380090498,0.08821246719028425,0.16966043099118921,10.0,3.0,1,10,0.0,0.0
The Situation,11,4,14.0,9,4,Eliminated Week 4,1.736425124,pct,9.0,9.0,18.0,9.0,0.0782122905027933,0.10090791618337132,0.17912020668616463,9.0,4.0,1,9,0.0,0.0
Florence Henderson,11,5,21.0,8,5,Eliminated Week 5,1.455873478,pct,8.0,6.0,14.0,8.0,0.11538461538461539,0.10308790710340318,0.21847252248801857,8.0,5.0,1,8,0.0,0.0
Audrina Patridge,11,6,31.9998,7,6,Eliminated Week 6,1.232153277,pct,7.0,2.0,9.0,6.0,0.15458892856159417,0.10751048502498317,0.26209941358657735,7.0,6.0,1,7,1.0,0.0
Rick Fox,11,7,34.5,6,7,Eliminated Week 7,1.244021096,pct,6.0,4.0,10.0,6.0,0.16546762589928057,0.13621799313471009,0.30168561903399066,6.0,7.0,1,6,0.0,0.0
Kurt Warner,11,8,24.0,5,8,Eliminated Week 8,1.249653641,pct,5.0,4.0,9.0,5.0,0.1811320754716981,0.1760716529141153,0.3572037283858134,5.0,8.0,1,5,0.0,0.0
Brandy,11,9,28.5,4,9,Eliminated Week 9,1.078848878,pct,4.0,3.0,7.0,4.0,0.25,0.20359718549902042,0.4535971854990204,4.0,9.0,1,4,0.0,0.0
Mike Catherwood,12,2,17.0,11,2,Eliminated Week 2,1.879422264,pct,11.0,10.0,21.0,11.0,0.0787037037037037,0.07785499892285629,0.15655870262656,11.0,2.0,1,11,0.0,0.0
Wendy Williams,12,3,15.0,10,3,Eliminated Week 3,1.860384977,pct,10.0,10.0,20.0,10.0,0.07009345794392523,0.09141381852219195,0.16150727646611718,10.0,3.0,1,10,0.0,0.0
Sugar Ray Leonard,12,4,21.0,9,4,Eliminated Week 4,1.575038537,pct,9.0,8.0,17.0,9.0,0.10194174757281553,0.09313933602616792,0.19508108359898346,9.0,4.0,1,9,0.0,0.0
Petra Nemcova,12,5,22.0,8,5,Eliminated Week 5,1.419397262,pct,8.0,7.0,15.0,8.0,0.1134020618556701,0.10180525877843043,0.21520732063410053,8.0,5.0,1,8,0.0,0.0
Chris Jericho,12,6,22.0,7,6,Eliminated Week 6,1.439676644,pct,7.0,7.0,14.0,7.0,0.12222222222222222,0.1259472829850695,0.2481695052072917,7.0,6.0,1,7,0.0,0.0
Kendra Wilkinson,12,7,30.5,6,7,Eliminated Week 7,1.260421406,pct,6.0,4.0,10.0,6.0,0.16180371352785147,0.13930811586347872,0.3011118293913302,6.0,7.0,1,6,0.0,0.0
Romeo,12,8,26.0,5,8,Eliminated Week 8,1.114149391,pct,5.0,4.0,9.0,5.0,0.2,0.16029795461437554,0.3602979546143755,5.0,8.0,1,5,0.0,0.0
Ralph Macchio,12,9,24.0,4,9,Eliminated Week 9,1.212967648,pct,4.0,4.0,8.0,4.0,0.20425531914893616,0.23221063834326686,0.436465957492203,4.0,9.0,1,4,0.0,0.0
Metta World Peace (Ron),13,1,14.0,12,1,Eliminated Week 1,2.128898743,pct,12.0,12.0,24.0,12.0,0.06451612903225806,0.07405134654174113,0.13856747557399918,12.0,1.0,1,12,0.0,0.0
Elisabetta Canalis,13,2,21.0,11,2,Eliminated Week 2,1.825393731,pct,11.0,5.5,16.5,10.5,0.09417040358744394,0.07473616422205405,0.16890656780949798,11.0,2.0,1,11,0.5,0.0
Kristin Cavallari,13,3,24.0,10,3,Eliminated Week 3,1.698748002,pct,10.0,5.5,15.5,10.0,0.10126582278481013,0.08251411523707602,0.18377993802188614,9.0,3.0,1,10,0.0,1.0
Chynna Phillips,13,4,21.0,9,4,Eliminated Week 4,1.600248683,pct,9.0,7.0,16.0,9.0,0.10047846889952153,0.0931957504858552,0.1936742193853767,9.0,4.0,1,9,0.0,0.0
Carson Kressley,13,5,19.0,8,5,Eliminated Week 5,1.581253475,pct,8.0,8.0,16.0,8.0,0.10106382978723404,0.1112629455895084,0.21232677537674244,8.0,5.0,1,8,0.0,0.0
Chaz Bono,13,6,19.0,7,6,Eliminated Week 6,1.468667542,pct,7.0,7.0,14.0,7.0,0.1144578313253012,0.12770322050839478,0.24216105183369596,7.0,6.0,1,7,0.0,0.0
David Arquette,13,7,23.5,6,7,Eliminated Week 7,1.256091084,pct,6.0,5.0,11.0,6.0,0.16040955631399317,0.13775752562270355,0.2981670819366967,6.0,7.0,1,6,0.0,0.0
Nancy Grace,13,8,22.0,5,8,Eliminated Week 8,1.295922659,pct,5.0,5.0,10.0,5.0,0.16988416988416988,0.18248226515671043,0.3523664350408803,5.0,8.0,1,5,0.0,0.0
Hope Solo,13,9,24.4998,4,9,Eliminated Week 9,1.271805691,pct,4.0,4.0,8.0,4.0,0.20675023945248716,0.23894165662720562,0.4456918960796928,4.0,9.0,1,4,0.0,0.0
Martina Navratilova,14,2,17.0,12,2,Eliminated Week 2,1.917657268,pct,12.0,12.0,24.0,12.0,0.06319702602230483,0.07274353445368738,0.1359405604759922,12.0,2.0,1,12,0.0,0.0
Jack Wagner,14,3,24.0,11,3,Eliminated Week 3,1.692029571,pct,11.0,9.0,20.0,11.0,0.08571428571428572,0.07554251084024188,0.1612567965545276,11.0,3.0,1,11,0.0,0.0
Sherri Sheperd,14,4,21.0,10,4,Eliminated Week 4,1.574486765,pct,10.0,9.0,19.0,9.5,0.09012875536480687,0.08344124171812423,0.17356999708293108,10.0,4.0,1,10,0.5,0.0
Gavin DeGraw,14,5,19.0,9,5,Eliminated Week 5,1.524857362,pct,9.0,9.0,18.0,9.0,0.08482142857142858,0.09680798439719591,0.1816294129686245,9.0,5.0,1,9,0.0,0.0
Gladys Knight,14,6,24.0,8,6,Eliminated Week 6,1.414002006,pct,8.0,8.0,16.0,8.0,0.09302350820331683,0.10881344894915079,0.20183695715246763,8.0,6.0,1,8,0.0,0.0
Jaleel White,14,7,25.5,7,7,Eliminated Week 7,1.221795002,pct,7.0,6.0,13.0,7.0,0.13896457765667575,0.11541553746004007,0.2543801151167158,7.0,7.0,1,7,0.0,0.0
Melissa Gilbert,14,8,25.5,5,8,Eliminated Week 8,1.242550068,pct,5.0,6.0,11.0,6.0,0.1559633027522936,0.14773336982715346,0.30369667257944705,6.0,8.0,1,6,0.0,0.0
Maria Menounos,14,9,29.5,4,9,Eliminated Week 9,1.039762878,pct,4.0,1.0,5.0,2.5,0.2565217391304348,0.19938556414224348,0.45590730327267825,4.0,9.0,1,4,1.5,0.0
Pamela Anderson,15,1,17.0,13,1,Eliminated Week 1,2.010763298,pct,13.0,13.0,26.0,13.0,0.06148282097649186,0.06481511867719407,0.12629793965368594,13.0,1.0,1,13,0.0,0.0
Joey Fatone,15,2,22.5,12,2,Eliminated Week 2,1.844727147,pct,12.0,8.0,20.0,11.0,0.08152173913043478,0.06892084958627043,0.1504425887167052,12.0,2.0,1,12,1.0,0.0
Drew Lachey,15,3,24.0,11,3,Eliminated Week 3,1.782918471,pct,10.0,9.5,19.5,11.0,0.08633093525179857,0.07839098972203035,0.16472192497382893,11.0,3.0,1,11,0.0,0.0
Bristol Palin,15,4,32.0,9,4,Eliminated Week 4,1.649682331,pct,9.0,8.0,17.0,9.0,0.09953343701399689,0.09552134591394752,0.19505478292794443,9.0,4.0,1,9,0.0,0.0
Sabrina Bryan,15,6,30.0,8,6,Eliminated Week 6,1.263786416,pct,8.0,1.5,9.5,4.0,0.13274336283185842,0.09649632408397538,0.2292396869158338,8.0,6.0,1,8,4.0,0.0
Gilles Marini,15,8,29.2777,6,8,Eliminated Week 8,1.149546244,pct,7.0,2.5,9.5,6.0,0.1469193195013584,0.1164773713501244,0.26339669085148276,6.0,8.0,1,7,1.0,1.0
Apolo Anton Ohno,15,9,28.611,5,9,Eliminated Week 9,1.12902213,pct,5.0,3.0,8.0,4.0,0.20291532535175608,0.17012391111759634,0.37303923646935244,4.0,9.0,1,5,1.0,1.0
Dorothy Hamill,16,2,15.0,12,2,Withdrew,1.946207026,pct,12.0,12.0,24.0,12.0,0.06147540983606557,0.072596936578906,0.13407234641497157,12.0,2.0,1,12,0.0,0.0
Wynonna Judd,16,3,15.0,11,3,Eliminated Week 3,1.821553728,pct,11.0,11.0,22.0,11.0,0.06382989588067384,0.07968679799653118,0.143516693877205,11.0,3.0,1,11,0.0,0.0
Lisa Vanderpump,16,4,18.0,10,4,Eliminated Week 4,1.670412026,pct,10.0,9.5,19.5,10.0,0.08035714285714286,0.08636178158260405,0.1667189244397469,10.0,4.0,1,10,0.0,0.0
D. L. Hughley,16,5,18.0,9,5,Eliminated Week 5,1.573266804,pct,9.0,8.5,17.5,9.0,0.0861244019138756,0.097342289779681,0.18346669169355662,9.0,5.0,1,9,0.0,0.0
Victor Ortiz,16,6,20.0,8,6,Eliminated Week 6,1.449507343,pct,8.0,8.0,16.0,8.0,0.10610079575596817,0.10884201207961262,0.21494280783558078,8.0,6.0,1,8,0.0,0.0
Andy Dick,16,7,17.0,7,7,Eliminated Week 7,1.469662429,pct,7.0,7.0,14.0,7.0,0.09239130434782608,0.135852953299227,0.22824425764705308,7.0,7.0,1,7,0.0,0.0
Sean Lowe,16,8,21.0,6,8,Eliminated Week 8,1.313234066,pct,6.0,6.0,12.0,6.0,0.13504823151125403,0.15270493633410698,0.287753167845361,6.0,8.0,1,6,0.0,0.0
Ingo Rademacher,16,9,25.5,5,9,Eliminated Week 9,1.161337413,pct,5.0,5.0,10.0,5.0,0.18085106382978725,0.17451041584996835,0.3553614796797556,5.0,9.0,1,5,0.0,0.0
Alexandra Raisman,16,10,29.0,4,10,Eliminated Week 10,1.280711042,pct,1.0,3.0,4.0,2.0,0.24786345971235874,0.25467328487977803,0.5025367445921367,2.0,10.0,1,4,2.0,2.0
Keyshawn Johnson,17,2,18.0,12,2,Eliminated Week 2,1.926916304,pct,12.0,11.0,23.0,12.0,0.06766917293233082,0.0720712483248364,0.13974042125716724,12.0,2.0,1,12,0.0,0.0
Bill Nye,17,3,16.0,11,3,Eliminated Week 3,1.827936319,pct,11.0,10.5,21.5,11.0,0.06274509803921569,0.08038695533149656,0.14313205337071225,11.0,3.0,1,11,0.0,0.0
Valerie Harper,17,4,18.0,10,4,Eliminated Week 4,1.66629397,pct,10.0,10.0,20.0,10.0,0.0759493670886076,0.08678072930699877,0.16273009639560637,10.0,4.0,1,10,0.0,0.0
Christina Milian,17,5,28.0,9,5,Eliminated Week 5,1.372639283,pct,9.0,1.5,10.5,5.0,0.11914893617021277,0.08545044516109158,0.20459938133130434,9.0,5.0,1,9,4.0,0.0
"Nicole ""Snooki"" Polizzi",17,7,27.0,8,7,Eliminated Week 7,1.234099782,pct,8.0,5.5,13.5,8.0,0.12189616252821671,0.10045476555198131,0.22235092808019802,8.0,7.0,1,8,0.0,0.0
Brant Daugherty,17,8,27.0,7,8,Eliminated Week 8,1.118037624,pct,7.0,5.0,12.0,7.0,0.140625,0.11236587085988606,0.25299087085988603,7.0,8.0,1,7,0.0,0.0
Elizabeth Berkley Lauren,17,9,28.0,6,9,Eliminated Week 9,0.933137501,pct,6.0,2.0,8.0,4.5,0.17777777777777778,0.11788413125202225,0.29566190902980005,6.0,9.0,1,6,1.5,0.0
Leah Remini,17,10,32.5,5,10,Eliminated Week 10,1.023624809,pct,5.0,4.0,9.0,5.0,0.18571428571428572,0.16411781952105126,0.349832105235337,5.0,10.0,1,5,0.0,0.0
