season,week,week_idx,celebrity_name,judge_rank,vote_rank,total_rank,score_sum,fan_votes,placement,weeks_participated,data_source,eliminated_week,eliminated_actual,method1_value,method1_pos,judge_share,fan_share,method2_value,method2_pos,n_week,dist_method1,dist_method2
3,2,1,253,6.0,10.0,16.0,0.095652174,1.793098983,10,2,pct,2.0,1,16.0,9.0,0.09565217390434783,0.08205865422484143,0.08885541406459463,10.0,10,1.0,0.0
3,3,2,100,5.5,9.0,14.5,0.106280193,1.705963259,9,3,pct,3.0,1,14.5,9.0,0.106280193,0.09293243863039562,0.0996063158151978,9.0,9,0.0,0.0
3,4,3,284,5.0,8.0,13.0,0.121212121,1.558020298,8,4,pct,4.0,1,13.0,8.0,0.12121212124242424,0.10289219861669197,0.11205215992955811,8.0,8,0.0,0.0
3,5,4,248,6.5,6.0,12.5,0.132596685,1.56194318,6,5,pct,5.0,1,12.5,7.0,0.1325966848674033,0.12731860625035069,0.129957645558877,7.0,7,0.0,0.0
3,7,6,128,5.0,5.0,10.0,0.17037037,1.400107268,5,7,pct,7.0,1,10.0,5.0,0.17037037017037038,0.1836300909911166,0.1770002305807435,5.0,5,0.0,0.0
3,8,7,203,4.0,4.0,8.0,0.243119266,1.235326105,4,8,pct,8.0,1,8.0,4.0,0.243119266,0.21687628917604193,0.22999777758802098,4.0,4,0.0,0.0
4,2,1,227,7.5,11.0,18.5,0.085714286,1.693361988,11,2,pct,2.0,1,18.5,10.0,0.08571428582857143,0.07251946597580868,0.07911687590219005,11.0,11,1.0,0.0
4,3,2,252,7.0,10.0,17.0,0.096330275,1.52596585,10,3,pct,3.0,1,17.0,10.0,0.09633027519266055,0.07714723962201701,0.08673875740733877,10.0,10,0.0,0.0
4,4,3,165,7.5,9.0,16.5,0.084210526,1.626354171,9,4,pct,4.0,1,16.5,9.0,0.08421052608421052,0.09727189341470838,0.09074120974945946,9.0,9,0.0,0.0
4,5,4,59,8.0,7.0,15.0,0.073863636,1.598376462,8,5,pct,5.0,1,15.0,8.0,0.07386363607386363,0.11631523378235581,0.09508943492810973,8.0,8,0.0,0.0
4,6,5,102,5.0,7.0,12.0,0.135294118,1.212647058,7,6,pct,6.0,1,12.0,7.0,0.135294118,0.10948434950863946,0.12238923375431973,7.0,7,0.0,0.0
4,7,6,134,5.0,6.0,11.0,0.145631068,1.23553754,6,7,pct,7.0,1,11.0,6.0,0.145631068,0.13820380439683264,0.14191743619841632,6.0,6,0.0,0.0
4,8,7,29,5.0,5.0,10.0,0.151394422,1.301370445,5,8,pct,8.0,1,10.0,5.0,0.15139442215139443,0.18628416320688795,0.1688392926791412,5.0,5,0.0,0.0
4,9,8,108,4.0,4.0,8.0,0.244725738,1.109113276,4,9,pct,9.0,1,8.0,4.0,0.244725738,0.21146314197788177,0.22809443998894088,4.0,4,0.0,0.0
5,1,0,140,12.0,12.0,24.0,0.062256809,2.00440919,12,1,pct,1.0,1,24.0,12.0,0.06225680906225681,0.07165593013067831,0.06695636959646756,12.0,12,0.0,0.0
5,2,1,4,7.0,11.0,18.0,0.088235294,1.741082664,11,2,pct,2.0,1,18.0,10.5,0.0882352941764706,0.07286761883948088,0.08055145650797574,10.0,11,0.5,1.0
5,3,2,288,10.0,10.0,20.0,0.075313808,1.769475824,10,3,pct,3.0,1,20.0,10.0,0.075313808,0.0871711317363846,0.08124246986819231,10.0,10,0.0,0.0
5,4,3,92,8.0,9.0,17.0,0.098290598,1.617965792,9,4,pct,4.0,1,17.0,9.0,0.0982905981965812,0.0951927408131614,0.0967416695048713,9.0,9,0.0,0.0
5,5,4,179,7.5,8.0,15.5,0.105527638,1.519469293,8,5,pct,5.0,1,15.5,8.0,0.10552763810552765,0.10858335394810971,0.10705549602681869,8.0,8,0.0,0.0
5,6,5,246,4.5,7.0,11.5,0.138888889,1.305897744,7,6,pct,6.0,1,11.5,7.0,0.1388888888611111,0.11540305968617419,0.12714597427364263,7.0,7,0.0,0.0
5,7,6,121,6.0,6.0,12.0,0.16025641,1.235266494,6,7,pct,7.0,1,12.0,6.0,0.16025641,0.1370651882889288,0.1486607991444644,6.0,6,0.0,0.0
5,8,7,39,3.0,5.0,8.0,0.19391635,1.146810384,5,8,pct,8.0,1,8.0,4.5,0.19391635,0.16347831423895898,0.17869733211947947,5.0,5,0.5,0.0
5,9,8,126,3.0,4.0,7.0,0.247863248,1.080851537,4,9,pct,9.0,1,7.0,4.0,0.24786324824786324,0.20583574771631324,0.22684949798208826,4.0,4,0.0,0.0
6,2,1,202,12.0,11.0,23.0,0.058365759,1.971635339,11,2,pct,2.0,1,23.0,12.0,0.058365759,0.07684163679783618,0.0676036978989181,11.0,12,0.0,1.0
6,3,2,259,7.5,10.0,17.5,0.092105263,1.700234894,10,3,pct,3.0,1,17.5,10.0,0.092105263,0.08405181444535052,0.08807853872267526,10.0,10,0.0,0.0
6,4,3,1,9.0,9.0,18.0,0.084444444,1.664338683,9,4,pct,4.0,1,18.0,9.0,0.08444444391555554,0.09843261658184366,0.0914385302486996,9.0,9,0.0,0.0
6,5,4,230,8.0,8.0,16.0,0.107142857,1.489823303,8,5,pct,5.0,1,16.0,8.0,0.10714285689285713,0.10679153404863545,0.10696719547074629,8.0,8,0.0,0.0
6,6,5,182,7.0,7.0,14.0,0.116666667,1.446160493,7,6,pct,6.0,1,14.0,7.0,0.116666667,0.12726987432297807,0.12196827066148903,7.0,7,0.0,0.0
6,7,6,255,4.5,6.0,10.5,0.165048544,1.221809003,6,7,pct,7.0,1,10.5,6.0,0.1650485436699029,0.13541212448280063,0.15023033407635178,6.0,6,0.0,0.0
6,8,7,176,3.0,5.0,8.0,0.198501873,1.140409118,5,8,pct,8.0,1,8.0,5.0,0.198501873,0.16265472804695139,0.18057830052347568,5.0,5,0.0,0.0
6,9,8,178,4.0,4.0,8.0,0.236363636,1.163578878,4,9,pct,9.0,1,8.0,4.0,0.236363636,0.22088891620001566,0.22862627610000782,4.0,4,0.0,0.0
7,1,0,124,13.0,12.0,25.0,0.047619048,2.209109953,13,1,pct,1.0,1,25.0,13.0,0.04761904819047619,0.0720490087687951,0.05983402847963564,13.0,13,0.0,0.0
7,2,1,152,9.0,10.0,19.0,0.076923077,1.965091573,11,2,pct,2.0,1,19.0,11.0,0.07692307707692309,0.0818788047029599,0.07940094088994148,11.0,11,0.0,0.0
7,4,3,241,9.0,9.0,18.0,0.088669951,1.667517802,9,4,pct,4.0,1,18.0,9.0,0.088669951,0.09886706010631256,0.09376850555315627,9.0,9,0.0,0.0
7,5,4,274,5.5,8.0,13.5,0.112820513,1.427369883,8,5,pct,5.0,1,13.5,7.0,0.11282051288717948,0.10318428370944294,0.10800239829831121,8.0,8,1.0,0.0
7,6,5,58,7.0,7.0,14.0,0.09375,1.474029851,7,6,pct,6.0,1,14.0,7.0,0.09375,0.1306015165841648,0.1121757582920824,7.0,7,0.0,0.0
7,7,6,263,4.0,6.0,10.0,0.163265306,1.184594512,6,7,pct,7.0,1,10.0,6.0,0.163265306,0.13140042084541848,0.14733286342270924,6.0,6,0.0,0.0
7,8,7,186,4.5,5.0,9.5,0.188235294,1.212426313,5,8,pct,8.0,1,9.5,5.0,0.188235294,0.171727977215631,0.1799816356078155,5.0,5,0.0,0.0
7,9,8,60,4.0,4.0,8.0,0.228855721,1.198466126,4,9,pct,9.0,1,8.0,4.0,0.22885572077114427,0.22688579415596308,0.22787075746355367,4.0,4,0.0,0.0
8,2,1,23,9.5,13.0,22.5,0.067924528,1.826229201,13,2,pct,2.0,1,22.5,13.0,0.06792452806792453,0.06379709964388719,0.06586081385590586,13.0,13,0.0,0.0
8,3,2,74,10.0,12.0,22.0,0.062992126,1.733381167,12,3,pct,3.0,1,22.0,12.0,0.06299212593700787,0.07055829319488231,0.0667752095659451,11.0,12,0.0,1.0
8,4,3,106,9.0,11.0,20.0,0.066115702,1.715598296,11,4,pct,4.0,1,20.0,10.0,0.066115702,0.08207599924256734,0.07409585062128367,10.0,11,1.0,1.0
8,5,4,67,6.0,9.0,15.0,0.104761905,1.408314706,9,5,pct,5.0,1,15.0,9.0,0.1047619048952381,0.08931980751183637,0.09704085620353722,9.0,9,0.0,0.0
8,6,5,261,8.0,8.0,16.0,0.086021505,1.498986903,8,6,pct,6.0,1,16.0,8.0,0.08602150508602151,0.11478933146608376,0.10040541827605264,8.0,8,0.0,0.0
8,7,6,162,7.0,7.0,14.0,0.115384615,1.337974448,7,7,pct,7.0,1,14.0,7.0,0.11538461511538461,0.12643478960791155,0.12090970236164808,7.0,7,0.0,0.0
8,8,7,56,5.0,6.0,11.0,0.163461538,1.1309761,6,8,pct,8.0,1,11.0,6.0,0.16346153816346154,0.13392896008050031,0.14869524912198093,6.0,6,0.0,0.0
8,9,8,166,4.0,5.0,9.0,0.194756554,1.039871616,5,9,pct,9.0,1,9.0,5.0,0.194756554,0.15795901890980837,0.1763577864549042,5.0,5,0.0,0.0
8,10,9,277,4.0,4.0,8.0,0.219178082,1.159929439,4,10,pct,10.0,1,8.0,4.0,0.2191780817808219,0.23085700429789324,0.22501754303935756,4.0,4,0.0,0.0
9,1,0,171,15.5,16.0,31.5,0.046797968,2.038088224,15,1,pct,1.0,1,31.5,16.0,0.046797967906404066,0.05464119272911997,0.05071958031776202,16.0,16,0.0,0.0
9,2,1,145,13.5,14.0,27.5,0.06122449,1.753081829,14,2,pct,2.0,1,27.5,14.0,0.06122449006122449,0.05783520037241344,0.05952984521681896,14.0,14,0.0,0.0
9,3,2,272,12.0,13.0,25.0,0.058139535,1.724251123,13,3,pct,3.0,1,25.0,13.0,0.05813953488372093,0.06581202548794295,0.06197578018583194,13.0,13,0.0,0.0
9,4,3,55,9.0,11.0,20.0,0.070247934,1.617666793,11,4,pct,4.0,1,20.0,11.0,0.07024793407024794,0.07818985049234317,0.07421889228129555,11.0,11,0.0,0.0
9,5,4,210,8.5,10.0,18.5,0.090909091,1.441850675,10,5,pct,5.0,1,18.5,10.0,0.09090909081818183,0.08303777055737682,0.08697343068777932,10.0,10,0.0,0.0
9,6,5,170,7.0,8.0,15.0,0.092308012,1.446818713,8,6,pct,6.0,1,15.0,8.0,0.092308012092308,0.10030910144476217,0.09630855676853509,8.0,9,1.0,1.0
9,7,6,180,7.0,6.0,13.0,0.122507123,1.350763358,6,7,pct,7.0,1,13.0,6.5,0.12250712287749287,0.13115649629911721,0.12683180958830503,7.0,7,0.5,0.0
9,8,7,0,4.5,5.0,9.5,0.190839695,1.136231712,5,8,pct,8.0,1,9.5,5.0,0.1908396948091603,0.16786331917858877,0.17935150699387453,5.0,5,0.0,0.0
9,9,8,129,2.0,4.0,6.0,0.25312587,0.947187362,4,9,pct,9.0,1,6.0,3.5,0.25312587,0.18854234750659818,0.22083410875329906,4.0,4,0.5,0.0
10,2,1,254,6.5,11.0,17.5,0.090909091,1.763787089,11,2,pct,2.0,1,17.5,11.0,0.090909091,0.07090612438707011,0.08090760769353506,9.0,11,0.0,2.0
10,3,2,37,10.0,10.0,20.0,0.064039409,1.839556494,10,3,pct,3.0,1,20.0,10.0,0.06403940893596059,0.08687238447281434,0.07545589670438746,10.0,10,0.0,0.0
10,4,3,3,8.0,9.0,17.0,0.088948787,1.669184095,9,4,pct,4.0,1,17.0,9.0,0.0889487870889488,0.09382195262275086,0.09138536985584983,9.0,9,0.0,0.0
10,5,4,143,8.0,8.0,16.0,0.086705202,1.601426439,8,5,pct,5.0,1,16.0,8.0,0.086705202,0.10844116300766195,0.09757318250383097,8.0,8,0.0,0.0
10,6,5,114,7.0,7.0,14.0,0.119617147,1.426086887,7,6,pct,6.0,1,14.0,7.0,0.11961714688038283,0.11824460220243008,0.11893087454140645,7.0,7,0.0,0.0
10,7,6,224,4.5,6.0,10.5,0.163987138,1.164762267,6,7,pct,7.0,1,10.5,6.0,0.163987138,0.12015520929719875,0.1420711736485994,6.0,6,0.0,0.0
10,8,7,217,5.0,5.0,10.0,0.169960474,1.282113602,5,8,pct,8.0,1,10.0,5.0,0.169960474,0.1629974590006941,0.16647896650034705,5.0,5,0.0,0.0
10,9,8,43,4.0,4.0,8.0,0.230088496,1.232489977,4,9,pct,9.0,1,8.0,4.0,0.2300884957699115,0.20245434944754398,0.21627142260872773,4.0,4,0.0,0.0
11,1,0,69,11.0,12.0,23.0,0.066079295,2.070744639,12,1,pct,1.0,1,23.0,12.0,0.066079295,0.07233531384591231,0.06920730442295615,12.0,12,0.0,0.0
11,2,1,193,11.0,11.0,22.0,0.054298643,2.008998146,11,2,pct,2.0,1,22.0,11.0,0.05429864305429864,0.082171607589313,0.06823512532180581,11.0,11,0.0,0.0
11,3,2,172,10.0,10.0,20.0,0.081447964,1.82194653,10,3,pct,3.0,1,20.0,10.0,0.08144796391855202,0.08821246719028425,0.08483021555441814,10.0,10,0.0,0.0
11,4,3,270,9.0,9.0,18.0,0.078212291,1.736425124,9,4,pct,4.0,1,18.0,9.0,0.078212291,0.10090791618337132,0.08956010359168566,9.0,9,0.0,0.0
11,5,4,91,6.0,8.0,14.0,0.115384615,1.455873478,8,5,pct,5.0,1,14.0,8.0,0.11538461511538461,0.10308790710340318,0.1092362611093939,8.0,8,0.0,0.0
11,6,5,20,2.0,7.0,9.0,0.154588929,1.232153277,7,6,pct,6.0,1,9.0,6.0,0.154588929,0.10751048502498317,0.13104970701249158,7.0,7,1.0,0.0
11,7,6,235,4.0,6.0,10.0,0.165467626,1.244021096,6,7,pct,7.0,1,10.0,6.0,0.165467626,0.13621799313471009,0.15084280956735505,6.0,6,0.0,0.0
11,8,7,157,4.0,5.0,9.0,0.181132075,1.249653641,5,8,pct,8.0,1,9.0,5.0,0.18113207481886792,0.1760716529141153,0.17860186386649163,5.0,5,0.0,0.0
11,9,8,33,3.0,4.0,7.0,0.25,1.078848878,4,9,pct,9.0,1,7.0,4.0,0.25,0.20359718549902042,0.2267985927495102,4.0,4,0.0,0.0
12,2,1,197,10.0,11.0,21.0,0.078703704,1.879422264,11,2,pct,2.0,1,21.0,11.0,0.0787037040787037,0.07785499892285629,0.07827935150078,11.0,11,0.0,0.0
12,3,2,289,10.0,10.0,20.0,0.070093458,1.860384977,10,3,pct,3.0,1,20.0,10.0,0.07009345792990654,0.09141381852219195,0.08075363822604925,10.0,10,0.0,0.0
12,4,3,262,8.0,9.0,17.0,0.101941748,1.575038537,9,4,pct,4.0,1,17.0,9.0,0.10194174810194175,0.09313933602616792,0.09754054206405482,9.0,9,0.0,0.0
12,5,4,229,7.0,8.0,15.0,0.113402062,1.419397262,8,5,pct,5.0,1,15.0,8.0,0.11340206177319588,0.10180525877843043,0.10760366027581315,8.0,8,0.0,0.0
12,6,5,50,7.0,7.0,14.0,0.122222222,1.439676644,7,6,pct,6.0,1,14.0,7.0,0.122222222,0.1259472829850695,0.12408475249253476,7.0,7,0.0,0.0
12,7,6,149,4.0,6.0,10.0,0.161803714,1.260421406,6,7,pct,7.0,1,10.0,6.0,0.16180371383819625,0.13930811586347872,0.15055591485083747,6.0,6,0.0,0.0
12,8,7,242,4.0,5.0,9.0,0.2,1.114149391,5,8,pct,8.0,1,9.0,5.0,0.1999999998,0.16029795461437554,0.18014897720718775,5.0,5,0.0,0.0
12,9,8,231,4.0,4.0,8.0,0.204255319,1.212967648,4,9,pct,9.0,1,8.0,4.0,0.204255319,0.23221063834326686,0.21823297867163344,4.0,4,0.0,0.0
13,1,0,192,12.0,12.0,24.0,0.064516129,2.128898743,12,1,pct,1.0,1,24.0,12.0,0.06451612893548388,0.07405134654174113,0.0692837377386125,12.0,12,0.0,0.0
13,2,1,84,5.5,11.0,16.5,0.094170404,1.825393731,11,2,pct,2.0,1,16.5,10.5,0.09417040371748879,0.07473616422205405,0.08445328396977142,11.0,11,0.5,0.0
13,3,2,156,5.5,10.0,15.5,0.101265823,1.698748002,10,3,pct,3.0,1,15.5,10.0,0.10126582289873418,0.08251411523707602,0.0918899690679051,9.0,10,0.0,1.0
13,4,3,57,7.0,9.0,16.0,0.100478469,1.600248683,9,4,pct,4.0,1,16.0,9.0,0.10047846889952153,0.0931957504858552,0.09683710969268836,9.0,9,0.0,0.0
13,5,4,42,8.0,8.0,16.0,0.10106383,1.581253475,8,5,pct,5.0,1,16.0,8.0,0.10106383010106383,0.1112629455895084,0.10616338784528612,8.0,8,0.0,0.0
13,6,5,48,7.0,7.0,14.0,0.114457831,1.468667542,7,6,pct,6.0,1,14.0,7.0,0.11445783111445783,0.12770322050839478,0.12108052581142631,7.0,7,0.0,0.0
13,7,6,68,5.0,6.0,11.0,0.160409556,1.256091084,6,7,pct,7.0,1,11.0,6.0,0.16040955616040958,0.13775752562270355,0.14908354089155657,6.0,6,0.0,0.0
13,8,7,206,5.0,5.0,10.0,0.16988417,1.295922659,5,8,pct,8.0,1,10.0,5.0,0.1698841698301158,0.18248226515671043,0.17618321749341312,5.0,5,0.0,0.0
13,9,8,107,4.0,4.0,8.0,0.206750239,1.271805691,4,9,pct,9.0,1,8.0,4.0,0.206750239,0.23894165662720562,0.2228459478136028,4.0,4,0.0,0.0
14,2,1,183,12.0,12.0,24.0,0.063197026,1.917657268,12,2,pct,2.0,1,24.0,12.0,0.06319702606319703,0.07274353445368738,0.0679702802584422,12.0,12,0.0,0.0
14,3,2,112,9.0,11.0,20.0,0.085714286,1.692029571,11,3,pct,3.0,1,20.0,11.0,0.0857142859142857,0.07554251084024188,0.0806283983772638,11.0,11,0.0,0.0
14,4,3,257,9.0,10.0,19.0,0.090128755,1.574486765,10,4,pct,4.0,1,19.0,9.5,0.090128755,0.08344124171812423,0.08678499835906212,10.0,10,0.5,0.0
14,5,4,95,9.0,9.0,18.0,0.084821429,1.524857362,9,5,pct,5.0,1,18.0,9.0,0.08482142891517856,0.09680798439719591,0.09081470665618724,9.0,9,0.0,0.0
14,6,5,99,8.0,8.0,16.0,0.093023508,1.414002006,8,6,pct,6.0,1,16.0,8.0,0.093023508,0.10881344894915079,0.1009184784745754,8.0,8,0.0,0.0
14,7,6,116,6.0,7.0,13.0,0.138964578,1.221795002,7,7,pct,7.0,1,13.0,7.0,0.138964578,0.11541553746004007,0.12719005773002004,7.0,7,0.0,0.0
14,8,7,188,6.0,5.0,11.0,0.155963303,1.242550068,5,8,pct,8.0,1,11.0,6.0,0.1559633026880734,0.14773336982715346,0.15184833625761343,6.0,6,0.0,0.0
14,9,8,173,1.0,4.0,5.0,0.256521739,1.039762878,4,9,pct,9.0,1,5.0,2.5,0.256521739,0.19938556414224348,0.22795365157112174,4.0,4,1.5,0.0
15,1,0,224,13.0,13.0,26.0,0.061482821,2.010763298,13,1,pct,1.0,1,26.0,13.0,0.061482821,0.06481511867719407,0.06314896983859704,13.0,13,0.0,0.0
15,2,1,132,8.0,12.0,20.0,0.081521739,1.844727147,12,2,pct,2.0,1,20.0,11.0,0.081521739,0.06892084958627043,0.0752212942931352,12.0,12,1.0,0.0
15,3,2,104,5.5,11.0,16.5,0.091726619,1.776370027,10,3,pct,3.0,1,16.5,9.0,0.09172661890827337,0.07810306909377449,0.08491484400102392,10.0,11,2.0,1.0
15,4,3,35,8.0,9.0,17.0,0.099533437,1.649682331,9,4,pct,4.0,1,17.0,9.0,0.09953343690046655,0.09552134591394752,0.09752739140720704,9.0,9,0.0,0.0
15,6,5,246,1.5,8.0,9.5,0.132743363,1.263786416,8,6,pct,6.0,1,9.5,4.0,0.132743363,0.09649632408397538,0.11461984354198769,8.0,8,4.0,0.0
15,8,7,154,7.0,6.0,13.0,0.127962328,1.237868619,7,8,pct,8.0,1,13.0,7.0,0.12796232787203765,0.12542660512396805,0.12669446649800287,7.0,7,0.0,0.0
15,9,8,17,3.0,5.0,8.0,0.202915325,1.12902213,5,9,pct,9.0,1,8.0,4.0,0.20291532520291533,0.17012391111759634,0.18651961816025583,4.0,5,1.0,1.0
16,2,1,79,12.0,12.0,24.0,0.06147541,1.946207026,12,2,pct,2.0,1,24.0,12.0,0.06147541,0.072596936578906,0.067036173289453,12.0,12,0.0,0.0
16,3,2,293,11.0,11.0,22.0,0.063829896,1.821553728,11,3,pct,3.0,1,22.0,11.0,0.0638298960638299,0.07968679799653118,0.07175834703018054,11.0,11,0.0,0.0
16,4,3,168,9.5,10.0,19.5,0.080357143,1.670412026,10,4,pct,4.0,1,19.5,10.0,0.080357143,0.08636178158260405,0.08335946229130203,10.0,10,0.0,0.0
16,5,4,64,8.5,9.0,17.5,0.086124402,1.573266804,9,5,pct,5.0,1,17.5,9.0,0.08612440191387559,0.097342289779681,0.0917333458467783,9.0,9,0.0,0.0
16,6,5,282,8.0,8.0,16.0,0.106100796,1.449507343,8,6,pct,6.0,1,16.0,8.0,0.10610079610610079,0.10884201207961262,0.10747140409285671,8.0,8,0.0,0.0
16,7,6,13,7.0,7.0,14.0,0.092391304,1.469662429,7,7,pct,7.0,1,14.0,7.0,0.09239130409239131,0.135852953299227,0.11412212869580915,7.0,7,0.0,0.0
16,8,7,251,6.0,6.0,12.0,0.135048232,1.313234066,6,8,pct,8.0,1,12.0,6.0,0.13504823186495174,0.15270493633410698,0.14387658409952936,6.0,6,0.0,0.0
16,9,8,109,5.0,5.0,10.0,0.180851064,1.161337413,5,9,pct,9.0,1,10.0,5.0,0.180851064,0.17451041584996835,0.17768073992498418,5.0,5,0.0,0.0
16,10,9,7,3.0,1.0,4.0,0.24786346,1.280711042,4,10,pct,10.0,1,4.0,2.0,0.24786345975213653,0.25467328487977803,0.2512683723159573,2.0,4,2.0,2.0
17,2,1,150,11.0,12.0,23.0,0.067669173,1.926916304,12,2,pct,2.0,1,23.0,12.0,0.06766917313533834,0.0720712483248364,0.06987021073008737,12.0,12,0.0,0.0
17,3,2,27,10.5,11.0,21.5,0.062745098,1.827936319,11,3,pct,3.0,1,21.5,11.0,0.062745098,0.08038695533149656,0.07156602666574828,11.0,11,0.0,0.0
17,4,3,278,10.0,10.0,20.0,0.075949367,1.66629397,10,4,pct,4.0,1,20.0,10.0,0.07594936684810127,0.08678072930699877,0.08136504807755002,10.0,10,0.0,0.0
17,5,4,54,1.5,9.0,10.5,0.119148936,1.372639283,9,5,pct,5.0,1,10.5,5.0,0.119148936,0.08545044516109158,0.10229969058054579,9.0,9,4.0,0.0
17,7,6,215,5.5,8.0,13.5,0.121896163,1.234099782,8,7,pct,7.0,1,13.5,8.0,0.12189616287810383,0.10045476555198131,0.11117546421504257,8.0,8,0.0,0.0
17,8,7,34,5.0,7.0,12.0,0.140625,1.118037624,7,8,pct,8.0,1,12.0,7.0,0.14062500014062498,0.11236587085988606,0.12649543550025552,7.0,7,0.0,0.0
17,9,8,85,2.0,6.0,8.0,0.177777778,0.933137501,6,9,pct,9.0,1,8.0,4.5,0.17777777817777776,0.11788413125202225,0.14783095471490001,6.0,6,1.5,0.0
17,10,9,164,4.0,5.0,9.0,0.185714286,1.023624809,5,10,pct,10.0,1,9.0,5.0,0.185714286,0.16411781952105126,0.17491605276052563,5.0,5,0.0,0.0
17,11,10,26,4.0,3.0,7.0,0.222707717,1.185556246,4,11,pct,11.0,1,7.0,4.0,0.222707717,0.24887517160089365,0.23579144430044682,4.0,4,0.0,0.0
18,1,0,76,11.0,12.0,23.0,0.06870229,2.059010362,12,1,pct,1.0,1,23.0,11.5,0.06870229006870229,0.07166413442959854,0.07018321224915042,12.0,12,0.5,0.0
18,2,1,250,8.5,11.0,19.5,0.086065574,1.946604544,11,2,pct,2.0,1,19.5,10.0,0.086065574,0.07939340225776567,0.08272948812888284,10.0,11,1.0,1.0
18,5,4,61,8.0,9.0,17.0,0.105590062,1.464498257,9,5,pct,5.0,1,17.0,9.0,0.10559006221118013,0.09126201077875525,0.09842603649496769,9.0,9,0.0,0.0
18,6,5,81,7.5,8.0,15.5,0.113475177,1.391623624,8,6,pct,6.0,1,15.5,8.0,0.11347517711347517,0.10511727566267294,0.10929622638807406,8.0,8,0.0,0.0
18,7,6,211,7.0,7.0,14.0,0.130434783,1.304804151,7,7,pct,7.0,1,14.0,7.0,0.1304347828695652,0.12124274660212044,0.12583876473584282,7.0,7,0.0,0.0
18,8,7,66,3.0,6.0,9.0,0.168141593,1.117439064,6,8,pct,8.0,1,9.0,6.0,0.16814159333628317,0.13092190273844895,0.14953174803736607,6.0,6,0.0,0.0
18,9,8,45,3.5,5.0,8.5,0.19895288,1.077671545,5,9,pct,9.0,1,8.5,5.0,0.1989528798010471,0.1617469698141028,0.18034992480757495,5.0,5,0.0,0.0
18,10,9,118,3.0,2.0,5.0,0.252907565,1.26534653,4,10,pct,10.0,1,5.0,2.5,0.252907565,0.25195308966552504,0.2524303273327625,3.0,4,1.5,1.0
19,1,0,169,12.0,13.0,25.0,0.059139785,2.092748727,13,1,pct,1.0,1,25.0,13.0,0.05913978511827957,0.06699532203153054,0.06306755357490505,13.0,13,0.0,0.0
19,2,1,266,9.5,12.0,21.5,0.077348066,1.854737968,12,2,pct,2.0,1,21.5,12.0,0.07734806607734807,0.06927517499291644,0.07331162053513225,12.0,12,0.0,0.0
19,3,2,232,11.0,11.0,22.0,0.073654391,1.779846969,11,3,pct,3.0,1,22.0,11.0,0.0736543909263456,0.07781287249350213,0.07573363170992387,11.0,11,0.0,0.0
19,4,3,25,6.5,10.0,16.5,0.090625,1.559212661,10,4,pct,4.0,1,16.5,10.0,0.090625,0.08085522449209571,0.08574011224604786,10.0,10,0.0,0.0
19,6,5,137,5.5,9.0,14.5,0.109215017,1.305269797,9,6,pct,6.0,1,14.5,8.5,0.10921501710921501,0.08713789423908193,0.09817645567414847,9.0,9,0.5,0.0
