contestant_id,season_idx,season,weeks_participated,placement,celebrity_name,week_idx,judge_rank,score_sum,vote_rank,total_rank,obs_id,estimated_strength,fan_votes,week,data_source,eliminated_week,eliminated_actual,method1_value,method1_pos,judge_share,fan_share,method2_value,method2_pos
3,0,1,4,4,89,3,2,0.784464541,2,4,19,0.640218963,1.038107733,4,rank,4.0,1,4.0,2.0,inf,0.058018282189314326,inf,1.5
4,0,1,5,3,55,3,4,-1.176696811,4,8,20,1.82835808,4.807165129,4,rank,,0,8.0,4.0,-inf,0.26866523976173257,-inf,3.5
0,0,1,6,2,56,4,1,1.382189481,1,2,21,3.408771362,4.340650501,5,rank,,0,2.0,1.0,-1.2449656063174038e+16,0.3366236132512125,-6224828031587019.0,3.0
1,0,1,6,1,66,4,2,-0.431934213,2,4,22,3.728657819,6.045976049,5,rank,,0,4.0,2.0,3890517521430737.0,0.46887403230824404,1945258760715368.8,2.0
4,0,1,5,3,55,4,3,-0.950255268,3,6,23,1.214686669,2.508043729,5,rank,,0,6.0,3.0,8559138541743302.0,0.19450235444054353,4279569270871651.0,1.0
0,0,1,6,2,56,5,2,-1.0,2,4,24,1.863059896,3.020930334,6,rank,,0,4.0,2.0,-inf,0.37368166623057303,-inf,2.0
1,0,1,6,1,66,5,1,1.0,1,2,25,3.976281271,5.063304476,6,rank,,0,2.0,1.0,inf,0.6263183337694269,inf,1.0
6,1,2,2,9,103,0,2,0.89043824,2,4,26,6.374343198,10.33592466,1,rank,2.0,0,4.0,2.5,inf,0.08717394148075168,inf,3.5
7,1,2,5,6,105,0,5,0.127205463,6,11,27,2.948302429,9.870900223,1,rank,5.0,0,11.0,6.0,inf,0.08325189150538377,inf,3.5
8,1,2,6,5,34,0,7,-0.381616388,8,15,28,1.462569778,7.939903417,1,rank,6.0,0,15.0,8.0,-inf,0.06696572378425002,-inf,8.5
9,1,2,7,4,73,0,6,-0.127205463,7,13,29,2.187695741,9.326712707,1,rank,7.0,0,13.0,7.0,-inf,0.0786621743552648,-inf,8.5
10,1,2,8,3,100,0,3,0.636027314,4,7,30,10.32504282,21.3187973,1,rank,,0,7.0,4.0,inf,0.1798042893503644,inf,3.5
11,1,2,8,2,49,0,4,0.381616388,5,9,31,6.524763222,17.15507186,1,rank,,0,9.0,5.0,inf,0.14468712569173564,inf,3.5
12,1,2,3,8,35,0,2,0.89043824,2,4,32,3.86585956,6.268447105,1,rank,3.0,0,4.0,2.5,inf,0.0528685394951841,inf,3.5
13,1,2,4,7,76,0,9,-1.908081942,10,19,33,1.045448679,9.202699374,1,rank,4.0,0,19.0,10.0,-inf,0.07761623687125696,-inf,8.5
14,1,2,8,1,27,0,1,1.144849165,1,2,34,19.79604431,25.20782432,1,rank,,0,2.0,1.0,inf,0.21260462652489467,inf,3.5
15,1,2,1,10,67,0,8,-1.653671017,9,17,35,0.280695247,1.940397154,1,rank,1.0,1,17.0,9.0,-inf,0.01636545094091399,-inf,8.5
6,1,2,2,9,103,1,7,-1.307574978,8,15,36,0.447821808,2.431105824,2,rank,2.0,1,15.0,8.0,5888794183679785.0,0.026732515603084334,2944397091839892.5,2.0
7,1,2,5,6,105,1,5,-0.055641488,5,10,37,2.447559008,8.194414019,2,rank,5.0,0,10.0,5.5,250586984623139.94,0.09010603259574541,125293492311570.02,4.5
8,1,2,6,5,34,1,5,-0.055641488,5,10,38,2.201344543,7.370089351,2,rank,6.0,0,10.0,5.5,250586984623139.94,0.08104173278955264,125293492311570.02,4.5
9,1,2,7,4,73,1,6,-0.556414884,7,13,39,1.759252707,7.500149254,2,rank,7.0,0,13.0,7.0,2505869864245798.0,0.08247187554679493,1252934932122899.0,3.0
10,1,2,8,3,100,1,1,1.697065396,1,2,40,17.42182372,22.18454682,2,rank,,0,2.0,1.0,-7642903085048963.0,0.24394197001150575,-3821451542524481.5,9.0
11,1,2,8,2,49,1,4,0.194745209,4,8,41,5.283620468,13.89182805,2,rank,,0,8.0,4.0,-877054450684589.4,0.15275497530213217,-438527225342294.6,6.0
12,1,2,3,8,35,1,3,0.445131907,3,6,42,2.25287478,4.651659235,2,rank,3.0,0,6.0,3.0,-2004695890495918.2,0.05114979029389584,-1002347945247959.1,7.0
13,1,2,4,7,76,1,8,-1.557961675,9,17,43,1.173578729,8.112744524,2,rank,4.0,0,17.0,9.0,7016435618987514.0,0.08920799227687877,3508217809493757.0,1.0
14,1,2,8,1,27,1,2,1.196292001,2,4,44,10.24081548,16.60536529,2,rank,,0,4.0,2.0,-5387620209929905.0,0.18259311558041008,-2693810104964952.5,8.0
7,1,2,5,6,105,2,2,0.767365737,3,5,45,4.525414629,7.337908114,3,rank,5.0,0,5.0,3.0,-767366014.2868183,0.10551123768038778,-383683007.09065354,6.0
8,1,2,6,5,34,2,4,-0.177084401,5,9,46,2.160659373,5.680860061,3,rank,6.0,0,9.0,5.5,177084464.9892658,0.08168466636719093,88542232.53547524,3.0
9,1,2,7,4,73,2,3,0.531253202,4,7,47,3.574382882,7.380264226,3,rank,7.0,0,7.0,4.0,-531253393.9677971,0.1061202730799893,-265626696.9308384,5.0
10,1,2,8,3,100,2,1,1.003478271,1,2,48,12.96522338,16.50961516,3,rank,,0,2.0,1.5,-1003478633.6058391,0.23739053448148606,-501739316.6842243,7.0
11,1,2,8,2,49,2,5,-0.885422004,7,12,49,2.770526042,9.275705861,3,rank,,0,12.0,7.0,885422323.9463286,0.13337468806485753,442711162.03985167,2.0
12,1,2,3,8,35,2,4,-0.177084401,5,9,50,0.585631333,1.539756657,3,rank,3.0,1,9.0,5.5,177084464.9892658,0.0221400470110447,88542232.50570293,4.0
13,1,2,4,7,76,2,6,-2.065984676,8,14,51,1.570404523,6.695040608,3,rank,4.0,0,14.0,8.0,2065985422.5414333,0.09626749339131013,1032992711.3188504,1.0
14,1,2,8,1,27,2,1,1.003478271,1,2,52,11.87949421,15.12707278,3,rank,,0,2.0,1.5,-1003478633.6058391,0.2175110599237335,-501739316.69416404,8.0
7,1,2,5,6,105,3,3,0.386963736,4,7,53,2.678348287,5.530162465,4,rank,5.0,0,7.0,4.0,386963832.867316,0.1032066376388152,193481916.48526132,4.0
8,1,2,6,5,34,3,5,-0.250388299,6,11,54,1.416216918,4.741486408,4,rank,6.0,0,11.0,6.0,-250388361.6788513,0.0884879734866566,-125194180.79518166,6.0
9,1,2,7,4,73,3,2,0.546301744,2,4,55,4.307664764,6.984829195,4,rank,7.0,0,4.0,2.5,546301880.7538576,0.1303543503938238,273150940.442106,3.0
10,1,2,8,3,100,3,2,0.546301744,2,4,56,7.935677116,12.86760977,4,rank,,0,4.0,2.5,546301880.7538576,0.24014172227579722,273150940.4969997,2.0
11,1,2,8,2,49,3,4,0.227625727,5,9,57,3.344176526,8.792593178,4,rank,,0,9.0,5.0,227625783.9807741,0.16409173939655036,113812892.07243292,5.0
13,1,2,4,7,76,3,6,-2.321782413,7,13,58,0.655970294,2.796571007,4,rank,4.0,1,13.0,7.0,-2321782994.2038956,0.05219099662575022,-1160891497.0758524,7.0
14,1,2,8,1,27,3,1,0.864977762,1,2,59,9.321786624,11.87014718,4,rank,,0,2.0,1.0,864977978.5269414,0.22152658018260665,432488989.374234,1.0
7,1,2,5,6,105,4,6,-1.185187437,6,12,60,0.586329393,2.499673832,5,rank,5.0,1,12.0,6.0,-1185187075.7727857,0.06290060693523349,-592593537.8549426,6.0
8,1,2,6,5,34,4,4,-0.436648003,4,8,61,1.601626374,4.211036417,5,rank,6.0,0,8.0,4.0,-436647869.9162895,0.10596452347694577,-218323934.90516248,4.0
9,1,2,7,4,73,4,3,-0.062378286,3,6,62,2.662433948,5.497303078,5,rank,7.0,0,6.0,3.0,-62378266.98804139,0.13833152777235105,-31189133.424854934,3.0
10,1,2,8,3,100,4,1,1.808970299,1,2,63,8.979926071,11.43482987,5,rank,,0,2.0,1.0,1808969747.653199,0.28774063632480235,904484873.9704698,1.0
11,1,2,8,2,49,4,5,-0.81091772,5,10,64,2.180246652,7.299453728,5,rank,,0,10.0,5.0,-810917472.8445375,0.18367999212901018,-405458736.3304288,5.0
14,1,2,8,1,27,4,2,0.686161148,2,4,65,5.425731785,8.797762095,5,rank,,0,4.0,2.0,686160938.8684548,0.2213827133616572,343080469.5449188,2.0
8,1,2,6,5,34,5,3,-1.147638084,4,7,66,1.02765608,2.121869329,6,rank,6.0,1,7.0,4.5,1147638243.8708663,0.06610492762891503,573819121.9684856,2.0
9,1,2,7,4,73,5,2,0.127515343,3,5,67,3.031639903,4.915769463,6,rank,7.0,0,5.0,3.0,-127515360.76342964,0.15314636964246608,-63757680.305141635,3.0
10,1,2,8,3,100,5,1,1.083880412,1,2,68,7.886769928,10.04283016,6,rank,,0,2.0,1.5,-1083880562.9891515,0.3128753273554128,-541940281.3381381,4.0
11,1,2,8,2,49,5,3,-1.147638084,4,7,69,3.266162066,6.743860366,6,rank,,0,7.0,4.5,1147638243.8708663,0.21009889503612236,573819122.0404826,1.0
14,1,2,8,1,27,5,1,1.083880412,1,2,70,6.49782147,8.274175364,6,rank,,0,2.0,1.5,-1083880562.9891515,0.2577744803370838,-541940281.3656884,5.0
9,1,2,7,4,73,6,2,0.34299717,3,5,71,1.321113957,2.142171187,7,rank,7.0,1,5.0,3.0,342997141.62028927,0.08419299734073804,171498570.85224113,3.0
10,1,2,8,3,100,6,1,0.685994341,1,2,72,7.339387061,9.345805495,7,rank,,0,2.0,1.5,685994284.2405784,0.3673148915281298,342997142.3039467,1.0
11,1,2,8,2,49,6,3,-1.714985851,4,7,73,3.160714516,6.52613585,7,rank,,0,7.0,4.0,-1714985709.1014462,0.25649441165055925,-857492854.4224758,4.0
14,1,2,8,1,27,6,1,0.685994341,1,2,74,5.83446026,7.429466562,7,rank,,0,2.0,1.5,685994284.2405784,0.2919976994805729,342997142.26628804,2.0
10,1,2,8,3,100,7,2,0.539171766,2,4,75,4.076225534,6.609553128,8,rank,,0,4.0,2.0,4856427528892585.0,0.3718603902254701,2428213764446292.5,2.0
11,1,2,8,2,49,7,3,-1.40182718,3,6,76,2.473442823,5.107080631,8,rank,,0,6.0,3.0,-1.2626536730971666e+16,0.28732971194548207,-6313268365485833.0,3.0
14,1,2,8,1,27,7,1,0.862655414,1,2,77,4.7571564,6.057652779,8,rank,,0,2.0,1.0,7770109202079082.0,0.3408098978290478,3885054601039541.0,1.0
16,2,28,8,7,64,0,7,-0.498493,9,16,78,1.763213879,9.572020503,1,rank,8.0,0,16.0,9.5,498492958.75450766,0.03888594691136776,249246479.3966968,3.0
17,2,28,10,5,42,0,1,1.61277147,1,2,79,20.69762095,26.35587114,1,rank,10.0,0,2.0,1.0,-1612771336.5587013,0.10706966263096498,-806385668.2258158,12.0
18,2,28,11,2,65,0,6,-0.146615588,7,13,80,5.144773488,21.93349988,1,rank,,0,13.0,7.5,146615575.86897284,0.08910395789967847,73307787.9790384,6.0
19,2,28,2,11,90,0,7,-0.498493,9,16,81,1.618757227,8.787803652,1,rank,2.0,0,16.0,9.5,498492958.75450766,0.03570009760970481,249246479.39510387,4.0
20,2,28,4,10,69,0,9,-1.906002646,12,21,82,1.138243672,10.0195395,1,rank,4.0,0,21.0,12.0,1906002488.2966468,0.04070397477222708,953001244.1686754,1.0
21,2,28,6,9,93,0,4,0.557139235,4,8,83,3.310470734,8.703973062,1,rank,6.0,0,8.0,4.0,-557139188.9020967,0.035359539221716925,-278569594.4333686,9.0
22,2,28,9,6,96,0,8,-1.554125235,11,19,84,2.626387782,18.15575945,1,rank,9.0,0,19.0,11.0,1554125106.4111123,0.07375703989424098,777062553.2424346,2.0
23,2,28,2,12,75,0,5,0.205261823,5,10,85,2.207435309,7.390481203,1,rank,2.0,0,10.0,5.5,-205261806.016562,0.030023531564652286,-102630902.99326923,8.0
24,2,28,11,4,70,0,3,0.909016647,3,6,86,21.23748878,43.85044464,1,rank,11.0,0,6.0,3.0,-909016571.7876315,0.17814066129261727,-454508285.80474544,10.0
25,2,28,11,3,3,0,6,-0.146615588,7,13,87,5.542268236,23.62812279,1,rank,,0,13.0,7.5,146615575.86897284,0.09598829506677863,73307787.98248057,5.0
26,2,28,7,8,63,0,5,0.205261823,5,10,88,4.470691791,14.96785138,1,rank,7.0,0,10.0,5.5,-205261806.016562,0.06080629204226044,-102630902.97787786,7.0
27,2,28,11,1,36,0,2,1.260894058,2,4,89,32.55707481,52.79092481,1,rank,,0,4.0,2.0,-1260893953.6731665,0.2144610010937904,-630446976.7293527,11.0
16,2,28,8,7,64,1,2,0.883541262,2,4,90,8.10724962,13.14581262,2,rank,8.0,0,4.0,2.0,-883541188.8954743,0.06500290588114059,-441770594.4152357,11.0
17,2,28,10,5,42,1,3,0.56225353,3,6,91,8.226709965,16.98623098,2,rank,10.0,0,6.0,4.0,-562253483.4789382,0.08399285807469956,-281126741.6974727,10.0
18,2,28,11,2,65,1,3,0.56225353,3,6,92,11.4974641,23.73957289,2,rank,,0,6.0,4.0,-562253483.4789382,0.11738652199251771,-281126741.6807758,9.0
19,2,28,2,11,90,1,7,-1.044185128,10,17,93,0.613864714,3.33250872,2,rank,2.0,1,17.0,10.5,1044185041.6037424,0.016478460247080585,522092520.8101104,2.0
20,2,28,4,10,69,1,8,-2.008048322,12,20,94,1.41035913,9.749566031,2,rank,4.0,0,20.0,12.0,2008048155.8533506,0.04820927708423844,1004024077.9507799,1.0
21,2,28,6,9,93,1,5,-0.080321933,8,13,95,1.767727478,5.918341817,2,rank,6.0,0,13.0,8.0,80321926.35413401,0.029264787748273076,40160963.1916994,5.0
22,2,28,9,6,96,1,6,-0.722897396,9,15,96,3.922606126,16.72308435,2,rank,9.0,0,15.0,9.0,722897336.1872063,0.08269166079482922,361448668.13494897,4.0
23,2,28,2,12,75,1,7,-1.044185128,10,17,97,0.500676813,2.718041623,2,rank,2.0,1,17.0,10.5,1044185041.6037424,0.013440067107916195,522092520.8085912,3.0
24,2,28,11,4,70,1,4,0.240965799,6,10,98,10.3057374,27.09610443,2,rank,11.0,0,10.0,6.5,-240965779.06240204,0.13398376935094689,-120482889.46420914,6.0
25,2,28,11,3,3,1,3,0.56225353,3,6,99,12.89762791,26.63058353,2,rank,,0,6.0,4.0,-562253483.4789382,0.13168187960680386,-281126741.67362815,8.0
26,2,28,7,8,63,1,4,0.240965799,6,10,100,4.140736068,10.8869276,2,rank,7.0,0,10.0,6.5,-240965779.06240204,0.05383325858767579,-120482889.5042844,7.0
27,2,28,11,1,36,1,1,1.847404456,1,2,101,35.58055561,45.30745543,2,rank,,0,2.0,1.0,-1847404303.1450827,0.22403455352387808,-923702151.4605241,12.0
16,2,28,8,7,64,2,1,1.064742266,1,2,102,8.859960181,11.28206809,3,rank,8.0,0,2.0,1.5,532371088.95141864,0.08099994211946496,266185544.5162093,2.0
17,2,28,10,5,42,2,2,0.811232203,3,5,103,7.92384376,12.84842212,3,rank,10.0,0,5.0,3.5,405616067.939176,0.09224562728609212,202808034.01571083,3.0
18,2,28,11,2,65,2,4,0.050702013,6,10,104,5.582413032,14.67742099,3,rank,,0,10.0,6.5,25351004.40244849,0.10537697886319174,12675502.253912734,7.0
20,2,28,4,10,69,2,7,-1.977378494,10,17,105,1.302608357,7.071515286,3,rank,4.0,0,17.0,10.0,-988689165.1954917,0.0507701535120687,-494344582.57236075,10.0
21,2,28,6,9,93,2,2,0.811232203,3,5,106,3.663531435,5.940374362,3,rank,6.0,0,5.0,3.5,405616067.939176,0.04264909373454717,202808033.99091256,4.0
22,2,28,9,6,96,2,6,-1.216848304,9,15,107,2.856040984,12.17604132,3,rank,9.0,0,15.0,9.0,-608424101.6587641,0.08741824941106287,-304212050.78567296,9.0
24,2,28,11,4,70,2,4,0.050702013,6,10,108,7.867211888,20.68467171,3,rank,11.0,0,10.0,6.5,25351004.40244849,0.14850621339142567,12675502.275477352,6.0
25,2,28,11,3,3,2,1,1.064742266,1,2,109,18.91266229,24.08294613,3,rank,,0,2.0,1.5,532371088.95141864,0.17290422527455182,266185544.56216145,1.0
26,2,28,7,8,63,2,5,-0.96333824,8,13,110,2.00394636,6.709201326,3,rank,7.0,0,13.0,8.0,-481669080.1465216,0.04816890970154015,-240834540.04917637,8.0
27,2,28,11,1,36,2,3,0.304212076,5,8,111,11.53265285,23.81222943,3,rank,,0,8.0,5.0,152106025.41469103,0.1709606067060547,76053012.79282582,5.0
16,2,28,8,7,64,3,4,-0.505246733,8,12,112,2.206048225,5.800197576,4,rank,8.0,0,12.0,8.0,-4550857996937921.0,0.04431350348517365,-2275428998468960.5,8.0
17,2,28,10,5,42,3,3,-0.045931521,6,9,113,4.115136288,8.496793469,4,rank,10.0,0,9.0,6.5,-413714361720320.25,0.06491549332031446,-206857180860160.1,6.5
18,2,28,11,2,65,3,1,0.872698903,1,2,114,14.48798157,18.44866018,4,rank,,0,2.0,2.5,7860572908714881.0,0.14094774470544938,3930286454357440.5,2.5
20,2,28,4,10,69,3,6,-1.88319237,10,16,115,0.765705682,3.264401343,4,rank,4.0,1,16.0,10.0,-1.6962288911597922e+16,0.024940022886219698,-8481144455798961.0,10.0
21,2,28,6,9,93,3,2,0.643041297,5,7,116,2.723490515,4.416108751,4,rank,6.0,0,7.0,5.0,5792001091106081.0,0.03373906629285905,2896000545553040.5,5.0
22,2,28,9,6,96,3,5,-1.653534764,9,14,117,3.208391623,10.74167741,4,rank,9.0,0,14.0,9.0,-1.4893717093989122e+16,0.08206640430909451,-7446858546994561.0,9.0
24,2,28,11,4,70,3,1,0.872698903,1,2,118,20.56092351,26.18180378,4,rank,11.0,0,2.0,2.5,7860572908714881.0,0.20002895381596264,3930286454357440.5,2.5
25,2,28,11,3,3,3,1,0.872698903,1,2,119,15.01696839,19.12225974,4,rank,,0,2.0,2.5,7860572908714881.0,0.14609404464757247,3930286454357440.5,2.5
26,2,28,7,8,63,3,3,-0.045931521,6,9,120,3.474079225,7.173160646,4,rank,7.0,0,9.0,6.5,-413714361720320.25,0.05480293992078856,-206857180860160.1,6.5
27,2,28,11,1,36,3,1,0.872698903,1,2,121,21.39587146,27.24500717,4,rank,,0,2.0,2.5,7860572908714881.0,0.2081518266165656,3930286454357440.5,2.5
16,2,28,8,7,64,4,4,0.045834925,5,9,122,1.963058331,5.161322424,5,rank,8.0,0,9.0,5.5,45834928.840649985,0.05849455823908762,22917464.449572273,5.0
17,2,28,10,5,42,4,2,0.870863572,2,4,123,5.638711111,9.143105638,5,rank,10.0,0,4.0,2.5,870863644.9723494,0.10362110352595198,435431822.53798527,3.0
18,2,28,11,2,65,4,2,0.870863572,2,4,124,8.362626561,13.55990342,5,rank,,0,4.0,2.5,870863644.9723494,0.15367777773954341,435431822.5630136,2.0
21,2,28,6,9,93,4,4,0.045834925,5,9,125,1.216535507,3.198545805,5,rank,6.0,0,9.0,5.5,45834928.840649985,0.03624991978818526,22917464.438449953,6.0
22,2,28,9,6,96,4,7,-2.016736693,9,16,126,1.506502842,8.178404367,5,rank,9.0,0,16.0,9.0,-2016736861.9885986,0.09268790268241729,-1008368430.9479554,9.0
24,2,28,11,4,70,4,5,-0.366679399,7,12,127,3.632235312,12.16070373,5,rank,11.0,0,12.0,7.0,-366679429.7251998,0.13782029761502362,-183339714.79368976,7.0
25,2,28,11,3,3,4,1,1.283377896,1,2,128,12.28607757,15.64480662,5,rank,,0,2.0,1.0,1283378003.5381992,0.17730650728532235,641689001.8577528,1.0
26,2,28,7,8,63,4,6,-1.191708046,8,14,129,1.098341206,4.682512604,5,rank,7.0,0,14.0,8.0,-1191708145.8568993,0.0530680867651875,-595854072.9019156,8.0
27,2,28,11,1,36,4,3,0.458349249,4,7,130,7.994434731,16.50663698,5,rank,,0,7.0,4.0,458349287.40649974,0.18707384635928093,229174643.7967868,4.0
16,2,28,8,7,64,5,1,0.912870929,1,2,131,4.802196351,6.115005609,6,rank,8.0,0,2.0,2.0,4111205175681758.5,0.08404024434328808,2055602587840879.2,2.0
17,2,28,10,5,42,5,1,0.912870929,1,2,132,6.928643136,8.822773695,6,rank,10.0,0,2.0,2.0,4111205175681758.5,0.12125386377766358,2055602587840879.2,2.0
18,2,28,11,2,65,5,2,0.365148372,4,6,133,6.092299635,9.878594246,6,rank,,0,6.0,4.5,1644482072074143.2,0.13576430297629835,822241036037071.8,4.5
21,2,28,6,9,93,5,1,0.912870929,1,2,134,0.907587399,1.155700773,6,rank,6.0,1,2.0,2.0,4111205175681758.5,0.015883121220313982,2055602587840879.2,2.0
22,2,28,9,6,96,5,5,-2.373464416,9,14,135,2.364896799,7.917661398,6,rank,9.0,0,14.0,9.0,-1.0689133459474732e+16,0.10881465055992885,-5344566729737366.0,9.0
24,2,28,11,4,70,5,2,0.365148372,4,6,136,8.292077624,13.44550912,6,rank,11.0,0,6.0,4.5,1644482072074143.2,0.18478541869228046,822241036037071.8,4.5
25,2,28,11,3,3,5,3,-0.182574186,6,9,137,4.444525144,9.176904378,6,rank,,0,9.0,6.5,-822241036037071.6,0.12612078149315564,-411120518018535.75,6.5
26,2,28,7,8,63,5,3,-0.182574186,6,9,138,2.595850303,5.359823432,6,rank,7.0,0,9.0,6.5,-822241036037071.6,0.07366156299173411,-411120518018535.75,6.5
27,2,28,11,1,36,5,4,-0.730296743,8,12,139,4.142228886,10.89085255,6,rank,,0,12.0,8.0,-3288964139644687.0,0.14967605394533698,-1644482069822343.5,8.0
16,2,28,8,7,64,6,5,-0.645497224,7,12,140,1.233494122,4.129731497,7,rank,8.0,0,12.0,7.0,-2907061057475089.5,0.061761012041726245,-1453530528737544.8,7.0
17,2,28,10,5,42,6,1,0.903696114,1,2,141,5.933434555,7.555498137,7,rank,10.0,0,2.0,2.0,4069885482266565.5,0.11299408006536973,2034942741133282.8,2.0
18,2,28,11,2,65,6,3,0.129099445,5,8,142,3.756459165,7.756209143,7,rank,,0,8.0,5.0,581412212395737.9,0.11599575580808523,290706106197869.0,5.0
22,2,28,9,6,96,6,6,-2.194690563,8,14,143,1.703042726,7.260511569,7,rank,9.0,0,14.0,8.0,-9884007601720344.0,0.10858249326084497,-4942003800860172.0,8.0
24,2,28,11,4,70,6,1,0.903696114,1,2,144,11.5993459,14.77033842,7,rank,11.0,0,2.0,2.0,4069885482266565.5,0.22089354953964258,2034942741133282.8,2.0
25,2,28,11,3,3,6,1,0.903696114,1,2,145,8.617779658,10.97368102,7,rank,,0,2.0,2.0,4069885482266565.5,0.16411373139164714,2034942741133282.8,2.0
26,2,28,7,8,63,6,4,-0.387298335,6,10,146,0.634519826,1.668295512,7,rank,7.0,1,10.0,6.0,-1744236637187213.5,0.024949713868961942,-872118318593606.8,6.0
27,2,28,11,1,36,6,2,0.387298335,4,6,147,7.864411333,12.75205312,7,rank,,0,6.0,4.0,1744236637187213.5,0.19070966402372205,872118318593606.9,4.0
16,2,28,8,7,64,7,5,-0.386527506,5,10,148,0.55642401,1.862904509,8,rank,8.0,1,10.0,5.0,-3481530263980094.5,0.03522386237218716,-1740765131990047.2,5.0
17,2,28,10,5,42,7,1,1.089224295,1,2,149,4.976646406,6.337146269,8,rank,10.0,0,2.0,1.0,9810860258169782.0,0.11982297908092902,4905430129084891.0,1.0
18,2,28,11,2,65,7,4,0.597307028,4,8,150,2.761065323,7.259462514,8,rank,,0,8.0,4.0,5380063417453157.0,0.1372621662859413,2690031708726578.5,4.0
22,2,28,9,6,96,7,7,-1.862230117,7,14,151,1.308748376,7.104847822,8,rank,9.0,0,14.0,7.0,-1.677347772199863e+16,0.134338706384795,-8386738860999315.0,7.0
24,2,28,11,4,70,7,6,-0.878395582,6,12,152,2.259060806,9.630960438,8,rank,11.0,0,12.0,6.0,-7911884031558180.0,0.1821025303987234,-3955942015779090.0,6.0
25,2,28,11,3,3,7,3,0.59735622,3,6,153,4.026648728,8.314087366,8,rank,,0,6.0,3.0,5380506499598896.0,0.15720304917160094,2690253249799448.0,3.0
27,2,28,11,1,36,7,2,0.843265662,2,4,154,7.633826048,12.37816171,8,rank,,0,4.0,2.0,7595461842315069.0,0.23404670630582328,3797730921157534.5,2.0
17,2,28,10,5,42,8,3,0.268672278,3,6,155,2.58570604,5.338877903,9,rank,10.0,0,6.0,3.0,-1613323161447443.0,0.12099063155188,-806661580723721.5,4.0
