season,week,week_idx,celebrity_name,judge_rank,vote_rank,total_rank,score_sum,fan_votes,placement,weeks_participated,data_source,eliminated_week,eliminated_actual,method1_value,method1_pos,judge_share,fan_share,method2_value,method2_pos
1,4,3,89,2.0,2.0,4.0,0.784464541,1.038107733,4,4,rank,4.0,1,4.0,2.0,inf,0.058018282189314326,inf,1.5
1,4,3,55,4.0,4.0,8.0,-1.176696811,4.807165129,3,5,rank,,0,8.0,4.0,-inf,0.26866523976173257,-inf,3.5
1,5,4,56,1.0,1.0,2.0,1.382189481,4.340650501,2,6,rank,,0,2.0,1.0,-1.2449656063174038e+16,0.3366236132512125,-6224828031587019.0,3.0
1,5,4,66,2.0,2.0,4.0,-0.431934213,6.045976049,1,6,rank,,0,4.0,2.0,3890517521430737.0,0.46887403230824404,1945258760715368.8,2.0
1,5,4,55,3.0,3.0,6.0,-0.950255268,2.508043729,3,5,rank,,0,6.0,3.0,8559138541743302.0,0.19450235444054353,4279569270871651.0,1.0
1,6,5,56,2.0,2.0,4.0,-1.0,3.020930334,2,6,rank,,0,4.0,2.0,-inf,0.37368166623057303,-inf,2.0
1,6,5,66,1.0,1.0,2.0,1.0,5.063304476,1,6,rank,,0,2.0,1.0,inf,0.6263183337694269,inf,1.0
2,1,0,103,2.0,2.0,4.0,0.89043824,10.33592466,9,2,rank,2.0,0,4.0,2.5,inf,0.08717394148075168,inf,3.5
2,1,0,105,5.0,6.0,11.0,0.127205463,9.870900223,6,5,rank,5.0,0,11.0,6.0,inf,0.08325189150538377,inf,3.5
2,1,0,34,7.0,8.0,15.0,-0.381616388,7.939903417,5,6,rank,6.0,0,15.0,8.0,-inf,0.06696572378425002,-inf,8.5
2,1,0,73,6.0,7.0,13.0,-0.127205463,9.326712707,4,7,rank,7.0,0,13.0,7.0,-inf,0.0786621743552648,-inf,8.5
2,1,0,100,3.0,4.0,7.0,0.636027314,21.3187973,3,8,rank,,0,7.0,4.0,inf,0.1798042893503644,inf,3.5
2,1,0,49,4.0,5.0,9.0,0.381616388,17.15507186,2,8,rank,,0,9.0,5.0,inf,0.14468712569173564,inf,3.5
2,1,0,35,2.0,2.0,4.0,0.89043824,6.268447105,8,3,rank,3.0,0,4.0,2.5,inf,0.0528685394951841,inf,3.5
2,1,0,76,9.0,10.0,19.0,-1.908081942,9.202699374,7,4,rank,4.0,0,19.0,10.0,-inf,0.07761623687125696,-inf,8.5
2,1,0,27,1.0,1.0,2.0,1.144849165,25.20782432,1,8,rank,,0,2.0,1.0,inf,0.21260462652489467,inf,3.5
2,1,0,67,8.0,9.0,17.0,-1.653671017,1.940397154,10,1,rank,1.0,1,17.0,9.0,-inf,0.01636545094091399,-inf,8.5
2,2,1,103,7.0,8.0,15.0,-1.307574978,2.431105824,9,2,rank,2.0,1,15.0,8.0,5888794183679785.0,0.026732515603084334,2944397091839892.5,2.0
2,2,1,105,5.0,5.0,10.0,-0.055641488,8.194414019,6,5,rank,5.0,0,10.0,5.5,250586984623139.94,0.09010603259574541,125293492311570.02,4.5
2,2,1,34,5.0,5.0,10.0,-0.055641488,7.370089351,5,6,rank,6.0,0,10.0,5.5,250586984623139.94,0.08104173278955264,125293492311570.02,4.5
2,2,1,73,6.0,7.0,13.0,-0.556414884,7.500149254,4,7,rank,7.0,0,13.0,7.0,2505869864245798.0,0.08247187554679493,1252934932122899.0,3.0
2,2,1,100,1.0,1.0,2.0,1.697065396,22.18454682,3,8,rank,,0,2.0,1.0,-7642903085048963.0,0.24394197001150575,-3821451542524481.5,9.0
2,2,1,49,4.0,4.0,8.0,0.194745209,13.89182805,2,8,rank,,0,8.0,4.0,-877054450684589.4,0.15275497530213217,-438527225342294.6,6.0
2,2,1,35,3.0,3.0,6.0,0.445131907,4.651659235,8,3,rank,3.0,0,6.0,3.0,-2004695890495918.2,0.05114979029389584,-1002347945247959.1,7.0
2,2,1,76,8.0,9.0,17.0,-1.557961675,8.112744524,7,4,rank,4.0,0,17.0,9.0,7016435618987514.0,0.08920799227687877,3508217809493757.0,1.0
2,2,1,27,2.0,2.0,4.0,1.196292001,16.60536529,1,8,rank,,0,4.0,2.0,-5387620209929905.0,0.18259311558041008,-2693810104964952.5,8.0
2,3,2,105,2.0,3.0,5.0,0.767365737,7.337908114,6,5,rank,5.0,0,5.0,3.0,-767366014.2868183,0.10551123768038778,-383683007.09065354,6.0
2,3,2,34,4.0,5.0,9.0,-0.177084401,5.680860061,5,6,rank,6.0,0,9.0,5.5,177084464.9892658,0.08168466636719093,88542232.53547524,3.0
2,3,2,73,3.0,4.0,7.0,0.531253202,7.380264226,4,7,rank,7.0,0,7.0,4.0,-531253393.9677971,0.1061202730799893,-265626696.9308384,5.0
2,3,2,100,1.0,1.0,2.0,1.003478271,16.50961516,3,8,rank,,0,2.0,1.5,-1003478633.6058391,0.23739053448148606,-501739316.6842243,7.0
2,3,2,49,5.0,7.0,12.0,-0.885422004,9.275705861,2,8,rank,,0,12.0,7.0,885422323.9463286,0.13337468806485753,442711162.03985167,2.0
2,3,2,35,4.0,5.0,9.0,-0.177084401,1.539756657,8,3,rank,3.0,1,9.0,5.5,177084464.9892658,0.0221400470110447,88542232.50570293,4.0
2,3,2,76,6.0,8.0,14.0,-2.065984676,6.695040608,7,4,rank,4.0,0,14.0,8.0,2065985422.5414333,0.09626749339131013,1032992711.3188504,1.0
2,3,2,27,1.0,1.0,2.0,1.003478271,15.12707278,1,8,rank,,0,2.0,1.5,-1003478633.6058391,0.2175110599237335,-501739316.69416404,8.0
2,4,3,105,3.0,4.0,7.0,0.386963736,5.530162465,6,5,rank,5.0,0,7.0,4.0,386963832.867316,0.1032066376388152,193481916.48526132,4.0
2,4,3,34,5.0,6.0,11.0,-0.250388299,4.741486408,5,6,rank,6.0,0,11.0,6.0,-250388361.6788513,0.0884879734866566,-125194180.79518166,6.0
2,4,3,73,2.0,2.0,4.0,0.546301744,6.984829195,4,7,rank,7.0,0,4.0,2.5,546301880.7538576,0.1303543503938238,273150940.442106,3.0
2,4,3,100,2.0,2.0,4.0,0.546301744,12.86760977,3,8,rank,,0,4.0,2.5,546301880.7538576,0.24014172227579722,273150940.4969997,2.0
2,4,3,49,4.0,5.0,9.0,0.227625727,8.792593178,2,8,rank,,0,9.0,5.0,227625783.9807741,0.16409173939655036,113812892.07243292,5.0
2,4,3,76,6.0,7.0,13.0,-2.321782413,2.796571007,7,4,rank,4.0,1,13.0,7.0,-2321782994.2038956,0.05219099662575022,-1160891497.0758524,7.0
2,4,3,27,1.0,1.0,2.0,0.864977762,11.87014718,1,8,rank,,0,2.0,1.0,864977978.5269414,0.22152658018260665,432488989.374234,1.0
2,5,4,105,6.0,6.0,12.0,-1.185187437,2.499673832,6,5,rank,5.0,1,12.0,6.0,-1185187075.7727857,0.06290060693523349,-592593537.8549426,6.0
2,5,4,34,4.0,4.0,8.0,-0.436648003,4.211036417,5,6,rank,6.0,0,8.0,4.0,-436647869.9162895,0.10596452347694577,-218323934.90516248,4.0
2,5,4,73,3.0,3.0,6.0,-0.062378286,5.497303078,4,7,rank,7.0,0,6.0,3.0,-62378266.98804139,0.13833152777235105,-31189133.424854934,3.0
2,5,4,100,1.0,1.0,2.0,1.808970299,11.43482987,3,8,rank,,0,2.0,1.0,1808969747.653199,0.28774063632480235,904484873.9704698,1.0
2,5,4,49,5.0,5.0,10.0,-0.81091772,7.299453728,2,8,rank,,0,10.0,5.0,-810917472.8445375,0.18367999212901018,-405458736.3304288,5.0
2,5,4,27,2.0,2.0,4.0,0.686161148,8.797762095,1,8,rank,,0,4.0,2.0,686160938.8684548,0.2213827133616572,343080469.5449188,2.0
2,6,5,34,3.0,4.0,7.0,-1.147638084,2.121869329,5,6,rank,6.0,1,7.0,4.5,1147638243.8708663,0.06610492762891503,573819121.9684856,2.0
2,6,5,73,2.0,3.0,5.0,0.127515343,4.915769463,4,7,rank,7.0,0,5.0,3.0,-127515360.76342964,0.15314636964246608,-63757680.305141635,3.0
2,6,5,100,1.0,1.0,2.0,1.083880412,10.04283016,3,8,rank,,0,2.0,1.5,-1083880562.9891515,0.3128753273554128,-541940281.3381381,4.0
2,6,5,49,3.0,4.0,7.0,-1.147638084,6.743860366,2,8,rank,,0,7.0,4.5,1147638243.8708663,0.21009889503612236,573819122.0404826,1.0
2,6,5,27,1.0,1.0,2.0,1.083880412,8.274175364,1,8,rank,,0,2.0,1.5,-1083880562.9891515,0.2577744803370838,-541940281.3656884,5.0
2,7,6,73,2.0,3.0,5.0,0.34299717,2.142171187,4,7,rank,7.0,1,5.0,3.0,342997141.62028927,0.08419299734073804,171498570.85224113,3.0
2,7,6,100,1.0,1.0,2.0,0.685994341,9.345805495,3,8,rank,,0,2.0,1.5,685994284.2405784,0.3673148915281298,342997142.3039467,1.0
2,7,6,49,3.0,4.0,7.0,-1.714985851,6.52613585,2,8,rank,,0,7.0,4.0,-1714985709.1014462,0.25649441165055925,-857492854.4224758,4.0
2,7,6,27,1.0,1.0,2.0,0.685994341,7.429466562,1,8,rank,,0,2.0,1.5,685994284.2405784,0.2919976994805729,342997142.26628804,2.0
2,8,7,100,2.0,2.0,4.0,0.539171766,6.609553128,3,8,rank,,0,4.0,2.0,4856427528892585.0,0.3718603902254701,2428213764446292.5,2.0
2,8,7,49,3.0,3.0,6.0,-1.40182718,5.107080631,2,8,rank,,0,6.0,3.0,-1.2626536730971666e+16,0.28732971194548207,-6313268365485833.0,3.0
2,8,7,27,1.0,1.0,2.0,0.862655414,6.057652779,1,8,rank,,0,2.0,1.0,7770109202079082.0,0.3408098978290478,3885054601039541.0,1.0
28,1,0,64,7.0,9.0,16.0,-0.498493,9.572020503,7,8,rank,8.0,0,16.0,9.5,498492958.75450766,0.03888594691136776,249246479.3966968,3.0
28,1,0,42,1.0,1.0,2.0,1.61277147,26.35587114,5,10,rank,10.0,0,2.0,1.0,-1612771336.5587013,0.10706966263096498,-806385668.2258158,12.0
28,1,0,65,6.0,7.0,13.0,-0.146615588,21.93349988,2,11,rank,,0,13.0,7.5,146615575.86897284,0.08910395789967847,73307787.9790384,6.0
28,1,0,90,7.0,9.0,16.0,-0.498493,8.787803652,11,2,rank,2.0,0,16.0,9.5,498492958.75450766,0.03570009760970481,249246479.39510387,4.0
28,1,0,69,9.0,12.0,21.0,-1.906002646,10.0195395,10,4,rank,4.0,0,21.0,12.0,1906002488.2966468,0.04070397477222708,953001244.1686754,1.0
28,1,0,93,4.0,4.0,8.0,0.557139235,8.703973062,9,6,rank,6.0,0,8.0,4.0,-557139188.9020967,0.035359539221716925,-278569594.4333686,9.0
28,1,0,96,8.0,11.0,19.0,-1.554125235,18.15575945,6,9,rank,9.0,0,19.0,11.0,1554125106.4111123,0.07375703989424098,777062553.2424346,2.0
28,1,0,75,5.0,5.0,10.0,0.205261823,7.390481203,12,2,rank,2.0,0,10.0,5.5,-205261806.016562,0.030023531564652286,-102630902.99326923,8.0
28,1,0,70,3.0,3.0,6.0,0.909016647,43.85044464,4,11,rank,11.0,0,6.0,3.0,-909016571.7876315,0.17814066129261727,-454508285.80474544,10.0
28,1,0,3,6.0,7.0,13.0,-0.146615588,23.62812279,3,11,rank,,0,13.0,7.5,146615575.86897284,0.09598829506677863,73307787.98248057,5.0
28,1,0,63,5.0,5.0,10.0,0.205261823,14.96785138,8,7,rank,7.0,0,10.0,5.5,-205261806.016562,0.06080629204226044,-102630902.97787786,7.0
28,1,0,36,2.0,2.0,4.0,1.260894058,52.79092481,1,11,rank,,0,4.0,2.0,-1260893953.6731665,0.2144610010937904,-630446976.7293527,11.0
28,2,1,64,2.0,2.0,4.0,0.883541262,13.14581262,7,8,rank,8.0,0,4.0,2.0,-883541188.8954743,0.06500290588114059,-441770594.4152357,11.0
28,2,1,42,3.0,3.0,6.0,0.56225353,16.98623098,5,10,rank,10.0,0,6.0,4.0,-562253483.4789382,0.08399285807469956,-281126741.6974727,10.0
28,2,1,65,3.0,3.0,6.0,0.56225353,23.73957289,2,11,rank,,0,6.0,4.0,-562253483.4789382,0.11738652199251771,-281126741.6807758,9.0
28,2,1,90,7.0,10.0,17.0,-1.044185128,3.33250872,11,2,rank,2.0,1,17.0,10.5,1044185041.6037424,0.016478460247080585,522092520.8101104,2.0
28,2,1,69,8.0,12.0,20.0,-2.008048322,9.749566031,10,4,rank,4.0,0,20.0,12.0,2008048155.8533506,0.04820927708423844,1004024077.9507799,1.0
28,2,1,93,5.0,8.0,13.0,-0.080321933,5.918341817,9,6,rank,6.0,0,13.0,8.0,80321926.35413401,0.029264787748273076,40160963.1916994,5.0
28,2,1,96,6.0,9.0,15.0,-0.722897396,16.72308435,6,9,rank,9.0,0,15.0,9.0,722897336.1872063,0.08269166079482922,361448668.13494897,4.0
28,2,1,75,7.0,10.0,17.0,-1.044185128,2.718041623,12,2,rank,2.0,1,17.0,10.5,1044185041.6037424,0.013440067107916195,522092520.8085912,3.0
28,2,1,70,4.0,6.0,10.0,0.240965799,27.09610443,4,11,rank,11.0,0,10.0,6.5,-240965779.06240204,0.13398376935094689,-120482889.46420914,6.0
28,2,1,3,3.0,3.0,6.0,0.56225353,26.63058353,3,11,rank,,0,6.0,4.0,-562253483.4789382,0.13168187960680386,-281126741.67362815,8.0
28,2,1,63,4.0,6.0,10.0,0.240965799,10.8869276,8,7,rank,7.0,0,10.0,6.5,-240965779.06240204,0.05383325858767579,-120482889.5042844,7.0
28,2,1,36,1.0,1.0,2.0,1.847404456,45.30745543,1,11,rank,,0,2.0,1.0,-1847404303.1450827,0.22403455352387808,-923702151.4605241,12.0
28,3,2,64,1.0,1.0,2.0,1.064742266,11.28206809,7,8,rank,8.0,0,2.0,1.5,532371088.95141864,0.08099994211946496,266185544.5162093,2.0
28,3,2,42,2.0,3.0,5.0,0.811232203,12.84842212,5,10,rank,10.0,0,5.0,3.5,405616067.939176,0.09224562728609212,202808034.01571083,3.0
28,3,2,65,4.0,6.0,10.0,0.050702013,14.67742099,2,11,rank,,0,10.0,6.5,25351004.40244849,0.10537697886319174,12675502.253912734,7.0
28,3,2,69,7.0,10.0,17.0,-1.977378494,7.071515286,10,4,rank,4.0,0,17.0,10.0,-988689165.1954917,0.0507701535120687,-494344582.57236075,10.0
28,3,2,93,2.0,3.0,5.0,0.811232203,5.940374362,9,6,rank,6.0,0,5.0,3.5,405616067.939176,0.04264909373454717,202808033.99091256,4.0
28,3,2,96,6.0,9.0,15.0,-1.216848304,12.17604132,6,9,rank,9.0,0,15.0,9.0,-608424101.6587641,0.08741824941106287,-304212050.78567296,9.0
28,3,2,70,4.0,6.0,10.0,0.050702013,20.68467171,4,11,rank,11.0,0,10.0,6.5,25351004.40244849,0.14850621339142567,12675502.275477352,6.0
28,3,2,3,1.0,1.0,2.0,1.064742266,24.08294613,3,11,rank,,0,2.0,1.5,532371088.95141864,0.17290422527455182,266185544.56216145,1.0
28,3,2,63,5.0,8.0,13.0,-0.96333824,6.709201326,8,7,rank,7.0,0,13.0,8.0,-481669080.1465216,0.04816890970154015,-240834540.04917637,8.0
28,3,2,36,3.0,5.0,8.0,0.304212076,23.81222943,1,11,rank,,0,8.0,5.0,152106025.41469103,0.1709606067060547,76053012.79282582,5.0
28,4,3,64,4.0,8.0,12.0,-0.505246733,5.800197576,7,8,rank,8.0,0,12.0,8.0,-4550857996937921.0,0.04431350348517365,-2275428998468960.5,8.0
28,4,3,42,3.0,6.0,9.0,-0.045931521,8.496793469,5,10,rank,10.0,0,9.0,6.5,-413714361720320.25,0.06491549332031446,-206857180860160.1,6.5
28,4,3,65,1.0,1.0,2.0,0.872698903,18.44866018,2,11,rank,,0,2.0,2.5,7860572908714881.0,0.14094774470544938,3930286454357440.5,2.5
28,4,3,69,6.0,10.0,16.0,-1.88319237,3.264401343,10,4,rank,4.0,1,16.0,10.0,-1.6962288911597922e+16,0.024940022886219698,-8481144455798961.0,10.0
28,4,3,93,2.0,5.0,7.0,0.643041297,4.416108751,9,6,rank,6.0,0,7.0,5.0,5792001091106081.0,0.03373906629285905,2896000545553040.5,5.0
28,4,3,96,5.0,9.0,14.0,-1.653534764,10.74167741,6,9,rank,9.0,0,14.0,9.0,-1.4893717093989122e+16,0.08206640430909451,-7446858546994561.0,9.0
28,4,3,70,1.0,1.0,2.0,0.872698903,26.18180378,4,11,rank,11.0,0,2.0,2.5,7860572908714881.0,0.20002895381596264,3930286454357440.5,2.5
28,4,3,3,1.0,1.0,2.0,0.872698903,19.12225974,3,11,rank,,0,2.0,2.5,7860572908714881.0,0.14609404464757247,3930286454357440.5,2.5
28,4,3,63,3.0,6.0,9.0,-0.045931521,7.173160646,8,7,rank,7.0,0,9.0,6.5,-413714361720320.25,0.05480293992078856,-206857180860160.1,6.5
28,4,3,36,1.0,1.0,2.0,0.872698903,27.24500717,1,11,rank,,0,2.0,2.5,7860572908714881.0,0.2081518266165656,3930286454357440.5,2.5
28,5,4,64,4.0,5.0,9.0,0.045834925,5.161322424,7,8,rank,8.0,0,9.0,5.5,45834928.840649985,0.05849455823908762,22917464.449572273,5.0
28,5,4,42,2.0,2.0,4.0,0.870863572,9.143105638,5,10,rank,10.0,0,4.0,2.5,870863644.9723494,0.10362110352595198,435431822.53798527,3.0
28,5,4,65,2.0,2.0,4.0,0.870863572,13.55990342,2,11,rank,,0,4.0,2.5,870863644.9723494,0.15367777773954341,435431822.5630136,2.0
28,5,4,93,4.0,5.0,9.0,0.045834925,3.198545805,9,6,rank,6.0,0,9.0,5.5,45834928.840649985,0.03624991978818526,22917464.438449953,6.0
28,5,4,96,7.0,9.0,16.0,-2.016736693,8.178404367,6,9,rank,9.0,0,16.0,9.0,-2016736861.9885986,0.09268790268241729,-1008368430.9479554,9.0
28,5,4,70,5.0,7.0,12.0,-0.366679399,12.16070373,4,11,rank,11.0,0,12.0,7.0,-366679429.7251998,0.13782029761502362,-183339714.79368976,7.0
28,5,4,3,1.0,1.0,2.0,1.283377896,15.64480662,3,11,rank,,0,2.0,1.0,1283378003.5381992,0.17730650728532235,641689001.8577528,1.0
28,5,4,63,6.0,8.0,14.0,-1.191708046,4.682512604,8,7,rank,7.0,0,14.0,8.0,-1191708145.8568993,0.0530680867651875,-595854072.9019156,8.0
28,5,4,36,3.0,4.0,7.0,0.458349249,16.50663698,1,11,rank,,0,7.0,4.0,458349287.40649974,0.18707384635928093,229174643.7967868,4.0
28,6,5,64,1.0,1.0,2.0,0.912870929,6.115005609,7,8,rank,8.0,0,2.0,2.0,4111205175681758.5,0.08404024434328808,2055602587840879.2,2.0
28,6,5,42,1.0,1.0,2.0,0.912870929,8.822773695,5,10,rank,10.0,0,2.0,2.0,4111205175681758.5,0.12125386377766358,2055602587840879.2,2.0
28,6,5,65,2.0,4.0,6.0,0.365148372,9.878594246,2,11,rank,,0,6.0,4.5,1644482072074143.2,0.13576430297629835,822241036037071.8,4.5
28,6,5,93,1.0,1.0,2.0,0.912870929,1.155700773,9,6,rank,6.0,1,2.0,2.0,4111205175681758.5,0.015883121220313982,2055602587840879.2,2.0
28,6,5,96,5.0,9.0,14.0,-2.373464416,7.917661398,6,9,rank,9.0,0,14.0,9.0,-1.0689133459474732e+16,0.10881465055992885,-5344566729737366.0,9.0
28,6,5,70,2.0,4.0,6.0,0.365148372,13.44550912,4,11,rank,11.0,0,6.0,4.5,1644482072074143.2,0.18478541869228046,822241036037071.8,4.5
28,6,5,3,3.0,6.0,9.0,-0.182574186,9.176904378,3,11,rank,,0,9.0,6.5,-822241036037071.6,0.12612078149315564,-411120518018535.75,6.5
28,6,5,63,3.0,6.0,9.0,-0.182574186,5.359823432,8,7,rank,7.0,0,9.0,6.5,-822241036037071.6,0.07366156299173411,-411120518018535.75,6.5
28,6,5,36,4.0,8.0,12.0,-0.730296743,10.89085255,1,11,rank,,0,12.0,8.0,-3288964139644687.0,0.14967605394533698,-1644482069822343.5,8.0
28,7,6,64,5.0,7.0,12.0,-0.645497224,4.129731497,7,8,rank,8.0,0,12.0,7.0,-2907061057475089.5,0.061761012041726245,-1453530528737544.8,7.0
28,7,6,42,1.0,1.0,2.0,0.903696114,7.555498137,5,10,rank,10.0,0,2.0,2.0,4069885482266565.5,0.11299408006536973,2034942741133282.8,2.0
28,7,6,65,3.0,5.0,8.0,0.129099445,7.756209143,2,11,rank,,0,8.0,5.0,581412212395737.9,0.11599575580808523,290706106197869.0,5.0
28,7,6,96,6.0,8.0,14.0,-2.194690563,7.260511569,6,9,rank,9.0,0,14.0,8.0,-9884007601720344.0,0.10858249326084497,-4942003800860172.0,8.0
28,7,6,70,1.0,1.0,2.0,0.903696114,14.77033842,4,11,rank,11.0,0,2.0,2.0,4069885482266565.5,0.22089354953964258,2034942741133282.8,2.0
28,7,6,3,1.0,1.0,2.0,0.903696114,10.97368102,3,11,rank,,0,2.0,2.0,4069885482266565.5,0.16411373139164714,2034942741133282.8,2.0
28,7,6,63,4.0,6.0,10.0,-0.387298335,1.668295512,8,7,rank,7.0,1,10.0,6.0,-1744236637187213.5,0.024949713868961942,-872118318593606.8,6.0
28,7,6,36,2.0,4.0,6.0,0.387298335,12.75205312,1,11,rank,,0,6.0,4.0,1744236637187213.5,0.19070966402372205,872118318593606.9,4.0
28,8,7,64,5.0,5.0,10.0,-0.386527506,1.862904509,7,8,rank,8.0,1,10.0,5.0,-3481530263980094.5,0.03522386237218716,-1740765131990047.2,5.0
28,8,7,42,1.0,1.0,2.0,1.089224295,6.337146269,5,10,rank,10.0,0,2.0,1.0,9810860258169782.0,0.11982297908092902,4905430129084891.0,1.0
28,8,7,65,4.0,4.0,8.0,0.597307028,7.259462514,2,11,rank,,0,8.0,4.0,5380063417453157.0,0.1372621662859413,2690031708726578.5,4.0
28,8,7,96,7.0,7.0,14.0,-1.862230117,7.104847822,6,9,rank,9.0,0,14.0,7.0,-1.677347772199863e+16,0.134338706384795,-8386738860999315.0,7.0
28,8,7,70,6.0,6.0,12.0,-0.878395582,9.630960438,4,11,rank,11.0,0,12.0,6.0,-7911884031558180.0,0.1821025303987234,-3955942015779090.0,6.0
28,8,7,3,3.0,3.0,6.0,0.59735622,8.314087366,3,11,rank,,0,6.0,3.0,5380506499598896.0,0.15720304917160094,2690253249799448.0,3.0
28,8,7,36,2.0,2.0,4.0,0.843265662,12.37816171,1,11,rank,,0,4.0,2.0,7595461842315069.0,0.23404670630582328,3797730921157534.5,2.0
28,9,8,42,3.0,3.0,6.0,0.268672278,5.338877903,5,10,rank,10.0,0,6.0,3.0,-1613323161447443.0,0.12099063155188,-806661580723721.5,4.0
28,9,8,65,2.0,2.0,4.0,0.483610101,7.649605319,2,11,rank,,0,4.0,2.0,-2903981694208277.5,0.17335676063098582,-1451990847104138.8,5.0
28,9,8,96,6.0,6.0,12.0,-2.09564377,3.335476088,6,9,rank,9.0,1,12.0,6.0,1.2583920668897736e+16,0.07558917168466178,6291960334448868.0,1.0
28,9,8,70,5.0,5.0,10.0,0.053734456,9.437649161,4,11,rank,11.0,0,10.0,5.0,-322664634691408.44,0.21387773856240974,-161332317345704.12,2.0
28,9,8,3,1.0,1.0,2.0,1.128423568,8.558835909,3,11,rank,,0,2.0,1.0,-6775957280481181.0,0.19396191124673096,-3387978640240590.5,6.0
28,9,8,36,4.0,4.0,8.0,0.161203367,9.805929989,1,11,rank,,0,8.0,4.0,-967993898069425.6,0.22222378632333178,-483996949034712.7,3.0
28,10,9,42,4.0,5.0,9.0,-1.4509525,2.634584306,5,10,rank,10.0,1,9.0,5.0,1.306901827666458e+16,0.07084434610236448,6534509138332290.0,1.0
28,10,9,65,2.0,2.0,4.0,0.72547625,7.019955729,2,11,rank,,0,4.0,2.0,-6534509138332290.0,0.18876760639465845,-3267254569166145.0,4.0
28,10,9,70,3.0,3.0,6.0,-0.362738125,9.698650335,4,11,rank,11.0,0,6.0,3.5,3267254569166145.0,0.26079808472773663,1633627284583072.8,2.5
28,10,9,3,1.0,1.0,2.0,1.4509525,8.214279636,3,11,rank,,0,2.0,1.0,-1.306901827666458e+16,0.22088314584926724,-6534509138332290.0,5.0
28,10,9,36,3.0,3.0,6.0,-0.362738125,9.620879537,1,11,rank,,0,6.0,3.5,3267254569166145.0,0.2587068169259732,1633627284583072.8,2.5
28,11,10,65,2.0,2.0,4.0,0.447213595,6.179004098,2,11,rank,,0,4.0,2.0,inf,0.20460726272163351,inf,1.5
28,11,10,70,4.0,4.0,8.0,-1.341640786,7.914120282,4,11,rank,11.0,1,8.0,4.0,-inf,0.26206269846526037,-inf,3.5
