contestant_id,season_idx,season,weeks_participated,placement,celebrity_name,week_idx,judge_rank,score_sum,vote_rank,total_rank,obs_id,estimated_strength,fan_votes,week,data_source,eliminated_week,eliminated_actual,method1_value,method1_pos,judge_share,fan_share,method2_value,method2_pos,n_week,dist_method1,dist_method2
20,2,28,4,10,69,3,6,-1.88319237,10,16,115,0.765705682,3.264401343,4,rank,4.0,1,16.0,10.0,-1.6962288911597922e+16,0.024940022886219698,-8481144455798961.0,10.0,10,0.0,0.0
21,2,28,6,9,93,5,1,0.912870929,1,2,134,0.907587399,1.155700773,6,rank,6.0,1,2.0,2.0,4111205175681758.5,0.015883121220313982,2055602587840879.2,2.0,9,7.0,7.0
26,2,28,7,8,63,6,4,-0.387298335,6,10,146,0.634519826,1.668295512,7,rank,7.0,1,10.0,6.0,-1744236637187213.5,0.024949713868961942,-872118318593606.8,6.0,8,2.0,2.0
16,2,28,8,7,64,7,5,-0.386527506,5,10,148,0.55642401,1.862904509,8,rank,8.0,1,10.0,5.0,-3481530263980094.5,0.03522386237218716,-1740765131990047.2,5.0,7,2.0,2.0
22,2,28,9,6,96,8,6,-2.09564377,6,12,157,0.782377142,3.335476088,9,rank,9.0,1,12.0,6.0,1.2583920668897736e+16,0.07558917168466178,6291960334448868.0,1.0,6,0.0,5.0
17,2,28,10,5,42,9,4,-1.4509525,5,9,161,1.002038285,2.634584306,10,rank,10.0,1,9.0,5.0,1.306901827666458e+16,0.07084434610236448,6534509138332290.0,1.0,5,0.0,4.0
24,2,28,11,4,70,10,4,-1.341640786,4,8,167,3.010057981,7.914120282,11,rank,11.0,1,8.0,4.0,-inf,0.26206269846526037,-inf,3.5,4,0.0,0.5
33,3,29,2,15,17,1,7,-1.544374685,14,21,190,0.66505963,3.610432342,2,rank,2.0,1,21.0,14.5,514791533.36095953,0.010354813709480026,257395766.68565717,2.0,15,0.5,13.0
40,3,29,3,14,14,2,9,-2.442137485,14,23,211,0.404510537,3.560757161,3,rank,3.0,1,23.0,14.0,-1.099840946743352e+16,0.014216400891643456,-5499204733716760.0,14.0,14,0.0,0.0
28,3,29,4,13,8,3,5,-1.08012345,10,15,214,0.832793003,2.788186367,4,rank,4.0,1,15.0,11.5,540061560.3973503,0.013282004836565647,270030780.2053162,4.0,13,1.5,9.0
29,3,29,5,12,50,4,6,-1.695430299,11,17,227,0.670927611,2.860337916,5,rank,5.0,1,17.0,11.5,-1695431023.4039836,0.017715410535962876,-847715511.6931341,12.0,12,0.5,0.0
34,3,29,6,11,110,5,6,-1.185556472,10,16,242,0.687116472,2.929355218,6,rank,6.0,1,16.0,10.0,-8542834696841408.0,0.02288006934810064,-4271417348420704.0,10.0,11,1.0,1.0
42,3,29,7,9,46,6,4,-0.5,8,12,259,1.078959059,2.836826343,7,rank,7.0,1,12.0,8.0,-inf,0.0258093671047472,-inf,6.0,10,2.0,4.0
30,3,29,8,8,20,7,4,-0.40449442,5,9,260,1.012510105,2.662117079,8,rank,8.0,1,9.0,5.5,2081921050497651.5,0.03303803112369415,1040960525248825.8,3.5,8,2.5,4.5
37,3,29,9,7,0,8,4,-1.107852792,6,10,272,1.14383077,3.007388679,9,rank,9.0,1,10.0,6.0,-inf,0.04307717588429202,-inf,6.0,7,1.0,1.0
35,3,29,10,6,57,9,3,-0.654653671,4,7,277,1.900010005,3.923076048,10,rank,10.0,1,7.0,4.5,654653616.8337169,0.06529483715139554,327326808.44950587,3.0,6,1.5,3.0
32,3,29,11,4,61,10,1,0.577350269,1,2,281,7.848889665,9.99459431,11,rank,11.0,1,2.0,2.0,-577350157.13109,0.21431729300666383,-288675078.45838636,4.0,4,2.0,0.0
43,4,30,2,15,74,1,11,-2.659289981,15,26,300,0.332029397,4.739177194,2,rank,2.0,1,26.0,15.0,1.1976377367501694e+16,0.010286520744471823,5988188683750847.0,1.0,15,0.0,14.0
55,4,30,3,14,21,2,4,-0.149906338,7,11,326,1.393835691,3.664707917,3,rank,3.0,1,11.0,8.0,149906358.88259047,0.010433072322601664,74953179.44651178,8.0,14,6.0,6.0
44,4,30,4,13,12,3,10,-2.075715563,13,23,329,0.623609931,6.990085471,4,rank,4.0,1,23.0,13.0,-1037858041.3034089,0.02638397430411888,-518929020.63851243,13.0,13,0.0,0.0
51,4,30,5,11,80,4,3,0.310630372,3,6,347,1.454238887,3.002663002,5,rank,5.0,1,6.0,5.0,-310630346.2983299,0.013898074409997454,-155315173.1422159,9.0,11,6.0,2.0
56,4,30,6,10,68,5,5,-1.761409692,10,15,361,1.13950203,3.815046491,6,rank,6.0,1,15.0,10.0,880704773.1301603,0.019147332994220674,440352386.5746538,1.0,10,0.0,9.0
47,4,30,7,9,82,6,6,-1.453444185,9,15,364,1.09093276,4.650928485,7,rank,7.0,1,15.0,9.0,-6545730689969814.0,0.029999681918821314,-3272865344984907.0,9.0,9,0.0,0.0
52,4,30,8,7,52,7,6,-1.802775638,8,14,376,1.546807384,6.5944399,8,rank,8.0,1,14.0,8.0,1802775889.134314,0.047774255113457925,901387944.5910442,1.0,8,0.0,7.0
48,4,30,9,5,102,8,3,-0.101015254,3,6,381,3.128033409,6.458657012,9,rank,9.0,1,6.0,3.5,-inf,0.058182374932421156,-inf,4.5,6,2.5,1.5
57,4,30,10,4,5,9,2,-0.301511345,3,5,389,11.18899006,18.14281953,10,rank,10.0,1,5.0,3.0,-inf,0.20425219334579756,-inf,3.5,4,1.0,0.5
58,5,31,1,16,44,0,10,-1.352833107,15,25,390,0.622518016,6.977846122,1,rank,1.0,1,25.0,15.0,676416572.6303672,0.007964838484789023,338208286.319166,2.0,16,1.0,14.0
70,5,31,2,15,104,1,9,-1.395227897,14,23,417,0.637094035,5.608103962,2,rank,2.0,1,23.0,14.0,-1395229020.77054,0.008200106818029589,-697614510.3811699,14.0,15,1.0,1.0
59,5,31,3,14,19,2,10,-1.450705892,13,23,421,0.46989376,5.267070617,3,rank,3.0,1,23.0,13.0,1450705771.9680662,0.010464426067182085,725352885.9892653,2.0,14,1.0,12.0
65,5,31,4,13,94,3,7,-1.904470539,13,20,440,0.851590976,4.623061548,4,rank,4.0,1,20.0,13.0,952235296.4310534,0.011498443490499896,476117648.2212759,1.0,13,0.0,12.0
61,5,31,5,11,60,4,8,-0.729870043,10,18,449,0.94906569,6.560725147,5,rank,5.0,1,18.0,10.0,-729869982.6102868,0.023032336416365366,-364934991.29362726,10.0,12,2.0,2.0
66,5,31,6,10,51,5,5,-0.831028119,9,14,463,1.598949951,5.353275591,6,rank,6.0,1,14.0,9.0,415514117.3828758,0.023196775616695413,207757058.70303628,2.0,10,1.0,8.0
67,5,31,7,9,59,6,6,-0.737209781,8,14,473,1.24880712,5.323987708,7,rank,7.0,1,14.0,8.0,737209883.6964581,0.028956627079788983,368604941.8627074,2.0,9,1.0,7.0
71,5,31,8,7,111,7,6,-2.062933882,8,14,484,2.248991319,9.58803161,8,rank,8.0,1,14.0,8.0,2062933940.3437562,0.06208120934307218,1031466970.2029186,1.0,8,0.0,7.0
62,5,31,9,6,107,8,4,-1.532848349,6,10,487,3.366907094,8.852356961,9,rank,9.0,1,10.0,6.0,-inf,0.07791417416661914,-inf,4.5,6,0.0,1.5
72,5,31,10,4,98,9,2,-1.0,3,5,495,9.446799128,15.31787685,10,rank,10.0,1,5.0,3.5,-inf,0.20052085783567625,-inf,3.5,4,0.5,0.5
80,6,32,1,14,78,0,9,-1.33320271,12,21,503,1.264282113,11.12900943,1,rank,1.0,1,21.0,13.0,-6004211227965335.0,0.009830528221645886,-3002105613982667.5,13.0,14,1.0,1.0
74,6,32,2,13,43,1,6,-0.656217959,9,15,511,1.555684236,6.632284215,2,rank,2.0,1,15.0,9.0,-656217831.8494786,0.007463303096551076,-328108915.92100763,9.0,13,4.0,4.0
81,6,32,3,12,109,2,9,-1.483325827,12,21,529,0.811210221,7.140784569,3,rank,3.0,1,21.0,12.0,1483325045.540488,0.01065642248010314,741662522.7755722,1.0,12,0.0,11.0
79,6,32,4,11,1,3,5,-0.293235846,6,11,540,1.726141657,5.779112719,4,rank,4.0,1,11.0,7.0,293235886.8490006,0.011124043371513266,146617943.4300623,6.0,11,4.0,5.0
75,6,32,5,10,83,4,4,-0.666666667,8,12,547,2.370187331,6.231756248,5,rank,5.0,1,12.0,8.0,666666463.8100779,0.014729206088207207,333333231.9124036,3.0,10,2.0,7.0
85,6,32,6,9,79,5,6,-0.632556749,6,12,563,1.272829991,5.426403421,6,rank,6.0,1,12.0,6.0,-inf,0.016235697286762066,-inf,7.5,9,3.0,1.5
83,6,32,7,8,72,6,2,0.680413817,3,5,570,2.715747759,4.403553961,7,rank,7.0,1,5.0,3.0,-680413760.7023131,0.015804545739357297,-340206880.34325427,6.0,8,5.0,2.0
76,6,32,8,7,11,7,5,-0.260377822,5,10,574,1.862882931,6.236921745,8,rank,8.0,1,10.0,5.0,-260377800.45624417,0.02734907979311893,-130188900.21444754,5.0,7,2.0,2.0
84,6,32,9,6,37,8,6,-1.486248839,6,12,584,2.895542094,12.34444477,9,rank,9.0,1,12.0,6.0,-4.283820619200149e+16,0.06427161840795695,-2.1419103096000744e+16,6.0,6,0.0,0.0
86,6,32,11,4,16,10,2,0.303239217,3,5,595,17.34815546,28.12983585,11,rank,11.0,1,5.0,3.5,-303239259.2425127,0.184314413037087,-151619629.52909914,3.0,5,1.5,2.0
88,7,33,2,12,106,1,5,-0.318606445,9,14,610,2.58931036,8.668996762,2,rank,2.0,1,14.0,9.5,-159303227.00540295,0.008977325414044507,-79651613.49821281,10.0,13,3.5,3.0
89,7,33,3,10,31,2,8,-1.427795757,10,18,623,2.090864334,14.4537795,3,rank,3.0,1,18.0,10.0,1427795955.8980217,0.0225380077741185,713897977.9602798,2.0,11,1.0,9.0
97,7,33,4,9,13,3,3,-0.324442842,4,7,639,4.495309945,9.281763109,4,rank,4.0,1,7.0,6.0,-324442959.2370866,0.018195587807775866,-162221479.6094455,8.0,9,3.0,1.0
98,7,33,5,8,88,4,4,-1.178511302,6,10,648,4.198977324,11.04005698,5,rank,5.0,1,10.0,7.0,1178511466.171637,0.028708485307509045,589255733.1001728,3.0,8,1.0,5.0
99,7,33,6,7,48,5,2,0.578147164,3,5,656,5.93237078,9.619271435,6,rank,6.0,1,5.0,3.5,-578147051.9766816,0.03344850632654912,-289073525.97161657,5.0,7,3.5,2.0
92,7,33,7,6,28,6,6,-1.431083506,6,12,659,3.084977008,13.1520548,7,rank,7.0,1,12.0,6.0,1431083546.4738069,0.06000565667939084,715541773.2669063,1.0,6,0.0,5.0
94,7,33,9,4,101,8,2,0.544331054,2,4,671,23.51072876,38.12237804,9,rank,9.0,1,4.0,2.5,inf,0.24720343008664994,inf,2.0,5,2.5,3.0
104,8,34,2,13,10,1,5,-0.83223972,11,16,691,5.069801703,16.97366806,2,rank,2.0,1,16.0,11.5,416119776.4841086,0.012438045133291043,208059888.24827334,4.0,14,2.5,10.0
109,8,34,3,12,71,2,6,-1.692251104,11,17,708,3.23830475,13.80573061,3,rank,3.0,1,17.0,11.5,846125716.8383074,0.014839285996575578,423062858.42657334,2.0,12,0.5,10.0
108,8,34,4,11,39,3,3,0.242250792,5,8,719,3.021847425,6.239407803,4,rank,4.0,1,8.0,6.0,242250798.85132048,0.00877651001156886,121125399.4300485,7.0,11,5.0,4.0
110,8,34,6,10,95,5,5,-1.519109051,9,14,740,2.817670122,9.43354398,6,rank,6.0,1,14.0,9.0,-1519108925.308364,0.020690082568597324,-759554462.643837,9.0,10,1.0,1.0
112,8,34,7,9,47,6,6,-0.644386076,7,13,751,1.550117229,6.608550627,7,rank,7.0,1,13.0,7.0,-inf,0.019066550065800693,-inf,7.5,9,2.0,1.5
102,8,34,8,8,25,7,6,-0.435153275,7,13,754,1.797925763,7.665022494,8,rank,8.0,1,13.0,7.0,-7839024508556204.0,0.027897520685407073,-3919512254278102.0,7.0,8,1.0,1.0
106,8,34,9,7,6,8,5,-2.173767043,7,12,764,3.280806188,10.98412097,9,rank,9.0,1,12.0,7.0,2173766863.141723,0.044347664569580864,1086883431.5930355,1.0,7,0.0,6.0
113,8,34,10,6,113,9,2,0.534522484,2,4,773,3.763827899,6.103003932,10,rank,10.0,1,4.0,2.5,534522439.773415,0.029707632641179912,267261219.90156132,3.0,6,3.5,3.0
114,8,34,11,4,29,10,3,-0.588348405,4,7,779,15.78827945,32.59910252,11,rank,11.0,1,7.0,4.0,-inf,0.17424812188566857,-inf,4.5,5,1.0,0.5
