celebrity_name,season,week,judge_score,placement,weeks_participated,results,fan_votes,data_source,fan_vote_rank,judge_score_rank,method1_total_rank,method1_pos,judge_share,fan_share,method2_total_share,method2_pos,eliminated_week,is_eliminated
Lisa Rinna,2,4,26.0,4,7,Eliminated Week 7,6.984829195,rank,4.0,2.5,6.5,3.0,0.16455696202531644,0.1303543503938238,0.29491131241914026,4.0,7.0,0
Lisa Rinna,2,5,25.0,4,7,Eliminated Week 7,5.497303078,rank,4.0,3.0,7.0,3.0,0.16556291390728478,0.13833152777235105,0.30389444167963586,4.0,7.0,0
Lisa Rinna,2,6,27.0,4,7,Eliminated Week 7,4.915769463,rank,4.0,3.0,7.0,3.0,0.20300751879699247,0.15314636964246608,0.35615388843945855,4.0,7.0,0
Lisa Rinna,2,7,26.5,4,7,Eliminated Week 7,2.142171187,rank,4.0,3.0,7.0,3.5,0.25980392156862747,0.08419299734073804,0.3439969189093655,4.0,7.0,1
Stacy Keibler,2,1,22.0,3,8,3rd Place,21.3187973,rank,2.0,4.0,6.0,2.0,0.11282051282051282,0.1798042893503644,0.2926248021708772,2.0,,0
Stacy Keibler,2,2,29.0,3,8,3rd Place,22.18454682,rank,1.0,1.0,2.0,1.0,0.145,0.24394197001150575,0.38894197001150577,1.0,,0
Stacy Keibler,2,3,27.0,3,8,3rd Place,16.50961516,rank,1.0,1.5,2.5,1.0,0.14835164835164835,0.23739053448148606,0.38574218283313444,1.0,,0
Stacy Keibler,2,4,26.0,3,8,3rd Place,12.86760977,rank,1.0,2.5,3.5,2.0,0.16455696202531644,0.24014172227579722,0.40469868430111366,1.0,,0
Stacy Keibler,2,5,30.0,3,8,3rd Place,11.43482987,rank,1.0,1.0,2.0,1.0,0.1986754966887417,0.28774063632480235,0.486416133013544,1.0,,0
Stacy Keibler,2,6,30.0,3,8,3rd Place,10.04283016,rank,1.0,1.5,2.5,1.0,0.22556390977443608,0.3128753273554128,0.5384392371298489,1.0,,0
Stacy Keibler,2,7,27.5,3,8,3rd Place,9.345805495,rank,1.0,1.5,2.5,1.0,0.2696078431372549,0.3673148915281298,0.6369227346653847,1.0,,0
Stacy Keibler,2,8,28.6665,3,8,3rd Place,6.609553128,rank,1.0,2.0,3.0,1.5,0.33992071896021603,0.3718603902254701,0.7117811091856862,1.0,,0
Jerry Rice,2,1,21.0,2,8,2nd Place,17.15507186,rank,3.0,5.0,8.0,4.0,0.1076923076923077,0.14468712569173564,0.25237943338404334,3.0,,0
Jerry Rice,2,2,23.0,2,8,2nd Place,13.89182805,rank,3.0,4.0,7.0,3.0,0.115,0.15275497530213217,0.26775497530213216,3.0,,0
Jerry Rice,2,3,19.0,2,8,2nd Place,9.275705861,rank,3.0,7.0,10.0,5.0,0.1043956043956044,0.13337468806485753,0.23777029246046194,5.0,,0
Jerry Rice,2,4,24.0,2,8,2nd Place,8.792593178,rank,3.0,5.0,8.0,4.0,0.1518987341772152,0.16409173939655036,0.31599047357376553,3.0,,0
Jerry Rice,2,5,23.0,2,8,2nd Place,7.299453728,rank,3.0,5.0,8.0,4.0,0.152317880794702,0.18367999212901018,0.3359978729237122,3.0,,0
Jerry Rice,2,6,23.0,2,8,2nd Place,6.743860366,rank,3.0,4.5,7.5,4.0,0.17293233082706766,0.21009889503612236,0.38303122586319005,3.0,,0
Jerry Rice,2,7,20.5,2,8,2nd Place,6.52613585,rank,3.0,4.0,7.0,3.5,0.20098039215686275,0.25649441165055925,0.457474803807422,3.0,,0
Jerry Rice,2,8,26.666600000000003,2,8,2nd Place,5.107080631,rank,3.0,3.0,6.0,3.0,0.31620636785880724,0.28732971194548207,0.6035360798042892,3.0,,0
Giselle Fernandez,2,1,23.0,8,3,Eliminated Week 3,6.268447105,rank,9.0,2.5,11.5,6.0,0.11794871794871795,0.0528685394951841,0.17081725744390205,7.0,3.0,0
Giselle Fernandez,2,2,24.0,8,3,Eliminated Week 3,4.651659235,rank,8.0,3.0,11.0,5.0,0.12,0.05114979029389584,0.17114979029389582,7.0,3.0,0
Giselle Fernandez,2,3,22.0,8,3,Eliminated Week 3,1.539756657,rank,8.0,5.5,13.5,7.0,0.12087912087912088,0.0221400470110447,0.14301916789016558,8.0,3.0,1
Master P,2,1,12.0,7,4,Eliminated Week 4,9.202699374,rank,7.0,10.0,17.0,9.0,0.06153846153846154,0.07761623687125696,0.1391546984097185,9.0,4.0,0
Master P,2,2,16.0,7,4,Eliminated Week 4,8.112744524,rank,5.0,9.0,14.0,8.0,0.08,0.08920799227687877,0.16920799227687877,8.0,4.0,0
Master P,2,3,14.0,7,4,Eliminated Week 4,6.695040608,rank,6.0,8.0,14.0,8.0,0.07692307692307693,0.09626749339131013,0.17319057031438706,7.0,4.0,0
Master P,2,4,8.0,7,4,Eliminated Week 4,2.796571007,rank,7.0,7.0,14.0,7.0,0.05063291139240506,0.05219099662575022,0.10282390801815527,7.0,4.0,1
Drew Lachey,2,1,24.0,1,8,1st Place,25.20782432,rank,1.0,1.0,2.0,1.0,0.12307692307692308,0.21260462652489467,0.33568154960181773,1.0,,0
Drew Lachey,2,2,27.0,1,8,1st Place,16.60536529,rank,2.0,2.0,4.0,2.0,0.135,0.18259311558041008,0.3175931155804101,2.0,,0
Drew Lachey,2,3,27.0,1,8,1st Place,15.12707278,rank,2.0,1.5,3.5,2.0,0.14835164835164835,0.2175110599237335,0.36586270827538186,2.0,,0
Drew Lachey,2,4,28.0,1,8,1st Place,11.87014718,rank,2.0,1.0,3.0,1.0,0.17721518987341772,0.22152658018260665,0.3987417700560244,2.0,,0
Drew Lachey,2,5,27.0,1,8,1st Place,8.797762095,rank,2.0,2.0,4.0,2.0,0.17880794701986755,0.2213827133616572,0.40019066038152473,2.0,,0
Drew Lachey,2,6,30.0,1,8,1st Place,8.274175364,rank,2.0,1.5,3.5,2.0,0.22556390977443608,0.2577744803370838,0.48333839011151986,2.0,,0
Drew Lachey,2,7,27.5,1,8,1st Place,7.429466562,rank,2.0,1.5,3.5,2.0,0.2696078431372549,0.2919976994805729,0.5616055426178278,2.0,,0
Drew Lachey,2,8,28.9998,1,8,1st Place,6.057652779,rank,2.0,1.0,3.0,1.5,0.34387291318097685,0.3408098978290478,0.6846828110100247,2.0,,0
Kenny Mayne,2,1,13.0,10,1,Eliminated Week 1,1.940397154,rank,10.0,9.0,19.0,10.0,0.06666666666666667,0.01636545094091399,0.08303211760758065,10.0,1.0,1
Harry Hamlin,3,1,17.0,9,3,Eliminated Week 3,2.363560595,pct,9.0,8.0,17.0,9.5,0.08018867924528301,0.09106549923663995,0.17125417848192298,8.0,3.0,0
Harry Hamlin,3,2,21.0,9,3,Eliminated Week 3,2.202382695,pct,9.0,8.0,17.0,10.0,0.09130434782608696,0.10078894793493919,0.19209329576102613,8.0,3.0,0
Harry Hamlin,3,3,22.0,9,3,Eliminated Week 3,1.705963259,pct,9.0,5.5,14.5,9.0,0.10628019323671498,0.09293243863039562,0.19921263186711058,9.0,3.0,1
Vivica A. Fox,3,1,22.0,8,4,Eliminated Week 4,2.368577859,pct,8.0,3.5,11.5,6.0,0.10377358490566038,0.09125880913185846,0.19503239403751885,4.0,4.0,0
Vivica A. Fox,3,2,24.0,8,4,Eliminated Week 4,2.203467744,pct,8.0,3.5,11.5,6.0,0.10434782608695652,0.10083860367706618,0.20518642976402268,4.0,4.0,0
Vivica A. Fox,3,3,27.0,8,4,Eliminated Week 4,2.041652394,pct,7.0,1.5,8.5,3.5,0.13043478260869565,0.11121912198813966,0.2416539045968353,2.0,4.0,0
Vivica A. Fox,3,4,24.0,8,4,Eliminated Week 4,1.558020298,pct,8.0,5.0,13.0,8.0,0.12121212121212122,0.10289219861669197,0.22410431982881318,8.0,4.0,1
Monique Coleman,3,1,19.0,4,8,Eliminated Week 8,2.419059564,pct,1.0,6.0,7.0,3.0,0.08962264150943396,0.093203816032831,0.18282645754226495,6.0,8.0,0
Monique Coleman,3,2,26.0,4,8,Eliminated Week 8,2.244643832,pct,3.0,2.0,5.0,1.0,0.11304347826086956,0.10272296945918856,0.21576644772005812,2.0,8.0,0
Monique Coleman,3,3,27.0,4,8,Eliminated Week 8,2.080998154,pct,4.0,1.5,5.5,1.0,0.13043478260869565,0.1133624843420919,0.24379726695078754,1.0,8.0,0
Monique Coleman,3,4,24.0,4,8,Eliminated Week 8,1.960427895,pct,2.0,5.0,7.0,1.5,0.12121212121212122,0.12946733531326776,0.250679456525389,4.0,8.0,0
Monique Coleman,3,5,27.0,4,8,Eliminated Week 8,1.836615081,pct,3.0,2.5,5.5,1.0,0.14917127071823205,0.1497079249267537,0.2988791956449858,1.0,8.0,0
Monique Coleman,3,6,23.0,4,8,Eliminated Week 8,1.658969779,pct,1.0,4.0,5.0,2.5,0.19491525423728814,0.20167313293809697,0.39658838717538514,4.0,8.0,0
Monique Coleman,3,7,27.0,4,8,Eliminated Week 8,1.565939324,pct,1.0,4.0,5.0,2.5,0.2,0.2053796784895253,0.4053796784895253,4.0,8.0,0
Monique Coleman,3,8,26.5,4,8,Eliminated Week 8,1.235326105,pct,4.0,4.0,8.0,4.0,0.24311926605504589,0.21687628917604193,0.4599955552310878,4.0,8.0,1
Joey Lawrence,3,1,21.0,3,9,3rd Place,2.405477946,pct,4.0,5.0,9.0,4.0,0.09905660377358491,0.0926805306022701,0.19173713437585502,5.0,,0
Joey Lawrence,3,2,29.0,3,9,3rd Place,2.236718468,pct,5.0,1.0,6.0,3.0,0.12608695652173912,0.10236027631717699,0.2284472328389161,1.0,,0
Joey Lawrence,3,3,22.0,3,9,3rd Place,2.100617026,pct,2.0,5.5,7.5,2.0,0.10628019323671498,0.11443122343041572,0.22071141666713068,4.0,,0
Joey Lawrence,3,4,27.0,3,9,3rd Place,1.933095696,pct,5.0,3.0,8.0,3.5,0.13636363636363635,0.12766230745082655,0.26402594381446287,3.0,,0
Joey Lawrence,3,5,25.0,3,9,3rd Place,1.865374494,pct,1.0,5.0,6.0,2.0,0.13812154696132597,0.1520521897032344,0.29017373666456037,4.0,,0
Joey Lawrence,3,6,24.0,3,9,3rd Place,1.651207816,pct,4.0,3.0,7.0,4.0,0.2033898305084746,0.2007295476987666,0.4041193782072412,3.0,,0
Joey Lawrence,3,7,28.5,3,9,3rd Place,1.550478802,pct,4.0,1.5,5.5,4.0,0.2111111111111111,0.20335196452323356,0.4144630756343447,2.0,,0
Joey Lawrence,3,8,27.0,3,9,3rd Place,1.49835659,pct,1.0,2.5,3.5,1.0,0.24770642201834864,0.2630544402699789,0.5107608622883275,2.0,,0
Joey Lawrence,3,9,29.5,3,9,3rd Place,1.151842017,pct,3.0,2.0,5.0,3.0,0.3333333333333333,0.2878070320135999,0.6211403653469332,3.0,,0
Mario Lopez,3,1,26.0,2,10,2nd Place,2.407000573,pct,3.0,1.0,4.0,1.5,0.12264150943396226,0.09273919581618487,0.21538070525014713,1.0,,0
Mario Lopez,3,2,21.0,2,10,2nd Place,2.259522681,pct,1.0,8.0,9.0,4.0,0.09130434782608696,0.10340387906704071,0.19470822689312767,6.0,,0
Mario Lopez,3,3,22.0,2,10,2nd Place,2.10060626,pct,3.0,5.5,8.5,3.5,0.10628019323671498,0.11443063695199714,0.22071083018871213,5.0,,0
Mario Lopez,3,4,29.0,2,10,2nd Place,1.926836071,pct,6.0,1.0,7.0,1.5,0.14646464646464646,0.1272489196537659,0.27371356611841235,1.0,,0
Mario Lopez,3,5,27.0,2,10,2nd Place,1.835641355,pct,4.0,2.5,6.5,3.0,0.14917127071823205,0.14962855364182018,0.29879982436005226,2.0,,0
Mario Lopez,3,6,28.0,2,10,2nd Place,1.656645066,pct,2.0,1.0,3.0,1.0,0.23728813559322035,0.20139052854118353,0.4386786641344039,1.0,,0
Mario Lopez,3,7,28.0,2,10,2nd Place,1.554533413,pct,2.0,3.0,5.0,2.5,0.2074074074074074,0.2038837441974632,0.4112911516048706,3.0,,0
Mario Lopez,3,8,28.5,2,10,2nd Place,1.466728097,pct,3.0,1.0,4.0,2.0,0.26146788990825687,0.257501679613253,0.5189695695215099,1.0,,0
Mario Lopez,3,9,29.5,2,10,2nd Place,1.424747569,pct,2.0,2.0,4.0,2.0,0.3333333333333333,0.355997057886873,0.6893303912202063,2.0,,0
Mario Lopez,3,10,29.666600000000003,2,10,2nd Place,1.289562011,pct,2.0,1.5,3.5,2.0,0.5,0.4998610044289954,0.9998610044289954,2.0,,0
Emmitt Smith,3,1,24.0,1,10,1st Place,2.411189287,pct,2.0,2.0,4.0,1.5,0.11320754716981132,0.09290058255294822,0.20610812972275955,2.0,,0
Emmitt Smith,3,2,24.0,1,10,1st Place,2.247095421,pct,2.0,3.5,5.5,2.0,0.10434782608695652,0.10283516298333849,0.207182989070295,3.0,,0
Emmitt Smith,3,3,19.0,1,10,1st Place,2.138279499,pct,1.0,9.0,10.0,5.0,0.09178743961352658,0.11648288863614416,0.20827032824967073,8.0,,0
Emmitt Smith,3,4,24.0,1,10,1st Place,1.956964976,pct,3.0,5.0,8.0,3.5,0.12121212121212122,0.12923864294642318,0.2504507641585444,5.0,,0
Emmitt Smith,3,5,27.0,1,10,1st Place,1.830925908,pct,5.0,2.5,7.5,4.0,0.14917127071823205,0.149244183616345,0.29841545433457706,3.0,,0
Emmitt Smith,3,6,25.0,1,10,1st Place,1.652931862,pct,3.0,2.0,5.0,2.5,0.211864406779661,0.200939131841016,0.412803538620677,2.0,,0
Emmitt Smith,3,7,28.5,1,10,1st Place,1.553548143,pct,3.0,1.5,4.5,1.0,0.2111111111111111,0.20375452179866138,0.4148656329097725,1.0,,0
Emmitt Smith,3,8,27.0,1,10,1st Place,1.495583499,pct,2.0,2.5,4.5,3.0,0.24770642201834864,0.2625675909407263,0.5102740129590749,3.0,,0
Emmitt Smith,3,9,29.5,1,10,1st Place,1.425543402,pct,1.0,2.0,3.0,1.0,0.3333333333333333,0.35619591009952717,0.6895292434328605,1.0,,0
Emmitt Smith,3,10,29.666600000000003,1,10,1st Place,1.290279184,pct,1.0,1.5,2.5,1.0,0.5,0.5001389955710045,1.0001389955710045,1.0,,0
Shanna Moakler,3,1,18.0,10,2,Eliminated Week 2,2.245635297,pct,10.0,7.0,17.0,9.5,0.08490566037735849,0.0865219617628315,0.17142762214018997,7.0,2.0,0
Shanna Moakler,3,2,22.0,10,2,Eliminated Week 2,1.793098983,pct,10.0,6.0,16.0,9.0,0.09565217391304348,0.08205865422484143,0.1777108281378849,10.0,2.0,1
Willa Ford,3,1,22.0,7,5,Eliminated Week 5,2.374180091,pct,7.0,3.5,10.5,5.0,0.10377358490566038,0.09147465722773496,0.19524824213339534,3.0,5.0,0
Willa Ford,3,2,23.0,7,5,Eliminated Week 5,2.214690384,pct,6.0,5.0,11.0,5.0,0.1,0.1013521920199189,0.20135219201991889,5.0,5.0,0
Willa Ford,3,3,22.0,7,5,Eliminated Week 5,2.071474458,pct,6.0,5.5,11.5,7.0,0.10628019323671498,0.11284368049952065,0.21912387373623562,6.0,5.0,0
Willa Ford,3,4,28.0,7,5,Eliminated Week 5,1.899087156,pct,7.0,2.0,9.0,5.5,0.1414141414141414,0.12541637172275188,0.2668305131368933,2.0,5.0,0
Willa Ford,3,5,27.0,7,5,Eliminated Week 5,1.475338669,pct,7.0,2.5,9.5,6.0,0.14917127071823205,0.12025921652561489,0.26943048724384694,6.0,5.0,1
Sara Evans,3,1,15.0,6,5,Withdrew,2.396716209,pct,5.0,10.0,15.0,7.5,0.07075471698113207,0.0923429501079206,0.16309766708905266,10.0,5.0,0
Sara Evans,3,2,21.0,6,5,Withdrew,2.212687436,pct,7.0,8.0,15.0,8.0,0.09130434782608696,0.10126052992043605,0.192564877746523,7.0,5.0,0
Sara Evans,3,3,25.0,6,5,Withdrew,2.038529956,pct,8.0,3.0,11.0,6.0,0.12077294685990338,0.11104902701318556,0.23182197387308895,3.0,5.0,0
Sara Evans,3,4,20.0,6,5,Withdrew,1.966061128,pct,1.0,8.0,9.0,5.5,0.10101010101010101,0.12983935596629398,0.23084945697639497,7.0,5.0,0
Sara Evans,3,5,24.0,6,5,Withdrew,1.56194318,pct,6.0,6.5,12.5,7.0,0.13259668508287292,0.12731860625035069,0.2599152913332236,7.0,5.0,1
Jerry Springer,3,1,16.0,5,7,Eliminated Week 7,2.392446275,pct,6.0,9.0,15.0,7.5,0.07547169811320754,0.09217843405013892,0.16765013216334645,9.0,7.0,0
Jerry Springer,3,2,19.0,5,7,Eliminated Week 7,2.237122896,pct,4.0,10.0,14.0,7.0,0.08260869565217391,0.10237878439605355,0.18498748004822746,9.0,7.0,0
Jerry Springer,3,3,21.0,5,7,Eliminated Week 7,2.078905713,pct,5.0,8.0,13.0,8.0,0.10144927536231885,0.11324849850810963,0.2146977738704285,7.0,7.0,0
Jerry Springer,3,4,22.0,5,7,Eliminated Week 7,1.941765561,pct,4.0,7.0,11.0,7.0,0.1111111111111111,0.12823486832997877,0.23934597944108987,6.0,7.0,0
Jerry Springer,3,5,24.0,5,7,Eliminated Week 7,1.862149677,pct,2.0,6.5,8.5,5.0,0.13259668508287292,0.1517893253358811,0.284386010418754,5.0,7.0,0
Jerry Springer,3,6,18.0,5,7,Eliminated Week 7,1.606278141,pct,5.0,5.0,10.0,5.0,0.15254237288135594,0.19526765898093693,0.34781003186229287,5.0,7.0,0
Jerry Springer,3,7,23.0,5,7,Eliminated Week 7,1.400107268,pct,5.0,5.0,10.0,5.0,0.17037037037037037,0.1836300909911166,0.354000461361487,5.0,7.0,1
Tucker Carlson,3,1,12.0,11,1,Eliminated Week 1,2.170668329,pct,11.0,11.0,22.0,11.0,0.05660377358490566,0.08363356347864144,0.1402373370635471,11.0,1.0,1
John Ratzenberger,4,1,17.0,6,7,Eliminated Week 7,2.320746677,pct,8.0,8.0,16.0,8.5,0.0825242718446602,0.09178690989541458,0.17431118174007476,6.0,7.0,0
John Ratzenberger,4,2,21.0,6,7,Eliminated Week 7,2.16720746,pct,8.0,7.5,15.5,9.0,0.08571428571428572,0.0928122449728621,0.1785265306871478,8.0,7.0,0
John Ratzenberger,4,3,20.0,6,7,Eliminated Week 7,2.016741476,pct,7.0,9.0,16.0,9.0,0.09174311926605505,0.10195905622962158,0.19370217549567664,8.0,7.0,0
John Ratzenberger,4,4,16.0,6,7,Eliminated Week 7,1.914788492,pct,4.0,7.5,11.5,6.0,0.08421052631578947,0.11452308816044114,0.1987336144762306,7.0,7.0,0
John Ratzenberger,4,5,18.0,6,7,Eliminated Week 7,1.738498616,pct,6.0,6.0,12.0,6.0,0.10227272727272728,0.126512043788056,0.22878477106078327,6.0,7.0,0
John Ratzenberger,4,6,19.0,6,7,Eliminated Week 7,1.664406099,pct,2.0,7.0,9.0,4.0,0.11176470588235295,0.15027160447473512,0.2620363103570881,6.0,7.0,0
John Ratzenberger,4,7,22.5,6,7,Eliminated Week 7,1.23553754,pct,6.0,5.0,11.0,6.0,0.14563106796116504,0.13820380439683264,0.28383487235799765,6.0,7.0,1
Ian Ziering,4,1,21.0,4,9,Eliminated Week 9,2.353007779,pct,6.0,3.5,9.5,4.0,0.10194174757281553,0.09306285564673139,0.19500460321954693,4.0,9.0,0
Ian Ziering,4,2,22.0,4,9,Eliminated Week 9,2.197642635,pct,5.0,5.0,10.0,4.0,0.08979591836734693,0.09411565360818115,0.1839115719755281,5.0,9.0,0
Ian Ziering,4,3,24.0,4,9,Eliminated Week 9,2.03121359,pct,5.0,2.5,7.5,3.0,0.11009174311926606,0.10269071326283445,0.21278245638210053,2.0,9.0,0
Ian Ziering,4,4,24.0,4,9,Eliminated Week 9,1.882251417,pct,5.0,3.0,8.0,3.0,0.12631578947368421,0.11257705269789467,0.23889284217157888,3.0,9.0,0
Ian Ziering,4,5,24.0,4,9,Eliminated Week 9,1.738785573,pct,4.0,4.0,8.0,3.5,0.13636363636363635,0.1265329258964541,0.26289656226009045,4.0,9.0,0
Ian Ziering,4,6,24.0,4,9,Eliminated Week 9,1.626286291,pct,5.0,4.0,9.0,4.0,0.1411764705882353,0.146829941581364,0.2880064121695993,4.0,9.0,0
