celebrity_name,season,placement,weeks_participated,results,ballroom_partner,celebrity_industry,celebrity_age_during_season,low_score_advanced_count,week1_score_sum,week2_score_sum,week3_score_sum,week4_score_sum,week5_score_sum,week6_score_sum,week7_score_sum,week8_score_sum,week9_score_sum,week10_score_sum,week11_score_sum
Amber Riley,17,1,11,Winner,Derek Hough,Actor/Actress,27,1,27.0,24.0,24.0,27.0,26.0,31.9999,29.5,28.0,25.5,39.5,31.3332
Amber Rose,23,9,6,Eliminated,Maksim Chmerkoskiy,Model,32,0,24.0,24.0,25.0,24.0,24.0,28.0,,,,,
Amy Purdy,18,2,10,Finalist,Derek Hough,Athlete,34,0,24.0,24.0,36.0,34.0,37.0,38.0,37.5,40.0,39.0,29.666600000000003,
Andy Dick,16,7,7,Eliminated,Sharna Burgess,Comedian,47,4,17.0,20.0,18.0,21.0,18.0,21.5,17.0,,,,
Andy Grammer,21,7,8,Eliminated,Allison Holker,Singer/Rapper,31,1,21.0,22.0,29.0,23.0,36.0,40.0,28.0,23.9998,,,
Andy Richter,34,7,9,Eliminated,Emma Slater/Kaitlyn Bristowe (week 9),Comedian,59,8,9.0,16.0,18.0,18.0,24.0,27.0,29.0,34.0,29.0,,
Anna Delvey,33,12,2,Eliminated,Ezra Sosa,Con artist,33,0,18.0,17.0,,,,,,,,,
Anne Heche,29,13,4,Eliminated,Keo Motsepe,Actor/Actress,51,1,18.0,18.0,15.0,21.0,,,,,,,
Antonio Brown,22,5,9,Eliminated,Sharna Burgess,Athlete,27,2,21.0,19.0,20.0,35.0,26.0,27.0,26.0,27.0,27.5,,
Antonio Sabato Jr.,19,8,7,Eliminated,Cheryl Burke,Actor/Actress,42,1,25.0,31.0,29.0,29.0,28.0,28.0,29.5,,,,
Apolo Anton Ohno,4,1,10,Winner,Julianne Hough,Athlete,24,0,21.0,26.0,23.0,26.0,30.0,28.0,27.0,29.0,29.5,29.3332,
Apolo Anton Ohno,4,1,10,Winner,Julianne Hough,Athlete,24,0,21.0,26.0,23.0,26.0,30.0,28.0,27.0,29.0,28.611,29.3332,
Apolo Anton Ohno,4,1,10,Winner,Julianne Hough,Athlete,24,0,21.0,26.0,23.0,26.0,30.0,28.0,27.0,29.2777,29.5,29.3332,
Apolo Anton Ohno,4,1,10,Winner,Julianne Hough,Athlete,24,0,21.0,26.0,23.0,26.0,30.0,28.0,27.0,29.2777,28.611,29.3332,
Apolo Anton Ohno,4,1,10,Winner,Julianne Hough,Athlete,24,0,21.0,26.0,23.0,26.0,30.0,28.0,33.0,29.0,29.5,29.3332,
Apolo Anton Ohno,4,1,10,Winner,Julianne Hough,Athlete,24,0,21.0,26.0,23.0,26.0,30.0,28.0,33.0,29.0,28.611,29.3332,
Apolo Anton Ohno,4,1,10,Winner,Julianne Hough,Athlete,24,0,21.0,26.0,23.0,26.0,30.0,28.0,33.0,29.2777,29.5,29.3332,
Apolo Anton Ohno,4,1,10,Winner,Julianne Hough,Athlete,24,0,21.0,26.0,23.0,26.0,30.0,28.0,33.0,29.2777,28.611,29.3332,
Apolo Anton Ohno,4,1,10,Winner,Julianne Hough,Athlete,24,0,21.0,26.0,23.0,26.0,30.0,30.0,27.0,29.0,29.5,29.3332,
Apolo Anton Ohno,4,1,10,Winner,Julianne Hough,Athlete,24,0,21.0,26.0,23.0,26.0,30.0,30.0,27.0,29.0,28.611,29.3332,
Apolo Anton Ohno,4,1,10,Winner,Julianne Hough,Athlete,24,0,21.0,26.0,23.0,26.0,30.0,30.0,27.0,29.2777,29.5,29.3332,
Apolo Anton Ohno,4,1,10,Winner,Julianne Hough,Athlete,24,0,21.0,26.0,23.0,26.0,30.0,30.0,27.0,29.2777,28.611,29.3332,
Apolo Anton Ohno,4,1,10,Winner,Julianne Hough,Athlete,24,0,21.0,26.0,23.0,26.0,30.0,30.0,33.0,29.0,29.5,29.3332,
Apolo Anton Ohno,4,1,10,Winner,Julianne Hough,Athlete,24,0,21.0,26.0,23.0,26.0,30.0,30.0,33.0,29.0,28.611,29.3332,
Apolo Anton Ohno,4,1,10,Winner,Julianne Hough,Athlete,24,0,21.0,26.0,23.0,26.0,30.0,30.0,33.0,29.2777,29.5,29.3332,
Apolo Anton Ohno,4,1,10,Winner,Julianne Hough,Athlete,24,0,21.0,26.0,23.0,26.0,30.0,30.0,33.0,29.2777,28.611,29.3332,
Apolo Anton Ohno,4,1,10,Winner,Julianne Hough,Athlete,24,0,21.0,26.0,23.0,26.0,28.25,28.0,27.0,29.0,29.5,29.3332,
Apolo Anton Ohno,4,1,10,Winner,Julianne Hough,Athlete,24,0,21.0,26.0,23.0,26.0,28.25,28.0,27.0,29.0,28.611,29.3332,
Apolo Anton Ohno,4,1,10,Winner,Julianne Hough,Athlete,24,0,21.0,26.0,23.0,26.0,28.25,28.0,27.0,29.2777,29.5,29.3332,
Apolo Anton Ohno,4,1,10,Winner,Julianne Hough,Athlete,24,0,21.0,26.0,23.0,26.0,28.25,28.0,27.0,29.2777,28.611,29.3332,
Apolo Anton Ohno,4,1,10,Winner,Julianne Hough,Athlete,24,0,21.0,26.0,23.0,26.0,28.25,28.0,33.0,29.0,29.5,29.3332,
Apolo Anton Ohno,4,1,10,Winner,Julianne Hough,Athlete,24,0,21.0,26.0,23.0,26.0,28.25,28.0,33.0,29.0,28.611,29.3332,
Apolo Anton Ohno,4,1,10,Winner,Julianne Hough,Athlete,24,0,21.0,26.0,23.0,26.0,28.25,28.0,33.0,29.2777,29.5,29.3332,
Apolo Anton Ohno,4,1,10,Winner,Julianne Hough,Athlete,24,0,21.0,26.0,23.0,26.0,28.25,28.0,33.0,29.2777,28.611,29.3332,
Apolo Anton Ohno,4,1,10,Winner,Julianne Hough,Athlete,24,0,21.0,26.0,23.0,26.0,28.25,30.0,27.0,29.0,29.5,29.3332,
Apolo Anton Ohno,4,1,10,Winner,Julianne Hough,Athlete,24,0,21.0,26.0,23.0,26.0,28.25,30.0,27.0,29.0,28.611,29.3332,
Apolo Anton Ohno,4,1,10,Winner,Julianne Hough,Athlete,24,0,21.0,26.0,23.0,26.0,28.25,30.0,27.0,29.2777,29.5,29.3332,
Apolo Anton Ohno,4,1,10,Winner,Julianne Hough,Athlete,24,0,21.0,26.0,23.0,26.0,28.25,30.0,27.0,29.2777,28.611,29.3332,
Apolo Anton Ohno,4,1,10,Winner,Julianne Hough,Athlete,24,0,21.0,26.0,23.0,26.0,28.25,30.0,33.0,29.0,29.5,29.3332,
Apolo Anton Ohno,4,1,10,Winner,Julianne Hough,Athlete,24,0,21.0,26.0,23.0,26.0,28.25,30.0,33.0,29.0,28.611,29.3332,
Apolo Anton Ohno,4,1,10,Winner,Julianne Hough,Athlete,24,0,21.0,26.0,23.0,26.0,28.25,30.0,33.0,29.2777,29.5,29.3332,
Apolo Anton Ohno,4,1,10,Winner,Julianne Hough,Athlete,24,0,21.0,26.0,23.0,26.0,28.25,30.0,33.0,29.2777,28.611,29.3332,
Apolo Anton Ohno,4,1,10,Winner,Julianne Hough,Athlete,24,0,21.0,26.0,23.0,34.5,30.0,28.0,27.0,29.0,29.5,29.3332,
Apolo Anton Ohno,4,1,10,Winner,Julianne Hough,Athlete,24,0,21.0,26.0,23.0,34.5,30.0,28.0,27.0,29.0,28.611,29.3332,
Apolo Anton Ohno,4,1,10,Winner,Julianne Hough,Athlete,24,0,21.0,26.0,23.0,34.5,30.0,28.0,27.0,29.2777,29.5,29.3332,
Apolo Anton Ohno,4,1,10,Winner,Julianne Hough,Athlete,24,0,21.0,26.0,23.0,34.5,30.0,28.0,27.0,29.2777,28.611,29.3332,
Apolo Anton Ohno,4,1,10,Winner,Julianne Hough,Athlete,24,0,21.0,26.0,23.0,34.5,30.0,28.0,33.0,29.0,29.5,29.3332,
Apolo Anton Ohno,4,1,10,Winner,Julianne Hough,Athlete,24,0,21.0,26.0,23.0,34.5,30.0,28.0,33.0,29.0,28.611,29.3332,
Apolo Anton Ohno,4,1,10,Winner,Julianne Hough,Athlete,24,0,21.0,26.0,23.0,34.5,30.0,28.0,33.0,29.2777,29.5,29.3332,
Apolo Anton Ohno,4,1,10,Winner,Julianne Hough,Athlete,24,0,21.0,26.0,23.0,34.5,30.0,28.0,33.0,29.2777,28.611,29.3332,
Apolo Anton Ohno,4,1,10,Winner,Julianne Hough,Athlete,24,0,21.0,26.0,23.0,34.5,30.0,30.0,27.0,29.0,29.5,29.3332,
Apolo Anton Ohno,4,1,10,Winner,Julianne Hough,Athlete,24,0,21.0,26.0,23.0,34.5,30.0,30.0,27.0,29.0,28.611,29.3332,
Apolo Anton Ohno,4,1,10,Winner,Julianne Hough,Athlete,24,0,21.0,26.0,23.0,34.5,30.0,30.0,27.0,29.2777,29.5,29.3332,
Apolo Anton Ohno,4,1,10,Winner,Julianne Hough,Athlete,24,0,21.0,26.0,23.0,34.5,30.0,30.0,27.0,29.2777,28.611,29.3332,
Apolo Anton Ohno,4,1,10,Winner,Julianne Hough,Athlete,24,0,21.0,26.0,23.0,34.5,30.0,30.0,33.0,29.0,29.5,29.3332,
Apolo Anton Ohno,4,1,10,Winner,Julianne Hough,Athlete,24,0,21.0,26.0,23.0,34.5,30.0,30.0,33.0,29.0,28.611,29.3332,
Apolo Anton Ohno,4,1,10,Winner,Julianne Hough,Athlete,24,0,21.0,26.0,23.0,34.5,30.0,30.0,33.0,29.2777,29.5,29.3332,
Apolo Anton Ohno,4,1,10,Winner,Julianne Hough,Athlete,24,0,21.0,26.0,23.0,34.5,30.0,30.0,33.0,29.2777,28.611,29.3332,
Apolo Anton Ohno,4,1,10,Winner,Julianne Hough,Athlete,24,0,21.0,26.0,23.0,34.5,28.25,28.0,27.0,29.0,29.5,29.3332,
Apolo Anton Ohno,4,1,10,Winner,Julianne Hough,Athlete,24,0,21.0,26.0,23.0,34.5,28.25,28.0,27.0,29.0,28.611,29.3332,
Apolo Anton Ohno,4,1,10,Winner,Julianne Hough,Athlete,24,0,21.0,26.0,23.0,34.5,28.25,28.0,27.0,29.2777,29.5,29.3332,
Apolo Anton Ohno,4,1,10,Winner,Julianne Hough,Athlete,24,0,21.0,26.0,23.0,34.5,28.25,28.0,27.0,29.2777,28.611,29.3332,
Apolo Anton Ohno,4,1,10,Winner,Julianne Hough,Athlete,24,0,21.0,26.0,23.0,34.5,28.25,28.0,33.0,29.0,29.5,29.3332,
Apolo Anton Ohno,4,1,10,Winner,Julianne Hough,Athlete,24,0,21.0,26.0,23.0,34.5,28.25,28.0,33.0,29.0,28.611,29.3332,
Apolo Anton Ohno,4,1,10,Winner,Julianne Hough,Athlete,24,0,21.0,26.0,23.0,34.5,28.25,28.0,33.0,29.2777,29.5,29.3332,
Apolo Anton Ohno,4,1,10,Winner,Julianne Hough,Athlete,24,0,21.0,26.0,23.0,34.5,28.25,28.0,33.0,29.2777,28.611,29.3332,
Apolo Anton Ohno,4,1,10,Winner,Julianne Hough,Athlete,24,0,21.0,26.0,23.0,34.5,28.25,30.0,27.0,29.0,29.5,29.3332,
Apolo Anton Ohno,4,1,10,Winner,Julianne Hough,Athlete,24,0,21.0,26.0,23.0,34.5,28.25,30.0,27.0,29.0,28.611,29.3332,
Apolo Anton Ohno,4,1,10,Winner,Julianne Hough,Athlete,24,0,21.0,26.0,23.0,34.5,28.25,30.0,27.0,29.2777,29.5,29.3332,
Apolo Anton Ohno,4,1,10,Winner,Julianne Hough,Athlete,24,0,21.0,26.0,23.0,34.5,28.25,30.0,27.0,29.2777,28.611,29.3332,
Apolo Anton Ohno,4,1,10,Winner,Julianne Hough,Athlete,24,0,21.0,26.0,23.0,34.5,28.25,30.0,33.0,29.0,29.5,29.3332,
Apolo Anton Ohno,4,1,10,Winner,Julianne Hough,Athlete,24,0,21.0,26.0,23.0,34.5,28.25,30.0,33.0,29.0,28.611,29.3332,
Apolo Anton Ohno,4,1,10,Winner,Julianne Hough,Athlete,24,0,21.0,26.0,23.0,34.5,28.25,30.0,33.0,29.2777,29.5,29.3332,
Apolo Anton Ohno,4,1,10,Winner,Julianne Hough,Athlete,24,0,21.0,26.0,23.0,34.5,28.25,30.0,33.0,29.2777,28.611,29.3332,
Apolo Anton Ohno,4,1,10,Winner,Julianne Hough,Athlete,24,0,21.0,26.0,25.5,26.0,30.0,28.0,27.0,29.0,29.5,29.3332,
Apolo Anton Ohno,4,1,10,Winner,Julianne Hough,Athlete,24,0,21.0,26.0,25.5,26.0,30.0,28.0,27.0,29.0,28.611,29.3332,
Apolo Anton Ohno,4,1,10,Winner,Julianne Hough,Athlete,24,0,21.0,26.0,25.5,26.0,30.0,28.0,27.0,29.2777,29.5,29.3332,
Apolo Anton Ohno,4,1,10,Winner,Julianne Hough,Athlete,24,0,21.0,26.0,25.5,26.0,30.0,28.0,27.0,29.2777,28.611,29.3332,
Apolo Anton Ohno,4,1,10,Winner,Julianne Hough,Athlete,24,0,21.0,26.0,25.5,26.0,30.0,28.0,33.0,29.0,29.5,29.3332,
Apolo Anton Ohno,4,1,10,Winner,Julianne Hough,Athlete,24,0,21.0,26.0,25.5,26.0,30.0,28.0,33.0,29.0,28.611,29.3332,
Apolo Anton Ohno,4,1,10,Winner,Julianne Hough,Athlete,24,0,21.0,26.0,25.5,26.0,30.0,28.0,33.0,29.2777,29.5,29.3332,
Apolo Anton Ohno,4,1,10,Winner,Julianne Hough,Athlete,24,0,21.0,26.0,25.5,26.0,30.0,28.0,33.0,29.2777,28.611,29.3332,
Apolo Anton Ohno,4,1,10,Winner,Julianne Hough,Athlete,24,0,21.0,26.0,25.5,26.0,30.0,30.0,27.0,29.0,29.5,29.3332,
Apolo Anton Ohno,4,1,10,Winner,Julianne Hough,Athlete,24,0,21.0,26.0,25.5,26.0,30.0,30.0,27.0,29.0,28.611,29.3332,
Apolo Anton Ohno,4,1,10,Winner,Julianne Hough,Athlete,24,0,21.0,26.0,25.5,26.0,30.0,30.0,27.0,29.2777,29.5,29.3332,
Apolo Anton Ohno,4,1,10,Winner,Julianne Hough,Athlete,24,0,21.0,26.0,25.5,26.0,30.0,30.0,27.0,29.2777,28.611,29.3332,
Apolo Anton Ohno,4,1,10,Winner,Julianne Hough,Athlete,24,0,21.0,26.0,25.5,26.0,30.0,30.0,33.0,29.0,29.5,29.3332,
Apolo Anton Ohno,4,1,10,Winner,Julianne Hough,Athlete,24,0,21.0,26.0,25.5,26.0,30.0,30.0,33.0,29.0,28.611,29.3332,
Apolo Anton Ohno,4,1,10,Winner,Julianne Hough,Athlete,24,0,21.0,26.0,25.5,26.0,30.0,30.0,33.0,29.2777,29.5,29.3332,
Apolo Anton Ohno,4,1,10,Winner,Julianne Hough,Athlete,24,0,21.0,26.0,25.5,26.0,30.0,30.0,33.0,29.2777,28.611,29.3332,
Apolo Anton Ohno,4,1,10,Winner,Julianne Hough,Athlete,24,0,21.0,26.0,25.5,26.0,28.25,28.0,27.0,29.0,29.5,29.3332,
Apolo Anton Ohno,4,1,10,Winner,Julianne Hough,Athlete,24,0,21.0,26.0,25.5,26.0,28.25,28.0,27.0,29.0,28.611,29.3332,
Apolo Anton Ohno,4,1,10,Winner,Julianne Hough,Athlete,24,0,21.0,26.0,25.5,26.0,28.25,28.0,27.0,29.2777,29.5,29.3332,
Apolo Anton Ohno,4,1,10,Winner,Julianne Hough,Athlete,24,0,21.0,26.0,25.5,26.0,28.25,28.0,27.0,29.2777,28.611,29.3332,
Apolo Anton Ohno,4,1,10,Winner,Julianne Hough,Athlete,24,0,21.0,26.0,25.5,26.0,28.25,28.0,33.0,29.0,29.5,29.3332,
Apolo Anton Ohno,4,1,10,Winner,Julianne Hough,Athlete,24,0,21.0,26.0,25.5,26.0,28.25,28.0,33.0,29.0,28.611,29.3332,
Apolo Anton Ohno,4,1,10,Winner,Julianne Hough,Athlete,24,0,21.0,26.0,25.5,26.0,28.25,28.0,33.0,29.2777,29.5,29.3332,
Apolo Anton Ohno,4,1,10,Winner,Julianne Hough,Athlete,24,0,21.0,26.0,25.5,26.0,28.25,28.0,33.0,29.2777,28.611,29.3332,
Apolo Anton Ohno,4,1,10,Winner,Julianne Hough,Athlete,24,0,21.0,26.0,25.5,26.0,28.25,30.0,27.0,29.0,29.5,29.3332,
Apolo Anton Ohno,4,1,10,Winner,Julianne Hough,Athlete,24,0,21.0,26.0,25.5,26.0,28.25,30.0,27.0,29.0,28.611,29.3332,
Apolo Anton Ohno,4,1,10,Winner,Julianne Hough,Athlete,24,0,21.0,26.0,25.5,26.0,28.25,30.0,27.0,29.2777,29.5,29.3332,
Apolo Anton Ohno,4,1,10,Winner,Julianne Hough,Athlete,24,0,21.0,26.0,25.5,26.0,28.25,30.0,27.0,29.2777,28.611,29.3332,
Apolo Anton Ohno,4,1,10,Winner,Julianne Hough,Athlete,24,0,21.0,26.0,25.5,26.0,28.25,30.0,33.0,29.0,29.5,29.3332,
Apolo Anton Ohno,4,1,10,Winner,Julianne Hough,Athlete,24,0,21.0,26.0,25.5,26.0,28.25,30.0,33.0,29.0,28.611,29.3332,
Apolo Anton Ohno,4,1,10,Winner,Julianne Hough,Athlete,24,0,21.0,26.0,25.5,26.0,28.25,30.0,33.0,29.2777,29.5,29.3332,
Apolo Anton Ohno,4,1,10,Winner,Julianne Hough,Athlete,24,0,21.0,26.0,25.5,26.0,28.25,30.0,33.0,29.2777,28.611,29.3332,
Apolo Anton Ohno,4,1,10,Winner,Julianne Hough,Athlete,24,0,21.0,26.0,25.5,34.5,30.0,28.0,27.0,29.0,29.5,29.3332,
Apolo Anton Ohno,4,1,10,Winner,Julianne Hough,Athlete,24,0,21.0,26.0,25.5,34.5,30.0,28.0,27.0,29.0,28.611,29.3332,
Apolo Anton Ohno,4,1,10,Winner,Julianne Hough,Athlete,24,0,21.0,26.0,25.5,34.5,30.0,28.0,27.0,29.2777,29.5,29.3332,
Apolo Anton Ohno,4,1,10,Winner,Julianne Hough,Athlete,24,0,21.0,26.0,25.5,34.5,30.0,28.0,27.0,29.2777,28.611,29.3332,
Apolo Anton Ohno,4,1,10,Winner,Julianne Hough,Athlete,24,0,21.0,26.0,25.5,34.5,30.0,28.0,33.0,29.0,29.5,29.3332,
Apolo Anton Ohno,4,1,10,Winner,Julianne Hough,Athlete,24,0,21.0,26.0,25.5,34.5,30.0,28.0,33.0,29.0,28.611,29.3332,
Apolo Anton Ohno,4,1,10,Winner,Julianne Hough,Athlete,24,0,21.0,26.0,25.5,34.5,30.0,28.0,33.0,29.2777,29.5,29.3332,
Apolo Anton Ohno,4,1,10,Winner,Julianne Hough,Athlete,24,0,21.0,26.0,25.5,34.5,30.0,28.0,33.0,29.2777,28.611,29.3332,
Apolo Anton Ohno,4,1,10,Winner,Julianne Hough,Athlete,24,0,21.0,26.0,25.5,34.5,30.0,30.0,27.0,29.0,29.5,29.3332,
Apolo Anton Ohno,4,1,10,Winner,Julianne Hough,Athlete,24,0,21.0,26.0,25.5,34.5,30.0,30.0,27.0,29.0,28.611,29.3332,
Apolo Anton Ohno,4,1,10,Winner,Julianne Hough,Athlete,24,0,21.0,26.0,25.5,34.5,30.0,30.0,27.0,29.2777,29.5,29.3332,
Apolo Anton Ohno,4,1,10,Winner,Julianne Hough,Athlete,24,0,21.0,26.0,25.5,34.5,30.0,30.0,27.0,29.2777,28.611,29.3332,
Apolo Anton Ohno,4,1,10,Winner,Julianne Hough,Athlete,24,0,21.0,26.0,25.5,34.5,30.0,30.0,33.0,29.0,29.5,29.3332,
Apolo Anton Ohno,4,1,10,Winner,Julianne Hough,Athlete,24,0,21.0,26.0,25.5,34.5,30.0,30.0,33.0,29.0,28.611,29.3332,
Apolo Anton Ohno,4,1,10,Winner,Julianne Hough,Athlete,24,0,21.0,26.0,25.5,34.5,30.0,30.0,33.0,29.2777,29.5,29.3332,
Apolo Anton Ohno,4,1,10,Winner,Julianne Hough,Athlete,24,0,21.0,26.0,25.5,34.5,30.0,30.0,33.0,29.2777,28.611,29.3332,
Apolo Anton Ohno,4,1,10,Winner,Julianne Hough,Athlete,24,0,21.0,26.0,25.5,34.5,28.25,28.0,27.0,29.0,29.5,29.3332,
Apolo Anton Ohno,4,1,10,Winner,Julianne Hough,Athlete,24,0,21.0,26.0,25.5,34.5,28.25,28.0,27.0,29.0,28.611,29.3332,
Apolo Anton Ohno,4,1,10,Winner,Julianne Hough,Athlete,24,0,21.0,26.0,25.5,34.5,28.25,28.0,27.0,29.2777,29.5,29.3332,
Apolo Anton Ohno,4,1,10,Winner,Julianne Hough,Athlete,24,0,21.0,26.0,25.5,34.5,28.25,28.0,27.0,29.2777,28.611,29.3332,
Apolo Anton Ohno,4,1,10,Winner,Julianne Hough,Athlete,24,0,21.0,26.0,25.5,34.5,28.25,28.0,33.0,29.0,29.5,29.3332,
Apolo Anton Ohno,4,1,10,Winner,Julianne Hough,Athlete,24,0,21.0,26.0,25.5,34.5,28.25,28.0,33.0,29.0,28.611,29.3332,
Apolo Anton Ohno,4,1,10,Winner,Julianne Hough,Athlete,24,0,21.0,26.0,25.5,34.5,28.25,28.0,33.0,29.2777,29.5,29.3332,
Apolo Anton Ohno,4,1,10,Winner,Julianne Hough,Athlete,24,0,21.0,26.0,25.5,34.5,28.25,28.0,33.0,29.2777,28.611,29.3332,
Apolo Anton Ohno,4,1,10,Winner,Julianne Hough,Athlete,24,0,21.0,26.0,25.5,34.5,28.25,30.0,27.0,29.0,29.5,29.3332,
Apolo Anton Ohno,4,1,10,Winner,Julianne Hough,Athlete,24,0,21.0,26.0,25.5,34.5,28.25,30.0,27.0,29.0,28.611,29.3332,
Apolo Anton Ohno,4,1,10,Winner,Julianne Hough,Athlete,24,0,21.0,26.0,25.5,34.5,28.25,30.0,27.0,29.2777,29.5,29.3332,
Apolo Anton Ohno,4,1,10,Winner,Julianne Hough,Athlete,24,0,21.0,26.0,25.5,34.5,28.25,30.0,27.0,29.2777,28.611,29.3332,
Apolo Anton Ohno,4,1,10,Winner,Julianne Hough,Athlete,24,0,21.0,26.0,25.5,34.5,28.25,30.0,33.0,29.0,29.5,29.3332,
Apolo Anton Ohno,4,1,10,Winner,Julianne Hough,Athlete,24,0,21.0,26.0,25.5,34.5,28.25,30.0,33.0,29.0,28.611,29.3332,
Apolo Anton Ohno,4,1,10,Winner,Julianne Hough,Athlete,24,0,21.0,26.0,25.5,34.5,28.25,30.0,33.0,29.2777,29.5,29.3332,
Apolo Anton Ohno,4,1,10,Winner,Julianne Hough,Athlete,24,0,21.0,26.0,25.5,34.5,28.25,30.0,33.0,29.2777,28.611,29.3332,
Apolo Anton Ohno,4,1,10,Winner,Julianne Hough,Athlete,24,0,21.0,24.5,23.0,26.0,30.0,28.0,27.0,29.0,29.5,29.3332,
Apolo Anton Ohno,4,1,10,Winner,Julianne Hough,Athlete,24,0,21.0,24.5,23.0,26.0,30.0,28.0,27.0,29.0,28.611,29.3332,
Apolo Anton Ohno,4,1,10,Winner,Julianne Hough,Athlete,24,0,21.0,24.5,23.0,26.0,30.0,28.0,27.0,29.2777,29.5,29.3332,
Apolo Anton Ohno,4,1,10,Winner,Julianne Hough,Athlete,24,0,21.0,24.5,23.0,26.0,30.0,28.0,27.0,29.2777,28.611,29.3332,
Apolo Anton Ohno,4,1,10,Winner,Julianne Hough,Athlete,24,0,21.0,24.5,23.0,26.0,30.0,28.0,33.0,29.0,29.5,29.3332,
Apolo Anton Ohno,4,1,10,Winner,Julianne Hough,Athlete,24,0,21.0,24.5,23.0,26.0,30.0,28.0,33.0,29.0,28.611,29.3332,
Apolo Anton Ohno,4,1,10,Winner,Julianne Hough,Athlete,24,0,21.0,24.5,23.0,26.0,30.0,28.0,33.0,29.2777,29.5,29.3332,
Apolo Anton Ohno,4,1,10,Winner,Julianne Hough,Athlete,24,0,21.0,24.5,23.0,26.0,30.0,28.0,33.0,29.2777,28.611,29.3332,
Apolo Anton Ohno,4,1,10,Winner,Julianne Hough,Athlete,24,0,21.0,24.5,23.0,26.0,30.0,30.0,27.0,29.0,29.5,29.3332,
Apolo Anton Ohno,4,1,10,Winner,Julianne Hough,Athlete,24,0,21.0,24.5,23.0,26.0,30.0,30.0,27.0,29.0,28.611,29.3332,
Apolo Anton Ohno,4,1,10,Winner,Julianne Hough,Athlete,24,0,21.0,24.5,23.0,26.0,30.0,30.0,27.0,29.2777,29.5,29.3332,
Apolo Anton Ohno,4,1,10,Winner,Julianne Hough,Athlete,24,0,21.0,24.5,23.0,26.0,30.0,30.0,27.0,29.2777,28.611,29.3332,
Apolo Anton Ohno,4,1,10,Winner,Julianne Hough,Athlete,24,0,21.0,24.5,23.0,26.0,30.0,30.0,33.0,29.0,29.5,29.3332,
Apolo Anton Ohno,4,1,10,Winner,Julianne Hough,Athlete,24,0,21.0,24.5,23.0,26.0,30.0,30.0,33.0,29.0,28.611,29.3332,
Apolo Anton Ohno,4,1,10,Winner,Julianne Hough,Athlete,24,0,21.0,24.5,23.0,26.0,30.0,30.0,33.0,29.2777,29.5,29.3332,
Apolo Anton Ohno,4,1,10,Winner,Julianne Hough,Athlete,24,0,21.0,24.5,23.0,26.0,30.0,30.0,33.0,29.2777,28.611,29.3332,
