season,celebrity_name,weeks_participated,placement,results,week1_score_sum,week2_score_sum,week3_score_sum,week4_score_sum,week5_score_sum,week6_score_sum,week7_score_sum,week8_score_sum,week9_score_sum,week10_score_sum,week11_score_sum
28,65,11,2,2nd Place,-0.146615588,0.56225353,0.050702013,0.872698903,0.870863572,0.365148372,0.129099445,0.597307028,0.483610101,0.72547625,0.447213595
28,69,4,10,Eliminated Week 4,-1.906002646,-2.008048322,-1.977378494,-1.88319237,,,,,,,
28,70,11,4,Eliminated Week 11,0.909016647,0.240965799,0.050702013,0.872698903,-0.366679399,0.365148372,0.903696114,-0.878395582,0.053734456,-0.362738125,-1.341640786
28,75,2,12,Eliminated Week 2,0.205261823,-1.044185128,,,,,,,,,
28,90,2,11,Eliminated Week 2,-0.498493,-1.044185128,,,,,,,,,
28,93,6,9,Eliminated Week 6,0.557139235,-0.080321933,0.811232203,0.643041297,0.045834925,0.912870929,,,,,
28,96,9,6,Eliminated Week 9,-1.554125235,-0.722897396,-1.216848304,-1.653534764,-2.016736693,-2.373464416,-2.194690563,-1.862230117,-2.09564377,,
29,0,9,7,Eliminated Week 9,0.221948381,0.386093671,0.28095387,0.424334212,0.028736107,0.929219937,0.0,-0.40449442,-1.107852792,,
29,8,4,13,Eliminated Week 4,0.221948381,-0.096523418,-1.534440367,-1.08012345,,,,,,,
29,14,3,14,Eliminated Week 3,-2.108509618,-1.061757596,-2.442137485,,,,,,,,
29,17,2,15,Eliminated Week 2,-1.775587046,-1.544374685,,,,,,,,,
29,20,8,8,Eliminated Week 8,-1.442664475,-0.096523418,0.583519576,-0.578637562,-1.695430299,-0.128168267,0.0,-0.40449442,,,
29,46,7,9,Eliminated Week 7,0.221948381,-0.096523418,0.583519576,-1.08012345,0.028736107,0.224294468,-0.5,,,,
29,50,5,12,Eliminated Week 5,0.221948381,0.86871076,-0.021611836,-1.08012345,-1.695430299,,,,,,
29,57,10,6,Eliminated Week 10,0.221948381,-0.096523418,1.188650988,0.424334212,1.752902512,-0.833093737,0.5,1.213591132,1.046319775,-0.654653671,
29,61,11,4,Eliminated Week 11,1.220716094,1.351327849,-0.324177542,0.424334212,0.028736107,0.929219937,0.0,0.674121409,-0.677035511,0.0,0.577350269
29,62,11,1,1st Place,0.887793523,1.833944938,0.886085282,0.9258201,1.06323595,0.929219937,-1.0,0.134867431,1.046319775,1.309307341,0.577350269
29,84,7,10,Eliminated Week 7,0.554870952,-1.061757596,0.28095387,0.424334212,0.718402669,0.929219937,-2.0,,,,
29,85,11,3,3rd Place,-0.443896762,-0.096523418,-0.626743248,-1.08012345,0.028736107,-0.128168267,0.5,-2.022579972,-1.538583909,-1.309307341,-1.732050808
29,86,11,2,2nd Place,0.887793523,1.351327849,1.188650988,0.424334212,0.718402669,0.576757203,2.0,1.213591132,0.615416331,1.309307341,0.577350269
29,99,10,5,Eliminated Week 10,1.220716094,-1.544374685,-0.626743248,2.430277762,0.028736107,-2.242944676,0.5,-0.404602292,0.615416331,-0.654653671,
29,110,6,11,Eliminated Week 6,-0.11097419,-0.096523418,0.583519576,-0.578637562,-1.005763736,-1.185556472,,,,,
30,5,10,4,Eliminated Week 10,0.967685995,1.578953426,1.424110209,0.656872014,1.242521488,0.640512615,-0.782623792,0.970725343,1.111167799,-0.301511345,
30,12,4,13,Eliminated Week 4,-0.107520666,-0.664822495,-1.199250702,-2.075715563,,,,,,,
30,21,3,14,Eliminated Week 3,0.161280999,-0.41551406,-0.149906338,,,,,,,,
30,22,10,3,3rd Place,-0.107520666,-0.41551406,-1.723922885,-1.050995222,-0.931891116,-0.160128154,-0.111803399,-0.138675049,-1.313198308,-1.507556723,
30,41,10,1,1st Place,-0.913925662,-0.166205624,-1.199250702,-0.197061604,-2.174412605,1.441153384,-0.782623792,-0.970725343,-0.101015254,0.904534034,
30,52,8,7,Eliminated Week 8,-0.645123997,0.332411248,-0.67457852,0.144511843,-0.310630372,0.640512615,0.559016994,-1.802775638,,,
30,53,10,2,2nd Place,1.23648766,1.329644991,1.424110209,0.998445461,1.55315186,1.441153384,0.894427191,0.693375245,1.414213562,0.904534034,
30,68,6,10,Eliminated Week 6,0.430082664,-0.41551406,-0.149906338,-0.880208498,0.310630372,-1.761409692,,,,,
30,74,2,15,Eliminated Week 2,-3.064338984,-2.659289981,,,,,,,,,
30,77,4,12,Eliminated Week 4,-0.107520666,-0.914130931,-0.67457852,-1.221781945,,,,,,,
30,80,5,11,Eliminated Week 5,0.69888433,1.080336555,0.374765844,0.315298567,0.310630372,,,,,,
30,81,9,6,Eliminated Week 9,0.430082664,0.332411248,0.899438027,1.510805631,0.310630372,-0.960768923,0.559016994,0.970725343,-1.010152545,,
30,82,7,9,Eliminated Week 7,-0.107520666,0.083102812,0.374765844,0.144511843,-0.931891116,-0.960768923,-1.453444185,,,,
30,87,8,8,Eliminated Week 8,0.161280999,0.332411248,1.424110209,0.998445461,0.310630372,-0.160128154,1.900657781,-0.693375245,,,
30,102,9,5,Eliminated Week 9,0.967685995,0.581719683,-0.149906338,0.656872014,0.310630372,-0.160128154,-0.782623792,0.970725343,-0.101015254,,
31,18,10,1,1st Place,1.870939403,1.416052194,1.277487278,1.299521073,1.421325874,1.828261862,1.253256627,1.157255592,1.226278679,1.0,
31,19,3,14,Eliminated Week 3,-0.662024712,-2.019956806,-1.450705892,,,,,,,,
31,24,9,5,Eliminated Week 9,0.719592078,0.47895883,0.671222129,-0.73938268,-1.190840597,-0.166205624,0.147441956,-0.050315461,-0.797081141,,
31,33,10,2,2nd Place,0.949861543,1.416052194,1.277487278,1.299521073,1.114012172,0.831028119,-0.294883912,0.150946382,1.226278679,1.0,
31,38,8,8,Eliminated Week 8,0.028783683,0.166594376,0.974354704,0.716977144,0.499384767,0.498616871,-0.516046847,-0.855362829,,,
31,44,1,16,Eliminated Week 1,-1.352833107,,,,,,,,,,
31,51,6,10,Eliminated Week 6,-0.892294177,-0.770498988,-0.844440743,-0.15683875,-0.422556341,-0.831028119,,,,,
31,59,7,9,Eliminated Week 7,0.489322613,-0.145770079,0.06495698,0.716977144,-0.576213192,-0.166205624,-0.737209781,,,,
31,60,5,11,Eliminated Week 5,-0.201485782,-1.082863442,0.06495698,-1.030654644,-0.729870043,,,,,,
31,94,4,13,Eliminated Week 4,-0.892294177,-0.458134533,-1.147573318,-1.904470539,,,,,,,
31,97,5,12,Eliminated Week 5,0.949861543,0.166594376,-0.238175594,0.134433214,0.806698469,,,,,,
31,98,10,4,Eliminated Week 10,0.949861543,0.166594376,0.368089555,0.134433214,0.345727915,0.498616871,0.147441956,0.553470066,-0.061313934,-1.0,
31,104,2,15,Eliminated Week 2,-0.892294177,-1.395227897,,,,,,,,,
31,107,9,6,Eliminated Week 9,-0.662024712,0.791323285,-0.541308169,-1.030654644,-0.422556341,-0.166205624,1.253256627,-0.050315461,-1.532848349,,
31,111,8,7,Eliminated Week 8,-1.583102572,-0.145770079,-1.753838467,-0.73938268,-1.959124854,-2.16067311,-2.064187386,-2.062933882,,,
31,112,10,3,3rd Place,1.180131008,1.416052194,1.277487278,1.299521073,1.114012172,-0.166205624,0.810930759,1.157255592,-0.061313934,-1.0,
32,1,4,11,Eliminated Week 4,0.444400903,-0.940579074,-1.054412335,-0.293235846,,,,,,,
32,4,11,5,Eliminated Week 11,-1.036935441,0.196865388,-0.625498843,-1.368433946,-1.0,-1.087997609,-0.136082763,-0.032547228,-1.051249179,-1.897366596,-1.971054913
32,9,11,3,3rd Place,1.33320271,0.481226503,1.519068618,1.140361622,0.0,1.189206689,0.952579344,1.334436338,0.036249972,0.316227766,0.303239217
32,11,8,7,Eliminated Week 8,-0.148133634,-0.940579074,-0.411042097,-1.368433946,0.0,-0.860277179,-1.496910398,-0.260377822,,,
32,16,11,4,Eliminated Week 11,1.629469979,0.765587619,1.090155126,0.781962255,1.333333333,0.506045399,0.40824829,0.650944555,0.253749802,0.632455532,0.303239217
32,37,9,6,Eliminated Week 9,-1.33320271,-0.940579074,-0.625498843,-0.293235846,-2.0,-1.543438468,-1.769075925,-1.855191981,-1.486248839,,
32,43,2,13,Eliminated Week 2,-0.444400903,-0.656217959,,,,,,,,,
32,45,11,2,2nd Place,1.33320271,1.618670965,1.519068618,0.781962255,1.0,0.733765829,0.40824829,-0.71603901,1.341248952,0.0,0.682288239
32,72,7,8,Eliminated Week 7,0.740668172,0.765587619,0.017871396,0.065163521,0.0,0.27832497,0.680413817,,,,
32,78,1,14,Eliminated Week 1,-1.33320271,,,,,,,,,,
32,79,6,9,Eliminated Week 6,-0.444400903,-1.793662421,-0.839955589,-1.010034579,0.0,-0.632556749,,,,,
32,83,5,10,Eliminated Week 5,0.148133634,-0.087495728,-0.196585351,-0.293235846,-0.666666667,,,,,,
32,109,3,12,Eliminated Week 3,-1.33320271,-0.087495728,-1.483325827,,,,,,,,
32,114,11,1,1st Place,0.444400903,1.618670965,1.090155126,1.857160355,1.333333333,1.416927118,0.952579344,0.878775149,0.906249292,0.948683298,0.682288239
33,7,2,12,Eliminated Week 2,-0.443812682,-1.071676226,,,,,,,,,
33,13,4,9,Eliminated Week 4,-0.443812682,0.057928445,0.38440655,-0.324442842,,,,,,,
33,15,9,3,3rd Place,1.775250729,1.564068005,1.350914447,-0.324442842,1.649915823,0.946058996,1.788854382,0.953462589,1.224744871,,
33,26,9,5,Eliminated Week 9,0.443812682,0.434463335,0.263593063,1.622214211,0.23570226,-0.525588331,-0.626099034,-0.953462589,-1.496910398,,
33,28,7,6,Eliminated Week 7,1.331438047,0.810998225,-0.702914834,-1.784435632,-1.178511302,0.578147164,-1.431083506,,,,
33,31,3,10,Eliminated Week 3,-1.775250729,-1.824746006,-1.427795757,,,,,,,,
33,40,9,2,2nd Place,-0.443812682,0.434463335,-0.219660886,-0.324442842,0.707106781,-1.997235659,-0.357770876,0.476731295,-0.816496581,,
33,48,6,7,Eliminated Week 6,0.0,-0.318606445,0.505220037,-0.324442842,0.23570226,0.578147164,,,,,
33,54,9,1,1st Place,0.887625365,0.810998225,1.471727934,1.622214211,0.707106781,0.946058996,0.447213595,0.953462589,0.544331054,,
33,88,5,8,Eliminated Week 5,0.0,0.434463335,-0.219660886,-0.324442842,-1.178511302,,,,,,
33,91,3,10,Eliminated Week 3,-1.331438047,-1.824746006,-1.911049706,,,,,,,,
33,101,9,4,Eliminated Week 9,0.887625365,0.810998225,0.505220037,0.162221421,-1.178511302,-0.525588331,0.178885438,-1.430193884,0.544331054,,
33,106,2,12,Eliminated Week 2,-0.887625365,-0.318606445,,,,,,,,,
34,2,11,2,2nd Place,0.637993085,0.51214752,0.784213926,0.775202533,1.067653235,0.253184842,1.363124392,0.514272052,0.324442842,0.534522484,1.372812946
34,6,9,7,Eliminated Week 9,-1.34687429,-1.728497879,-1.692251104,-2.422507916,-2.106450977,-1.772293892,-1.75966967,-2.334003928,-2.173767043,,
34,10,2,13,Eliminated Week 2,-0.850657446,-0.83223972,,,,,,,,,
34,23,2,13,Eliminated Week 2,-1.34687429,-2.176626959,,,,,,,,,
34,25,8,8,Eliminated Week 8,0.141776241,-0.38411064,-0.206372086,-0.823652691,-0.663676335,0.506369684,-0.421329358,-0.435153275,,,
34,29,11,4,Eliminated Week 11,-0.850657446,0.06401844,0.784213926,0.242250792,1.356208164,-0.506369684,0.247840799,0.197796943,0.778662821,-1.870828693,-0.588348405
34,30,11,5,Eliminated Week 11,0.141776241,0.51214752,-0.206372086,0.775202533,-0.375121407,0.506369684,-1.090499514,-0.118678166,-0.583997116,-0.267261242,-1.568929081
34,39,4,11,Eliminated Week 4,1.134209928,0.51214752,0.28892092,0.242250792,,,,,,,
34,47,7,9,Eliminated Week 7,0.141776241,0.960276599,-1.196958098,0.242250792,-0.663676335,-0.506369684,-0.644386076,,,,
34,58,11,3,3rd Place,-0.850657446,0.960276599,1.279506932,0.775202533,0.20198845,1.265924209,0.247840799,0.830747161,0.097332853,-0.267261242,0.39223227
34,71,3,12,Eliminated Week 3,0.637993085,0.51214752,-1.692251104,,,,,,,,
34,92,11,1,1st Place,1.630426772,0.960276599,0.28892092,-0.29070095,1.067653235,0.506369684,0.917010955,0.197796943,0.778662821,1.33630621,0.39223227
34,95,6,10,Eliminated Week 6,-0.850657446,-0.83223972,0.28892092,-0.823652691,-0.375121407,-1.519109051,,,,,
34,113,10,6,Eliminated Week 10,1.630426772,0.960276599,1.279506932,1.308154274,0.490543378,1.265924209,1.140067673,1.14722227,0.778662821,0.534522484,
