celebrity_name,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,season,results,placement,week1_judge1_score,week1_judge2_score,week1_judge3_score,week1_judge4_score,week2_judge1_score,week2_judge2_score,week2_judge3_score,week2_judge4_score,week3_judge1_score,week3_judge2_score,week3_judge3_score,week3_judge4_score,week4_judge1_score,week4_judge2_score,week4_judge3_score,week4_judge4_score,week5_judge1_score,week5_judge2_score,week5_judge3_score,week5_judge4_score,week6_judge1_score,week6_judge2_score,week6_judge3_score,week6_judge4_score,week7_judge1_score,week7_judge2_score,week7_judge3_score,week7_judge4_score,week8_judge1_score,week8_judge2_score,week8_judge3_score,week8_judge4_score,week9_judge1_score,week9_judge2_score,week9_judge3_score,week9_judge4_score,week10_judge1_score,week10_judge2_score,week10_judge3_score,week10_judge4_score,week11_judge1_score,week11_judge2_score,week11_judge3_score,week11_judge4_score,is_from_usa,is_final_awarded,is_final_reached,season_total_weeks,weeks_participated,low_score_advanced_week,low_score_advanced_weeks,low_score_advanced_count,week1_score_sum,week2_score_sum,week3_score_sum,week4_score_sum,week5_score_sum,week6_score_sum,week7_score_sum,week8_score_sum,week9_score_sum,week10_score_sum,week11_score_sum,week1_percentage,week1_percentage_rank,week2_percentage,week2_percentage_rank,week3_percentage,week3_percentage_rank,week4_percentage,week4_percentage_rank,week5_percentage,week5_percentage_rank,week6_percentage,week6_percentage_rank,week7_percentage,week7_percentage_rank,week8_percentage,week8_percentage_rank,week9_percentage,week9_percentage_rank,week10_percentage,week10_percentage_rank,week11_percentage,week11_percentage_rank
Stacy Keibler,Tony Dovolani,Athlete,Maryland,United States,26,2,3rd Place,3,8.0,6.0,8.0,0.0,9.0,10.0,10.0,0.0,9.0,9.0,9.0,0.0,8.0,9.0,9.0,0.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,0.0,9.0,9.0,9.5,0.0,9.3333,9.6666,9.6666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,8,8,0,,0,22.0,29.0,27.0,26.0,30.0,30.0,27.5,28.6665,0.0,0.0,0.0,0.11282051282051282,3.0,0.145,1.0,0.14835164835164835,1.0,0.16455696202531644,2.0,0.1986754966887417,1.0,0.22556390977443608,1.0,0.2696078431372549,1.0,0.33992071896021603,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Jerry Rice,Anna Trebunskaya,Athlete,Mississippi,United States,43,2,2nd Place,2,7.0,7.0,7.0,0.0,7.0,8.0,8.0,0.0,7.0,6.0,6.0,0.0,8.0,8.0,8.0,0.0,7.0,8.0,8.0,0.0,8.0,7.0,8.0,0.0,7.0,7.0,6.5,0.0,9.0,9.0,8.6666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,8,8,7,"3,5,7",3,21.0,23.0,19.0,24.0,23.0,23.0,20.5,26.666600000000003,0.0,0.0,0.0,0.1076923076923077,4.0,0.115,4.0,0.1043956043956044,5.0,0.1518987341772152,4.0,0.152317880794702,5.0,0.17293233082706766,3.0,0.20098039215686275,3.0,0.31620636785880724,3.0,0.0,0.0,0.0,0.0,0.0,0.0
Giselle Fernandez,Jonathan Roberts,News Anchor,,Mexico,44,2,Eliminated Week 3,8,7.0,8.0,8.0,0.0,8.0,8.0,8.0,0.0,7.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,8,3,0,,0,23.0,24.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11794871794871795,2.0,0.12,3.0,0.12087912087912088,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Master P,Ashly DelGrosso,Singer/Rapper,Louisiana,United States,35,2,Eliminated Week 4,7,4.0,4.0,4.0,0.0,6.0,5.0,5.0,0.0,6.0,4.0,4.0,0.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,8,4,3,"1,2,3",3,12.0,16.0,14.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06153846153846154,9.0,0.08,8.0,0.07692307692307693,6.0,0.05063291139240506,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Drew Lachey,Cheryl Burke,Singer/Rapper,Ohio,United States,29,2,1st Place,1,8.0,8.0,8.0,0.0,9.0,9.0,9.0,0.0,9.0,9.0,9.0,0.0,9.0,9.0,10.0,0.0,9.0,9.0,9.0,0.0,10.0,10.0,10.0,0.0,9.5,9.0,9.0,0.0,9.6666,9.6666,9.6666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,8,8,0,,0,24.0,27.0,27.0,28.0,27.0,30.0,27.5,28.9998,0.0,0.0,0.0,0.12307692307692308,1.0,0.135,2.0,0.14835164835164835,1.0,0.17721518987341772,1.0,0.17880794701986755,2.0,0.22556390977443608,1.0,0.2696078431372549,1.0,0.34387291318097685,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Kenny Mayne,Andrea Hale,Sports Broadcaster,Washington,United States,46,2,Eliminated Week 1,10,4.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,8,1,0,,0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kate Flannery,Pasha Pashkov,Actor/Actress,Pennsylvania,United States,55,28,Eliminated Week 8,7,5.0,5.0,5.0,0.0,7.0,7.0,7.0,0.0,8.0,8.0,8.0,0.0,7.0,7.0,6.0,6.0,8.0,8.0,8.0,0.0,9.0,9.0,9.0,0.0,8.0,8.0,8.0,0.0,8.6666,8.6666,8.6666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,11,8,7,"4,7",2,15.0,21.0,24.0,26.0,24.0,27.0,24.0,25.9998,0.0,0.0,0.0,0.07614213197969544,7.0,0.0958904109589041,2.0,0.12121212121212122,1.0,0.09219858156028368,4.0,0.11162790697674418,4.0,0.11842105263157894,1.0,0.1188118811881188,5.0,0.13471454803957736,5.0,0.0,0.0,0.0,0.0,0.0,0.0
James Van Der Beek,Emma Slater,Actor/Actress,Connecticut,United States,42,28,Eliminated Week 10,5,7.0,7.0,7.0,0.0,7.0,6.0,7.0,0.0,8.0,7.0,8.0,0.0,7.0,7.0,7.0,7.0,9.0,8.0,9.0,0.0,9.0,9.0,9.0,0.0,9.0,9.0,9.0,0.0,10.6666,10.6666,10.6666,0.0,9.0,8.5,9.5,9.0,8.5,8.5,8.5,0.0,0.0,0.0,0.0,0.0,1,0,0,11,10,0,,0,21.0,20.0,23.0,28.0,26.0,27.0,27.0,31.9998,36.0,25.5,0.0,0.1065989847715736,1.0,0.091324200913242,3.0,0.11616161616161616,2.0,0.09929078014184398,3.0,0.12093023255813953,2.0,0.11842105263157894,1.0,0.13366336633663367,1.0,0.1658027598041857,1.0,0.17266187050359713,3.0,0.18545454545454546,4.0,0.0,0.0
Kel Mitchell,Witney Carson,Actor/Actress,Illinois,United States,41,28,2nd Place,2,6.0,5.0,5.0,0.0,7.0,6.0,7.0,0.0,7.0,6.0,7.0,0.0,8.0,8.0,8.0,8.0,9.0,8.0,9.0,0.0,9.0,8.0,9.0,0.0,8.5,8.5,8.5,0.0,9.6666,9.6666,10.6666,0.0,9.0,9.0,9.5,9.5,9.5,9.5,9.5,0.0,10.0,9.5,10.0,0.0,1,1,1,11,11,0,,0,16.0,20.0,20.0,32.0,26.0,26.0,25.5,29.9998,37.0,28.5,29.5,0.08121827411167512,6.0,0.091324200913242,3.0,0.10101010101010101,4.0,0.11347517730496454,1.0,0.12093023255813953,2.0,0.11403508771929824,2.0,0.12623762376237624,3.0,0.15544002254931627,4.0,0.1774580335731415,2.0,0.20727272727272728,2.0,0.25213675213675213,2.0
Ray Lewis,Cheryl Burke,Athlete,Florida,United States,44,28,Withdrew,11,5.0,5.0,5.0,0.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,11,2,0,,0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07614213197969544,7.0,0.0684931506849315,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lamar Odom,Peta Murgatroyd,Athlete,New York,United States,39,28,Eliminated Week 4,10,5.0,3.0,3.0,0.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,0.0,5.0,7.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,11,4,3,"1,2,3",3,11.0,12.0,12.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05583756345177665,9.0,0.0547945205479452,8.0,0.06060606060606061,7.0,0.07092198581560284,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sailor Brinkley-Cook,Valentin Chmerkovskiy,Model,New York,United States,21,28,Eliminated Week 6,9,6.0,6.0,6.0,0.0,6.0,6.0,6.0,0.0,7.0,8.0,8.0,0.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,0.0,9.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,11,6,0,,0,18.0,18.0,23.0,31.0,24.0,27.0,0.0,0.0,0.0,0.0,0.0,0.09137055837563451,4.0,0.0821917808219178,5.0,0.11616161616161616,2.0,0.1099290780141844,2.0,0.11162790697674418,4.0,0.11842105263157894,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sean Spicer,Lindsay Arnold,Politician,New York,United States,48,28,Eliminated Week 9,6,4.0,4.0,4.0,0.0,6.0,5.0,5.0,0.0,5.0,5.0,5.0,0.0,5.0,6.0,5.0,5.0,7.0,6.0,6.0,0.0,7.0,7.0,7.0,0.0,7.0,7.0,7.0,0.0,7.0,7.0,6.0,0.0,6.5,6.0,6.5,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,11,9,8,"1,3,4,5,6,7,8",7,12.0,16.0,15.0,21.0,19.0,21.0,21.0,20.0,25.0,0.0,0.0,0.06091370558375635,8.0,0.0730593607305936,6.0,0.07575757575757576,6.0,0.07446808510638298,5.0,0.08837209302325581,7.0,0.09210526315789473,5.0,0.10396039603960396,6.0,0.1036273725486945,7.0,0.11990407673860912,6.0,0.0,0.0,0.0,0.0
Mary Wilson,Brandon Armstrong,Singer/Rapper,Nevada,United States,75,28,Eliminated Week 2,12,6.0,5.0,6.0,0.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,11,2,0,,0,17.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08629441624365482,5.0,0.0684931506849315,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lauren Alaina,Gleb Savchenko,Singer/Rapper,Georgia,United States,24,28,4th Place,4,7.0,6.0,6.0,0.0,6.0,6.0,7.0,0.0,6.0,7.0,7.0,0.0,8.0,8.0,8.0,8.0,8.0,7.0,8.0,0.0,9.0,8.0,9.0,0.0,9.0,9.0,9.0,0.0,8.0,8.0,8.0,0.0,9.0,9.0,8.5,8.5,9.0,9.0,9.0,0.0,9.5,9.5,9.5,0.0,1,0,1,11,11,9,"8,9",2,19.0,19.0,20.0,32.0,23.0,26.0,27.0,24.0,35.0,27.0,28.5,0.09644670050761421,3.0,0.0867579908675799,4.0,0.10101010101010101,4.0,0.11347517730496454,1.0,0.10697674418604651,5.0,0.11403508771929824,2.0,0.13366336633663367,1.0,0.1243528470584334,6.0,0.16786570743405277,5.0,0.19636363636363635,3.0,0.24358974358974358,4.0
Ally Brooke,Sasha Farber,Singer/Rapper,Texas,United States,26,28,3rd Place,3,5.0,5.0,6.0,0.0,7.0,6.0,7.0,0.0,8.0,8.0,8.0,0.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,0.0,8.0,9.0,8.0,0.0,9.0,9.0,9.0,0.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0,9.5,10.0,0.0,10.0,10.0,10.0,0.0,1,1,1,11,11,0,,0,16.0,20.0,24.0,32.0,27.0,25.0,27.0,30.0,40.0,29.5,30.0,0.08121827411167512,6.0,0.091324200913242,3.0,0.12121212121212122,1.0,0.11347517730496454,1.0,0.12558139534883722,1.0,0.10964912280701754,3.0,0.13366336633663367,1.0,0.15544105882304174,3.0,0.19184652278177458,1.0,0.21454545454545454,1.0,0.2564102564102564,1.0
Karamo Brown,Jenna Johnson,TV Personality,Texas,United States,38,28,Eliminated Week 7,8,6.0,5.0,6.0,0.0,7.0,5.0,7.0,0.0,5.0,5.0,6.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.0,9.0,8.0,8.0,0.0,8.5,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,11,7,5,"3,5",2,17.0,19.0,16.0,28.0,21.0,25.0,24.5,0.0,0.0,0.0,0.0,0.08629441624365482,5.0,0.0867579908675799,4.0,0.08080808080808081,5.0,0.09929078014184398,3.0,0.09767441860465116,6.0,0.10964912280701754,3.0,0.12128712871287128,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hannah Brown,Alan Bersten,TV Personality,Alabama,United States,24,28,1st Place,1,7.0,7.0,6.0,0.0,8.0,8.0,8.0,0.0,7.0,7.0,7.0,0.0,8.0,8.0,8.0,8.0,9.0,7.0,9.0,0.0,8.0,8.0,8.0,0.0,8.5,9.0,8.5,0.0,10.6666,9.6666,10.6666,0.0,9.0,8.5,9.0,9.0,9.0,9.0,9.0,0.0,10.0,9.5,9.5,0.0,1,1,1,11,11,6,6,1,20.0,24.0,21.0,32.0,25.0,24.0,26.0,30.9998,35.5,27.0,29.0,0.10152284263959391,2.0,0.1095890410958904,1.0,0.10606060606060606,3.0,0.11347517730496454,1.0,0.11627906976744186,3.0,0.10526315789473684,4.0,0.12871287128712872,2.0,0.160621391176751,2.0,0.17026378896882494,4.0,0.19636363636363635,3.0,0.24786324786324787,3.0
Anne Heche,Keo Motsepe,Actor/Actress,Ohio,United States,51,29,Eliminated Week 4,13,6.0,6.0,6.0,0.0,6.0,6.0,6.0,0.0,5.0,5.0,5.0,0.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,11,4,3,3,1,18.0,18.0,15.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06923076923076923,4.0,0.06593406593406594,5.0,0.05338078291814947,8.0,0.06976744186046512,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jesse Metcalfe,Sharna Burgess,Actor/Actress,California,United States,41,29,Eliminated Week 5,12,6.0,6.0,6.0,0.0,7.0,7.0,6.0,0.0,7.0,6.0,7.0,0.0,7.0,7.0,7.0,0.0,7.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,11,5,0,,0,18.0,20.0,20.0,21.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06923076923076923,4.0,0.07326007326007326,3.0,0.0711743772241993,5.0,0.06976744186046512,5.0,0.06620209059233449,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
