contestant_id,celebrity_name,vote_intensity_mean,rank
174,164,2.124895144340835,93
186,40,2.1142605722484955,94
209,292,2.1130372760717013,95
241,222,2.111909509598191,96
276,283,2.1024824871146186,97
151,86,2.1009875907638227,98
291,139,2.0948445927892148,99
4,177,2.078776805344361,100
33,179,2.0783336446166247,101
293,141,2.069349564483077,102
232,226,2.065583269433051,103
14,159,2.0549853485771576,104
132,206,2.0503673400389224,105
114,105,2.018255684560721,106
170,251,2.0163328017729887,107
157,35,2.0151269660946047,108
143,99,1.9771461740852239,109
115,262,1.971191790058807,110
222,41,1.9663203158248401,111
51,186,1.958201753955055,112
113,154,1.9580453444808044,113
262,32,1.9518897126081982,114
49,60,1.947870041181452,115
280,213,1.947096901148173,116
29,104,1.9377849836271672,117
218,225,1.936558228342916,118
172,34,1.9306153239293307,119
91,37,1.9274126396111908,120
20,132,1.9178794388803577,121
235,130,1.9129676454431497,122
269,214,1.9108245009912277,123
80,129,1.8940017220450938,124
109,20,1.8938977157634265,125
304,8,1.8899129846858043,126
197,163,1.8832029132403179,127
226,14,1.880807355606974,128
23,121,1.8650678139254393,129
45,176,1.8641266969953434,130
134,291,1.8520553191693687,131
31,288,1.8404784160832026,132
190,12,1.8371547274779334,133
173,85,1.828773556810918,134
34,63,1.8264723866764059,135
275,269,1.8222961065183982,136
256,120,1.8109547855160826,137
221,6,1.8022344007416333,138
189,45,1.772687669799857,139
97,143,1.758121987062219,140
65,260,1.7480466549855205,141
261,207,1.7385729261380047,142
130,42,1.7320690013957205,143
131,48,1.7311040217932498,144
294,90,1.7310056917935817,145
208,264,1.7266912321956152,146
271,93,1.6942977248706967,147
100,91,1.687276248219579,148
62,162,1.6789584147899492,149
303,271,1.6764220157940986,150
165,64,1.662260448094902,151
127,107,1.660745816363113,152
289,199,1.6546660836060232,153
236,80,1.64474566620914,154
192,81,1.6431816410226474,155
8,248,1.6425597232464402,156
252,236,1.6301051194149474,157
259,204,1.6146740150256222,158
96,88,1.6145290148919158,159
40,123,1.5966842157287562,160
11,134,1.5934697493074128,161
7,290,1.583274497817652,162
220,94,1.5767199161112935,163
78,170,1.5743981743475919,164
2,203,1.574331834915619,165
179,54,1.567875098455485,166
92,43,1.5646817432591833,167
68,166,1.5338092622614614,168
104,157,1.5284958681264276,169
147,246,1.5222496591860226,170
39,178,1.5113005462955977,171
164,113,1.5101613465844868,172
141,77,1.4995612799538658,173
246,185,1.4923909804661726,174
270,249,1.4883931800722912,175
90,217,1.4697746258295368,176
229,101,1.4553076144443668,177
242,98,1.4550684857596767,178
184,66,1.4501818536434072,179
128,57,1.4383332887660314,180
180,215,1.4251004800053375,181
48,263,1.4246898134380832,182
57,241,1.4179058035618002,183
227,265,1.4141198972421252,184
87,148,1.413293356192839,185
103,235,1.403711045213098,186
299,184,1.399248266132603,187
50,201,1.39286423456026,188
146,97,1.375733774262125,189
26,92,1.3748325128895316,190
286,18,1.3721711482633658,191
108,270,1.3713104161693124,192
21,165,1.3439809583955107,193
75,180,1.3332942329808832,194
3,133,1.3312116632066497,195
54,274,1.3311316938827293,196
18,102,1.316489719645428,197
77,210,1.3057557271772944,198
22,39,1.3008169592813155,199
116,50,1.2971000658231808,200
61,67,1.2958840103470464,201
74,189,1.2882495107506418,202
129,156,1.2774108197096246,203
196,137,1.265753673749674,204
193,61,1.2582295562291264,205
117,229,1.2433993695303605,206
162,282,1.2348578446881517,207
254,21,1.231160856373988,208
12,108,1.230680381445467,209
121,149,1.2268362951280263,210
260,103,1.2184008088850782,211
137,116,1.2091179728356705,212
1,284,1.2044911505899871,213
88,3,1.2033351083430925,214
300,71,1.1980389908009845,215
267,87,1.1835321963985304,216
98,114,1.1700976898455628,217
159,109,1.159709902970051,218
123,68,1.1547233627772715,219
215,46,1.1474757422056825,220
120,289,1.1446037577182604,221
37,182,1.1363512996973986,222
194,211,1.132293594706608,223
161,79,1.125158531745164,224
237,285,1.119769507727854,225
244,181,1.1041088881755623,226
25,126,1.1040517062884336,227
82,272,1.083638113459551,228
290,275,1.0725935164709028,229
213,195,1.042664035764691,230
274,218,1.0407656188896028,231
38,255,1.0351427326302283,232
248,245,1.0349219694142016,233
182,27,1.0119206626287225,234
67,56,1.0092078463278402,235
94,224,1.0061275706421766,236
187,250,1.0004286213596774,237
105,172,0.9798219376063533,238
169,168,0.9588503292537933,239
35,259,0.9584941845354941,240
288,52,0.9520041456577287,241
258,47,0.9415767822212047,242
233,200,0.9393746032651645,243
44,1,0.9365881748039193,244
135,112,0.9101203264106209,245
255,280,0.8970184716573082,246
287,125,0.8930530046063364,247
195,16,0.882522428588836,248
56,152,0.867036204028294,249
201,232,0.8596702925455831,250
46,267,0.8521376175118235,251
277,22,0.8475541884614676,252
6,253,0.8382932964379919,253
142,95,0.8349254342554943,254
231,153,0.8276015327782876,255
136,257,0.8248943608166971,256
70,106,0.8203511548888529,257
16,252,0.819562638048596,258
251,11,0.8145989900033951,259
234,151,0.8099545296216499,260
225,44,0.7868114478421677,261
273,75,0.7851359216593411,262
17,227,0.7546885518164104,263
285,142,0.7288819653205736,264
183,28,0.7200535542313646,265
240,96,0.7003955722194837,266
73,73,0.6734485278528052,267
154,104,0.6604495695858111,268
156,82,0.6511709164871889,269
279,72,0.6445799422336997,270
60,74,0.6433617184449162,271
76,55,0.6402777558848755,272
284,136,0.6175763447998037,273
245,115,0.6079160029441171,274
126,192,0.604211492830874,275
167,293,0.5979817515146489,276
295,208,0.5855654777454654,277
28,4,0.5806903300107386,278
283,119,0.5759460094238515,279
266,51,0.5598971876342722,280
140,183,0.5575948150080683,281
205,266,0.553917693769613,282
223,281,0.5137401537019043,283
106,193,0.4899099545334851,284
0,100,0.48589621703815516,285
43,228,0.48514444447666855,286
99,69,0.4847136220479255,287
81,145,0.4796462288862475,288
10,276,0.43915595158409426,289
72,19,0.437366881868723,290
177,150,0.43642168821510263,291
217,234,0.4325987309353935,292
89,254,0.4168948998151404,293
122,84,0.4090043722383201,294
66,23,0.3980344144708822,295
188,76,0.3850875223544741,296
298,65,0.3775822279814828,297
155,132,0.3721937290905717,298
118,197,0.36565311371182513,299
42,202,0.3189137006132613,300
153,224,0.27696972015680876,301
27,140,0.19133442753098187,302
53,124,0.17930076760906088,303
301,219,0.11654670147235693,304
83,171,0.08667728219182072,305
200,169,0.02119905323203638,306
