celebrity_name,season,week,judge_score,fan_votes,method1_rank,method2_pct,placement,weeks_participated,method1_pos,method2_pos,judge_score_pos,n_contestants,judge_is_bottom_two,method1_is_bottom_two,method2_is_bottom_two,both_methods_bottom_two,controversial_bottom
Cloris Leachman,7,5,21.0,34.50159648,10.5,0.2518824124006085,7.0,6.0,7.0,7.0,1.5,8,1,1,1,1,1
Cloris Leachman,7,6,15.0,3.990617963,14.0,0.115033667910084,7.0,6.0,7.0,7.0,1.0,7,1,1,1,1,1
Cody Linley,7,7,22.0,33.37692184,8.0,0.3502005276537125,4.0,9.0,5.0,5.0,2.0,6,1,1,1,1,1
Cody Linley,7,8,24.0,31.68501778,6.5,0.4376931417492681,4.0,9.0,4.0,4.0,1.5,5,1,1,1,1,1
Cody Linley,7,9,23.0,5.29733979,8.0,0.2829388026883966,4.0,9.0,4.0,4.0,1.0,4,1,1,1,1,1
Maurice Greene,7,4,20.0,35.31677267,11.0,0.2247698008513655,5.0,8.0,5.5,8.0,2.0,9,1,0,1,0,1
Maurice Greene,7,6,21.0,30.85078148,9.0,0.2957903779251448,5.0,8.0,4.0,6.0,2.0,7,1,0,1,0,1
Maurice Greene,7,8,24.0,4.408687326,9.5,0.2229451263437461,5.0,8.0,5.0,5.0,1.5,5,1,1,1,1,1
Warren Sapp,7,7,21.0,35.80459348,7.0,0.3579841391301802,2.0,10.0,4.0,3.0,1.0,6,1,0,0,0,0
Warren Sapp,7,10,27.5,25.09986444,3.5,0.6610741224607712,2.0,10.0,1.0,2.0,1.5,3,1,0,1,0,1
Lance Bass,7,5,21.0,37.44403111,8.5,0.2641795232790274,3.0,10.0,4.0,5.0,1.5,8,1,0,0,0,0
Lance Bass,7,10,27.5,24.77455008,4.5,0.6566992724772598,3.0,10.0,3.0,3.0,1.5,3,1,1,1,1,1
Rocco DiSpirito,7,2,16.0,48.03281947,13.0,0.1857869193190301,9.0,4.0,9.0,8.0,2.0,11,1,0,0,0,0
Rocco DiSpirito,7,3,20.0,33.63410338,15.0,0.2081147823474685,9.0,4.0,8.0,8.0,2.0,9,1,1,1,1,1
Rocco DiSpirito,7,4,18.0,3.4132187,18.0,0.1008712576661966,9.0,4.0,9.0,9.0,1.0,9,1,1,1,1,1
Lawrence Taylor,8,5,20.0,36.78797463,11.0,0.2239299037443787,7.0,7.0,2308.0,2308.0,2.0,2310,1,0,0,0,0
Lawrence Taylor,8,7,21.0,9.38158914,11.0,0.1727389637409614,7.0,7.0,2306.5,2307.0,1.0,2307,1,1,1,1,1
Ty Murray,8,1,14.0,43.54217805,17.0,0.1368082277127867,4.0,10.0,2310.0,2313.0,2.0,2314,1,0,1,0,1
Ty Murray,8,6,18.0,42.56929337,8.0,0.267923169621875,4.0,10.0,1281.0,2307.0,2.0,2309,1,0,0,0,0
Ty Murray,8,7,24.0,8.650826719,11.0,0.184754963918412,4.0,10.0,2306.5,2306.0,2.0,2307,1,1,1,1,1
Ty Murray,8,9,23.0,34.02199188,6.0,0.4317081628008322,4.0,10.0,1281.0,2305.0,1.0,2306,1,0,1,0,1
Ty Murray,8,10,24.0,5.691301007,8.0,0.2783909441834865,4.0,10.0,2305.0,2305.0,1.0,2305,1,1,1,1,1
Steve Wozniak,8,1,13.0,41.38171737,21.0,0.1287635284215857,10.0,4.0,2313.0,2314.0,1.0,2314,1,1,1,1,1
Steve Wozniak,8,3,10.0,52.72939873,13.0,0.1560247376284437,10.0,4.0,2307.5,2310.0,1.0,2313,1,0,0,0,0
Steve Wozniak,8,4,12.0,4.658837348,19.0,0.0660466753315245,10.0,4.0,2310.0,2310.0,1.0,2310,1,1,1,1,1
Steve-O,8,2,14.0,46.1236849,14.0,0.1435331575587459,8.0,6.0,2307.5,2312.0,1.0,2314,1,0,0,0,0
Steve-O,8,3,15.0,50.66104831,14.0,0.1711339100529874,8.0,6.0,2310.0,2309.0,2.0,2313,1,0,0,0,0
Steve-O,8,4,15.0,42.06590608,11.0,0.2106043589677059,8.0,6.0,2308.0,2308.0,2.0,2310,1,0,0,0,0
Steve-O,8,5,18.0,38.27268701,10.0,0.2195999197359879,8.0,6.0,2305.0,2309.0,1.0,2310,1,0,1,0,1
Steve-O,8,6,16.0,5.608967243,15.0,0.1085722438188503,8.0,6.0,2309.0,2309.0,1.0,2309,1,1,1,1,1
Louie Vito,9,4,16.0,38.19533441,14.5,0.1797066794439785,8.0,6.0,9.0,9.0,1.5,10,1,1,1,1,1
Michael Irvin,9,3,14.0,50.98475993,15.0,0.1625428555034184,7.0,7.0,10.0,10.0,1.0,13,1,0,0,0,0
Michael Irvin,9,4,16.0,39.36499756,12.5,0.1831851980112424,7.0,7.0,6.0,8.0,1.5,10,1,0,0,0,0
Michael Irvin,9,5,21.0,37.45193604,12.0,0.2059491133577568,7.0,7.0,5.0,6.0,1.0,10,1,0,0,0,0
Michael Irvin,9,6,21.9998,40.82824279,11.0,0.2409645688406598,7.0,7.0,6.5,6.0,1.0,9,1,0,0,0,0
Michael Irvin,9,7,23.5,4.707934118,13.0,0.1589458950171831,7.0,7.0,6.5,6.0,2.0,7,1,1,1,1,1
Tom DeLay,9,2,18.0,43.03028972,20.5,0.1586323553782632,13.0,3.0,10.0,10.0,1.5,11,1,1,1,1,1
Tom DeLay,9,3,15.0,4.528878081,23.0,0.067757775746737,13.0,3.0,13.0,13.0,2.0,13,1,1,1,1,1
Donny Osmond,9,8,25.0,34.62252821,5.5,0.4425354384641823,1.0,10.0,4.0,3.0,1.5,5,1,1,0,0,1
Donny Osmond,9,9,24.666600000000003,38.12124933,5.0,0.5693418875794405,1.0,10.0,2.5,2.0,1.0,4,1,0,0,0,0
Aiden Turner,10,1,15.0,55.75860158,12.0,0.1848073454470475,9.0,4.0,5.5,9.0,2.0,12,1,0,0,0,0
Aiden Turner,10,4,16.5,3.183073002,17.0,0.099723161353958,9.0,4.0,10.0,10.0,2.0,10,1,1,1,1,1
Niecy Nash,10,6,25.9998,33.84161077,8.0,0.2930039222993441,5.0,8.0,5.0,7.0,2.0,8,1,0,1,0,1
Niecy Nash,10,7,24.5,35.7777715,7.0,0.3681619290606642,5.0,8.0,5.0,1.0,1.0,7,1,0,0,0,0
Niecy Nash,10,8,21.5,4.58716199,10.0,0.2055070914112129,5.0,8.0,5.0,5.0,1.0,5,1,1,1,1,1
Buzz Aldrin,10,1,14.0,56.27530751,12.0,0.1810701521204735,10.0,3.0,5.5,10.0,1.0,12,1,0,0,0,0
Buzz Aldrin,10,2,12.0,36.98864484,20.0,0.159910581466835,10.0,3.0,10.0,10.0,1.0,10,1,1,1,1,1
Buzz Aldrin,10,3,13.0,3.409211389,20.0,0.0739212281963153,10.0,3.0,11.0,11.0,1.0,11,1,1,1,1,1
Chad Ochocinco,10,8,22.5,32.40413141,5.0,0.428970163630894,4.0,9.0,2.5,4.0,2.0,5,1,0,1,0,1
Chad Ochocinco,10,9,26.0,5.662116895,8.0,0.2881375336007975,4.0,9.0,4.0,4.0,1.0,4,1,1,1,1,1
Kate Gosselin,10,2,15.0,37.91803457,16.0,0.1761943864270013,8.0,5.0,9.0,9.0,2.0,10,1,1,1,1,1
Kate Gosselin,10,3,15.0,39.14278049,11.0,0.1873495021491635,8.0,5.0,5.0,10.0,2.0,11,1,0,1,0,1
Kate Gosselin,10,4,16.0,37.94932117,12.0,0.2147079130903031,8.0,5.0,8.0,9.0,1.0,10,1,0,1,0,1
Kate Gosselin,10,5,15.0,3.495900056,16.0,0.1012310557756124,8.0,5.0,9.0,9.0,1.0,9,1,1,1,1,1
Kurt Warner,11,6,21.9999,40.8362184,9.0,0.2851397567679644,5.0,8.0,21.0,21.0,1.0,22,1,1,1,1,1
Margaret Cho,11,1,15.0,45.65984248,19.0,0.1538839946168418,10.0,3.0,26.0,26.0,2.0,27,1,1,1,1,1
Margaret Cho,11,3,18.0,3.264197816,20.0,0.0905132834863949,10.0,3.0,25.0,25.0,1.0,25,1,1,1,1,1
The Situation,11,1,15.0,47.61172184,15.0,0.1576374937811727,9.0,4.0,23.5,25.0,2.0,27,1,0,0,0,0
The Situation,11,4,14.0,3.363072736,18.0,0.089349275712961,9.0,4.0,24.0,24.0,1.0,24,1,1,1,1,1
Ralph Macchio,12,5,22.0,37.24120394,9.0,0.2609367852459647,4.0,9.0,259.5,261.0,2.0,263,1,0,0,0,0
Ralph Macchio,12,6,24.0,33.02676522,9.0,0.2983339881580523,4.0,9.0,260.0,261.0,2.0,262,1,0,1,0,1
Ralph Macchio,12,8,23.0,26.14639927,9.0,0.4139347973854023,4.0,9.0,259.0,259.0,1.0,259,1,1,1,1,1
Ralph Macchio,12,9,24.0,5.623797888,8.0,0.2592756419564987,4.0,9.0,259.0,259.0,1.0,259,1,1,1,1,1
Sugar Ray Leonard,12,2,17.0,44.01487111,14.0,0.1787917417843285,9.0,4.0,263.0,264.0,2.0,266,1,0,0,0,0
Sugar Ray Leonard,12,4,21.0,3.051478966,17.0,0.1119103015791999,9.0,4.0,264.0,264.0,2.0,264,1,1,1,1,1
Mike Catherwood,12,1,13.0,41.40435522,22.0,0.1478101289900376,11.0,2.0,266.0,266.0,1.0,266,1,1,1,1,1
Mike Catherwood,12,2,17.0,2.950317529,21.0,0.0854126065300804,11.0,2.0,266.0,266.0,2.0,266,1,1,1,1,1
Wendy Williams,12,1,14.0,43.52829971,17.0,0.1570017642300988,10.0,3.0,264.5,265.0,2.0,266,1,0,1,0,1
Wendy Williams,12,2,17.0,43.13359975,15.0,0.1767877663275197,10.0,3.0,265.0,265.0,2.0,266,1,1,1,1,1
Wendy Williams,12,3,15.0,3.572569611,20.0,0.0802924522239573,10.0,3.0,265.0,265.0,1.0,265,1,1,1,1,1
Kendra Wilkinson,12,4,18.0,42.51382499,10.0,0.22626256072268,6.0,7.0,260.5,263.0,1.0,264,1,0,1,0,1
Kendra Wilkinson,12,5,22.0,37.1534259,10.0,0.2605890438337374,6.0,7.0,261.5,262.0,2.0,263,1,0,1,0,1
Elisabetta Canalis,13,1,15.0,48.03695399,19.0,0.1581269472149228,11.0,2.0,11.0,11.0,2.0,12,1,1,1,1,1
David Arquette,13,7,23.5,3.97340003,11.0,0.1830028276762285,6.0,7.0,6.0,6.0,2.0,6,1,1,1,1,1
Hope Solo,13,6,20.0,35.67407323,8.0,0.2883415277949779,4.0,9.0,5.0,6.0,2.0,7,1,0,1,0,1
Hope Solo,13,9,24.4998,5.719051216,8.0,0.2622939723911747,4.0,9.0,4.0,4.0,1.0,4,1,1,1,1,1
Carson Kressley,13,4,20.0,40.90686012,12.0,0.2218607957507594,8.0,5.0,7.0,8.0,1.0,9,1,0,1,0,1
Carson Kressley,13,5,19.0,3.658017923,16.0,0.1153992381370509,8.0,5.0,8.0,8.0,1.0,8,1,1,1,1,1
Chaz Bono,13,2,17.0,50.94656321,12.0,0.1815533306256557,7.0,6.0,6.0,10.0,1.0,11,1,0,1,0,1
Chaz Bono,13,3,18.0,49.0098664,11.0,0.1986096954838757,7.0,6.0,5.5,9.0,1.0,10,1,0,1,0,1
Chaz Bono,13,5,21.0,36.97476195,10.0,0.2566025415853272,7.0,6.0,7.0,7.0,2.0,8,1,1,1,1,1
Chaz Bono,13,6,19.0,3.813187335,14.0,0.1324002764442598,7.0,6.0,7.0,7.0,1.0,7,1,1,1,1,1
Nancy Grace,13,3,21.0,48.35706824,11.0,0.2096341209455777,5.0,8.0,5.5,5.0,2.0,10,1,0,0,0,0
Nancy Grace,13,7,22.0,37.2686222,7.0,0.3620849003149216,5.0,8.0,4.5,4.0,1.0,6,1,0,0,0,0
Nancy Grace,13,8,22.0,4.84840085,10.0,0.2059809126823638,5.0,8.0,5.0,5.0,1.0,5,1,1,1,1,1
Roshon Fegan,14,6,27.9998,34.45066499,12.0,0.2485986601301635,6.0,8.0,7.0,7.0,2.0,8,1,1,1,1,1
Melissa Gilbert,14,1,20.0,46.73926718,18.0,0.1559676597669957,5.0,8.0,10.0,10.0,2.0,12,1,0,0,0,0
Melissa Gilbert,14,5,21.0,37.3783958,10.0,0.2215864118224237,5.0,8.0,5.0,7.0,2.0,9,1,0,0,0,0
Melissa Gilbert,14,7,23.5,38.7908166,8.0,0.3104668618720697,5.0,8.0,5.0,4.0,1.0,7,1,0,0,0,0
Melissa Gilbert,14,8,25.5,6.770869693,11.0,0.1946557259316302,5.0,8.0,6.0,6.0,1.0,6,1,1,1,1,1
Martina Navratilova,14,1,20.0,43.62598033,23.0,0.1505127555971199,12.0,2.0,12.0,12.0,2.0,12,1,1,1,1,1
Martina Navratilova,14,2,17.0,3.208942653,24.0,0.0696105073431559,12.0,2.0,12.0,12.0,1.0,12,1,1,1,1,1
Gavin DeGraw,14,1,20.0,46.02845438,19.0,0.15472221856818,9.0,5.0,11.0,11.0,2.0,12,1,1,1,1,1
Gavin DeGraw,14,5,19.0,3.386301763,18.0,0.0964027888054562,9.0,5.0,9.0,9.0,1.0,9,1,1,1,1,1
Gladys Knight,14,2,19.0,46.24912541,17.0,0.1630667483156767,8.0,6.0,9.5,11.0,2.0,12,1,0,1,0,1
Gladys Knight,14,4,20.0,40.96348232,13.0,0.2000265857657043,8.0,6.0,8.5,9.0,1.0,10,1,0,1,0,1
Gladys Knight,14,6,24.0,3.643484669,16.0,0.1078374520798556,8.0,6.0,8.0,8.0,1.0,8,1,1,1,1,1
Katherine Jenkins,14,9,28.0,43.47927157,5.0,0.5850035390329319,2.0,10.0,2.5,1.0,1.0,4,1,0,0,0,0
Maria Menounos,14,8,26.5,41.35266685,7.0,0.3983910863062005,4.0,9.0,4.0,3.0,2.0,6,1,0,0,0,0
Ingo Rademacher,16,8,24.0,32.31281419,8.0,0.3497386725317086,5.0,9.0,5.0,5.0,2.0,6,1,1,1,1,1
Ingo Rademacher,16,9,25.5,4.912641798,10.0,0.2184542345232523,5.0,9.0,5.0,5.0,1.0,5,1,1,1,1,1
Victor Ortiz,16,4,18.0,41.01982609,10.5,0.1939241966504459,8.0,6.0,5.5,9.0,1.5,10,1,0,1,0,1
Victor Ortiz,16,6,20.0,3.560172426,16.0,0.1204736093683532,8.0,6.0,8.0,8.0,1.0,8,1,1,1,1,1
D. L. Hughley,16,1,12.0,46.46413663,23.0,0.1325600187185397,9.0,5.0,12.0,12.0,1.0,12,1,1,1,1,1
D. L. Hughley,16,2,16.0,47.07928269,15.0,0.1569386274066297,9.0,5.0,7.5,11.0,2.0,12,1,0,1,0,1
D. L. Hughley,16,3,16.0,43.31498728,11.0,0.1702586366096966,9.0,5.0,5.5,10.0,2.0,11,1,0,1,0,1
D. L. Hughley,16,5,18.0,3.299417738,17.5,0.0970756320292178,9.0,5.0,9.0,9.0,1.5,9,1,1,1,1,1
Andy Dick,16,1,17.0,47.02399139,20.0,0.1553599213261496,7.0,7.0,11.0,11.0,2.0,12,1,1,1,1,1
Andy Dick,16,5,18.0,38.79553833,9.5,0.2148922335246569,7.0,7.0,5.5,8.0,1.5,9,1,0,1,0,1
Andy Dick,16,6,21.5,35.27218013,9.0,0.2564560851118306,7.0,7.0,5.0,7.0,2.0,8,1,0,1,0,1
Andy Dick,16,7,17.0,4.12201217,14.0,0.1128803959149614,7.0,7.0,7.0,7.0,1.0,7,1,1,1,1,1
Sean Lowe,16,7,24.0,32.57020902,10.0,0.2923299851091577,6.0,8.0,6.0,6.0,2.0,7,1,1,1,1,1
Sean Lowe,16,8,21.0,4.379626992,12.0,0.1615321407728987,6.0,8.0,6.0,6.0,1.0,6,1,1,1,1,1
Valerie Harper,17,3,16.0,45.21897192,15.5,0.164144001231383,10.0,4.0,10.0,10.0,1.5,11,1,1,1,1,1
Valerie Harper,17,4,18.0,3.47267127,20.0,0.0852417793237266,10.0,4.0,10.0,10.0,1.0,10,1,1,1,1,1
Elizabeth Berkley Lauren,17,8,25.0,36.93240985,8.0,0.2991074231872494,6.0,9.0,4.5,6.0,2.0,7,1,0,1,0,1
Leah Remini,17,5,22.0,48.76644051,11.0,0.2305829397398372,5.0,10.0,6.5,5.0,1.0,9,1,0,0,0,0
Leah Remini,17,7,26.5,37.22919192,9.0,0.2643305083435096,5.0,10.0,4.5,5.0,2.0,8,1,0,0,0,0
Leah Remini,17,10,32.5,4.587876918,9.0,0.2184391911742262,5.0,10.0,5.0,5.0,2.0,5,1,1,1,1,1
Amber Riley,17,9,25.5,37.17446652,7.0,0.3577855673868788,1.0,11.0,3.5,4.0,2.0,6,1,0,0,0,0
Keyshawn Johnson,17,1,17.0,49.02200072,20.0,0.1470600755449795,12.0,2.0,10.0,11.0,2.0,12,1,0,1,0,1
Keyshawn Johnson,17,2,18.0,3.117275841,23.0,0.0733994241105076,12.0,2.0,12.0,12.0,2.0,12,1,1,1,1,1
Bill Engvall,17,5,24.0,50.00118993,9.0,0.2425615077576893,4.0,11.0,3.0,1.0,2.0,9,1,0,0,0,0
Bill Engvall,17,6,23.9999,36.85524683,9.0,0.2404297451708196,4.0,11.0,4.0,8.0,1.0,8,1,0,1,0,1
Bill Engvall,17,7,25.0,42.15372187,9.0,0.2766977415474123,4.0,11.0,4.5,1.0,1.0,8,1,0,0,0,0
Bill Engvall,17,8,24.0,41.55079806,8.0,0.3150198769465855,4.0,11.0,4.5,1.0,1.0,7,1,0,0,0,0
Bill Engvall,17,9,21.0,43.36622282,7.0,0.3618399254085263,4.0,11.0,3.5,3.0,1.0,6,1,0,0,0,0
Bill Engvall,17,10,30.0,38.09114639,6.0,0.4431292266015325,4.0,11.0,4.0,3.0,1.0,5,1,1,0,0,1
Bill Engvall,17,11,25.4999,29.12490016,5.0,0.4817428225858933,4.0,11.0,2.0,4.0,1.0,4,1,0,1,0,1
Jack Osbourne,17,6,26.9998,34.57844838,10.0,0.2449817570915848,3.0,11.0,5.5,6.0,2.0,8,1,0,0,0,0
Jack Osbourne,17,11,27.9999,27.73162964,6.0,0.491185334167082,3.0,11.0,3.5,3.0,2.0,4,1,1,1,1,1
