season,week,celebrity_name,weeks_participated,placement,judge_score,companion_name,companion_judge_score,score_difference,is_eliminated_early
7,4,Maurice Greene,8.0,5.0,20.0,Rocco DiSpirito,18.0,2.0,0
7,6,Maurice Greene,8.0,5.0,21.0,Cloris Leachman,15.0,6.0,0
7,7,Warren Sapp,10.0,2.0,21.0,Cody Linley,22.0,-1.0,1
7,5,Lance Bass,10.0,3.0,21.0,Cloris Leachman,21.0,0.0,0
7,2,Rocco DiSpirito,4.0,9.0,16.0,Cloris Leachman,15.0,1.0,0
7,3,Rocco DiSpirito,4.0,9.0,20.0,Cloris Leachman,16.0,4.0,0
8,5,Lawrence Taylor,7.0,7.0,20.0,Steve-O,18.0,2.0,0
8,1,Ty Murray,10.0,4.0,14.0,Steve Wozniak,13.0,1.0,0
8,6,Ty Murray,10.0,4.0,18.0,Steve-O,16.0,2.0,0
8,7,Ty Murray,10.0,4.0,24.0,Lawrence Taylor,21.0,3.0,0
8,9,Ty Murray,10.0,4.0,23.0,Lil' Kim,26.0,-3.0,1
8,1,Steve Wozniak,4.0,10.0,13.0,Ty Murray,14.0,-1.0,1
8,3,Steve Wozniak,4.0,10.0,10.0,Steve-O,15.0,-5.0,1
8,2,Steve-O,6.0,8.0,14.0,David Alan Grier,17.0,-3.0,1
8,3,Steve-O,6.0,8.0,15.0,Steve Wozniak,10.0,5.0,0
8,4,Steve-O,6.0,8.0,15.0,Steve Wozniak,12.0,3.0,0
8,5,Steve-O,6.0,8.0,18.0,Lawrence Taylor,20.0,-2.0,1
9,4,Louie Vito,6.0,8.0,16.0,Michael Irvin,16.0,0.0,0
9,3,Michael Irvin,7.0,7.0,14.0,Tom DeLay,15.0,-1.0,1
9,4,Michael Irvin,7.0,7.0,16.0,Louie Vito,16.0,0.0,0
9,5,Michael Irvin,7.0,7.0,21.0,Louie Vito,22.0,-1.0,1
9,6,Michael Irvin,7.0,7.0,21.9998,Melissa Joan Hart,23.9999,-2.0000999999999998,1
9,2,Tom DeLay,3.0,13.0,18.0,Kathy Ireland,18.0,0.0,0
9,8,Donny Osmond,10.0,1.0,25.0,Aaron Carter,25.0,0.0,0
9,9,Donny Osmond,10.0,1.0,24.666600000000003,Kelly Osbourne,25.9998,-1.333199999999998,1
10,1,Aiden Turner,4.0,9.0,15.0,Buzz Aldrin,14.0,1.0,0
10,6,Niecy Nash,8.0,5.0,25.9998,Jake Pavelka,24.9999,0.9999000000000002,0
10,7,Niecy Nash,8.0,5.0,24.5,Pamela Anderson,25.5,-1.0,1
10,1,Buzz Aldrin,3.0,10.0,14.0,Aiden Turner,15.0,-1.0,1
10,2,Buzz Aldrin,3.0,10.0,12.0,Kate Gosselin,15.0,-3.0,1
10,8,Chad Ochocinco,9.0,4.0,22.5,Niecy Nash,21.5,1.0,0
10,2,Kate Gosselin,5.0,8.0,15.0,Buzz Aldrin,12.0,3.0,0
10,3,Kate Gosselin,5.0,8.0,15.0,Buzz Aldrin,13.0,2.0,0
10,4,Kate Gosselin,5.0,8.0,16.0,Aiden Turner,16.5,-0.5,1
11,6,Kurt Warner,8.0,5.0,21.9999,Bristol Palin,27.9998,-5.9999,1
11,1,Margaret Cho,3.0,10.0,15.0,David Hasselhoff,15.0,0.0,0
11,1,The Situation,4.0,9.0,15.0,David Hasselhoff,15.0,0.0,0
12,5,Ralph Macchio,9.0,4.0,22.0,Kendra Wilkinson,22.0,0.0,0
12,6,Ralph Macchio,9.0,4.0,24.0,Chris Jericho,22.0,2.0,0
12,8,Ralph Macchio,9.0,4.0,23.0,Kirstie Alley,26.5,-3.5,1
12,2,Sugar Ray Leonard,4.0,9.0,17.0,Mike Catherwood,17.0,0.0,0
12,1,Mike Catherwood,2.0,11.0,13.0,Wendy Williams,14.0,-1.0,1
12,1,Wendy Williams,3.0,10.0,14.0,Mike Catherwood,13.0,1.0,0
12,2,Wendy Williams,3.0,10.0,17.0,Mike Catherwood,17.0,0.0,0
12,4,Kendra Wilkinson,7.0,6.0,18.0,Sugar Ray Leonard,21.0,-3.0,1
12,5,Kendra Wilkinson,7.0,6.0,22.0,Ralph Macchio,22.0,0.0,0
13,1,Elisabetta Canalis,2.0,11.0,15.0,Metta World Peace (Ron),14.0,1.0,0
13,6,Hope Solo,9.0,4.0,20.0,Chaz Bono,19.0,1.0,0
13,4,Carson Kressley,5.0,8.0,20.0,Nancy Grace,21.0,-1.0,1
13,2,Chaz Bono,6.0,7.0,17.0,David Arquette,18.0,-1.0,1
13,3,Chaz Bono,6.0,7.0,18.0,Nancy Grace,21.0,-3.0,1
13,5,Chaz Bono,6.0,7.0,21.0,Carson Kressley,19.0,2.0,0
13,3,Nancy Grace,8.0,5.0,21.0,Chaz Bono,18.0,3.0,0
13,7,Nancy Grace,8.0,5.0,22.0,David Arquette,23.5,-1.5,1
14,6,Roshon Fegan,8.0,6.0,27.9998,Gladys Knight,24.0,3.9998000000000005,0
14,1,Melissa Gilbert,8.0,5.0,20.0,Martina Navratilova,20.0,0.0,0
14,5,Melissa Gilbert,8.0,5.0,21.0,Gavin DeGraw,19.0,2.0,0
14,7,Melissa Gilbert,8.0,5.0,23.5,Jaleel White,25.5,-2.0,1
14,1,Martina Navratilova,2.0,12.0,20.0,Melissa Gilbert,20.0,0.0,0
14,1,Gavin DeGraw,5.0,9.0,20.0,Martina Navratilova,20.0,0.0,0
14,2,Gladys Knight,6.0,8.0,19.0,Martina Navratilova,17.0,2.0,0
14,4,Gladys Knight,6.0,8.0,20.0,Sherri Sheperd,21.0,-1.0,1
14,9,Katherine Jenkins,10.0,2.0,28.0,Donald Driver,28.5,-0.5,1
14,8,Maria Menounos,9.0,4.0,26.5,Melissa Gilbert,25.5,1.0,0
16,8,Ingo Rademacher,9.0,5.0,24.0,Sean Lowe,21.0,3.0,0
16,4,Victor Ortiz,6.0,8.0,18.0,Lisa Vanderpump,18.0,0.0,0
16,1,D. L. Hughley,5.0,9.0,12.0,Andy Dick,17.0,-5.0,1
16,2,D. L. Hughley,5.0,9.0,16.0,Dorothy Hamill,15.0,1.0,0
16,3,D. L. Hughley,5.0,9.0,16.0,Wynonna Judd,15.0,1.0,0
16,1,Andy Dick,7.0,7.0,17.0,D. L. Hughley,12.0,5.0,0
16,5,Andy Dick,7.0,7.0,18.0,D. L. Hughley,18.0,0.0,0
16,6,Andy Dick,7.0,7.0,21.5,Victor Ortiz,20.0,1.5,0
16,7,Sean Lowe,8.0,6.0,24.0,Andy Dick,17.0,7.0,0
17,3,Valerie Harper,4.0,10.0,16.0,Bill Nye,16.0,0.0,0
17,8,Elizabeth Berkley Lauren,9.0,6.0,25.0,Bill Engvall,24.0,1.0,0
17,5,Leah Remini,10.0,5.0,22.0,Bill Engvall,24.0,-2.0,1
17,7,Leah Remini,10.0,5.0,26.5,Bill Engvall,25.0,1.5,0
17,9,Amber Riley,11.0,1.0,25.5,Bill Engvall,21.0,4.5,0
17,1,Keyshawn Johnson,2.0,12.0,17.0,Bill Nye,14.0,3.0,0
17,5,Bill Engvall,11.0,4.0,24.0,Leah Remini,22.0,2.0,0
17,6,Bill Engvall,11.0,4.0,23.9999,Jack Osbourne,26.9998,-2.9999000000000002,1
17,7,Bill Engvall,11.0,4.0,25.0,Leah Remini,26.5,-1.5,1
17,8,Bill Engvall,11.0,4.0,24.0,Elizabeth Berkley Lauren,25.0,-1.0,1
17,9,Bill Engvall,11.0,4.0,21.0,Amber Riley,25.5,-4.5,1
17,10,Bill Engvall,11.0,4.0,30.0,Leah Remini,32.5,-2.5,1
17,6,Jack Osbourne,11.0,3.0,26.9998,Bill Engvall,23.9999,2.9999000000000002,0
17,1,Bill Nye,3.0,11.0,14.0,Keyshawn Johnson,17.0,-3.0,1
17,2,Bill Nye,3.0,11.0,17.0,Keyshawn Johnson,18.0,-1.0,1
18,1,Billy Dee Williams,2.0,10.0,15.0,Diana Nyad,18.0,-3.0,1
18,7,James Maslow,10.0,4.0,35.0,NeNe Leakes,33.0,2.0,0
18,8,James Maslow,10.0,4.0,36.0,Candace Cameron Bure,36.0,0.0,0
18,4,Candace Cameron Bure,10.0,3.0,28.0,Cody Simpson,31.0,-3.0,1
18,6,Candace Cameron Bure,10.0,3.0,32.0,Drew Carey,32.0,0.0,0
18,8,Candace Cameron Bure,10.0,3.0,36.0,James Maslow,36.0,0.0,0
18,9,Candace Cameron Bure,10.0,3.0,36.0,James Maslow,38.0,-2.0,1
18,3,Drew Carey,6.0,8.0,30.0,NeNe Leakes,31.0,-1.0,1
18,5,Drew Carey,6.0,8.0,28.0,Cody Simpson,34.0,-6.0,1
18,4,Cody Simpson,5.0,9.0,31.0,Candace Cameron Bure,28.0,3.0,0
18,3,NeNe Leakes,7.0,7.0,31.0,Drew Carey,30.0,1.0,0
19,6,Antonio Sabato Jr.,7.0,8.0,28.0,Tommy Chong,28.0,0.0,0
19,4,Jonathan Bennett,6.0,9.0,24.0,Michael Waltrip,25.0,-1.0,1
19,5,Tommy Chong,10.0,5.0,23.0,Michael Waltrip,20.0,3.0,0
19,6,Tommy Chong,10.0,5.0,28.0,Antonio Sabato Jr.,28.0,0.0,0
19,8,Tommy Chong,10.0,5.0,29.0,Michael Waltrip,25.0,4.0,0
19,9,Tommy Chong,10.0,5.0,28.5,Lea Thompson,35.0,-6.5,1
19,1,Betsey Johnson,4.0,10.0,20.0,Lolo Jones,22.0,-2.0,1
19,2,Michael Waltrip,8.0,7.0,24.0,Tommy Chong,28.0,-4.0,1
19,3,Michael Waltrip,8.0,7.0,28.0,Randy Couture,26.0,2.0,0
19,4,Michael Waltrip,8.0,7.0,25.0,Jonathan Bennett,24.0,1.0,0
19,5,Michael Waltrip,8.0,7.0,20.0,Tommy Chong,23.0,-3.0,1
19,7,Michael Waltrip,8.0,7.0,28.0,Antonio Sabato Jr.,29.5,-1.5,1
20,4,Suzanne Somers,5.0,9.0,28.0,Chris Soules,27.0,1.0,0
20,5,Robert Herjavec,8.0,6.0,24.0,Patti LaBelle,27.0,-3.0,1
20,6,Robert Herjavec,8.0,6.0,33.5,Noah Galloway,34.0,-0.5,1
20,7,Robert Herjavec,8.0,6.0,31.0,Chris Soules,31.0,0.0,0
20,1,Charlotte McKinney,3.0,11.0,22.0,Redfoo,22.0,0.0,0
20,2,Charlotte McKinney,3.0,11.0,26.0,Chris Soules,21.0,5.0,0
20,8,Noah Galloway,10.0,3.0,31.5,Robert Herjavec,31.0,0.5,0
20,9,Noah Galloway,10.0,3.0,38.0,Rumer Willis,39.0,-1.0,1
20,1,Redfoo,2.0,12.0,22.0,Charlotte McKinney,22.0,0.0,0
20,3,Patti LaBelle,6.0,8.0,22.0,Charlotte McKinney,22.0,0.0,0
20,2,Chris Soules,8.0,5.0,21.0,Charlotte McKinney,26.0,-5.0,1
20,4,Chris Soules,8.0,5.0,27.0,Suzanne Somers,28.0,-1.0,1
20,7,Chris Soules,8.0,5.0,31.0,Robert Herjavec,31.0,0.0,0
21,2,Gary Busey,4.0,10.0,16.5,Chaka Khan,15.0,1.5,0
21,3,Gary Busey,4.0,10.0,25.0,Paula Deen,20.0,5.0,0
21,7,Alek Skarlatos,11.0,3.0,26.5,Tamar Braxton,27.0,-0.5,1
21,8,Alek Skarlatos,11.0,3.0,25.0,Andy Grammer,23.9998,1.0001999999999995,0
21,9,Alek Skarlatos,11.0,3.0,25.5,Tamar Braxton,24.5,1.0,0
21,10,Alek Skarlatos,11.0,3.0,28.5,Nick Carter,27.0,1.5,0
21,1,Chaka Khan,2.0,13.0,13.0,Kim Zolciak-Biermann,12.0,1.0,0
21,10,Nick Carter,11.0,2.0,27.0,Alek Skarlatos,28.5,-1.5,1
21,1,Kim Zolciak-Biermann,2.0,11.0,12.0,Chaka Khan,13.0,-1.0,1
21,3,Paula Deen,6.0,9.0,20.0,Gary Busey,25.0,-5.0,1
21,4,Paula Deen,6.0,9.0,18.0,Gary Busey,16.0,2.0,0
21,5,Paula Deen,6.0,9.0,26.0,Alek Skarlatos,29.0,-3.0,1
22,2,Mischa Barton,3.0,11.0,15.0,Geraldo Rivera,13.0,2.0,0
22,4,Jodie Sweetin,8.0,6.0,27.0,Doug Flutie,24.0,3.0,0
22,7,Jodie Sweetin,8.0,6.0,25.5,Kim Fields,26.0,-0.5,1
22,1,Doug Flutie,6.0,9.0,15.0,Geraldo Rivera,13.0,2.0,0
22,4,Doug Flutie,6.0,9.0,24.0,Jodie Sweetin,27.0,-3.0,1
22,5,Antonio Brown,9.0,5.0,26.0,Kim Fields,28.0,-2.0,1
22,8,Antonio Brown,9.0,5.0,27.0,Wanya Morris,25.0,2.0,0
22,1,Geraldo Rivera,2.0,12.0,13.0,Doug Flutie,15.0,-2.0,1
22,8,Wanya Morris,9.0,4.0,25.0,Antonio Brown,27.0,-2.0,1
23,4,Marilu Henner,9.0,6.0,21.0,Babyface,18.0,3.0,0
23,7,Marilu Henner,9.0,6.0,32.0,Maureen McCormick,33.0,-1.0,1
23,8,Marilu Henner,9.0,6.0,23.0,Terra Jole,24.0,-1.0,1
23,10,Calvin Johnson Jr.,11.0,3.0,28.0,Jana Kramer,29.0,-1.0,1
23,1,Rick Perry,3.0,12.0,20.0,Jake T. Austin,22.0,-2.0,1
23,2,Rick Perry,3.0,12.0,22.0,Jake T. Austin,24.0,-2.0,1
23,9,James Hinchcliffe,11.0,2.0,36.0,Marilu Henner,36.0,0.0,0
23,3,Vanilla Ice,4.0,10.0,23.0,Rick Perry,23.0,0.0,0
23,8,Terra Jole,10.0,5.0,24.0,Marilu Henner,23.0,1.0,0
24,1,Mr. T,4.0,10.0,20.0,Chris Kattan,17.0,3.0,0
24,2,Mr. T,4.0,10.0,22.0,Chris Kattan,22.0,0.0,0
24,3,Mr. T,4.0,10.0,24.0,Charo,24.0,0.0,0
24,3,Bonner Bolton,8.0,5.0,24.0,Charo,24.0,0.0,0
24,5,Bonner Bolton,8.0,5.0,30.0,David Ross,29.0,1.0,0
24,7,Bonner Bolton,8.0,5.0,31.0,David Ross,32.0,-1.0,1
24,5,David Ross,10.0,2.0,29.0,Bonner Bolton,30.0,-1.0,1
24,6,David Ross,10.0,2.0,31.0,Nick Viall,30.5,0.5,0
24,7,David Ross,10.0,2.0,32.0,Bonner Bolton,31.0,1.0,0
24,8,David Ross,10.0,2.0,32.5,Bonner Bolton,29.0,3.5,0
24,9,David Ross,10.0,2.0,35.0,Normani,38.0,-3.0,1
24,1,Chris Kattan,2.0,12.0,17.0,Mr. T,20.0,-3.0,1
24,6,Nick Viall,7.0,6.0,30.5,David Ross,31.0,-0.5,1
25,3,Sasha Pieterse,5.0,10.0,19.0,Frankie Muniz,21.0,-2.0,1
25,1,Terrell Owens,8.0,6.0,15.0,Barbara Corcoran,14.0,1.0,0
25,7,Terrell Owens,8.0,6.0,24.5,Nikki Bella,24.0,0.5,0
25,8,Victoria Arlen,9.0,5.0,24.0,Drew Scott,23.5,0.5,0
25,1,Barbara Corcoran,2.0,13.0,14.0,Terrell Owens,15.0,-1.0,1
25,4,Nick Lachey,6.0,9.0,22.0,Derek Fisher,23.0,-1.0,1
25,5,Nick Lachey,6.0,9.0,22.0,Sasha Pieterse,24.0,-2.0,1
25,6,Drew Scott,10.0,4.0,30.0,Nick Lachey,26.0,4.0,0
25,8,Drew Scott,10.0,4.0,23.5,Victoria Arlen,24.0,-0.5,1
25,9,Drew Scott,10.0,4.0,24.0,Frankie Muniz,25.5,-1.5,1
26,1,Kareem Abdul-Jabbar,2.0,8.0,17.0,Johnny Damon,18.0,-1.0,1
27,3,John Schneider,7.0,8.0,21.0,Joe Amabile,18.0,3.0,0
27,6,John Schneider,7.0,8.0,19.0,Bobby Bones,22.0,-3.0,1
27,4,Bobby Bones,9.0,1.0,20.0,Joe Amabile,15.0,5.0,0
27,5,Bobby Bones,9.0,1.0,21.0,Joe Amabile,17.0,4.0,0
27,8,Bobby Bones,9.0,1.0,22.5,Joe Amabile,23.0,-0.5,1
27,1,Joe Amabile,8.0,6.0,14.0,Nikki Glaser,17.5,-3.5,1
27,2,Joe Amabile,8.0,6.0,17.5,Danelle Umstead,18.5,-1.0,1
27,3,Joe Amabile,8.0,6.0,18.0,John Schneider,21.0,-3.0,1
27,4,Joe Amabile,8.0,6.0,15.0,Bobby Bones,20.0,-5.0,1
27,5,Joe Amabile,8.0,6.0,17.0,Bobby Bones,21.0,-4.0,1
27,7,Joe Amabile,8.0,6.0,23.5,DeMarcus Ware,26.5,-3.0,1
28,7,Kate Flannery,8.0,7.0,24.0,Sean Spicer,21.0,3.0,0
28,1,Lamar Odom,4.0,10.0,11.0,Sean Spicer,12.0,-1.0,1
28,2,Lamar Odom,4.0,10.0,12.0,Ray Lewis,15.0,-3.0,1
28,3,Lamar Odom,4.0,10.0,12.0,Sean Spicer,15.0,-3.0,1
28,1,Sean Spicer,9.0,6.0,12.0,Lamar Odom,11.0,1.0,0
28,3,Sean Spicer,9.0,6.0,15.0,Lamar Odom,12.0,3.0,0
28,4,Sean Spicer,9.0,6.0,21.0,Lamar Odom,20.0,1.0,0
28,5,Sean Spicer,9.0,6.0,19.0,Karamo Brown,21.0,-2.0,1
28,6,Sean Spicer,9.0,6.0,21.0,Hannah Brown,24.0,-3.0,1
28,7,Sean Spicer,9.0,6.0,21.0,Kate Flannery,24.0,-3.0,1
28,8,Sean Spicer,9.0,6.0,20.0,Lauren Alaina,24.0,-4.0,1
28,8,Lauren Alaina,11.0,4.0,24.0,Sean Spicer,20.0,4.0,0
28,9,Lauren Alaina,11.0,4.0,35.0,Sean Spicer,25.0,10.0,0
28,5,Karamo Brown,7.0,8.0,21.0,Sean Spicer,19.0,2.0,0
28,6,Hannah Brown,11.0,1.0,24.0,Sean Spicer,21.0,3.0,0
29,3,Anne Heche,4.0,13.0,15.0,Carole Baskin,12.0,3.0,0
29,5,Chrishell Stause,8.0,8.0,19.0,Jesse Metcalfe,19.0,0.0,0
29,2,Skai Jackson,10.0,5.0,15.0,Charles Oakley,15.0,0.0,0
29,6,Skai Jackson,10.0,5.0,18.0,Veron Davis,21.0,-3.0,1
29,8,Skai Jackson,10.0,5.0,26.9998,Nelly,24.0,2.9998000000000005,0
29,1,Charles Oakley,2.0,15.0,12.0,Carole Baskin,11.0,1.0,0
29,8,Nelly,11.0,3.0,24.0,Skai Jackson,26.9998,-2.9998000000000005,1
29,9,Nelly,11.0,3.0,24.0,AJ McLean,24.9998,-0.9998000000000005,1
29,10,Nelly,11.0,3.0,28.0,Skai Jackson,28.5,-0.5,1
29,7,Kaitlyn Bristowe,11.0,1.0,24.0,Monica Aldama,22.0,2.0,0
29,1,Carole Baskin,3.0,14.0,11.0,Charles Oakley,12.0,-1.0,1
30,1,Martin Kove,2.0,15.0,13.0,Iman Shumpert,21.0,-8.0,1
30,2,Matt James,4.0,12.0,22.0,Martin Kove,15.0,7.0,0
30,1,Iman Shumpert,10.0,1.0,21.0,Martin Kove,13.0,8.0,0
30,5,Iman Shumpert,10.0,1.0,28.0,"Mike ""The Miz"" Mizanin",32.0,-4.0,1
30,8,Iman Shumpert,10.0,1.0,35.0,Jimmie Allen,32.0,3.0,0
30,3,Cody Rigsby,10.0,3.0,18.0,Brian Austin Green,19.0,-1.0,1
30,9,Cody Rigsby,10.0,3.0,35.5,Melora Hardin,36.0,-0.5,1
31,2,Cheryl Ladd,3.0,14.0,21.0,Teresa Giudice,23.0,-2.0,1
31,5,Daniel Durant,9.0,5.0,33.5,Vinny Guadagnino,31.0,2.5,0
31,1,Vinny Guadagnino,8.0,7.0,17.0,Jason Lewis,18.0,-1.0,1
31,3,Vinny Guadagnino,8.0,7.0,23.0,Cheryl Ladd,24.0,-1.0,1
31,5,Vinny Guadagnino,8.0,7.0,31.0,Daniel Durant,33.5,-2.5,1
31,6,Vinny Guadagnino,8.0,7.0,28.0,Jessie James Decker,32.0,-4.0,1
31,7,Vinny Guadagnino,8.0,7.0,31.5,Jordin Sparks,34.5,-3.0,1
32,4,Barry Williams,8.0,7.0,18.0,Alyson Hannigan,18.0,0.0,0
32,7,Barry Williams,8.0,7.0,32.5,Harry Jowsey,32.0,0.5,0
32,4,Alyson Hannigan,11.0,5.0,18.0,Barry Williams,18.0,0.0,0
32,5,Alyson Hannigan,11.0,5.0,21.0,Harry Jowsey,18.0,3.0,0
32,6,Alyson Hannigan,11.0,5.0,31.0,Harry Jowsey,29.0,2.0,0
32,9,Alyson Hannigan,11.0,5.0,32.0,Harry Jowsey,30.0,2.0,0
32,10,Alyson Hannigan,11.0,5.0,25.5,Jason Mraz,28.5,-3.0,1
32,3,Adrian Peterson,4.0,11.0,22.0,Tyson Beckford,20.0,2.0,0
32,1,Tyson Beckford,3.0,12.0,12.0,Matt Walsh,12.0,0.0,0
32,8,Jason Mraz,11.0,2.0,33.0,Harry Jowsey,28.0,5.0,0
32,10,Jason Mraz,11.0,2.0,28.5,Alyson Hannigan,25.5,3.0,0
32,1,Harry Jowsey,9.0,6.0,12.0,Matt Walsh,12.0,0.0,0
32,5,Harry Jowsey,9.0,6.0,18.0,Alyson Hannigan,21.0,-3.0,1
32,6,Harry Jowsey,9.0,6.0,29.0,Alyson Hannigan,31.0,-2.0,1
32,7,Harry Jowsey,9.0,6.0,32.0,Barry Williams,32.5,-0.5,1
32,8,Harry Jowsey,9.0,6.0,28.0,Jason Mraz,33.0,-5.0,1
32,2,Mauricio Umansky,6.0,9.0,12.0,Barry Williams,15.0,-3.0,1
33,1,Eric Roberts,3.0,10.0,15.0,Reginald VelJohnson,16.0,-1.0,1
33,2,Eric Roberts,3.0,10.0,15.0,Reginald VelJohnson,15.0,0.0,0
33,1,Reginald VelJohnson,3.0,10.0,16.0,Eric Roberts,15.0,1.0,0
33,2,Reginald VelJohnson,3.0,10.0,15.0,Eric Roberts,15.0,0.0,0
33,4,Dwight Howard ,7.0,6.0,29.0,Chandler Kinney,32.0,-3.0,1
33,5,Dwight Howard ,7.0,6.0,24.0,Stephen Nedoroscik,24.0,0.0,0
33,7,Danny Amendola,9.0,5.0,25.5,Dwight Howard ,24.0,1.5,0
33,8,Danny Amendola,9.0,5.0,27.0,Stephen Nedoroscik,26.5,0.5,0
33,5,Stephen Nedoroscik,9.0,4.0,24.0,Dwight Howard ,24.0,0.0,0
33,8,Stephen Nedoroscik,9.0,4.0,26.5,Danny Amendola,27.0,-0.5,1
33,6,Ilona Maher,9.0,2.0,24.0,Stephen Nedoroscik,28.0,-4.0,1
34,1,Corey Feldman,2.0,13.0,9.0,Andy Richter,9.0,0.0,0
34,7,Elaine Hendrix,11.0,5.0,32.0,Andy Richter,29.0,3.0,0
34,9,Elaine Hendrix,11.0,5.0,36.0,Andy Richter,29.0,7.0,0
34,1,Andy Richter,9.0,7.0,9.0,Corey Feldman,9.0,0.0,0
34,2,Andy Richter,9.0,7.0,16.0,Corey Feldman,15.0,1.0,0
34,3,Andy Richter,9.0,7.0,18.0,Lauren Jauregui,18.0,0.0,0
34,4,Andy Richter,9.0,7.0,18.0,Danielle Fishel,21.0,-3.0,1
34,5,Andy Richter,9.0,7.0,24.0,Danielle Fishel,29.0,-5.0,1
