celebrity_name,season,week,judge_score,fan_votes,method1_rank,method2_pct,placement,weeks_participated,method1_pos,method2_pos,judge_score_pos,n_contestants,judge_is_bottom_two,method1_is_bottom_two,method2_is_bottom_two,both_methods_bottom_two,controversial_bottom,companion_name,companion_judge_score,score_difference,is_eliminated_early,appearance_id
Danny Amendola,33,7,25.5,15.63770733,10.0,0.307873186415068,5.0,9.0,5.0,5.0,2.0,6,1,1,1,1,1,Dwight Howard ,24.0,1.5,0,33_Week7
Danny Amendola,33,8,27.0,13.46189743,9.0,0.3558821797607242,5.0,9.0,4.5,5.0,2.0,5,1,1,1,1,1,Stephen Nedoroscik,26.5,0.5,0,33_Week8
Dwight Howard ,33,4,29.0,16.70920742,16.0,0.1689730590144513,6.0,7.0,9.0,8.0,1.0,9,1,1,1,1,1,Chandler Kinney,32.0,-3.0,1,33_Week4
Dwight Howard ,33,5,24.0,16.42841158,14.0,0.2093371670780192,6.0,7.0,7.0,7.0,2.0,8,1,1,1,1,1,Stephen Nedoroscik,24.0,0.0,0,33_Week5
Lamar Odom,28,1,11.0,7.752363901,21.0,0.0967639840656759,10.0,4.0,12.0,12.0,1.0,12,1,1,1,1,1,Sean Spicer,12.0,-1.0,1,28_Week1
Lamar Odom,28,2,12.0,7.621599377,21.0,0.1050693380365816,10.0,4.0,10.0,10.0,1.0,12,1,0,0,0,0,Ray Lewis,15.0,-3.0,1,28_Week2
Lamar Odom,28,3,12.0,5.5664042,19.0,0.1123586466169481,10.0,4.0,10.0,10.0,1.0,10,1,1,1,1,1,Sean Spicer,15.0,-3.0,1,28_Week3
Marie Osmond,5,5,21.0,33.28063219,8.5,0.2529048533956726,3.0,10.0,76.0,77.0,1.5,78,1,0,1,0,1,Mark Cuban,21.0,0.0,0,5_Week5
Marie Osmond,5,6,23.0,7.489060817,11.0,0.1661895803500381,3.0,10.0,77.0,77.0,2.0,77,1,1,1,1,1,Jane Seymour,22.0,1.0,0,5_Week6
Marie Osmond,5,8,24.5,30.95195195,7.0,0.436582362580147,3.0,10.0,11.0,11.0,1.0,12,1,1,1,1,1,Jennie Garth,25.0,-0.5,1,5_Week8
Marie Osmond,5,9,28.0,31.9367965,5.0,0.5772396413550421,3.0,10.0,10.0,1.0,1.0,11,1,1,0,0,1,Jennie Garth,29.0,-1.0,1,5_Week9
Master P,2,1,12.0,6.979313796,17.0,0.1371017009844548,7.0,4.0,16.0,16.0,1.0,17,1,1,1,1,1,Kenny Mayne,13.0,-1.0,1,2_Week1
Master P,2,2,16.0,6.353759061,14.0,0.168448163199379,7.0,4.0,15.0,15.0,1.0,16,1,1,1,1,1,Tatum O'Neal,17.0,-1.0,1,2_Week2
Master P,2,3,14.0,5.19624269,14.0,0.1713321317323044,7.0,4.0,15.0,14.0,1.0,15,1,1,1,1,1,Jerry Rice,19.0,-5.0,1,2_Week3
Paula Deen,21,3,20.0,43.3451405,19.0,0.1608048788088832,9.0,6.0,10.0,10.0,1.0,10,1,1,1,1,1,Gary Busey,25.0,-5.0,1,21_Week3
Paula Deen,21,4,18.0,44.83108127,13.0,0.1876768709687795,9.0,6.0,7.0,9.0,2.0,10,1,0,1,0,1,Gary Busey,16.0,2.0,0,21_Week4
Paula Deen,21,5,26.0,37.27941474,15.0,0.1932565318097516,9.0,6.0,8.5,9.0,1.0,9,1,1,1,1,1,Alek Skarlatos,29.0,-3.0,1,21_Week5
