contestant_id,season_idx,season,weeks_participated,placement,celebrity_name,week_str,judge_score,week_idx,obs_id,implied_audience_score,audience_lower_95,audience_upper_95,implied_total_score
30,2,5,10,2,187,week7_score_sum,1.549193338,6,188,28.86060171,0.235239711,132.886322,31.8275275
22,2,5,8,5,39,week8_score_sum,-0.490511472,7,189,4.191721307,0.013786329,17.47799261,3.252322009
25,2,5,9,4,126,week8_score_sum,-0.797081141,7,190,32.28257077,0.880892881,143.9255295,30.75604691
29,2,5,10,1,104,week8_score_sum,1.348906547,7,191,28.30404678,0.252904298,135.0695927,30.88739485
30,2,5,10,2,187,week8_score_sum,1.042336877,7,192,27.94366442,0.251265249,127.2682563,29.93988792
32,2,5,10,3,174,week8_score_sum,-1.103650811,7,193,30.95195195,0.929941057,131.931267,28.83830353
25,2,5,9,4,126,week9_score_sum,-0.301511345,8,194,5.074343147,0.017900902,21.98384868,4.496905998
29,2,5,10,1,104,week9_score_sum,0.904534034,8,195,28.87326367,0.340053835,133.5784165,30.60557511
30,2,5,10,2,187,week9_score_sum,0.904534034,8,196,28.62457803,0.333659886,132.3109135,30.35688947
32,2,5,10,3,174,week9_score_sum,-1.507556723,8,197,31.9367965,1.410530695,134.205542,29.04961076
29,2,5,10,1,104,week10_score_sum,0.637687969,9,198,23.87028095,0.077320535,120.9655604,25.0915442
30,2,5,10,2,187,week10_score_sum,0.774323679,9,199,23.04192635,0.113468373,121.5423819,24.52486643
32,2,5,10,3,174,week10_score_sum,-1.412011648,9,200,22.38877863,0.0958831,110.3194444,19.68457531
34,3,6,10,3,63,week1_score_sum,0.202721214,0,201,43.2823573,0.164752986,218.4375645,43.67059729
35,3,6,3,10,259,week1_score_sum,-0.608163641,0,202,36.59779428,0.161351683,185.2339849,35.43307433
36,3,6,5,8,230,week1_score_sum,1.013606068,0,203,37.91302299,0.157882704,197.6400132,39.85422291
37,3,6,6,7,182,week1_score_sum,0.473016165,0,204,38.12363142,0.187112404,183.1838906,39.02952472
38,3,6,7,6,255,week1_score_sum,0.202721214,0,205,38.92590068,0.194031972,206.5819119,39.31414066
39,3,6,9,4,178,week1_score_sum,-0.608163641,0,206,41.71951682,0.203992894,209.2666408,40.55479687
40,3,6,10,2,123,week1_score_sum,0.473016165,0,207,39.60266451,0.198216037,203.6624703,40.50855781
41,3,6,10,1,155,week1_score_sum,1.824490922,0,208,43.2691279,0.181979055,224.4083239,46.76328775
42,3,6,2,11,202,week1_score_sum,-1.419048495,0,209,37.43672994,0.177293908,195.4963009,34.71905006
43,3,6,2,12,228,week1_score_sum,-1.148753543,0,210,37.55993496,0.188801067,189.2848357,35.35990839
44,3,6,4,9,1,week1_score_sum,-1.419048495,0,211,39.36193369,0.148887161,203.9122942,36.64425381
45,3,6,8,5,176,week1_score_sum,1.013606068,0,212,40.17866391,0.215079405,209.3108636,42.11986383
34,3,6,10,3,63,week2_score_sum,-0.351506864,1,213,46.94325386,1.295939008,220.5623621,46.27006817
35,3,6,3,10,259,week2_score_sum,-1.343996834,1,214,43.50675425,2.260059848,191.7809309,40.93280898
36,3,6,5,8,230,week2_score_sum,-0.103384372,1,215,40.17613606,0.876085327,182.7535507,39.97814027
37,3,6,6,7,182,week2_score_sum,0.640983106,1,216,39.78497564,0.57253962,184.5598784,41.01254954
38,3,6,7,6,255,week2_score_sum,0.640983106,1,217,39.13537022,0.465189003,182.1272766,40.36294412
39,3,6,9,4,178,week2_score_sum,-0.103384372,1,218,43.99827126,0.950473791,205.1961476,43.80027547
40,3,6,10,2,123,week2_score_sum,1.385350583,1,219,39.82083912,0.415221419,193.6374319,42.47398271
41,3,6,10,1,155,week2_score_sum,1.385350583,1,220,42.79307435,0.401116104,204.1843898,45.44621793
42,3,6,2,11,202,week2_score_sum,-1.592119327,1,221,3.751031275,0.017833652,13.82876988,0.70189611
43,3,6,2,12,228,week2_score_sum,-1.095874342,1,222,3.425523106,0.009740452,12.85444215,1.326767732
44,3,6,4,9,1,week2_score_sum,-0.599629357,1,223,42.15291829,1.4196878,189.505839,41.0045427
45,3,6,8,5,176,week2_score_sum,1.13722809,1,224,39.59097572,0.390184577,187.2753089,41.76892941
34,3,6,10,3,63,week3_score_sum,0.88640526,2,225,38.91530914,0.352065893,186.1463822,40.6129014
35,3,6,3,10,259,week3_score_sum,-0.725240668,2,226,2.839923376,0.009777492,11.1641641,1.450984252
36,3,6,5,8,230,week3_score_sum,1.289316742,2,227,33.21583196,0.255587408,160.3720636,35.68505707
37,3,6,6,7,182,week3_score_sum,-0.725240668,2,228,37.83658313,0.586311657,177.8189367,36.44764401
38,3,6,7,6,255,week3_score_sum,0.483493778,2,229,35.24077492,0.293745167,165.6112969,36.16673433
39,3,6,9,4,178,week3_score_sum,-1.531063632,2,230,41.68429967,1.537589086,196.7984896,38.75209486
40,3,6,10,2,123,week3_score_sum,0.080582296,2,231,36.728504,0.372248799,177.6359633,36.88283057
41,3,6,10,1,155,week3_score_sum,1.692228224,2,232,37.28108421,0.293944273,180.5306774,40.52194216
44,3,6,4,9,1,week3_score_sum,-0.725240668,2,233,36.93119901,0.793230467,173.3063894,35.54225989
45,3,6,8,5,176,week3_score_sum,-0.725240668,2,234,38.18357092,0.768529431,177.1204317,36.79463179
34,3,6,10,3,63,week4_score_sum,0.316227766,3,235,35.53575293,0.222102353,174.2353234,36.14137412
36,3,6,5,8,230,week4_score_sum,-0.948683298,3,236,33.56917699,0.335963645,154.0086441,31.75231342
37,3,6,6,7,182,week4_score_sum,-0.316227766,3,237,32.61060687,0.353697979,151.6379666,32.00498568
38,3,6,7,6,255,week4_score_sum,0.948683298,3,238,31.79326291,0.184027525,151.0774583,33.61012648
39,3,6,9,4,178,week4_score_sum,-0.316227766,3,239,34.64919938,0.319173175,168.8718175,34.04357819
40,3,6,10,2,123,week4_score_sum,1.264911064,3,240,32.28802565,0.223774304,154.0813336,34.71051041
41,3,6,10,1,155,week4_score_sum,1.264911064,3,241,33.57371881,0.180291173,161.8582541,35.99620357
44,3,6,4,9,1,week4_score_sum,-1.897366596,3,242,3.430016006,0.013080408,12.55796626,-0.203711134
45,3,6,8,5,176,week4_score_sum,-0.316227766,3,243,34.14691745,0.260153545,171.5267949,33.54129626
34,3,6,10,3,63,week5_score_sum,-0.56694671,4,244,35.14586533,0.492706808,162.910626,34.06008167
36,3,6,5,8,230,week5_score_sum,-1.322875656,4,245,3.410232104,0.013104857,12.89372812,0.876736898
37,3,6,6,7,182,week5_score_sum,-0.944911183,4,246,32.68044297,0.526656298,147.7301863,30.87080354
38,3,6,7,6,255,week5_score_sum,-0.56694671,4,247,31.49362128,0.347229357,138.6624041,30.40783762
39,3,6,9,4,178,week5_score_sum,-0.188982237,4,248,33.18109181,0.40539256,153.2119146,32.81916392
40,3,6,10,2,123,week5_score_sum,0.944911183,4,249,30.36105002,0.303706742,144.6922184,32.17068946
41,3,6,10,1,155,week5_score_sum,1.700840129,4,250,31.93193822,0.24294172,152.5713022,35.1892892
45,3,6,8,5,176,week5_score_sum,0.944911183,4,251,30.72472306,0.265496276,143.4147679,32.53436249
34,3,6,10,3,63,week6_score_sum,0.465378921,5,252,31.60503235,0.24872076,148.4883807,32.49629924
37,3,6,6,7,182,week6_score_sum,-1.706389377,5,253,3.697458911,0.012674445,13.44977282,0.429480333
